date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,31.15,31.91,31.01,31.9,21311.0,鼎际得,31.9,31.9,31.9
2025-03-25,31.9,32.1,31.46,31.99,8804.91,鼎际得,31.94,31.94,31.94
2025-03-26,31.99,32.46,31.6,31.9,17697.0,鼎际得,31.93,31.93,31.93
2025-03-27,31.71,32.64,31.62,32.0,13551.0,鼎际得,31.95,31.95,31.95
2025-03-28,32.0,32.21,31.57,31.6,8393.0,鼎际得,31.88,31.88,31.88
2025-03-31,31.03,31.5,30.37,31.19,8584.0,鼎际得,31.74,31.76,31.76
2025-04-01,31.11,31.68,31.01,31.2,3791.0,鼎际得,31.58,31.68,31.68
2025-04-02,31.48,31.58,30.68,30.91,9125.0,鼎际得,31.38,31.59,31.59
2025-04-03,30.75,31.25,30.52,31.17,7460.0,鼎际得,31.21,31.54,31.54
2025-04-07,30.8,30.8,28.06,28.8,12574.0,鼎际得,30.65,31.27,31.27
2025-04-08,29.25,29.9,28.6,29.35,7617.0,鼎际得,30.29,31.01,31.09
2025-04-09,29.35,29.77,28.01,29.07,14170.0,鼎际得,29.86,30.72,30.92
2025-04-10,29.2,29.5,28.75,29.09,20982.65,鼎际得,29.5,30.44,30.78
2025-04-11,29.1,29.18,28.08,28.46,24768.0,鼎际得,28.95,30.08,30.62
2025-04-14,28.37,28.93,28.32,28.49,26520.35,鼎际得,28.89,29.77,30.47
2025-04-15,28.48,28.65,27.73,28.11,14335.35,鼎际得,28.64,29.47,30.33
2025-04-16,27.98,28.04,26.85,27.08,16138.0,鼎际得,28.25,29.05,30.14
2025-04-17,26.95,27.17,26.52,26.58,16033.46,鼎际得,27.74,28.62,29.94
2025-04-18,26.59,26.68,25.82,25.84,11742.0,鼎际得,27.22,28.09,29.72
2025-04-21,25.87,26.1,25.05,25.2,25877.22,鼎际得,26.56,27.73,29.5
2025-04-22,25.13,25.29,24.23,24.32,29367.0,鼎际得,25.8,27.22,29.12
2025-04-23,24.3,24.77,24.18,24.65,30293.42,鼎际得,25.32,26.78,28.75
2025-04-24,24.65,24.76,23.59,23.78,32212.0,鼎际得,24.76,26.25,28.34
2025-04-25,23.67,23.75,23.02,23.36,26092.9,鼎际得,24.26,25.74,27.91
2025-04-28,23.2,23.2,21.33,21.78,47460.0,鼎际得,23.58,25.07,27.42
2025-04-29,21.57,23.96,21.35,23.96,38398.42,鼎际得,23.51,24.66,27.06
2025-04-30,24.5,24.58,23.72,24.16,54053.0,鼎际得,23.41,24.36,26.71
2025-05-06,24.26,25.4,24.0,25.18,38588.85,鼎际得,23.69,24.22,26.42
2025-05-07,25.26,25.52,24.38,24.67,33047.88,鼎际得,23.95,24.11,26.1
2025-05-08,24.65,25.06,24.38,24.77,20670.0,鼎际得,24.55,24.06,25.9
2025-05-09,24.78,25.0,24.4,24.65,15903.0,鼎际得,24.69,24.1,25.66
2025-05-12,24.97,25.1,24.44,25.06,16774.0,鼎际得,24.87,24.14,25.46
2025-05-13,25.18,25.87,24.9,25.58,26249.0,鼎际得,24.95,24.32,25.28
2025-05-14,25.46,26.0,25.02,25.71,24244.0,鼎际得,25.15,24.55,25.15
2025-05-15,25.71,26.04,25.38,25.58,19746.0,鼎际得,25.32,24.93,25.0
2025-05-16,25.22,25.64,25.22,25.31,10215.0,鼎际得,25.45,25.07,24.86
2025-05-19,25.45,26.3,25.16,25.52,16598.0,鼎际得,25.54,25.2,24.78
2025-05-20,25.4,25.52,25.03,25.4,19445.33,鼎际得,25.5,25.22,24.72
2025-05-21,25.29,25.68,25.1,25.52,15283.0,鼎际得,25.47,25.31,24.71
2025-05-22,25.5,26.68,25.35,26.38,48646.65,鼎际得,25.63,25.47,24.77
2025-05-23,26.48,26.55,25.04,25.07,33049.0,鼎际得,25.58,25.51,24.8
2025-05-26,25.0,25.4,24.79,25.06,18708.2,鼎际得,25.49,25.51,24.82
2025-05-27,25.06,25.11,24.8,25.09,9524.0,鼎际得,25.42,25.46,24.89
2025-05-28,25.1,25.15,24.41,24.65,18614.0,鼎际得,25.25,25.36,24.96
2025-05-29,24.65,25.06,24.64,24.95,14788.0,鼎际得,24.96,25.3,25.11
2025-05-30,25.0,25.0,24.61,24.72,7857.0,鼎际得,24.89,25.24,25.15
2025-06-03,24.72,25.3,24.72,25.19,16750.0,鼎际得,24.92,25.2,25.2
2025-06-04,25.18,25.69,25.02,25.55,13113.0,鼎际得,25.01,25.22,25.22
2025-06-05,25.55,26.34,25.36,26.06,23968.0,鼎际得,25.29,25.27,25.29
2025-06-06,26.07,26.17,25.8,25.99,9993.86,鼎际得,25.5,25.23,25.35
2025-06-09,25.98,26.2,25.58,26.06,14295.0,鼎际得,25.77,25.33,25.42
2025-06-10,26.19,26.2,25.54,25.87,10271.0,鼎际得,25.91,25.41,25.46
2025-06-11,25.75,26.87,25.75,26.25,24601.0,鼎际得,26.05,25.53,25.5
2025-06-12,26.25,26.25,25.68,26.0,13494.0,鼎际得,26.03,25.66,25.51
2025-06-13,25.95,25.95,25.42,25.43,9005.0,鼎际得,25.92,25.71,25.5
2025-06-16,25.55,26.33,25.5,26.03,19862.0,鼎际得,25.92,25.84,25.54
2025-06-17,26.38,26.38,25.57,26.04,17778.0,鼎际得,25.95,25.93,25.57
2025-06-18,26.0,28.64,25.9,28.64,43158.0,鼎际得,26.43,26.24,25.73
2025-06-19,28.91,29.9,28.01,28.04,65895.35,鼎际得,26.84,26.44,25.85
2025-06-20,28.5,28.5,27.18,27.23,39570.0,鼎际得,27.2,26.56,25.9
2025-06-23,27.11,29.26,26.92,28.33,50346.0,鼎际得,27.66,26.79,26.06
2025-06-24,28.05,29.95,27.66,29.78,58235.35,鼎际得,28.4,27.18,26.3
2025-06-25,29.6,31.66,29.6,31.24,60605.0,鼎际得,28.92,27.68,26.6
2025-06-26,30.55,31.48,30.0,30.0,34027.0,鼎际得,29.32,28.08,26.87
2025-06-27,30.25,30.32,29.74,30.01,19118.0,鼎际得,29.87,28.53,27.12
2025-06-30,30.55,30.9,29.8,30.85,24673.0,鼎际得,30.38,29.02,27.43
2025-07-01,30.6,32.05,30.42,31.0,26653.0,鼎际得,30.62,29.51,27.72
2025-07-02,30.61,30.69,29.78,30.15,19169.0,鼎际得,30.4,29.66,27.95
2025-07-03,30.15,30.49,29.81,30.4,10666.0,鼎际得,30.48,29.9,28.17
2025-07-04,30.33,30.48,29.66,29.96,12257.0,鼎际得,30.47,30.17,28.37
2025-07-07,29.5,29.88,28.95,29.37,15478.0,鼎际得,30.18,30.28,28.53
2025-07-08,29.37,30.08,29.28,30.05,9331.0,鼎际得,29.99,30.3,28.74
2025-07-09,29.81,31.14,29.81,30.12,17110.0,鼎际得,29.98,30.19,28.93
