date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,11.08,11.3,11.06,11.22,120776.66,苏盐井神,11.22,11.22,11.22
2025-03-25,11.18,11.47,11.16,11.42,129784.08,苏盐井神,11.32,11.32,11.32
2025-03-26,11.39,11.46,11.35,11.43,89502.37,苏盐井神,11.36,11.36,11.36
2025-03-27,11.41,11.58,11.36,11.38,124073.73,苏盐井神,11.36,11.36,11.36
2025-03-28,11.35,11.39,11.14,11.18,104064.25,苏盐井神,11.33,11.33,11.33
2025-03-31,11.18,11.21,10.94,10.97,81456.0,苏盐井神,11.28,11.27,11.27
2025-04-01,11.0,11.1,10.97,11.07,57040.9,苏盐井神,11.21,11.24,11.24
2025-04-02,11.1,11.15,11.03,11.08,49721.0,苏盐井神,11.14,11.22,11.22
2025-04-03,11.0,11.1,10.91,11.05,72965.0,苏盐井神,11.07,11.2,11.2
2025-04-07,10.78,10.79,9.95,9.95,185321.53,苏盐井神,10.82,11.08,11.08
2025-04-08,10.04,10.57,10.04,10.44,183123.81,苏盐井神,10.72,11.0,11.02
2025-04-09,10.36,10.36,10.03,10.32,150642.0,苏盐井神,10.57,10.89,10.96
2025-04-10,10.48,10.52,10.33,10.37,122793.0,苏盐井神,10.43,10.78,10.91
2025-04-11,10.35,10.43,10.24,10.35,92855.0,苏盐井神,10.29,10.68,10.87
2025-04-14,10.43,10.58,10.42,10.54,85383.0,苏盐井神,10.4,10.61,10.85
2025-04-15,10.51,10.71,10.48,10.7,71373.55,苏盐井神,10.46,10.59,10.84
2025-04-16,10.68,10.72,10.53,10.69,66578.0,苏盐井神,10.53,10.55,10.83
2025-04-17,10.64,10.8,10.63,10.72,56016.0,苏盐井神,10.6,10.51,10.83
2025-04-18,10.73,10.73,10.5,10.59,55930.0,苏盐井神,10.65,10.47,10.81
2025-04-21,10.6,10.62,10.53,10.58,41913.0,苏盐井神,10.66,10.53,10.8
2025-04-22,10.65,10.78,10.62,10.73,60695.33,苏盐井神,10.66,10.56,10.78
2025-04-23,10.76,10.82,10.72,10.78,44518.49,苏盐井神,10.68,10.6,10.75
2025-04-24,10.8,10.86,10.73,10.83,47890.0,苏盐井神,10.7,10.65,10.72
2025-04-25,10.85,10.98,10.8,10.97,51990.73,苏盐井神,10.78,10.71,10.7
2025-04-28,10.97,10.98,10.73,10.74,55123.0,苏盐井神,10.81,10.73,10.67
2025-04-29,9.91,10.01,9.73,9.76,329798.0,苏盐井神,10.62,10.64,10.61
2025-04-30,9.73,9.76,9.56,9.57,181492.79,苏盐井神,10.37,10.53,10.54
2025-05-06,9.62,9.68,9.57,9.67,87130.0,苏盐井神,10.14,10.42,10.47
2025-05-07,9.74,9.8,9.67,9.73,90581.0,苏盐井神,9.89,10.34,10.4
2025-05-08,9.75,9.79,9.69,9.76,80388.0,苏盐井神,9.7,10.25,10.39
2025-05-09,9.76,9.78,9.67,9.7,78381.41,苏盐井神,9.69,10.15,10.36
2025-05-12,9.71,9.73,9.57,9.69,89287.69,苏盐井神,9.71,10.04,10.32
2025-05-13,9.73,9.75,9.67,9.72,91876.0,苏盐井神,9.72,9.93,10.29
2025-05-14,9.73,9.76,9.65,9.75,76576.71,苏盐井神,9.72,9.81,10.26
2025-05-15,9.75,9.83,9.72,9.76,73608.34,苏盐井神,9.72,9.71,10.22
2025-05-16,9.74,9.77,9.71,9.73,40994.0,苏盐井神,9.73,9.71,10.17
2025-05-19,9.72,9.76,9.67,9.74,40900.57,苏盐井神,9.74,9.72,10.13
2025-05-20,9.74,9.82,9.74,9.79,59662.92,苏盐井神,9.75,9.74,10.08
2025-05-21,9.79,9.82,9.76,9.77,47420.63,苏盐井神,9.76,9.74,10.04
2025-05-22,9.76,9.78,9.7,9.73,54362.62,苏盐井神,9.75,9.74,10.0
2025-05-23,9.75,9.81,9.71,9.72,59725.0,苏盐井神,9.75,9.74,9.95
2025-05-26,9.74,9.75,9.65,9.72,44110.0,苏盐井神,9.75,9.74,9.89
2025-05-27,9.7,9.75,9.66,9.74,44391.38,苏盐井神,9.74,9.75,9.84
2025-05-28,9.75,9.76,9.71,9.72,31082.55,苏盐井神,9.73,9.74,9.78
2025-05-29,9.71,9.73,9.65,9.7,54710.0,苏盐井神,9.72,9.74,9.72
2025-05-30,9.69,9.82,9.66,9.7,58616.41,苏盐井神,9.72,9.73,9.72
2025-06-03,9.69,9.71,9.65,9.68,56723.33,苏盐井神,9.71,9.73,9.73
2025-06-04,9.67,9.7,9.65,9.69,45996.33,苏盐井神,9.7,9.72,9.73
2025-06-05,9.69,9.7,9.65,9.67,52849.0,苏盐井神,9.69,9.71,9.72
2025-06-06,9.67,9.73,9.66,9.7,47741.26,苏盐井神,9.69,9.7,9.72
2025-06-09,9.71,9.76,9.7,9.74,54895.19,苏盐井神,9.7,9.71,9.72
2025-06-10,9.77,9.79,9.65,9.72,71982.0,苏盐井神,9.7,9.71,9.72
2025-06-11,9.73,9.77,9.69,9.74,43302.0,苏盐井神,9.71,9.71,9.73
2025-06-12,9.75,9.76,9.68,9.71,47245.0,苏盐井神,9.72,9.7,9.72
2025-06-13,9.69,9.76,9.66,9.7,70710.52,苏盐井神,9.72,9.7,9.72
2025-06-16,9.68,9.7,9.62,9.66,48933.5,苏盐井神,9.71,9.7,9.72
2025-06-17,9.66,9.87,9.65,9.76,79393.86,苏盐井神,9.71,9.71,9.72
2025-06-18,9.76,9.9,9.68,9.72,62874.68,苏盐井神,9.71,9.71,9.71
2025-06-19,9.7,9.74,9.63,9.7,59481.0,苏盐井神,9.71,9.72,9.71
2025-06-20,9.7,9.75,9.68,9.72,45924.45,苏盐井神,9.71,9.72,9.71
2025-06-23,9.71,9.82,9.67,9.82,92127.3,苏盐井神,9.74,9.72,9.72
2025-06-24,9.33,9.39,9.15,9.38,102845.86,苏盐井神,9.67,9.69,9.7
2025-06-25,9.38,9.58,9.38,9.48,92351.12,苏盐井神,9.62,9.67,9.69
2025-06-26,9.51,9.63,9.51,9.55,69435.0,苏盐井神,9.59,9.65,9.68
2025-06-27,9.56,9.61,9.47,9.5,51159.89,苏盐井神,9.55,9.63,9.67
2025-06-30,9.51,9.51,9.44,9.47,51340.23,苏盐井神,9.48,9.61,9.66
2025-07-01,9.47,9.48,9.39,9.44,46022.0,苏盐井神,9.49,9.58,9.64
2025-07-02,9.41,9.56,9.41,9.56,56441.69,苏盐井神,9.5,9.56,9.64
2025-07-03,9.55,9.6,9.54,9.56,47539.98,苏盐井神,9.51,9.55,9.63
2025-07-04,9.57,9.57,9.49,9.52,49018.78,苏盐井神,9.51,9.53,9.62
2025-07-07,9.5,9.54,9.48,9.53,29816.0,苏盐井神,9.52,9.5,9.61
2025-07-08,9.53,9.61,9.51,9.6,51732.99,苏盐井神,9.55,9.52,9.61
2025-07-09,9.6,9.65,9.55,9.58,33191.33,苏盐井神,9.56,9.53,9.6
2025-07-10,9.55,9.64,9.55,9.64,39732.0,苏盐井神,9.57,9.54,9.59
2025-07-11,9.65,9.73,9.61,9.72,60034.56,苏盐井神,9.61,9.56,9.6
2025-07-14,9.72,9.82,9.71,9.78,52577.24,苏盐井神,9.66,9.59,9.6
2025-07-15,9.78,9.82,9.66,9.69,47891.0,苏盐井神,9.68,9.62,9.6
2025-07-16,9.69,9.7,9.61,9.66,37944.0,苏盐井神,9.7,9.63,9.6
2025-07-17,9.65,9.68,9.62,9.65,30716.1,苏盐井神,9.7,9.64,9.59
2025-07-18,9.66,9.76,9.64,9.76,40454.0,苏盐井神,9.71,9.66,9.59
2025-07-21,9.79,9.99,9.79,9.95,77653.99,苏盐井神,9.74,9.7,9.6
2025-07-22,9.98,10.23,9.88,10.19,94595.91,苏盐井神,9.84,9.76,9.64
