date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.51,7.54,7.17,7.31,73845.0,我乐家居,7.31,7.31,7.31
2025-03-25,7.33,7.34,7.01,7.18,87358.0,我乐家居,7.24,7.24,7.24
2025-03-26,7.14,7.49,7.12,7.34,100836.8,我乐家居,7.28,7.28,7.28
2025-03-27,7.33,7.36,7.12,7.15,77209.85,我乐家居,7.24,7.24,7.24
2025-03-28,7.17,7.17,7.0,7.13,90267.6,我乐家居,7.22,7.22,7.22
2025-03-31,7.13,7.29,7.03,7.12,92903.0,我乐家居,7.18,7.2,7.2
2025-04-01,7.16,7.3,7.13,7.18,50592.0,我乐家居,7.18,7.2,7.2
2025-04-02,7.19,7.9,7.18,7.9,165455.73,我乐家居,7.3,7.29,7.29
2025-04-03,7.9,8.24,7.87,8.03,295598.83,我乐家居,7.47,7.37,7.37
2025-04-07,7.6,7.82,7.23,7.23,183494.69,我乐家居,7.49,7.36,7.36
2025-04-08,7.32,7.88,6.87,7.62,215685.5,我乐家居,7.59,7.39,7.38
2025-04-09,7.6,7.6,6.86,7.43,186312.2,我乐家居,7.64,7.41,7.39
2025-04-10,7.48,8.17,7.45,8.17,197698.14,我乐家居,7.7,7.5,7.45
2025-04-11,8.3,8.4,8.02,8.15,243528.0,我乐家居,7.72,7.6,7.5
2025-04-14,8.23,8.55,8.23,8.26,172923.54,我乐家居,7.93,7.71,7.55
2025-04-15,8.3,8.4,8.18,8.34,97063.4,我乐家居,8.07,7.83,7.6
2025-04-16,8.33,8.35,8.03,8.15,80940.0,我乐家居,8.21,7.93,7.63
2025-04-17,7.97,8.77,7.97,8.65,186315.2,我乐家居,8.31,8.0,7.69
2025-04-18,8.53,8.91,8.45,8.65,119255.0,我乐家居,8.41,8.06,7.74
2025-04-21,8.6,8.86,8.31,8.71,137908.0,我乐家居,8.5,8.21,7.78
2025-04-22,8.63,8.93,8.6,8.81,111228.0,我乐家居,8.59,8.33,7.86
2025-04-23,8.77,8.87,8.65,8.71,86461.0,我乐家居,8.71,8.46,7.94
2025-04-24,8.63,8.7,8.5,8.7,62689.0,我乐家居,8.72,8.51,8.0
2025-04-25,8.73,9.57,8.65,9.57,179663.99,我乐家居,8.9,8.66,8.13
2025-04-28,9.5,9.5,8.82,8.9,158586.9,我乐家居,8.94,8.72,8.21
2025-04-29,9.1,9.21,8.61,9.09,157216.94,我乐家居,8.99,8.79,8.31
2025-04-30,9.0,9.18,8.92,8.97,82607.25,我乐家居,9.05,8.88,8.4
2025-05-06,8.99,8.99,8.48,8.91,116893.24,我乐家居,9.09,8.9,8.45
2025-05-07,8.95,9.14,8.73,8.94,100567.04,我乐家居,8.96,8.93,8.5
2025-05-08,8.88,9.03,8.79,8.98,72183.0,我乐家居,8.98,8.96,8.59
2025-05-09,9.02,9.16,8.73,8.78,83220.48,我乐家居,8.92,8.96,8.64
2025-05-12,8.64,8.79,8.46,8.52,122801.96,我乐家居,8.83,8.94,8.7
2025-05-13,8.52,9.05,8.52,8.73,117098.96,我乐家居,8.79,8.94,8.73
2025-05-14,8.62,8.88,8.6,8.79,90984.0,我乐家居,8.76,8.86,8.76
2025-05-15,8.83,8.98,8.67,8.73,67109.0,我乐家居,8.71,8.84,8.78
2025-05-16,8.75,8.93,8.62,8.76,67197.5,我乐家居,8.71,8.81,8.8
2025-05-19,8.86,9.64,8.81,9.64,177927.48,我乐家居,8.93,8.88,8.88
2025-05-20,9.7,9.79,9.33,9.66,196179.96,我乐家居,9.12,8.95,8.93
2025-05-21,9.61,9.64,9.23,9.28,108474.0,我乐家居,9.21,8.99,8.96
2025-05-22,9.21,9.34,9.09,9.11,66584.5,我乐家居,9.29,9.0,8.98
2025-05-23,9.13,9.16,8.9,8.95,68071.4,我乐家居,9.33,9.02,8.99
2025-05-26,8.91,9.35,8.87,9.25,81452.0,我乐家居,9.25,9.09,9.01
2025-05-27,9.19,9.43,9.18,9.22,55414.52,我乐家居,9.16,9.14,9.04
2025-05-28,9.22,9.3,9.05,9.12,45670.0,我乐家居,9.13,9.17,9.02
2025-05-29,9.14,9.27,9.02,9.22,41675.0,我乐家居,9.15,9.22,9.03
2025-05-30,9.23,9.57,9.11,9.37,92524.7,我乐家居,9.24,9.28,9.05
2025-06-03,9.3,9.63,9.15,9.18,116156.7,我乐家居,9.22,9.24,9.06
2025-06-04,8.27,8.88,8.26,8.27,317560.14,我乐家居,9.03,9.1,9.02
2025-06-05,8.19,8.24,7.93,8.22,180527.8,我乐家居,8.85,8.99,8.99
2025-06-06,8.22,8.58,8.18,8.46,177444.34,我乐家居,8.7,8.93,8.96
2025-06-09,8.38,8.62,8.38,8.53,121545.98,我乐家居,8.53,8.88,8.95
2025-06-10,8.54,8.75,8.32,8.43,81554.5,我乐家居,8.38,8.8,8.95
2025-06-11,8.37,8.74,8.37,8.67,110276.93,我乐家居,8.46,8.75,8.94
2025-06-12,8.6,8.76,8.24,8.32,126583.0,我乐家居,8.48,8.67,8.92
2025-06-13,8.28,8.31,7.97,8.18,113016.0,我乐家居,8.43,8.56,8.89
2025-06-16,8.1,8.27,8.1,8.12,61408.52,我乐家居,8.34,8.44,8.86
2025-06-17,8.17,8.22,8.08,8.17,40209.6,我乐家居,8.29,8.34,8.79
2025-06-18,8.09,8.16,7.95,8.12,66292.92,我乐家居,8.18,8.32,8.71
2025-06-19,8.17,8.18,8.0,8.0,44953.92,我乐家居,8.12,8.3,8.65
