date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,27.78,27.98,26.45,27.03,34800.09,金辰股份,27.03,27.03,27.03
2025-03-25,26.97,27.38,26.58,26.92,24053.0,金辰股份,26.98,26.98,26.98
2025-03-26,26.88,27.99,26.7,27.53,35363.84,金辰股份,27.16,27.16,27.16
2025-03-27,27.5,27.58,26.7,27.07,25603.0,金辰股份,27.14,27.14,27.14
2025-03-28,27.0,27.65,26.61,26.72,27003.0,金辰股份,27.05,27.05,27.05
2025-03-31,26.61,26.74,25.56,25.84,24764.0,金辰股份,26.82,26.85,26.85
2025-04-01,25.84,26.86,25.84,26.45,25453.0,金辰股份,26.72,26.79,26.79
2025-04-02,26.46,26.98,26.15,26.4,20928.0,金辰股份,26.5,26.74,26.74
2025-04-03,26.03,26.67,25.82,26.14,17001.87,金辰股份,26.31,26.68,26.68
2025-04-07,24.26,25.04,23.53,23.53,24845.0,金辰股份,25.67,26.36,26.36
2025-04-08,23.08,23.77,22.25,22.79,34848.0,金辰股份,25.06,25.94,26.04
2025-04-09,22.45,22.96,21.08,22.96,31244.48,金辰股份,24.36,25.54,25.78
2025-04-10,23.3,23.74,23.3,23.37,26830.0,金辰股份,23.76,25.13,25.6
2025-04-11,23.22,23.66,23.02,23.43,17575.0,金辰股份,23.22,24.76,25.44
2025-04-14,23.75,24.14,23.61,23.88,15724.0,金辰股份,23.29,24.48,25.34
2025-04-15,24.01,24.08,23.6,23.79,10047.0,金辰股份,23.49,24.27,25.24
2025-04-16,23.8,23.84,22.8,23.11,16507.0,金辰股份,23.52,23.94,25.12
2025-04-17,23.15,23.5,22.87,23.25,12509.13,金辰股份,23.49,23.62,25.01
2025-04-18,23.19,23.34,22.85,23.06,10663.13,金辰股份,23.42,23.32,24.91
2025-04-21,23.0,23.25,22.86,23.2,8752.0,金辰股份,23.28,23.28,24.82
2025-04-22,23.18,23.4,23.01,23.31,12123.0,金辰股份,23.19,23.34,24.64
2025-04-23,23.45,23.61,23.22,23.38,11267.5,金辰股份,23.24,23.38,24.46
2025-04-24,23.25,23.55,22.93,22.97,13320.0,金辰股份,23.18,23.34,24.23
2025-04-25,23.0,23.22,22.8,22.93,10975.81,金辰股份,23.16,23.29,24.03
2025-04-28,23.06,23.13,22.68,22.89,10989.0,金辰股份,23.1,23.19,23.83
2025-04-29,22.85,23.2,22.77,23.1,11279.0,金辰股份,23.05,23.12,23.7
2025-04-30,23.22,23.68,23.22,23.58,15771.41,金辰股份,23.09,23.17,23.55
2025-05-06,23.61,24.15,23.61,24.15,15907.0,金辰股份,23.33,23.26,23.44
2025-05-07,24.37,24.5,23.95,24.13,18540.0,金辰股份,23.57,23.36,23.34
2025-05-08,23.95,25.0,23.94,24.9,28474.0,金辰股份,23.97,23.53,23.41
2025-05-09,24.8,24.9,24.47,24.69,16475.0,金辰股份,24.29,23.67,23.5
2025-05-12,24.88,25.0,24.71,24.97,14057.0,金辰股份,24.57,23.83,23.6
2025-05-13,25.2,25.91,25.03,25.24,39930.86,金辰股份,24.79,24.06,23.7
2025-05-14,25.11,25.18,24.78,24.95,21121.0,金辰股份,24.95,24.26,23.77
2025-05-15,24.98,25.1,24.6,24.6,14293.42,金辰股份,24.89,24.43,23.81
2025-05-16,24.6,25.04,24.57,24.78,11046.96,金辰股份,24.91,24.6,23.86
2025-05-19,24.79,24.86,24.46,24.72,9529.0,金辰股份,24.86,24.71,23.94
2025-05-20,24.7,24.94,24.56,24.83,12463.0,金辰股份,24.78,24.78,24.02
2025-05-21,24.86,25.27,24.7,24.76,18733.8,金辰股份,24.74,24.84,24.1
2025-05-22,24.76,24.95,24.22,24.25,14927.96,金辰股份,24.67,24.78,24.16
2025-05-23,24.32,24.57,23.97,24.0,16562.4,金辰股份,24.51,24.71,24.19
2025-05-26,23.99,24.74,23.94,24.39,20126.4,金辰股份,24.45,24.65,24.24
2025-05-27,24.3,24.39,23.98,24.25,15733.0,金辰股份,24.33,24.55,24.31
