date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,33.19,33.31,31.58,32.65,89152.16,亿嘉和,32.65,32.65,32.65
2025-03-25,32.56,33.24,31.95,32.12,48247.12,亿嘉和,32.38,32.38,32.38
2025-03-26,33.19,34.62,32.45,32.63,89192.0,亿嘉和,32.47,32.47,32.47
2025-03-27,31.89,33.1,31.72,32.2,67668.6,亿嘉和,32.4,32.4,32.4
2025-03-28,31.88,34.98,31.88,33.05,150983.0,亿嘉和,32.53,32.53,32.53
2025-03-31,32.0,33.28,31.4,32.18,109103.96,亿嘉和,32.44,32.47,32.47
2025-04-01,32.7,34.07,32.7,33.33,112888.62,亿嘉和,32.68,32.59,32.59
2025-04-02,33.1,34.98,33.1,34.77,107983.0,亿嘉和,33.11,32.87,32.87
2025-04-03,33.99,35.91,33.96,35.01,119792.0,亿嘉和,33.67,33.1,33.1
2025-04-07,31.83,32.88,31.51,31.51,47130.0,亿嘉和,33.36,32.94,32.94
2025-04-08,29.5,31.5,28.36,29.15,130863.8,亿嘉和,32.75,32.6,32.6
2025-04-09,28.3,32.07,27.14,32.07,165540.26,亿嘉和,32.5,32.59,32.56
2025-04-10,32.64,35.28,32.64,35.28,187190.24,亿嘉和,32.6,32.86,32.77
2025-04-11,34.8,36.15,34.44,34.55,164240.2,亿嘉和,32.51,33.09,32.89
2025-04-14,34.91,36.1,34.34,34.92,114122.96,亿嘉和,33.19,33.28,33.03
2025-04-15,35.0,35.51,34.11,34.4,87563.8,亿嘉和,34.24,33.5,33.11
2025-04-16,33.9,34.39,32.35,32.53,95388.4,亿嘉和,34.34,33.42,33.08
2025-04-17,32.31,33.15,32.2,32.28,60943.8,亿嘉和,33.74,33.17,33.03
2025-04-18,32.16,32.59,31.6,31.89,47778.49,亿嘉和,33.2,32.86,32.97
2025-04-21,31.65,32.48,31.0,32.29,68955.0,亿嘉和,32.68,32.94,32.94
2025-04-22,32.34,32.34,30.71,30.83,81265.0,亿嘉和,31.96,33.1,32.85
2025-04-23,31.1,32.88,31.1,32.51,100460.0,亿嘉和,31.96,33.15,32.87
2025-04-24,32.38,33.24,31.71,31.85,66689.86,亿嘉和,31.87,32.8,32.83
2025-04-25,32.0,34.5,31.3,33.83,125590.83,亿嘉和,32.26,32.73,32.91
2025-04-28,33.0,33.9,32.48,33.5,85889.96,亿嘉和,32.5,32.59,32.93
2025-04-29,33.25,35.23,32.92,34.56,110167.65,亿嘉和,33.25,32.61,33.05
2025-04-30,34.88,37.15,34.55,36.89,140516.48,亿嘉和,34.13,33.04,33.23
2025-05-06,36.6,37.5,35.8,37.09,151353.52,亿嘉和,35.17,33.52,33.35
2025-05-07,37.26,37.49,35.8,36.15,106313.2,亿嘉和,35.64,33.95,33.4
2025-05-08,36.3,37.15,36.01,36.51,80477.03,亿嘉和,36.24,34.37,33.65
2025-05-09,36.51,36.85,35.07,36.22,87069.0,亿嘉和,36.57,34.91,34.01
2025-05-12,36.65,38.69,36.62,37.79,161165.56,亿嘉和,36.75,35.44,34.29
2025-05-13,38.48,38.48,36.7,36.75,88710.0,亿嘉和,36.68,35.93,34.37
2025-05-14,36.76,37.29,36.27,36.35,69664.08,亿嘉和,36.72,36.18,34.46
2025-05-15,36.08,37.5,35.69,36.94,91579.2,亿嘉和,36.81,36.52,34.56
2025-05-16,36.51,37.9,36.12,37.66,112188.0,亿嘉和,37.1,36.84,34.72
2025-05-19,37.56,37.59,35.9,36.18,87184.44,亿嘉和,36.78,36.76,34.9
2025-05-20,36.0,36.03,34.9,35.43,57490.35,亿嘉和,36.51,36.6,35.06
2025-05-21,34.71,35.0,33.16,33.98,95253.0,亿嘉和,36.04,36.38,35.17
2025-05-22,33.42,34.3,33.42,33.82,41122.0,亿嘉和,35.41,36.11,35.24
2025-05-23,33.81,34.2,33.0,33.35,54505.81,亿嘉和,34.55,35.83,35.37
2025-05-26,33.09,33.46,32.6,33.44,40167.0,亿嘉和,34.0,35.39,35.41
2025-05-27,33.45,33.65,32.93,33.11,32050.0,亿嘉和,33.54,35.03,35.48
2025-05-28,33.17,33.99,32.8,33.5,45082.19,亿嘉和,33.44,34.74,35.46
2025-05-29,33.55,33.73,33.0,33.72,52534.0,亿嘉和,33.42,34.42,35.47
2025-05-30,33.8,34.56,33.21,33.72,51527.25,亿嘉和,33.5,34.02,35.43
2025-06-03,33.68,34.12,33.13,33.46,33294.4,亿嘉和,33.5,33.75,35.26
2025-06-04,33.98,36.46,33.65,35.35,97833.91,亿嘉和,33.95,33.75,35.17
2025-06-05,35.26,36.88,35.05,36.52,119364.8,亿嘉和,34.55,34.0,35.19
2025-06-06,36.35,37.63,35.33,36.07,105763.8,亿嘉和,35.02,34.22,35.17
2025-06-09,37.0,38.0,36.1,37.2,138201.96,亿嘉和,35.72,34.61,35.22
2025-06-10,36.6,37.5,35.62,36.3,112617.4,亿嘉和,36.29,34.89,35.14
2025-06-11,35.94,37.58,35.59,36.83,98403.98,亿嘉和,36.58,35.27,35.15
2025-06-12,36.7,37.97,36.43,37.72,106041.38,亿嘉和,36.82,35.69,35.21
2025-06-13,37.35,38.0,36.3,36.44,98418.2,亿嘉和,36.9,35.96,35.19
2025-06-16,36.3,37.16,35.55,35.8,94452.14,亿嘉和,36.62,36.17,35.1
2025-06-17,35.4,35.71,34.1,34.57,85965.07,亿嘉和,36.27,36.28,35.02
2025-06-18,34.54,35.5,34.25,35.23,55398.66,亿嘉和,35.95,36.27,35.01
2025-06-19,35.25,36.07,34.68,34.85,63828.21,亿嘉和,35.38,36.1,35.05
2025-06-20,35.06,35.06,33.25,33.47,64069.6,亿嘉和,34.78,35.84,35.03
2025-06-23,32.91,33.39,32.6,33.23,56931.66,亿嘉和,34.27,35.44,35.03
2025-06-24,33.35,34.74,33.35,34.38,58016.4,亿嘉和,34.23,35.25,35.07
2025-06-25,34.4,34.94,34.2,34.93,49878.2,亿嘉和,34.17,35.06,35.16
2025-06-26,34.93,35.3,34.3,34.31,49051.89,亿嘉和,34.06,34.72,35.2
2025-06-27,34.4,34.66,33.85,34.0,39253.32,亿嘉和,34.17,34.48,35.22
2025-06-30,34.0,34.41,33.83,34.24,32631.59,亿嘉和,34.37,34.32,35.24
2025-07-01,34.3,34.3,33.62,33.87,32976.0,亿嘉和,34.27,34.25,35.27
2025-07-02,33.7,33.84,33.3,33.43,30078.0,亿嘉和,33.97,34.07,35.17
2025-07-03,33.39,33.79,33.3,33.51,23893.0,亿嘉和,33.81,33.94,35.02
2025-07-04,33.51,33.63,33.04,33.21,26899.0,亿嘉和,33.65,33.91,34.88
2025-07-07,33.01,33.21,32.25,32.6,47377.81,亿嘉和,33.32,33.85,34.65
2025-07-08,32.6,33.09,32.46,33.08,37561.64,亿嘉和,33.17,33.72,34.48
2025-07-09,33.53,33.86,32.89,32.99,46083.0,亿嘉和,33.08,33.52,34.29
2025-07-10,32.6,33.59,32.6,33.12,29760.84,亿嘉和,33.0,33.4,34.06
2025-07-11,33.01,33.41,32.8,33.16,42340.52,亿嘉和,32.99,33.32,33.9
2025-07-14,33.15,33.59,33.01,33.48,45726.0,亿嘉和,33.17,33.24,33.78
2025-07-15,33.48,33.5,32.55,32.82,50545.59,亿嘉和,33.11,33.14,33.7
2025-07-16,32.93,34.45,32.8,34.2,94982.91,亿嘉和,33.36,33.22,33.64
2025-07-17,34.14,34.32,33.91,34.09,50855.0,亿嘉和,33.55,33.28,33.61
2025-07-18,34.38,34.38,33.65,33.72,40692.8,亿嘉和,33.66,33.33,33.62
2025-07-21,33.86,34.24,33.5,33.68,55829.6,亿嘉和,33.7,33.43,33.64
2025-07-22,33.66,33.66,32.93,33.06,50381.27,亿嘉和,33.75,33.43,33.58
2025-07-23,33.0,33.16,32.55,32.95,41882.0,亿嘉和,33.5,33.43,33.48
2025-07-24,32.99,33.45,32.85,33.05,47885.89,亿嘉和,33.29,33.42,33.41
2025-07-25,33.06,33.18,32.75,33.15,35277.23,亿嘉和,33.18,33.42,33.37
2025-07-28,33.46,33.63,33.08,33.15,48888.94,亿嘉和,33.07,33.39,33.32
2025-07-29,33.2,33.5,32.85,32.97,39233.19,亿嘉和,33.05,33.4,33.27
2025-07-30,33.0,33.1,32.37,32.48,45062.57,亿嘉和,32.96,33.23,33.22
2025-07-31,32.25,32.63,32.24,32.28,33114.79,亿嘉和,32.81,33.05,33.16
2025-08-01,32.39,32.39,31.36,31.6,46403.96,亿嘉和,32.5,32.84,33.08
2025-08-04,31.36,32.38,31.26,32.38,46528.0,亿嘉和,32.34,32.71,33.07
2025-08-05,32.49,33.7,32.49,33.04,72043.84,亿嘉和,32.36,32.7,33.07
