date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,14.05,14.16,13.81,14.04,53766.33,香飘飘,14.04,14.04,14.04
2025-03-25,14.0,14.23,13.86,14.15,51347.16,香飘飘,14.1,14.1,14.1
2025-03-26,14.06,14.16,13.96,14.12,33482.0,香飘飘,14.1,14.1,14.1
2025-03-27,14.05,14.8,14.03,14.41,85783.26,香飘飘,14.18,14.18,14.18
2025-03-28,14.28,14.33,13.99,14.01,60028.0,香飘飘,14.15,14.15,14.15
2025-03-31,13.98,14.04,13.53,13.61,49158.94,香飘飘,14.06,14.06,14.06
2025-04-01,13.59,13.86,13.59,13.73,33146.16,香飘飘,13.98,14.01,14.01
2025-04-02,13.67,13.95,13.67,13.8,29126.0,香飘飘,13.91,13.98,13.98
2025-04-03,13.67,13.95,13.62,13.89,35078.0,香飘飘,13.81,13.97,13.97
2025-04-07,13.25,13.5,12.5,12.5,65232.0,香飘飘,13.51,13.83,13.83
2025-04-08,12.52,13.3,12.52,13.3,80375.49,香飘飘,13.44,13.75,13.78
2025-04-09,13.06,13.82,12.57,13.69,83600.0,香飘飘,13.44,13.71,13.77
2025-04-10,13.65,14.13,13.53,13.98,80673.15,香飘飘,13.47,13.69,13.79
2025-04-11,13.93,13.98,13.7,13.79,49529.0,香飘飘,13.45,13.63,13.79
2025-04-14,13.9,14.14,13.81,13.99,48312.0,香飘飘,13.75,13.63,13.8
2025-04-15,14.0,14.31,13.96,14.21,76281.0,香飘飘,13.93,13.69,13.83
2025-04-16,14.02,14.29,13.83,14.23,59236.0,香飘飘,14.04,13.74,13.85
2025-04-17,14.07,14.7,14.0,14.54,108870.22,香飘飘,14.15,13.81,13.89
2025-04-18,14.44,14.73,14.18,14.27,72963.5,香飘飘,14.25,13.85,13.91
2025-04-21,14.22,14.43,14.01,14.17,61074.0,香飘飘,14.28,14.02,13.92
2025-04-22,14.06,14.3,14.04,14.11,45080.0,香飘飘,14.26,14.1,13.92
2025-04-23,14.08,14.2,13.88,14.04,63699.0,香飘飘,14.23,14.13,13.92
2025-04-24,14.01,14.45,13.9,14.02,55892.0,香飘飘,14.12,14.14,13.91
2025-04-25,13.9,14.28,13.9,14.02,39001.0,香飘飘,14.07,14.16,13.9
2025-04-28,13.71,13.73,12.68,12.78,128461.72,香飘飘,13.79,14.04,13.83
2025-04-29,12.79,13.0,12.65,12.86,48404.0,香飘飘,13.54,13.9,13.8
2025-04-30,12.93,13.06,12.71,12.81,43269.0,香飘飘,13.3,13.76,13.75
2025-05-06,12.83,13.03,12.83,13.01,47885.6,香飘飘,13.1,13.61,13.71
2025-05-07,13.16,13.32,12.97,13.06,47171.41,香飘飘,12.9,13.49,13.67
2025-05-08,13.06,13.23,12.96,13.21,44670.22,香飘飘,12.99,13.39,13.7
2025-05-09,13.18,13.26,13.01,13.09,31499.0,香飘飘,13.04,13.29,13.69
2025-05-12,13.11,13.16,13.02,13.12,32303.5,香飘飘,13.1,13.2,13.67
2025-05-13,13.25,13.28,13.07,13.11,33079.0,香飘飘,13.12,13.11,13.62
2025-05-14,13.11,13.17,13.0,13.11,30555.0,香飘飘,13.13,13.02,13.59
2025-05-15,13.11,13.21,13.03,13.13,36943.0,香飘飘,13.11,13.05,13.54
2025-05-16,13.14,13.14,12.97,13.1,28307.0,香飘飘,13.11,13.08,13.49
2025-05-19,13.1,13.38,13.03,13.37,45479.0,香飘飘,13.16,13.13,13.45
2025-05-20,13.39,13.74,13.33,13.57,55028.0,香飘飘,13.26,13.19,13.4
2025-05-21,13.56,13.8,13.4,13.47,37448.0,香飘飘,13.33,13.23,13.36
2025-05-22,13.41,13.58,13.1,13.12,49059.0,香飘飘,13.33,13.22,13.31
2025-05-23,13.1,13.4,12.95,12.96,51141.0,香飘飘,13.3,13.21,13.25
2025-05-26,12.9,13.38,12.88,13.17,47665.0,香飘飘,13.26,13.21,13.2
2025-05-27,13.25,13.93,13.24,13.63,118716.0,香飘飘,13.27,13.26,13.18
2025-05-28,13.64,14.5,13.44,14.06,140154.47,香飘飘,13.39,13.36,13.19
2025-05-29,13.85,13.95,13.59,13.83,95918.47,香飘飘,13.53,13.43,13.24
2025-05-30,13.83,13.83,13.41,13.43,48962.0,香飘飘,13.62,13.46,13.27
2025-06-03,13.38,13.75,13.33,13.65,56350.15,香飘飘,13.72,13.49,13.31
2025-06-04,13.63,15.02,13.5,15.02,139192.33,香飘飘,14.0,13.63,13.41
2025-06-05,15.8,15.96,14.74,14.83,305559.14,香飘飘,14.15,13.77,13.5
2025-06-06,14.75,14.81,14.22,14.4,142067.64,香飘飘,14.27,13.9,13.56
2025-06-09,14.2,14.43,14.2,14.35,93014.14,香飘飘,14.45,14.04,13.62
2025-06-10,14.28,14.45,14.03,14.22,84695.25,香飘飘,14.56,14.14,13.68
2025-06-11,14.22,14.35,14.18,14.27,60737.33,香飘飘,14.41,14.21,13.73
2025-06-12,14.23,14.25,14.0,14.11,63886.11,香飘飘,14.27,14.21,13.78
