date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,14.54,14.58,14.22,14.42,187217.69,福斯特,14.42,14.42,14.42
2025-03-25,14.4,14.69,14.37,14.49,129208.33,福斯特,14.46,14.46,14.46
2025-03-26,14.48,14.9,14.48,14.7,225016.81,福斯特,14.54,14.54,14.54
2025-03-27,14.61,14.65,14.37,14.43,154667.52,福斯特,14.51,14.51,14.51
2025-03-28,14.41,14.61,14.25,14.29,138712.16,福斯特,14.47,14.47,14.47
2025-03-31,14.21,14.24,13.95,14.07,139114.72,福斯特,14.4,14.4,14.4
2025-04-01,14.07,14.22,13.8,13.86,252025.0,福斯特,14.27,14.32,14.32
2025-04-02,13.86,13.96,13.7,13.74,171578.77,福斯特,14.08,14.25,14.25
2025-04-03,13.65,13.84,13.58,13.79,116803.7,福斯特,13.95,14.2,14.2
2025-04-07,13.0,13.15,12.41,12.41,306392.86,福斯特,13.57,14.02,14.02
2025-04-08,12.52,12.66,12.11,12.47,249392.17,福斯特,13.25,13.82,13.88
2025-04-09,12.23,12.56,11.9,12.53,263466.01,福斯特,12.99,13.63,13.77
2025-04-10,12.95,12.98,12.31,12.54,438830.54,福斯特,12.75,13.41,13.67
2025-04-11,12.42,12.5,12.32,12.4,272562.14,福斯特,12.47,13.21,13.58
2025-04-14,12.5,12.69,12.42,12.47,345421.73,福斯特,12.48,13.03,13.51
2025-04-15,12.48,12.48,12.17,12.28,209786.7,福斯特,12.44,12.85,13.43
2025-04-16,12.27,12.27,11.95,12.17,187563.99,福斯特,12.37,12.68,13.36
2025-04-17,12.05,12.14,12.0,12.11,141603.1,福斯特,12.29,12.52,13.29
2025-04-18,12.05,12.08,11.93,11.99,124813.71,福斯特,12.2,12.34,13.22
2025-04-21,12.0,12.07,11.9,12.03,131681.04,福斯特,12.12,12.3,13.16
2025-04-22,11.98,12.11,11.91,12.03,169411.97,福斯特,12.07,12.26,13.04
2025-04-23,12.03,12.3,12.03,12.22,225146.69,福斯特,12.08,12.22,12.93
2025-04-24,12.18,12.22,11.94,11.94,167269.67,福斯特,12.04,12.16,12.79
2025-04-25,11.98,12.07,11.74,12.06,171448.44,福斯特,12.06,12.13,12.67
2025-04-28,11.99,12.36,11.97,12.29,247034.94,福斯特,12.11,12.11,12.57
2025-04-29,12.25,12.4,12.19,12.19,142198.9,福斯特,12.14,12.1,12.48
2025-04-30,12.21,12.37,12.2,12.26,129788.48,福斯特,12.15,12.11,12.4
2025-05-06,12.3,12.52,12.28,12.5,175121.34,福斯特,12.26,12.15,12.33
2025-05-07,12.66,12.69,12.38,12.49,175622.65,福斯特,12.35,12.2,12.27
2025-05-08,12.43,12.62,12.39,12.57,147383.06,福斯特,12.4,12.26,12.28
2025-05-09,12.52,12.57,12.37,12.39,113111.74,福斯特,12.44,12.29,12.27
2025-05-12,12.47,12.67,12.47,12.67,162618.23,福斯特,12.52,12.34,12.28
2025-05-13,12.8,13.26,12.72,12.97,381538.98,福斯特,12.62,12.44,12.3
2025-05-14,12.88,12.98,12.78,12.88,167571.0,福斯特,12.7,12.52,12.33
2025-05-15,12.83,12.85,12.54,12.57,149300.15,福斯特,12.7,12.55,12.33
2025-05-16,12.57,12.68,12.54,12.64,93927.26,福斯特,12.75,12.59,12.35
2025-05-19,12.64,12.7,12.51,12.69,85697.35,福斯特,12.75,12.64,12.37
