date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,28.35,28.66,27.76,28.12,7182.49,拱东医疗,28.12,28.12,28.12
2025-03-25,27.98,28.49,27.98,28.28,6845.0,拱东医疗,28.2,28.2,28.2
2025-03-26,28.29,28.46,28.17,28.39,6101.6,拱东医疗,28.26,28.26,28.26
2025-03-27,28.22,28.68,28.01,28.56,8517.8,拱东医疗,28.34,28.34,28.34
2025-03-28,28.44,29.22,28.44,28.48,13121.4,拱东医疗,28.37,28.37,28.37
2025-03-31,28.48,28.54,27.67,27.67,10697.12,拱东医疗,28.28,28.25,28.25
2025-04-01,27.66,28.83,27.66,28.44,14426.92,拱东医疗,28.31,28.28,28.28
2025-04-02,28.65,28.72,28.25,28.48,6900.8,拱东医疗,28.33,28.3,28.3
2025-04-03,28.25,28.68,27.91,28.11,10988.5,拱东医疗,28.24,28.28,28.28
2025-04-07,27.39,27.39,25.3,25.3,14998.51,拱东医疗,27.6,27.98,27.98
2025-04-08,25.0,25.31,24.11,24.54,17441.51,拱东医疗,26.97,27.62,27.67
2025-04-09,24.2,24.8,22.89,24.69,14579.93,拱东医疗,26.22,27.27,27.42
2025-04-10,24.89,25.46,24.75,24.97,10436.67,拱东医疗,25.52,26.92,27.23
2025-04-11,24.97,25.29,24.58,25.04,10230.64,拱东医疗,24.91,26.57,27.08
2025-04-14,25.86,25.86,25.02,25.11,9068.43,拱东医疗,24.87,26.23,26.95
2025-04-15,25.05,25.22,24.9,25.08,7640.6,拱东医疗,24.98,25.98,26.83
2025-04-16,26.8,26.8,24.61,24.87,11771.92,拱东医疗,25.01,25.62,26.71
2025-04-17,24.64,24.87,24.45,24.51,10218.52,拱东医疗,24.92,25.22,26.59
2025-04-18,24.46,24.68,24.03,24.26,8070.19,拱东医疗,24.77,24.84,26.47
2025-04-21,24.39,24.94,24.1,24.65,10996.72,拱东医疗,24.67,24.77,26.38
2025-04-22,24.94,25.49,24.74,24.88,13865.28,拱东医疗,24.63,24.81,26.22
2025-04-23,25.49,25.49,24.92,25.24,9278.42,拱东医疗,24.71,24.86,26.06
2025-04-24,25.26,25.55,25.08,25.22,10014.4,拱东医疗,24.85,24.89,25.9
2025-04-25,25.4,25.45,24.97,25.2,11560.2,拱东医疗,25.04,24.9,25.74
2025-04-28,25.04,25.04,24.0,24.01,16503.0,拱东医疗,24.91,24.79,25.51
2025-04-29,23.84,23.94,23.5,23.58,13641.59,拱东医疗,24.65,24.64,25.31
2025-04-30,23.5,23.89,23.49,23.53,11123.52,拱东医疗,24.31,24.51,25.06
2025-05-06,23.62,24.26,23.54,24.18,18463.03,拱东医疗,24.1,24.48,24.85
2025-05-07,24.63,25.09,24.27,24.84,22832.6,拱东医疗,24.03,24.53,24.68
2025-05-08,24.61,27.0,24.61,26.55,49020.56,拱东医疗,24.54,24.72,24.75
2025-05-09,26.7,26.7,25.96,26.33,21420.81,拱东医疗,25.09,24.87,24.84
