date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,63.5,64.14,61.4,63.23,13192.42,福昕软件,63.23,63.23,63.23
2025-03-25,63.25,64.0,62.41,63.43,10783.0,福昕软件,63.33,63.33,63.33
2025-03-26,63.5,63.98,63.06,63.41,7714.09,福昕软件,63.36,63.36,63.36
2025-03-27,62.85,64.12,61.85,62.9,9385.15,福昕软件,63.24,63.24,63.24
2025-03-28,63.0,63.61,62.28,63.02,7281.86,福昕软件,63.2,63.2,63.2
2025-03-31,62.99,62.99,61.0,62.42,11661.23,福昕软件,63.04,63.07,63.07
2025-04-01,62.42,63.47,62.0,62.0,10711.16,福昕软件,62.75,62.92,62.92
2025-04-02,61.94,63.49,61.6,63.2,10693.17,福昕软件,62.71,62.95,62.95
2025-04-03,62.49,63.8,62.2,62.31,9639.82,福昕软件,62.59,62.88,62.88
2025-04-07,59.0,59.0,49.85,49.88,29154.75,福昕软件,59.96,61.58,61.58
2025-04-08,50.87,53.83,50.87,52.76,22621.1,福昕软件,58.03,60.53,60.78
2025-04-09,52.4,54.8,49.18,54.19,20919.94,福昕软件,56.47,59.61,60.23
2025-04-10,55.61,57.44,55.61,55.7,16092.81,福昕软件,54.97,58.84,59.88
2025-04-11,55.01,57.2,54.96,56.1,15060.85,福昕软件,53.73,58.16,59.61
2025-04-14,57.34,57.67,55.8,56.38,13719.86,福昕软件,55.03,57.49,59.4
2025-04-15,56.49,56.83,55.28,56.17,8660.58,福昕软件,55.71,56.87,59.19
2025-04-16,55.65,62.58,55.65,58.35,45953.1,福昕软件,56.54,56.5,59.14
2025-04-17,58.72,64.8,57.08,63.7,56124.54,福昕软件,58.14,56.55,59.4
2025-04-18,63.21,63.5,61.18,61.54,25908.86,福昕软件,59.23,56.48,59.51
2025-04-21,61.22,66.5,60.71,65.34,32530.5,福昕软件,61.02,58.02,59.8
2025-04-22,65.06,65.5,64.03,64.49,19365.1,福昕软件,62.68,59.2,59.86
2025-04-23,64.34,65.4,63.56,63.97,13914.48,福昕软件,63.81,60.17,59.89
2025-04-24,64.09,65.01,62.31,62.61,12307.09,福昕软件,63.59,60.86,59.85
2025-04-25,62.7,65.19,62.11,64.9,19253.16,福昕软件,64.26,61.74,59.95
2025-04-28,64.56,67.0,64.56,64.94,22591.23,福昕软件,64.18,62.6,60.05
2025-04-29,66.66,67.5,64.5,64.61,17772.96,福昕软件,64.21,63.45,60.16
2025-04-30,64.73,69.41,64.69,66.7,33898.49,福昕软件,64.75,64.28,60.39
2025-05-06,67.02,70.2,66.3,69.33,29286.03,福昕软件,66.1,64.84,60.7
2025-05-07,69.8,71.39,68.69,69.45,22750.37,福昕软件,67.01,65.63,61.06
2025-05-08,69.22,71.58,68.99,71.2,19911.78,福昕软件,68.26,66.22,62.12
2025-05-09,70.77,71.88,69.0,70.8,24607.78,福昕软件,69.5,66.85,63.02
2025-05-12,70.89,70.89,68.11,70.0,25307.13,福昕软件,70.16,67.45,63.81
2025-05-13,69.97,71.44,68.81,70.4,17292.83,福昕软件,70.37,68.23,64.55
2025-05-14,70.3,71.3,68.86,70.38,18505.67,福昕软件,70.56,68.78,65.26
2025-05-15,70.39,70.39,67.13,67.21,12507.72,福昕软件,69.76,69.01,65.8
2025-05-16,67.45,68.49,66.38,67.29,9398.18,福昕软件,69.06,69.28,66.36
2025-05-19,67.29,67.75,65.81,66.5,11070.72,福昕软件,68.36,69.26,66.77
2025-05-20,66.5,67.9,65.71,66.14,11864.29,福昕软件,67.5,68.94,66.89
2025-05-21,66.74,66.74,65.34,66.0,6567.4,福昕软件,66.63,68.59,67.11
2025-05-22,66.04,69.38,65.52,67.45,21444.77,福昕软件,66.68,68.22,67.22
2025-05-23,67.45,67.78,64.56,64.56,12246.71,福昕软件,66.13,67.59,67.22
2025-05-26,65.49,65.72,64.2,64.51,10293.67,福昕软件,65.73,67.04,67.25
2025-05-27,64.8,64.8,62.88,63.19,7366.98,福昕软件,65.14,66.32,67.28
2025-05-28,63.98,63.98,62.11,63.3,9977.4,福昕软件,64.6,65.61,67.2
2025-05-29,63.1,65.12,63.1,64.58,17113.03,福昕软件,64.03,65.35,67.18
2025-05-30,64.3,65.56,63.77,64.91,11680.45,福昕软件,64.1,65.11,67.2
2025-06-03,64.99,65.58,64.5,64.85,11120.06,福昕软件,64.17,64.95,67.1
2025-06-04,65.94,66.79,64.99,66.4,12056.96,福昕软件,64.81,64.97,66.96
2025-06-05,65.8,68.45,65.8,68.14,10757.17,福昕软件,65.78,65.19,66.89
2025-06-06,68.22,68.68,66.41,67.0,12247.33,福昕软件,66.26,65.14,66.68
2025-06-09,66.3,67.58,65.92,66.34,8583.78,福昕软件,66.55,65.32,66.46
2025-06-10,66.4,66.51,63.18,63.63,11184.22,福昕软件,66.3,65.23,66.14
2025-06-11,63.03,65.16,63.03,64.78,10020.2,福昕软件,65.98,65.39,65.86
2025-06-12,64.52,66.33,64.15,65.56,7980.24,福昕软件,65.46,65.62,65.62
2025-06-13,65.03,65.98,63.55,65.01,13674.45,福昕软件,65.06,65.66,65.51
2025-06-16,64.3,67.39,64.3,66.41,13053.87,福昕软件,65.08,65.81,65.46
2025-06-17,67.07,67.85,64.8,65.02,11234.61,福昕软件,65.36,65.83,65.39
2025-06-18,64.76,65.36,63.8,65.09,6165.36,福昕软件,65.42,65.7,65.34
2025-06-19,65.1,66.58,64.55,64.78,9252.29,福昕软件,65.26,65.36,65.28
2025-06-20,64.3,65.25,63.09,63.31,6391.7,福昕软件,64.92,64.99,65.07
2025-06-23,63.0,64.3,62.6,64.01,7451.2,福昕软件,64.44,64.76,65.04
2025-06-24,64.2,65.65,63.8,65.48,12289.46,福昕软件,64.53,64.95,65.09
2025-06-25,65.48,66.8,65.11,66.6,10484.92,福昕软件,64.84,65.13,65.26
2025-06-26,66.66,67.4,65.76,66.1,10717.95,福昕软件,65.1,65.18,65.4
2025-06-27,66.0,67.0,65.6,65.8,7836.54,福昕软件,65.6,65.26,65.46
2025-06-30,66.76,68.85,65.73,67.91,13267.86,福昕软件,66.38,65.41,65.61
2025-07-01,67.88,70.77,67.15,69.7,22548.93,福昕软件,67.22,65.88,65.85
2025-07-02,69.43,69.5,66.8,66.99,11458.74,福昕软件,67.3,66.07,65.88
2025-07-03,67.6,67.6,66.6,66.96,5717.77,福昕软件,67.47,66.29,65.82
2025-07-04,66.58,67.4,65.52,67.02,12072.32,福昕软件,67.72,66.66,65.82
2025-07-07,67.49,67.49,65.8,66.21,8594.11,福昕软件,67.38,66.88,65.82
2025-07-08,66.31,68.46,66.31,68.0,10175.55,福昕软件,67.04,67.13,66.04
2025-07-09,68.1,70.77,66.71,68.25,24681.39,福昕软件,67.29,67.29,66.21
2025-07-10,68.22,68.3,67.08,67.68,12993.1,福昕软件,67.43,67.45,66.32
2025-07-11,68.0,68.16,66.5,67.5,15155.16,福昕软件,67.53,67.62,66.44
2025-07-14,67.31,67.68,66.68,66.97,8692.81,福昕软件,67.68,67.53,66.47
2025-07-15,67.39,71.5,65.32,70.65,33224.84,福昕软件,68.21,67.62,66.75
2025-07-16,71.8,75.63,71.0,72.75,66279.8,福昕软件,69.11,68.2,67.13
2025-07-17,71.63,73.8,70.66,71.6,41360.81,福昕软件,69.89,68.66,67.47
2025-07-18,73.85,77.93,71.65,75.17,68193.72,福昕软件,71.43,69.48,68.07
2025-07-21,74.0,75.04,72.75,74.35,33437.18,福昕软件,72.9,70.29,68.58
2025-07-22,73.97,73.97,71.92,72.99,25990.11,福昕软件,73.37,70.79,68.96
2025-07-23,72.37,73.47,71.5,71.55,24853.12,福昕软件,73.13,71.12,69.21
2025-07-24,71.66,74.84,71.66,73.54,30953.54,福昕软件,73.52,71.71,69.58
2025-07-25,74.46,76.29,73.38,75.66,30422.53,福昕软件,73.62,72.52,70.07
2025-07-28,75.0,75.95,74.22,75.64,26184.03,福昕软件,73.88,73.39,70.46
