date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,30.67,33.22,30.32,32.36,88527.58,微导纳米,32.36,32.36,32.36
2025-03-25,32.13,33.33,31.32,31.55,48436.01,微导纳米,31.96,31.96,31.96
2025-03-26,31.6,33.38,31.35,32.96,73192.94,微导纳米,32.29,32.29,32.29
2025-03-27,32.5,33.48,32.21,32.53,51272.53,微导纳米,32.35,32.35,32.35
2025-03-28,32.55,33.16,31.47,32.08,56188.21,微导纳米,32.3,32.3,32.3
2025-03-31,31.9,32.01,30.6,31.08,37899.11,微导纳米,32.04,32.09,32.09
2025-04-01,31.42,32.46,30.41,30.46,44417.51,微导纳米,31.82,31.86,31.86
2025-04-02,30.5,31.06,30.22,30.44,26782.94,微导纳米,31.32,31.68,31.68
2025-04-03,30.0,31.18,29.55,29.83,34951.22,微导纳米,30.78,31.48,31.48
2025-04-07,28.01,28.89,24.81,25.66,57958.4,微导纳米,29.49,30.9,30.9
2025-04-08,26.29,27.36,26.17,26.66,48919.41,微导纳米,28.61,30.32,30.51
2025-04-09,26.51,28.99,25.12,28.53,56494.0,微导纳米,28.22,30.02,30.34
2025-04-10,29.02,29.84,28.5,28.78,43750.46,微导纳米,27.89,29.6,30.22
2025-04-11,28.56,30.26,28.46,29.44,44486.31,微导纳米,27.81,29.3,30.17
2025-04-14,29.97,30.2,29.52,29.7,36060.59,微导纳米,28.62,29.06,30.14
2025-04-15,29.8,29.9,29.05,29.45,21859.94,微导纳米,29.18,28.9,30.09
2025-04-16,29.2,29.63,28.63,29.13,20011.63,微导纳米,29.3,28.76,30.04
2025-04-17,28.81,29.77,28.81,29.15,17131.3,微导纳米,29.37,28.63,29.99
2025-04-18,29.15,29.42,28.42,28.76,15260.19,微导纳米,29.24,28.53,29.92
2025-04-21,28.75,29.04,28.45,28.89,10768.16,微导纳米,29.08,28.85,29.87
2025-04-22,28.8,29.8,28.5,29.24,23771.47,微导纳米,29.03,29.11,29.72
2025-04-23,29.65,29.66,28.7,29.04,20038.06,微导纳米,29.02,29.16,29.59
2025-04-24,29.08,29.1,28.46,28.6,14893.73,微导纳米,28.91,29.14,29.37
2025-04-25,28.67,29.0,28.11,28.68,17657.41,微导纳米,28.89,29.06,29.18
2025-04-28,28.28,28.5,27.7,28.02,20587.6,微导纳米,28.72,28.9,28.98
2025-04-29,30.0,31.56,29.48,31.32,85705.53,微导纳米,29.13,29.08,28.99
2025-04-30,31.02,31.56,30.7,31.36,43978.36,微导纳米,29.6,29.31,29.03
2025-05-06,31.38,31.79,31.09,31.77,47476.34,微导纳米,30.23,29.57,29.1
2025-05-07,31.9,32.19,30.73,31.1,44606.51,微导纳米,30.71,29.8,29.16
2025-05-08,31.1,31.5,30.83,31.0,29970.59,微导纳米,31.31,30.01,29.43
2025-05-09,30.99,31.0,29.66,29.91,43561.59,微导纳米,31.03,30.08,29.59
2025-05-12,30.13,30.83,30.02,30.5,35862.74,微导纳米,30.86,30.23,29.69
2025-05-13,30.88,31.31,30.2,30.25,35486.01,微导纳米,30.55,30.39,29.77
2025-05-14,30.21,30.55,29.82,30.26,24606.42,微导纳米,30.38,30.55,29.81
2025-05-15,30.08,30.47,29.19,29.19,25902.98,微导纳米,30.02,30.67,29.78
2025-05-16,29.02,29.9,29.02,29.33,22780.64,微导纳米,29.91,30.47,29.78
2025-05-19,29.03,30.15,29.03,30.05,24760.35,微导纳米,29.82,30.34,29.82
2025-05-20,30.01,30.44,29.77,29.96,18960.83,微导纳米,29.76,30.15,29.86
2025-05-21,30.0,30.2,29.19,30.0,27137.6,微导纳米,29.71,30.04,29.92
2025-05-22,29.9,30.87,29.69,29.74,28950.69,微导纳米,29.82,29.92,29.97
2025-05-23,29.71,30.48,29.53,29.95,30196.63,微导纳米,29.94,29.92,30.0
2025-05-26,29.8,30.86,29.4,29.6,30982.38,微导纳米,29.85,29.83,30.03
2025-05-27,29.66,29.66,28.78,28.8,22565.93,微导纳米,29.62,29.69,30.04
2025-05-28,28.9,29.16,28.4,28.59,13182.02,微导纳米,29.34,29.52,30.04
2025-05-29,28.61,29.2,28.57,29.18,17833.83,微导纳米,29.22,29.52,30.09
2025-05-30,29.04,29.04,28.46,28.58,15991.28,微导纳米,28.95,29.44,29.96
2025-06-03,28.45,28.99,28.43,28.76,15793.41,微导纳米,28.78,29.32,29.83
2025-06-04,28.7,29.13,28.66,28.8,15867.99,微导纳米,28.78,29.2,29.68
2025-06-05,28.8,29.3,28.45,29.22,19085.36,微导纳米,28.91,29.12,29.58
2025-06-06,29.15,29.25,28.83,29.03,14015.73,微导纳米,28.88,29.05,29.48
2025-06-09,29.17,29.4,28.9,29.33,17668.08,微导纳米,29.03,28.99,29.46
2025-06-10,29.36,29.36,28.38,28.42,21180.77,微导纳米,28.96,28.87,29.35
2025-06-11,28.55,29.01,28.4,28.42,16602.68,微导纳米,28.88,28.83,29.26
2025-06-12,28.45,28.5,27.98,28.15,18658.59,微导纳米,28.67,28.79,29.16
2025-06-13,28.1,29.15,27.9,28.23,25509.91,微导纳米,28.51,28.69,29.11
2025-06-16,28.15,28.48,27.92,28.14,16641.87,微导纳米,28.27,28.65,29.05
2025-06-17,28.42,28.42,27.8,27.88,16924.0,微导纳米,28.16,28.56,28.94
2025-06-18,27.79,28.26,27.72,28.24,17776.81,微导纳米,28.13,28.51,28.85
2025-06-19,28.19,28.56,27.75,27.82,21818.37,微导纳米,28.06,28.37,28.74
2025-06-20,27.87,28.39,27.83,27.99,18632.9,微导纳米,28.01,28.26,28.66
2025-06-23,27.84,28.8,27.7,28.48,25527.82,微导纳米,28.08,28.18,28.58
2025-06-24,28.65,29.49,28.49,29.38,35164.65,微导纳米,28.38,28.27,28.57
2025-06-25,29.4,29.68,28.95,29.62,31877.94,微导纳米,28.66,28.39,28.61
2025-06-26,29.72,29.94,29.32,29.32,25788.05,微导纳米,28.96,28.51,28.65
2025-06-27,29.38,30.07,29.36,29.66,29687.58,微导纳米,29.29,28.65,28.67
2025-06-30,30.04,30.49,29.9,30.18,35809.61,微导纳米,29.63,28.86,28.75
2025-07-01,30.31,30.88,30.05,30.34,35280.07,微导纳米,29.82,29.1,28.83
2025-07-02,30.18,30.28,29.8,30.03,26714.23,微导纳米,29.91,29.28,28.89
2025-07-03,30.09,30.27,29.8,30.0,21643.1,微导纳米,30.04,29.5,28.93
2025-07-04,30.02,30.39,29.6,29.83,25002.49,微导纳米,30.08,29.68,28.97
2025-07-07,30.01,30.5,29.88,30.22,24710.58,微导纳米,30.08,29.86,29.02
2025-07-08,30.11,31.04,30.11,30.84,39833.28,微导纳米,30.18,30.0,29.14
2025-07-09,30.88,31.02,30.48,30.58,26746.0,微导纳米,30.29,30.1,29.25
2025-07-10,30.57,31.01,30.29,30.5,25621.43,微导纳米,30.39,30.22,29.36
2025-07-11,30.54,30.95,30.25,30.78,28983.62,微导纳米,30.58,30.33,29.49
2025-07-14,30.59,31.2,30.5,30.8,24315.08,微导纳米,30.7,30.39,29.62
2025-07-15,30.81,31.28,30.61,31.0,34311.13,微导纳米,30.73,30.46,29.78
2025-07-16,31.09,31.26,30.63,30.78,26186.12,微导纳米,30.77,30.53,29.91
2025-07-17,30.83,31.11,30.58,31.08,29325.0,微导纳米,30.89,30.64,30.07
2025-07-18,31.05,31.84,31.05,31.2,37273.15,微导纳米,30.97,30.78,30.23
2025-07-21,31.17,31.7,31.15,31.23,33804.74,微导纳米,31.06,30.88,30.37
2025-07-22,31.18,31.47,30.94,31.17,32826.05,微导纳米,31.09,30.91,30.46
2025-07-23,31.18,32.65,31.02,32.25,81571.91,微导纳米,31.39,31.08,30.59
2025-07-24,32.44,32.69,31.95,32.19,62171.16,微导纳米,31.61,31.25,30.73
2025-07-25,32.16,33.33,31.57,33.11,70649.94,微导纳米,31.99,31.48,30.91
2025-07-28,33.1,33.77,32.53,32.71,73600.16,微导纳米,32.29,31.67,31.03
2025-07-29,32.55,34.27,32.55,33.83,77182.05,微导纳米,32.82,31.95,31.21
2025-07-30,33.5,34.54,33.11,33.86,71178.76,微导纳米,33.14,32.26,31.4
2025-07-31,33.86,34.47,32.69,32.83,75460.21,微导纳米,33.27,32.44,31.54
2025-08-01,32.83,34.5,32.73,33.15,72402.37,微导纳米,33.28,32.63,31.71
2025-08-04,33.71,33.94,33.21,33.78,73396.63,微导纳米,33.49,32.89,31.88
2025-08-05,34.07,35.0,33.5,34.72,100780.4,微导纳米,33.67,33.24,32.08
2025-08-06,33.7,34.25,33.01,34.24,110155.59,微导纳米,33.74,33.44,32.26
2025-08-07,34.16,34.17,33.32,33.69,70716.98,微导纳米,33.92,33.59,32.42
2025-08-08,33.35,33.89,32.71,33.21,61304.94,微导纳米,33.93,33.6,32.54
2025-08-11,33.02,35.34,33.01,34.66,102971.85,微导纳米,34.1,33.8,32.73
2025-08-12,34.61,34.97,34.18,34.52,59232.99,微导纳米,34.06,33.87,32.91
2025-08-13,34.5,35.0,33.94,34.5,61654.29,微导纳米,34.12,33.93,33.1
2025-08-14,34.45,35.42,33.85,34.12,88939.76,微导纳米,34.2,34.06,33.25
2025-08-15,34.0,34.78,33.97,34.5,72238.26,微导纳米,34.46,34.19,33.41
2025-08-18,34.66,39.0,34.45,38.0,182942.33,微导纳米,35.13,34.62,33.75
2025-08-19,38.1,38.38,37.03,37.35,99827.98,微导纳米,35.69,34.88,34.06
2025-08-20,37.72,38.09,36.53,37.99,93290.9,微导纳米,36.39,35.25,34.35
2025-08-21,37.65,38.77,37.13,37.66,98232.05,微导纳米,37.1,35.65,34.62
2025-08-22,37.65,39.39,37.47,38.92,110655.01,微导纳米,37.98,36.22,34.91
2025-08-25,39.52,40.43,38.38,38.95,118000.13,微导纳米,38.17,36.65,35.22
2025-08-26,38.92,40.46,38.42,39.76,101906.41,微导纳米,38.66,37.17,35.52
2025-08-27,39.5,42.18,39.4,39.84,127486.26,微导纳米,39.03,37.71,35.82
2025-08-28,39.6,45.68,38.81,44.34,158993.02,微导纳米,40.36,38.73,36.39
2025-08-29,45.92,45.92,41.58,42.39,140865.35,微导纳米,41.06,39.52,36.86
2025-09-01,43.01,45.3,41.83,44.93,125768.24,微导纳米,42.25,40.21,37.41
2025-09-02,44.0,45.14,39.9,40.87,145713.83,微导纳米,42.47,40.56,37.72
2025-09-03,40.7,40.98,38.82,39.06,97322.44,微导纳米,42.32,40.67,37.96
2025-09-04,39.43,40.06,36.63,37.5,109543.59,微导纳米,40.95,40.66,38.15
2025-09-05,37.66,38.75,37.32,38.41,87461.88,微导纳米,40.15,40.6,38.41
2025-09-08,38.83,46.09,38.77,46.09,208333.22,微导纳米,40.39,41.32,38.98
2025-09-09,46.09,48.75,45.09,45.98,254823.42,微导纳米,41.41,41.94,39.56
2025-09-10,46.99,47.22,44.77,45.01,150224.39,微导纳米,42.6,42.46,40.08
2025-09-11,44.12,47.35,43.03,45.13,166313.87,微导纳米,44.12,42.54,40.63
2025-09-12,45.13,45.54,43.73,44.32,110344.62,微导纳米,45.31,42.73,41.12
2025-09-15,45.0,50.77,44.05,47.99,198395.04,微导纳米,45.69,43.04,41.62
2025-09-16,47.69,48.3,46.18,47.39,116973.6,微导纳米,45.97,43.69,42.13
2025-09-17,47.05,50.99,47.0,48.82,175417.09,微导纳米,46.73,44.66,42.67
2025-09-18,48.92,50.16,46.05,47.04,166675.08,微导纳米,47.11,45.62,43.14
2025-09-19,46.78,49.61,46.78,47.18,132401.41,微导纳米,47.68,46.5,43.55
2025-09-22,47.3,48.59,46.71,47.57,92123.73,微导纳米,47.6,46.64,43.98
2025-09-23,48.41,49.68,47.4,49.68,130980.31,微导纳米,48.06,47.01,44.48
2025-09-24,50.0,59.62,49.21,57.4,293063.71,微导纳米,49.77,48.25,45.36
2025-09-25,56.56,57.03,54.34,54.34,193765.81,微导纳米,51.23,49.17,45.86
2025-09-26,54.11,54.67,52.5,52.55,132111.56,微导纳米,52.31,50.0,46.36
2025-09-29,53.5,56.28,52.8,56.28,154773.69,微导纳米,54.05,50.82,46.93
2025-09-30,56.0,60.5,54.9,58.67,156373.9,微导纳米,55.85,51.95,47.82
2025-10-09,59.0,62.98,56.7,58.57,158067.6,微导纳米,56.08,52.93,48.8
2025-10-10,57.89,59.52,54.55,55.01,125887.73,微导纳米,56.22,53.72,49.67
2025-10-13,51.11,54.9,51.11,54.03,91712.18,微导纳米,56.51,54.41,50.45
2025-10-14,54.29,56.3,50.25,50.59,122510.01,微导纳米,55.37,54.71,50.68
2025-10-15,51.1,54.79,49.91,53.69,100498.14,微导纳米,54.38,55.11,51.06
2025-10-16,53.11,53.42,51.33,51.71,60336.33,微导纳米,53.01,54.54,51.4
2025-10-17,51.42,52.07,47.92,48.05,88899.16,微导纳米,51.61,53.92,51.54
2025-10-20,49.26,50.4,48.77,49.25,64582.09,微导纳米,50.66,53.58,51.79
2025-10-21,50.25,50.55,49.3,49.75,56347.15,微导纳米,50.49,52.93,51.88
2025-10-22,49.67,50.55,48.6,50.05,51831.15,微导纳米,49.76,52.07,52.01
2025-10-23,50.0,50.16,48.12,49.7,54589.56,微导纳米,49.36,51.18,52.06
2025-10-24,50.58,53.99,50.21,53.34,102681.69,微导纳米,50.42,51.02,52.37
2025-10-27,54.01,57.5,53.18,56.46,119255.54,微导纳米,51.86,51.26,52.83
2025-10-28,56.0,56.53,55.1,55.49,63380.95,微导纳米,53.01,51.75,53.23
2025-10-29,55.8,57.87,55.5,57.15,67598.81,微导纳米,54.43,52.1,53.6
2025-10-30,54.0,54.42,51.71,52.47,137916.93,微导纳米,54.98,52.17,53.36
2025-10-31,51.15,52.5,49.74,49.87,81655.86,微导纳米,54.29,52.35,53.13
2025-11-03,49.1,51.14,47.25,51.1,81021.37,微导纳米,53.22,52.54,53.06
2025-11-04,50.85,51.78,49.12,50.17,56263.83,微导纳米,52.15,52.58,52.76
2025-11-05,49.45,50.56,48.44,50.15,50602.29,微导纳米,50.75,52.59,52.33
2025-11-06,50.31,52.48,50.07,51.4,61009.21,微导纳米,50.54,52.76,51.97
2025-11-07,50.85,52.39,49.54,50.96,52694.53,微导纳米,50.76,52.52,51.77
2025-11-10,51.18,54.1,50.9,52.3,76232.72,微导纳米,51.0,52.11,51.68
2025-11-11,52.99,54.38,49.33,49.89,77484.75,微导纳米,50.94,51.55,51.65
2025-11-12,49.12,50.18,48.18,48.87,45175.93,微导纳米,50.68,50.72,51.41
2025-11-13,49.29,56.5,49.29,55.2,165504.55,微导纳米,51.44,50.99,51.58
2025-11-14,55.3,61.17,52.69,57.58,232106.49,微导纳米,52.77,51.76,52.06
2025-11-17,58.4,66.0,58.4,59.48,216073.61,微导纳米,54.2,52.6,52.57
2025-11-18,59.47,64.54,58.64,63.3,209782.36,微导纳米,56.89,53.91,53.25
2025-11-19,62.09,63.51,59.08,60.1,137844.74,微导纳米,59.13,54.91,53.75
2025-11-20,61.3,61.5,56.88,59.12,134119.93,微导纳米,59.92,55.68,54.22
2025-11-21,57.18,58.5,53.21,53.36,111403.28,微导纳米,59.07,55.92,54.22
2025-11-24,54.18,56.35,53.26,55.03,103439.87,微导纳米,58.18,56.19,54.15
2025-11-25,55.0,57.5,54.53,55.5,89341.0,微导纳米,56.62,56.75,54.15
2025-11-26,55.28,61.95,53.83,58.26,137156.72,微导纳米,56.25,57.69,54.21
2025-11-27,58.79,59.1,56.1,56.32,72251.24,微导纳米,55.69,57.8,54.4
2025-11-28,56.6,66.66,55.22,64.66,213094.04,微导纳米,57.95,58.51,55.14
2025-12-01,65.65,66.0,62.11,64.87,139201.61,微导纳米,59.92,59.05,55.83
2025-12-02,64.6,65.52,62.05,63.3,122699.48,微导纳米,61.48,59.05,56.48
2025-12-03,63.31,70.3,62.2,67.99,168471.79,微导纳米,63.43,59.84,57.37
2025-12-04,67.0,72.23,63.66,68.3,161490.52,微导纳米,65.82,60.76,58.22
2025-12-05,68.71,69.66,64.86,65.58,126329.42,微导纳米,66.01,61.98,58.95
2025-12-08,65.0,69.66,64.0,69.0,135667.92,微导纳米,66.83,63.38,59.79
2025-12-09,67.0,70.99,66.1,69.09,105630.49,微导纳米,67.99,64.74,60.75
2025-12-10,68.06,74.44,66.3,72.39,115597.63,微导纳米,68.87,66.15,61.92
2025-12-11,72.33,76.55,70.04,70.1,116981.07,微导纳米,69.23,67.53,62.67
2025-12-12,67.99,74.15,66.9,72.5,122013.69,微导纳米,70.62,68.31,63.41
2025-12-15,71.0,73.8,67.75,68.0,105987.07,微导纳米,70.42,68.62,63.84
2025-12-16,67.39,68.0,63.3,64.42,95170.37,微导纳米,69.48,68.74,63.89
2025-12-17,64.19,67.5,63.34,66.7,87195.28,微导纳米,68.34,68.61,64.22
2025-12-18,66.44,67.7,63.4,64.5,80301.7,微导纳米,67.22,68.23,64.49
2025-12-19,64.88,65.16,61.56,62.6,65434.03,微导纳米,65.24,67.93,64.96
2025-12-22,63.5,71.2,63.0,67.69,128858.66,微导纳米,65.18,67.8,65.59
2025-12-23,67.69,71.0,66.6,69.69,88534.83,微导纳米,66.24,67.86,66.3
2025-12-24,69.76,70.9,68.0,70.09,63514.8,微导纳米,66.91,67.63,66.89
