date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,39.62,39.99,37.0,37.7,30284.61,盟升电子,37.7,37.7,37.7
2025-03-25,38.77,41.36,37.7,38.58,43248.6,盟升电子,38.14,38.14,38.14
2025-03-26,38.76,39.77,38.08,38.54,19393.3,盟升电子,38.27,38.27,38.27
2025-03-27,38.31,39.88,37.57,37.89,23175.14,盟升电子,38.18,38.18,38.18
2025-03-28,37.9,39.05,37.56,37.64,16995.72,盟升电子,38.07,38.07,38.07
2025-03-31,37.37,37.88,36.21,37.1,28181.17,盟升电子,37.95,37.91,37.91
2025-04-01,37.5,38.3,36.7,37.5,26054.46,盟升电子,37.73,37.85,37.85
2025-04-02,37.2,37.44,36.44,36.66,16452.47,盟升电子,37.36,37.7,37.7
2025-04-03,36.08,37.77,36.06,36.93,24819.15,盟升电子,37.17,37.62,37.62
2025-04-07,35.52,36.0,30.41,31.14,39855.3,盟升电子,35.87,36.97,36.97
2025-04-08,31.13,33.89,31.13,32.08,30030.77,盟升电子,34.86,36.41,36.52
2025-04-09,31.45,35.28,30.71,34.85,39069.29,盟升电子,34.33,36.03,36.38
2025-04-10,35.55,36.29,34.48,34.85,28785.55,盟升电子,33.97,35.66,36.27
2025-04-11,35.0,37.34,34.57,36.29,29470.09,盟升电子,33.84,35.5,36.27
2025-04-14,36.6,37.75,36.36,36.95,21923.7,盟升电子,35.0,35.43,36.31
2025-04-15,36.97,37.15,34.58,35.5,24159.93,盟升电子,35.69,35.28,36.26
2025-04-16,35.47,36.53,35.14,36.19,21664.2,盟升电子,35.96,35.14,36.26
2025-04-17,36.01,37.31,35.51,36.32,14911.97,盟升电子,36.25,35.11,36.26
2025-04-18,36.18,37.16,35.7,35.8,13340.51,盟升电子,36.15,35.0,36.24
2025-04-21,35.8,37.0,35.44,36.2,13703.48,盟升电子,36.0,35.5,36.24
2025-04-22,36.28,37.34,35.7,36.49,19746.1,盟升电子,36.2,35.94,36.17
2025-04-23,37.13,37.13,36.2,36.2,16226.32,盟升电子,36.2,36.08,36.06
2025-04-24,36.0,36.08,34.43,35.07,20091.81,盟升电子,35.95,36.1,35.88
2025-04-25,35.3,36.87,35.0,36.32,21480.98,盟升电子,36.06,36.1,35.8
2025-04-28,36.7,38.45,35.9,37.59,37834.98,盟升电子,36.33,36.17,35.8
2025-04-29,37.4,40.2,36.8,39.06,34454.18,盟升电子,36.85,36.52,35.9
2025-04-30,38.6,39.5,38.41,38.81,18382.81,盟升电子,37.37,36.79,35.96
2025-05-06,39.0,40.63,38.9,39.25,29522.2,盟升电子,38.21,37.08,36.09
2025-05-07,40.0,41.55,39.16,39.85,38936.96,盟升电子,38.91,37.48,36.24
2025-05-08,39.8,40.76,38.66,40.3,31537.93,盟升电子,39.45,37.89,36.7
2025-05-09,41.49,42.75,39.8,40.34,48406.56,盟升电子,39.71,38.28,37.11
2025-05-12,40.33,42.98,39.5,41.51,53470.71,盟升电子,40.25,38.81,37.44
2025-05-13,41.85,41.85,38.3,39.13,50550.77,盟升电子,40.23,39.22,37.66
2025-05-14,38.89,39.93,37.5,38.02,35838.31,盟升电子,39.86,39.39,37.74
2025-05-15,37.77,38.28,36.8,36.98,22709.26,盟升电子,39.2,39.33,37.75
2025-05-16,37.1,37.54,36.5,36.59,16545.3,盟升电子,38.45,39.08,37.8
2025-05-19,36.68,37.46,36.21,36.4,23233.33,盟升电子,37.42,38.84,37.81
2025-05-20,36.41,36.6,35.5,36.31,22120.56,盟升电子,36.86,38.54,37.81
2025-05-21,36.2,36.55,35.5,36.1,19276.46,盟升电子,36.48,38.17,37.83
2025-05-22,35.61,36.86,35.52,35.77,25639.92,盟升电子,36.23,37.71,37.8
2025-05-23,35.6,36.59,35.2,35.55,21388.79,盟升电子,36.03,37.24,37.76
2025-05-26,35.6,37.29,35.0,36.62,27334.4,盟升电子,36.07,36.75,37.78
2025-05-27,36.55,38.5,36.55,38.13,41774.87,盟升电子,36.43,36.65,37.93
2025-05-28,38.0,38.68,37.51,38.19,24105.64,盟升电子,36.85,36.66,38.02
2025-05-29,37.98,39.5,37.6,38.4,24123.17,盟升电子,37.38,36.81,38.07
2025-05-30,38.01,38.8,37.7,38.27,21496.49,盟升电子,37.92,36.97,38.03
2025-06-03,38.08,39.38,37.87,38.7,25622.77,盟升电子,38.34,37.2,38.02
2025-06-04,39.06,39.3,37.3,37.57,24647.13,盟升电子,38.23,37.33,37.94
2025-06-05,37.45,38.26,37.16,37.69,16962.44,盟升电子,38.13,37.49,37.83
2025-06-06,37.8,39.44,37.6,39.09,36240.48,盟升电子,38.26,37.82,37.77
2025-06-09,39.54,40.65,38.2,40.49,44092.78,盟升电子,38.71,38.32,37.78
2025-06-10,40.49,41.91,39.03,40.86,57135.79,盟升电子,39.14,38.74,37.74
2025-06-11,40.5,40.98,39.13,40.5,34432.79,盟升电子,39.73,38.98,37.81
2025-06-12,40.28,40.28,38.58,38.79,30714.42,盟升电子,39.95,39.04,37.85
2025-06-13,38.91,39.39,37.89,39.1,23920.03,盟升电子,39.95,39.11,37.96
2025-06-16,38.87,39.8,38.6,38.78,22601.24,盟升电子,39.61,39.16,38.07
2025-06-17,38.85,39.6,38.32,39.29,17704.75,盟升电子,39.29,39.22,38.21
2025-06-18,39.3,40.34,39.08,39.51,21334.48,盟升电子,39.09,39.41,38.37
2025-06-19,39.5,39.79,38.7,39.26,16545.66,盟升电子,39.19,39.57,38.53
2025-06-20,39.26,39.5,38.27,38.56,16504.82,盟升电子,39.08,39.51,38.67
2025-06-23,38.98,38.99,38.07,38.3,18033.8,盟升电子,38.98,39.3,38.8
2025-06-24,38.3,39.76,38.25,39.3,26069.77,盟升电子,38.99,39.14,38.94
2025-06-25,39.23,41.99,39.02,41.84,48608.0,盟升电子,39.45,39.27,39.12
2025-06-26,42.0,43.32,41.06,41.46,39702.07,盟升电子,39.89,39.54,39.29
2025-06-27,41.71,42.13,40.96,41.46,20952.67,盟升电子,40.47,39.78,39.44
2025-06-30,41.12,43.5,41.1,43.05,43420.92,盟升电子,41.42,40.2,39.68
2025-07-01,42.54,43.18,40.78,40.96,44742.49,盟升电子,41.75,40.37,39.79
2025-07-02,40.9,40.9,39.49,39.66,27156.56,盟升电子,41.32,40.38,39.9
2025-07-03,39.2,40.6,39.2,39.65,20132.44,盟升电子,40.96,40.42,40.0
2025-07-04,39.22,39.65,37.96,38.6,30203.1,盟升电子,40.38,40.43,39.97
2025-07-07,38.49,38.89,37.8,37.97,17691.77,盟升电子,39.37,40.39,39.84
2025-07-08,37.97,39.7,37.7,39.49,24584.05,盟升电子,39.07,40.41,39.78
2025-07-09,38.5,39.6,36.47,36.88,82788.66,盟升电子,38.52,39.92,39.6
2025-07-10,37.08,37.83,36.11,36.88,40606.29,盟升电子,37.96,39.46,39.5
2025-07-11,36.9,37.75,36.65,37.13,26536.74,盟升电子,37.67,39.03,39.4
2025-07-14,37.15,37.98,36.7,37.42,21177.25,盟升电子,37.56,38.46,39.33
2025-07-15,37.53,37.74,37.12,37.52,13824.58,盟升电子,37.17,38.12,39.24
2025-07-16,37.38,38.09,37.31,37.39,18813.84,盟升电子,37.27,37.89,39.14
2025-07-17,37.36,38.52,37.23,38.5,23187.36,盟升电子,37.59,37.78,39.1
2025-07-18,38.48,38.76,38.15,38.48,17421.91,盟升电子,37.86,37.77,39.1
2025-07-21,38.5,40.17,38.2,38.74,19612.9,盟升电子,38.13,37.84,39.12
2025-07-22,38.73,39.99,38.36,38.8,25264.38,盟升电子,38.38,37.77,39.09
2025-07-23,38.53,39.01,37.24,37.45,32083.63,盟升电子,38.39,37.83,38.87
2025-07-24,37.4,37.65,36.41,37.06,46512.42,盟升电子,38.11,37.85,38.65
2025-07-25,37.09,37.54,36.66,37.48,19964.79,盟升电子,37.91,37.88,38.46
2025-07-28,37.49,38.35,37.41,38.2,35876.0,盟升电子,37.8,37.96,38.21
2025-07-29,38.07,38.26,37.45,37.82,29741.62,盟升电子,37.6,37.99,38.06
2025-07-30,38.0,38.46,36.81,37.21,28035.14,盟升电子,37.55,37.97,37.93
2025-07-31,37.21,38.8,36.93,37.19,50136.75,盟升电子,37.58,37.84,37.81
2025-08-01,37.01,37.9,36.53,37.14,28703.3,盟升电子,37.51,37.71,37.74
2025-08-04,37.1,40.75,37.01,40.75,101056.34,盟升电子,38.02,37.91,37.88
2025-08-05,40.47,41.16,39.99,40.45,48398.82,盟升电子,38.55,38.08,37.92
2025-08-06,40.45,42.3,40.4,41.33,56790.0,盟升电子,39.37,38.46,38.15
2025-08-07,41.07,44.85,40.26,44.01,95464.36,盟升电子,40.74,39.16,38.5
2025-08-08,44.01,45.2,43.6,44.18,69933.12,盟升电子,42.14,39.83,38.86
2025-08-11,44.91,44.98,43.0,43.22,61245.58,盟升电子,42.64,40.33,39.15
2025-08-12,43.05,43.29,41.38,41.8,48063.17,盟升电子,42.91,40.73,39.36
2025-08-13,41.84,45.22,41.81,43.04,89761.4,盟升电子,43.25,41.31,39.64
2025-08-14,42.7,43.04,40.21,40.26,67978.95,盟升电子,42.5,41.62,39.73
2025-08-15,40.13,41.08,40.1,40.58,35594.9,盟升电子,41.78,41.96,39.84
2025-08-18,41.04,42.35,39.48,39.87,78567.84,盟升电子,41.11,41.87,39.89
2025-08-19,39.88,40.4,39.28,39.59,42708.02,盟升电子,40.67,41.79,39.93
2025-08-20,39.57,40.4,39.39,40.31,49854.93,盟升电子,40.12,41.69,40.07
2025-08-21,40.31,41.16,39.77,40.26,51637.98,盟升电子,40.12,41.31,40.23
2025-08-22,40.27,42.16,40.15,41.74,55015.21,盟升电子,40.35,41.07,40.45
2025-08-25,42.4,43.4,40.88,42.49,75658.57,盟升电子,40.88,40.99,40.66
2025-08-26,42.44,43.07,41.57,41.82,60236.4,盟升电子,41.32,41.0,40.86
2025-08-27,41.95,45.36,41.65,42.39,110059.89,盟升电子,41.74,40.93,41.12
2025-08-28,43.98,43.98,41.21,43.14,68763.38,盟升电子,42.32,41.22,41.42
2025-08-29,43.3,44.1,42.3,43.11,65269.25,盟升电子,42.59,41.47,41.72
2025-09-01,42.98,43.46,42.2,42.88,62244.95,盟升电子,42.67,41.77,41.82
2025-09-02,42.88,43.19,39.7,40.3,64829.83,盟升电子,42.36,41.84,41.82
2025-09-03,40.78,40.78,38.49,38.6,48878.27,盟升电子,41.61,41.67,41.68
2025-09-04,38.6,38.79,35.96,36.78,56810.26,盟升电子,40.33,41.32,41.32
2025-09-05,36.78,37.48,35.99,36.87,44684.23,盟升电子,39.09,40.84,40.95
