date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.66,16.96,16.18,16.47,9047.76,金科环境,16.47,16.47,16.47
2025-03-25,16.18,16.68,16.18,16.37,4281.7,金科环境,16.42,16.42,16.42
2025-03-26,16.05,16.75,16.01,16.46,4474.88,金科环境,16.43,16.43,16.43
2025-03-27,16.37,17.3,16.12,17.24,13355.1,金科环境,16.63,16.63,16.63
2025-03-28,17.15,17.6,16.68,16.68,6303.22,金科环境,16.64,16.64,16.64
2025-03-31,16.68,16.82,16.22,16.58,5010.58,金科环境,16.67,16.63,16.63
2025-04-01,16.58,17.25,16.55,16.7,6616.17,金科环境,16.73,16.64,16.64
2025-04-02,16.66,16.77,16.4,16.54,3243.52,金科环境,16.75,16.63,16.63
2025-04-03,16.34,16.74,16.2,16.54,5236.0,金科环境,16.61,16.62,16.62
2025-04-07,16.0,16.0,14.01,14.26,13022.7,金科环境,16.12,16.38,16.38
2025-04-08,14.49,15.15,14.4,14.75,6817.36,金科环境,15.76,16.21,16.24
2025-04-09,14.34,14.99,13.77,14.98,7051.03,金科环境,15.41,16.07,16.13
2025-04-10,15.21,16.05,15.1,15.52,7297.68,金科环境,15.21,15.98,16.08
2025-04-11,15.86,15.88,15.4,15.43,6005.52,金科环境,14.99,15.8,16.04
2025-04-14,16.5,16.5,15.23,15.78,3903.93,金科环境,15.29,15.71,16.02
2025-04-15,15.98,15.99,15.57,15.83,4525.99,金科环境,15.51,15.63,16.01
2025-04-16,15.83,15.98,15.35,15.61,4242.0,金科环境,15.63,15.52,15.98
2025-04-17,15.41,15.93,15.41,15.86,3815.38,金科环境,15.7,15.46,15.98
2025-04-18,15.72,15.91,15.48,15.76,5414.04,金科环境,15.77,15.38,15.97
2025-04-21,15.68,15.93,15.54,15.56,5605.91,金科环境,15.72,15.51,15.95
2025-04-22,15.48,15.59,15.27,15.51,8385.11,金科环境,15.66,15.58,15.9
2025-04-23,15.59,15.98,15.59,15.68,5497.26,金科环境,15.67,15.65,15.86
2025-04-24,15.68,15.87,15.46,15.51,5114.95,金科环境,15.6,15.65,15.82
2025-04-25,15.61,15.76,15.31,15.53,4488.92,金科环境,15.56,15.66,15.73
2025-04-28,15.41,15.78,15.11,15.23,11828.27,金科环境,15.49,15.61,15.66
2025-04-29,15.49,15.96,15.23,15.48,7618.38,金科环境,15.49,15.57,15.6
2025-04-30,15.4,15.75,15.4,15.66,4528.64,金科环境,15.48,15.58,15.55
2025-05-06,15.78,15.94,15.6,15.92,7616.87,金科环境,15.56,15.58,15.52
2025-05-07,16.08,16.39,16.06,16.23,8997.09,金科环境,15.7,15.63,15.5
2025-05-08,16.15,16.58,16.15,16.53,5367.52,金科环境,15.96,15.73,15.62
2025-05-09,16.6,16.6,16.25,16.3,4756.11,金科环境,16.13,15.81,15.7
2025-05-12,16.65,16.65,16.3,16.44,4946.59,金科环境,16.28,15.88,15.77
2025-05-13,16.6,16.6,16.28,16.39,5152.14,金科环境,16.38,15.97,15.81
2025-05-14,16.44,16.44,16.27,16.39,5321.1,金科环境,16.41,16.06,15.86
2025-05-15,16.45,16.55,16.3,16.39,4884.06,金科环境,16.38,16.17,15.89
2025-05-16,16.59,16.66,16.25,16.43,7019.66,金科环境,16.41,16.27,15.92
2025-05-19,16.5,17.15,16.36,17.04,6982.87,金科环境,16.53,16.41,15.99
2025-05-20,17.13,17.94,17.01,17.38,9049.23,金科环境,16.73,16.55,16.07
2025-05-21,17.45,17.51,17.1,17.12,5003.1,金科环境,16.87,16.64,16.14
2025-05-22,17.29,17.47,16.67,16.68,7100.66,金科环境,16.93,16.66,16.19
2025-05-23,17.03,17.06,16.66,16.74,6487.24,金科环境,16.99,16.7,16.25
2025-05-26,16.74,16.9,16.53,16.83,3785.83,金科环境,16.95,16.74,16.31
2025-05-27,16.97,16.98,16.68,16.94,4548.02,金科环境,16.86,16.79,16.38
2025-05-28,16.75,17.18,16.71,16.79,6075.0,金科环境,16.8,16.83,16.45
2025-05-29,16.91,17.28,16.83,17.2,6384.1,金科环境,16.9,16.92,16.54
2025-05-30,17.29,17.34,16.6,16.91,7389.17,金科环境,16.93,16.96,16.62
2025-06-03,16.99,17.08,16.55,16.99,5970.65,金科环境,16.97,16.96,16.68
2025-06-04,17.05,17.23,16.9,17.0,3986.42,金科环境,16.98,16.92,16.74
2025-06-05,17.1,17.1,16.86,17.05,3644.59,金科环境,17.03,16.91,16.78
2025-06-06,17.14,17.19,16.95,17.18,4104.56,金科环境,17.03,16.96,16.81
2025-06-09,17.18,17.36,17.09,17.24,3464.74,金科环境,17.09,17.01,16.86
2025-06-10,17.36,17.38,16.97,17.13,7336.74,金科环境,17.12,17.04,16.89
2025-06-11,17.1,17.29,17.04,17.05,4116.31,金科环境,17.13,17.05,16.92
2025-06-12,16.94,17.19,16.93,17.03,2343.72,金科环境,17.13,17.08,16.96
2025-06-13,17.03,17.1,16.82,16.83,4730.76,金科环境,17.06,17.04,16.98
2025-06-16,16.92,17.17,16.75,17.08,6475.68,金科环境,17.02,17.06,17.01
2025-06-17,17.16,17.23,16.9,17.23,5193.79,金科环境,17.04,17.08,17.02
2025-06-18,17.25,17.31,17.01,17.2,5194.65,金科环境,17.07,17.1,17.01
2025-06-19,17.28,17.28,16.73,16.9,5424.92,金科环境,17.05,17.09,17.0
2025-06-20,16.97,17.02,16.53,16.56,3925.42,金科环境,16.99,17.02,16.99
2025-06-23,16.56,16.91,16.46,16.89,4643.23,金科环境,16.96,16.99,17.0
2025-06-24,16.9,17.3,16.86,17.25,6469.05,金科环境,16.96,17.0,17.02
2025-06-25,17.3,17.44,17.11,17.3,3912.24,金科环境,16.98,17.03,17.04
2025-06-26,17.3,17.3,17.07,17.16,3063.22,金科环境,17.03,17.04,17.06
2025-06-27,17.24,17.39,17.14,17.26,3611.08,金科环境,17.17,17.08,17.06
2025-06-30,17.43,17.7,17.3,17.68,6481.15,金科环境,17.33,17.14,17.1
2025-07-01,17.68,18.8,17.59,18.79,18209.67,金科环境,17.64,17.3,17.19
2025-07-02,18.6,19.49,18.29,18.93,21159.42,金科环境,17.96,17.47,17.29
2025-07-03,18.72,19.0,18.49,18.55,10751.72,金科环境,18.24,17.64,17.36
2025-07-04,18.59,18.68,18.1,18.2,12029.94,金科环境,18.43,17.8,17.41
2025-07-07,18.2,18.68,18.03,18.56,19968.99,金科环境,18.61,17.97,17.48
2025-07-08,18.41,19.36,18.41,19.1,21062.71,金科环境,18.67,18.15,17.58
2025-07-09,19.14,19.32,18.89,19.26,19159.27,金科环境,18.73,18.35,17.69
2025-07-10,19.26,19.45,18.7,18.89,18613.39,金科环境,18.8,18.52,17.78
2025-07-11,18.94,19.18,18.56,18.77,15699.96,金科环境,18.92,18.67,17.88
2025-07-14,18.86,19.26,18.7,19.24,19181.81,金科环境,19.05,18.83,17.99
2025-07-15,19.41,19.41,18.5,19.25,18788.79,金科环境,19.08,18.88,18.09
