date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,33.7,33.98,32.9,33.58,7593.66,赛恩斯,33.58,33.58,33.58
2025-03-25,33.77,34.49,33.1,33.87,7746.65,赛恩斯,33.72,33.72,33.72
2025-03-26,34.13,34.7,33.72,34.35,8004.23,赛恩斯,33.93,33.93,33.93
2025-03-27,34.18,34.47,33.4,33.83,5907.43,赛恩斯,33.91,33.91,33.91
2025-03-28,33.59,34.44,33.58,34.0,6829.31,赛恩斯,33.93,33.93,33.93
2025-03-31,33.77,34.5,33.2,33.81,7763.65,赛恩斯,33.97,33.91,33.91
2025-04-01,33.51,34.07,33.35,33.81,6376.13,赛恩斯,33.96,33.89,33.89
2025-04-02,34.1,34.1,33.33,33.84,3974.7,赛恩斯,33.86,33.89,33.89
2025-04-03,32.28,34.09,32.28,33.94,8136.67,赛恩斯,33.88,33.89,33.89
2025-04-07,32.3,32.94,28.04,29.33,19328.87,赛恩斯,32.95,33.44,33.44
2025-04-08,29.48,30.66,29.48,30.0,8508.06,赛恩斯,32.18,33.08,33.12
2025-04-09,29.49,31.15,29.0,30.93,9497.94,赛恩斯,31.61,32.78,32.94
2025-04-10,31.45,33.0,30.93,32.6,11232.33,赛恩斯,31.36,32.61,32.91
2025-04-11,32.6,33.18,32.19,32.75,8888.34,赛恩斯,31.12,32.5,32.9
2025-04-14,32.5,33.23,32.37,32.75,4898.41,赛恩斯,31.81,32.38,32.89
2025-04-15,32.85,32.85,31.63,31.9,4822.87,赛恩斯,32.19,32.18,32.83
2025-04-16,31.9,33.08,31.36,31.96,6714.01,赛恩斯,32.39,32.0,32.78
2025-04-17,31.55,32.45,31.55,32.07,3446.83,赛恩斯,32.29,31.82,32.74
2025-04-18,31.88,32.15,31.17,31.64,4261.62,赛恩斯,32.06,31.59,32.68
2025-04-21,31.36,33.98,31.2,33.29,10567.55,赛恩斯,32.17,31.99,32.71
2025-04-22,32.9,34.54,32.9,33.86,7824.43,赛恩斯,32.56,32.38,32.73
2025-04-23,34.24,34.24,33.22,33.53,6573.19,赛恩斯,32.88,32.64,32.71
2025-04-24,33.7,34.34,33.03,34.18,7771.62,赛恩斯,33.3,32.79,32.7
2025-04-25,32.5,33.0,31.0,32.92,19821.21,赛恩斯,33.56,32.81,32.66
2025-04-28,31.95,34.0,31.95,33.35,9836.75,赛恩斯,33.57,32.87,32.62
2025-04-29,32.9,33.44,32.7,32.89,4748.03,赛恩斯,33.37,32.97,32.58
2025-04-30,33.88,34.96,32.88,34.4,15378.47,赛恩斯,33.55,33.21,32.61
2025-05-06,34.95,35.15,33.84,34.26,13464.34,赛恩斯,33.56,33.43,32.63
2025-05-07,34.6,34.99,34.09,34.63,10383.33,赛恩斯,33.91,33.73,32.66
2025-05-08,34.68,34.88,34.21,34.66,6966.24,赛恩斯,34.17,33.87,32.93
2025-05-09,34.56,34.7,33.42,33.42,8263.31,赛恩斯,34.27,33.82,33.1
2025-05-12,33.97,34.59,33.29,34.44,10324.57,赛恩斯,34.28,33.92,33.28
2025-05-13,34.5,34.86,33.5,33.95,6481.45,赛恩斯,34.22,33.89,33.34
2025-05-14,33.68,34.06,33.22,33.8,5006.72,赛恩斯,34.05,33.98,33.39
2025-05-15,33.78,34.19,33.53,33.8,2665.47,赛恩斯,33.88,34.02,33.45
2025-05-16,33.28,34.15,33.27,33.79,2160.13,赛恩斯,33.96,34.11,33.54
2025-05-19,34.2,34.2,32.7,33.01,5187.27,赛恩斯,33.67,33.98,33.59
2025-05-20,33.39,33.39,32.1,32.64,9182.67,赛恩斯,33.41,33.81,33.62
2025-05-21,32.36,32.8,31.8,31.87,9000.2,赛恩斯,33.02,33.54,33.63
2025-05-22,33.8,33.8,30.9,31.0,8075.33,赛恩斯,32.46,33.17,33.52
2025-05-23,31.39,31.65,30.73,30.82,5670.55,赛恩斯,31.87,32.91,33.37
2025-05-26,31.11,33.19,30.71,32.91,13661.65,赛恩斯,31.85,32.76,33.34
2025-05-27,32.91,34.5,32.42,33.91,13445.84,赛恩斯,32.1,32.75,33.32
2025-05-28,33.65,34.39,33.48,34.2,6560.27,赛恩斯,32.57,32.8,33.39
2025-05-29,34.21,34.28,33.52,34.2,6365.73,赛恩斯,33.21,32.84,33.43
2025-05-30,34.36,34.36,33.44,33.99,4672.1,赛恩斯,33.84,32.86,33.48
2025-06-03,34.09,34.14,33.61,33.99,5380.2,赛恩斯,34.06,32.95,33.46
2025-06-04,33.97,34.72,33.8,34.1,7827.89,赛恩斯,34.1,33.1,33.46
2025-06-05,34.19,34.37,33.6,33.68,2256.86,赛恩斯,33.99,33.28,33.41
2025-06-06,33.61,33.68,32.24,32.84,7590.44,赛恩斯,33.72,33.46,33.32
2025-06-09,33.2,33.2,32.52,32.55,3622.71,赛恩斯,33.43,33.64,33.27
2025-06-10,32.51,32.79,31.31,31.88,6083.63,赛恩斯,33.01,33.53,33.15
2025-06-11,31.63,32.1,31.33,31.5,6435.77,赛恩斯,32.49,33.29,33.02
2025-06-12,31.51,32.48,31.51,31.91,6711.81,赛恩斯,32.14,33.06,32.93
2025-06-13,31.67,32.51,31.58,32.19,4667.05,赛恩斯,32.01,32.86,32.85
2025-06-16,32.88,32.88,31.68,32.08,3246.6,赛恩斯,31.91,32.67,32.76
2025-06-17,32.3,32.48,31.7,31.99,3971.1,赛恩斯,31.93,32.47,32.71
2025-06-18,31.84,31.92,31.39,31.7,4922.86,赛恩斯,31.97,32.23,32.67
2025-06-19,31.67,31.9,31.31,31.81,6981.97,赛恩斯,31.95,32.04,32.66
2025-06-20,31.72,32.73,31.43,32.44,6232.91,赛恩斯,32.0,32.0,32.73
2025-06-23,32.14,32.44,31.71,31.98,2448.44,赛恩斯,31.98,31.95,32.79
2025-06-24,32.33,32.33,31.94,32.12,2664.49,赛恩斯,32.01,31.97,32.75
