date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.42,9.46,8.82,9.11,19184.5,秦川物联,9.11,9.11,9.11
2025-03-25,9.01,9.11,8.86,9.03,9619.86,秦川物联,9.07,9.07,9.07
2025-03-26,8.95,9.32,8.86,9.23,12124.89,秦川物联,9.12,9.12,9.12
2025-03-27,9.23,9.24,8.91,9.07,8021.61,秦川物联,9.11,9.11,9.11
2025-03-28,9.08,9.22,8.85,8.9,10235.68,秦川物联,9.07,9.07,9.07
2025-03-31,8.78,8.99,8.68,8.94,12093.39,秦川物联,9.03,9.05,9.05
2025-04-01,8.93,9.22,8.9,9.11,10025.07,秦川物联,9.05,9.06,9.06
2025-04-02,9.21,9.28,9.03,9.16,6374.49,秦川物联,9.04,9.07,9.07
2025-04-03,9.11,9.25,8.95,9.05,7077.49,秦川物联,9.03,9.07,9.07
2025-04-07,8.68,8.68,7.5,7.56,16890.24,秦川物联,8.76,8.92,8.92
2025-04-08,7.8,8.2,7.67,7.97,11316.92,秦川物联,8.57,8.8,8.83
2025-04-09,7.84,8.26,7.31,8.18,11690.37,秦川物联,8.38,8.72,8.78
2025-04-10,8.45,8.56,8.28,8.4,11269.7,秦川物联,8.23,8.63,8.75
2025-04-11,8.38,8.58,8.28,8.5,8176.52,秦川物联,8.12,8.58,8.73
2025-04-14,8.62,8.74,8.51,8.51,7559.91,秦川物联,8.31,8.54,8.71
2025-04-15,8.5,8.62,8.36,8.53,8872.02,秦川物联,8.42,8.5,8.7
2025-04-16,8.53,8.6,8.1,8.28,10047.7,秦川物联,8.44,8.41,8.68
2025-04-17,8.27,8.58,8.22,8.51,9117.99,秦川物联,8.47,8.35,8.67
2025-04-18,8.52,8.6,8.3,8.58,7385.13,秦川物联,8.48,8.3,8.66
2025-04-21,8.56,8.64,8.41,8.51,6010.93,秦川物联,8.48,8.4,8.66
2025-04-22,8.68,8.68,8.42,8.54,8425.47,秦川物联,8.48,8.45,8.63
2025-04-23,8.8,8.8,8.62,8.75,10520.26,秦川物联,8.58,8.51,8.61
2025-04-24,8.76,8.83,8.53,8.69,10464.36,秦川物联,8.61,8.54,8.59
2025-04-25,8.66,8.92,8.5,8.75,10304.04,秦川物联,8.65,8.57,8.57
2025-04-28,8.86,8.86,8.54,8.58,10321.42,秦川物联,8.66,8.57,8.56
2025-04-29,8.51,8.83,8.51,8.83,11378.21,秦川物联,8.72,8.6,8.55
2025-04-30,8.81,9.1,8.81,9.05,10035.44,秦川物联,8.78,8.68,8.55
2025-05-06,9.08,9.35,9.0,9.27,13841.91,秦川物联,8.9,8.76,8.55
2025-05-07,9.38,9.52,9.3,9.37,10744.69,秦川物联,9.02,8.83,8.57
2025-05-08,9.44,9.59,9.31,9.58,9948.33,秦川物联,9.22,8.94,8.67
2025-05-09,9.6,9.6,9.42,9.43,11945.3,秦川物联,9.34,9.03,8.74
2025-05-12,9.6,9.79,9.43,9.74,15793.53,秦川物联,9.48,9.13,8.82
2025-05-13,9.83,9.83,9.57,9.6,9179.83,秦川物联,9.54,9.22,8.88
2025-05-14,9.68,9.68,9.4,9.43,12511.35,秦川物联,9.56,9.29,8.93
2025-05-15,9.44,9.53,9.28,9.39,8634.18,秦川物联,9.52,9.37,8.97
2025-05-16,9.44,9.62,9.37,9.5,11650.09,秦川物联,9.53,9.44,9.02
2025-05-19,9.64,9.7,9.41,9.67,9214.36,秦川物联,9.52,9.5,9.09
2025-05-20,9.64,9.86,9.54,9.85,9050.0,秦川物联,9.57,9.56,9.16
2025-05-21,9.86,9.86,9.51,9.63,9506.41,秦川物联,9.61,9.58,9.21
2025-05-22,9.55,9.82,9.43,9.51,13166.05,秦川物联,9.63,9.57,9.26
2025-05-23,9.44,9.65,9.35,9.43,10968.21,秦川物联,9.62,9.57,9.3
2025-05-26,9.43,9.58,9.39,9.57,8722.79,秦川物联,9.6,9.56,9.34
2025-05-27,9.57,9.58,9.43,9.53,6361.3,秦川物联,9.53,9.55,9.39
2025-05-28,9.43,9.63,9.35,9.39,10230.53,秦川物联,9.49,9.55,9.42
2025-05-29,9.38,9.72,9.38,9.69,12464.23,秦川物联,9.52,9.58,9.47
2025-05-30,9.72,9.72,9.43,9.59,6184.74,秦川物联,9.55,9.59,9.51
2025-06-03,9.65,9.77,9.55,9.64,10262.15,秦川物联,9.57,9.58,9.54
