date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,12.98,13.09,12.13,12.4,30673.17,科汇股份,12.4,12.4,12.4
2025-03-25,12.39,12.59,12.14,12.47,28796.48,科汇股份,12.44,12.44,12.44
2025-03-26,12.38,13.04,12.38,12.8,27576.73,科汇股份,12.56,12.56,12.56
2025-03-27,12.79,12.87,12.4,12.67,15546.2,科汇股份,12.58,12.58,12.58
2025-03-28,12.62,12.82,12.39,12.43,18092.61,科汇股份,12.55,12.55,12.55
2025-03-31,12.43,12.43,12.13,12.27,20257.83,科汇股份,12.53,12.51,12.51
2025-04-01,12.33,12.9,12.33,12.62,22344.55,科汇股份,12.56,12.52,12.52
2025-04-02,12.66,12.99,12.6,12.81,12628.26,科汇股份,12.56,12.56,12.56
2025-04-03,12.67,12.84,12.44,12.6,13284.18,科汇股份,12.55,12.56,12.56
2025-04-07,11.5,12.16,10.56,10.92,35268.01,科汇股份,12.24,12.4,12.4
2025-04-08,11.01,11.49,10.68,11.06,28761.98,科汇股份,12.0,12.26,12.28
2025-04-09,10.87,11.32,10.13,11.25,32708.54,科汇股份,11.73,12.14,12.19
2025-04-10,11.48,11.84,11.35,11.55,23512.99,科汇股份,11.48,12.02,12.14
2025-04-11,11.53,11.8,11.41,11.66,19170.09,科汇股份,11.29,11.92,12.11
2025-04-14,11.84,11.98,11.71,11.74,13832.86,科汇股份,11.45,11.85,12.08
2025-04-15,11.75,11.97,11.68,11.86,13456.33,科汇股份,11.61,11.81,12.07
2025-04-16,11.86,11.92,11.45,11.66,14443.69,科汇股份,11.69,11.71,12.05
2025-04-17,11.56,11.92,11.46,11.7,13793.07,科汇股份,11.72,11.6,12.03
2025-04-18,11.66,11.9,11.57,11.81,15448.42,科汇股份,11.75,11.52,12.01
2025-04-21,11.91,12.05,11.73,12.03,13953.2,科汇股份,11.81,11.63,12.02
2025-04-22,11.96,12.1,11.93,12.07,11775.54,科汇股份,11.85,11.73,12.0
2025-04-23,12.17,12.45,12.13,12.39,15909.72,科汇股份,12.0,11.85,12.0
2025-04-24,12.46,12.46,12.09,12.24,14924.9,科汇股份,12.11,11.92,11.97
2025-04-25,12.28,12.39,12.13,12.34,13117.24,科汇股份,12.21,11.98,11.95
2025-04-28,12.45,12.45,11.98,12.18,17650.92,科汇股份,12.24,12.03,11.94
2025-04-29,12.15,12.55,12.11,12.38,21631.81,科汇股份,12.31,12.08,11.94
2025-04-30,12.36,12.58,12.25,12.5,27971.15,科汇股份,12.33,12.16,11.94
2025-05-06,12.51,12.9,12.51,12.88,25148.94,科汇股份,12.46,12.28,11.94
2025-05-07,12.88,13.14,12.73,12.87,21701.56,科汇股份,12.56,12.39,11.95
2025-05-08,12.83,13.19,12.83,13.07,15442.82,科汇股份,12.74,12.49,12.06
2025-05-09,13.14,13.14,12.95,13.0,13188.26,科汇股份,12.86,12.58,12.16
2025-05-12,13.07,13.45,13.07,13.32,25177.75,科汇股份,13.03,12.68,12.26
2025-05-13,13.38,13.38,13.06,13.12,14856.6,科汇股份,13.08,12.77,12.34
2025-05-14,13.16,13.25,13.01,13.01,15362.29,科汇股份,13.1,12.83,12.41
2025-05-15,13.0,13.15,12.78,13.01,12112.01,科汇股份,13.09,12.92,12.47
2025-05-16,12.96,13.28,12.96,13.18,14291.61,科汇股份,13.13,13.0,12.54
2025-05-19,13.21,13.39,13.07,13.23,13841.01,科汇股份,13.11,13.07,12.62
2025-05-20,13.2,13.41,13.2,13.39,11052.76,科汇股份,13.16,13.12,12.7
2025-05-21,13.46,13.46,13.14,13.28,11119.21,科汇股份,13.22,13.16,12.77
2025-05-22,13.31,13.47,13.05,13.07,11345.7,科汇股份,13.23,13.16,12.83
2025-05-23,12.98,13.29,12.94,12.98,13861.73,科汇股份,13.19,13.16,12.87
2025-05-26,13.19,13.29,12.92,13.09,15234.2,科汇股份,13.16,13.14,12.91
2025-05-27,13.05,13.2,12.95,13.11,10613.79,科汇股份,13.11,13.14,12.95
2025-05-28,13.19,13.28,12.98,13.09,12143.11,科汇股份,13.07,13.14,12.99
