date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-05-16,49.0,55.55,45.91,46.1,125133.4,汉邦科技,46.1,46.1,46.1
2025-05-19,46.88,48.58,46.11,46.55,77452.17,汉邦科技,46.32,46.32,46.32
2025-05-20,45.8,50.01,44.99,49.2,83229.84,汉邦科技,47.28,47.28,47.28
2025-05-21,48.59,49.49,46.8,46.83,57132.71,汉邦科技,47.17,47.17,47.17
2025-05-22,46.6,52.06,46.6,50.02,81439.69,汉邦科技,47.74,47.74,47.74
2025-05-23,49.65,52.68,48.9,50.59,67867.8,汉邦科技,48.64,48.22,48.22
2025-05-26,50.51,52.0,47.8,48.8,53846.67,汉邦科技,49.09,48.3,48.3
2025-05-27,49.04,50.01,48.05,48.45,39339.48,汉邦科技,48.94,48.32,48.32
2025-05-28,48.64,48.87,46.77,47.4,35456.76,汉邦科技,49.05,48.22,48.22
2025-05-29,47.31,50.89,47.08,49.4,52188.07,汉邦科技,48.93,48.33,48.33
2025-05-30,49.22,50.58,48.86,48.92,35860.13,汉邦科技,48.59,48.62,48.39
2025-06-03,48.44,53.55,48.15,52.48,57303.34,汉邦科技,49.33,49.21,48.73
2025-06-04,51.88,52.38,50.41,51.0,36365.55,汉邦科技,49.84,49.39,48.9
2025-06-05,50.8,51.18,49.16,49.84,34134.57,汉邦科技,50.33,49.69,48.97
2025-06-06,49.9,50.13,48.73,49.21,23659.21,汉邦科技,50.29,49.61,48.99
2025-06-09,49.42,50.17,49.16,49.81,25503.36,汉邦科技,50.47,49.53,49.04
2025-06-10,49.8,50.09,47.5,48.14,35191.4,汉邦科技,49.6,49.46,48.98
2025-06-11,48.18,49.55,48.13,48.39,22854.44,汉邦科技,49.08,49.46,48.95
2025-06-12,48.21,48.85,47.86,48.06,19392.01,汉邦科技,48.72,49.52,48.9
2025-06-13,48.0,48.5,46.53,46.61,29081.79,汉邦科技,48.2,49.25,48.79
2025-06-16,46.48,47.35,46.41,46.74,14308.33,汉邦科技,47.59,49.03,48.82
2025-06-17,46.9,47.64,46.11,46.46,17044.57,汉邦科技,47.25,48.43,48.82
2025-06-18,46.18,46.46,45.73,46.37,13265.12,汉邦科技,46.85,47.96,48.68
