date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-06-11,182.0,187.99,165.11,177.0,212904.2,影石创新,177.0,177.0,177.0
2025-06-12,173.0,179.97,167.98,170.24,104310.22,影石创新,173.62,173.62,173.62
2025-06-13,168.0,175.75,161.8,171.8,71825.15,影石创新,173.01,173.01,173.01
2025-06-16,170.99,176.49,168.1,175.7,43580.29,影石创新,173.68,173.68,173.68
2025-06-17,175.0,176.7,170.18,170.18,38812.83,影石创新,172.98,172.98,172.98
2025-06-18,166.5,204.22,166.5,204.22,103992.16,影石创新,178.43,178.19,178.19
2025-06-19,195.5,196.2,178.1,178.4,84184.84,影石创新,180.06,178.22,178.22
2025-06-20,175.99,180.9,171.85,172.0,45348.82,影石创新,180.1,177.44,177.44
2025-06-23,171.0,174.9,168.01,173.45,32376.41,影石创新,179.65,177.0,177.0
2025-06-24,173.47,181.0,172.0,177.33,37823.28,影石创新,181.08,177.03,177.03
2025-06-25,178.49,179.5,172.0,176.11,35269.79,影石创新,175.46,176.94,176.95
2025-06-26,174.98,175.65,168.8,169.23,36841.16,影石创新,173.62,176.84,176.3
2025-06-27,168.79,171.27,168.01,169.0,23664.37,影石创新,173.02,176.56,175.74
2025-06-30,169.0,171.87,167.1,168.44,25098.42,影石创新,172.02,175.84,175.22
2025-07-01,168.46,178.82,168.46,173.5,41464.18,影石创新,171.26,176.17,175.11
2025-07-02,172.1,172.97,168.0,169.12,19778.27,影石创新,169.86,172.66,174.73
2025-07-03,168.08,170.2,168.08,169.9,14104.65,影石创新,169.99,171.81,174.45
2025-07-04,168.9,169.79,167.3,168.41,14806.75,影石创新,169.87,171.45,174.11
2025-07-07,169.2,169.2,166.66,167.0,11983.29,影石创新,169.59,170.8,173.74
2025-07-08,167.6,171.78,166.66,169.0,14084.39,影石创新,168.69,169.97,173.5
2025-07-09,169.0,178.63,167.92,171.84,32386.46,影石创新,169.23,169.54,173.24
2025-07-10,171.0,175.14,170.11,174.2,15662.84,影石创新,170.09,170.04,173.44
2025-07-11,172.58,173.0,168.64,169.36,24171.13,影石创新,170.28,170.08,173.32
2025-07-14,170.72,170.73,167.51,167.8,15516.99,影石创新,170.44,170.01,172.92
2025-07-15,168.27,168.28,162.45,167.8,23338.35,影石创新,170.2,169.44,172.81
2025-07-16,167.0,169.51,165.25,166.92,15477.35,影石创新,169.22,169.22,170.94
2025-07-17,165.8,169.5,165.8,167.58,12345.01,影石创新,167.89,168.99,170.4
2025-07-18,168.48,168.7,167.13,168.0,12008.28,影石创新,167.62,168.95,170.2
2025-07-21,168.0,168.47,162.0,162.38,32676.1,影石创新,166.54,168.49,169.65
2025-07-22,162.01,163.8,161.96,163.0,12646.59,影石创新,165.58,167.89,168.93
2025-07-23,163.09,163.19,161.06,162.5,13541.77,影石创新,164.69,166.95,168.25
2025-07-24,164.94,167.8,164.75,166.51,22830.71,影石创新,164.48,166.18,168.11
2025-07-25,165.55,165.87,163.5,165.53,14377.63,影石创新,163.98,165.8,167.94
2025-07-28,165.53,167.0,163.88,164.17,13043.32,影石创新,164.34,165.44,167.73
2025-07-29,166.9,185.88,166.9,174.41,64689.86,影石创新,166.62,166.1,167.77
2025-07-30,174.0,183.84,173.84,180.28,50950.33,影石创新,170.18,167.44,168.33
2025-07-31,178.88,181.88,174.72,175.29,29284.24,影石创新,171.94,168.21,168.6
2025-08-01,175.3,175.35,163.77,164.79,40929.31,影石创新,171.79,167.89,168.42
2025-08-04,161.99,165.53,161.99,164.54,20448.06,影石创新,171.86,168.1,168.3
2025-08-05,164.5,170.99,164.18,166.88,20608.27,影石创新,170.36,168.49,168.19
2025-08-06,167.11,168.49,165.0,167.73,14795.46,影石创新,167.85,169.01,167.98
2025-08-07,167.29,169.75,166.81,167.89,17167.5,影石创新,166.37,169.15,167.67
2025-08-08,167.89,173.66,165.01,170.92,24140.33,影石创新,167.59,169.69,167.75
2025-08-11,175.0,186.0,174.88,182.95,46543.38,影石创新,171.27,171.57,168.5
2025-08-12,183.0,193.0,182.68,186.41,39367.71,影石创新,175.18,172.77,169.43
2025-08-13,187.0,188.2,181.44,184.31,29724.67,影石创新,178.5,173.17,170.3
2025-08-14,184.11,190.43,182.44,187.02,36807.41,影石创新,182.32,174.34,171.28
2025-08-15,206.0,224.42,206.0,224.42,86845.9,影石创新,193.02,180.31,174.1
2025-08-18,250.18,269.3,250.18,269.3,55722.32,影石创新,210.29,190.78,179.44
2025-08-19,313.07,318.88,276.3,300.0,143798.47,影石创新,233.01,204.1,186.29
2025-08-20,294.6,302.99,282.0,287.99,92223.89,影石创新,253.75,216.12,192.57
2025-08-21,286.0,293.0,271.87,277.0,71080.69,影石创新,271.74,227.03,198.09
2025-08-22,272.22,275.98,258.7,264.99,77524.17,影石创新,279.86,236.44,203.06
2025-08-25,269.0,288.63,265.15,283.25,81333.49,影石创新,282.65,246.47,209.02
2025-08-26,277.87,287.9,273.95,274.7,49179.11,影石创新,277.59,255.3,214.03
2025-08-27,274.0,316.53,269.3,296.2,87265.63,影石创新,279.23,266.49,219.83
2025-08-28,298.5,354.98,293.55,352.0,93601.16,影石创新,294.23,282.98,228.66
2025-08-29,339.99,340.0,315.0,322.15,71818.77,影石创新,305.66,292.76,236.53
2025-09-01,314.0,332.6,306.0,326.9,51492.46,影石创新,314.39,298.52,244.65
