date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.05,9.16,8.96,9.09,130538.98,中山公用,9.09,9.09,9.09
2025-03-25,9.1,9.15,9.04,9.15,120949.37,中山公用,9.12,9.12,9.12
2025-03-26,9.11,9.21,9.09,9.18,112736.29,中山公用,9.14,9.14,9.14
2025-03-27,9.15,9.2,9.06,9.08,95036.0,中山公用,9.12,9.12,9.12
2025-03-28,9.09,9.11,8.98,9.02,95344.12,中山公用,9.1,9.1,9.1
2025-03-31,8.99,9.08,8.87,8.87,105751.34,中山公用,9.06,9.06,9.06
2025-04-01,8.91,9.03,8.9,8.94,110186.34,中山公用,9.02,9.05,9.05
2025-04-02,8.94,8.98,8.9,8.94,57096.0,中山公用,8.97,9.03,9.03
2025-04-03,8.87,9.05,8.86,8.98,68264.1,中山公用,8.95,9.03,9.03
2025-04-07,8.66,8.75,8.1,8.22,429663.22,中山公用,8.79,8.95,8.95
2025-04-08,8.28,8.52,8.28,8.4,229985.18,中山公用,8.7,8.88,8.9
2025-04-09,8.29,8.45,8.18,8.41,151585.06,中山公用,8.59,8.8,8.86
2025-04-10,8.5,8.62,8.45,8.51,117623.27,中山公用,8.5,8.74,8.83
2025-04-11,8.49,8.62,8.45,8.56,88792.0,中山公用,8.42,8.68,8.81
2025-04-14,8.56,8.62,8.52,8.55,89238.4,中山公用,8.49,8.64,8.79
2025-04-15,8.54,8.56,8.48,8.55,74900.2,中山公用,8.52,8.61,8.78
2025-04-16,8.53,8.57,8.46,8.52,71475.08,中山公用,8.54,8.56,8.76
2025-04-17,8.5,8.57,8.47,8.53,50382.3,中山公用,8.54,8.52,8.75
2025-04-18,8.52,8.55,8.47,8.52,46894.02,中山公用,8.53,8.48,8.74
2025-04-21,8.54,8.6,8.52,8.57,57587.0,中山公用,8.54,8.51,8.73
2025-04-22,8.58,8.75,8.56,8.72,82678.44,中山公用,8.57,8.54,8.71
2025-04-23,8.73,8.79,8.7,8.72,54781.0,中山公用,8.61,8.57,8.69
2025-04-24,8.73,8.82,8.7,8.8,88495.89,中山公用,8.67,8.6,8.67
2025-04-25,8.78,8.92,8.78,8.9,79093.44,中山公用,8.74,8.64,8.66
2025-04-28,8.75,8.75,8.54,8.65,151943.72,中山公用,8.76,8.65,8.64
2025-04-29,8.62,8.63,8.53,8.55,83617.82,中山公用,8.72,8.65,8.63
2025-04-30,8.61,8.72,8.54,8.54,132801.82,中山公用,8.69,8.65,8.61
2025-05-06,8.58,8.59,8.5,8.59,115914.85,中山公用,8.65,8.66,8.59
2025-05-07,8.68,8.72,8.59,8.64,95106.25,中山公用,8.59,8.67,8.57
2025-05-08,8.62,8.65,8.58,8.63,83664.87,中山公用,8.59,8.67,8.59
2025-05-09,8.64,8.67,8.61,8.64,94307.61,中山公用,8.61,8.67,8.6
2025-05-12,8.66,8.67,8.6,8.63,107403.44,中山公用,8.63,8.66,8.62
2025-05-13,8.66,8.68,8.63,8.64,73392.44,中山公用,8.64,8.64,8.62
2025-05-14,8.63,8.9,8.59,8.82,203847.08,中山公用,8.67,8.63,8.64
2025-05-15,8.77,8.8,8.67,8.67,100176.91,中山公用,8.68,8.64,8.64
2025-05-16,8.66,8.7,8.59,8.6,91535.03,中山公用,8.67,8.64,8.64
2025-05-19,8.61,8.65,8.58,8.64,59961.28,中山公用,8.67,8.65,8.65
2025-05-20,8.64,8.66,8.62,8.64,61028.56,中山公用,8.67,8.66,8.66
2025-05-21,8.64,8.68,8.62,8.64,58533.02,中山公用,8.64,8.66,8.66
2025-05-22,8.63,8.63,8.54,8.54,77455.0,中山公用,8.61,8.65,8.66
2025-05-23,8.53,8.57,8.44,8.46,89963.0,中山公用,8.58,8.63,8.65
2025-05-26,8.44,8.51,8.43,8.45,50718.0,中山公用,8.55,8.61,8.63
2025-05-27,8.46,8.51,8.44,8.46,53614.76,中山公用,8.51,8.59,8.62
2025-05-28,8.46,8.53,8.46,8.48,43593.83,中山公用,8.48,8.56,8.6
2025-05-29,8.49,8.54,8.47,8.52,57040.97,中山公用,8.47,8.54,8.59
2025-05-30,8.52,8.54,8.48,8.52,47208.98,中山公用,8.49,8.54,8.59
2025-06-03,8.49,8.56,8.46,8.51,82199.98,中山公用,8.5,8.52,8.59
2025-06-04,8.53,8.59,8.51,8.57,71302.3,中山公用,8.52,8.52,8.59
2025-06-05,8.59,8.62,8.55,8.58,51001.7,中山公用,8.54,8.51,8.58
2025-06-06,8.58,8.6,8.55,8.57,47591.51,中山公用,8.55,8.51,8.58
2025-06-09,8.6,8.64,8.57,8.63,79485.04,中山公用,8.57,8.53,8.58
2025-06-10,8.64,8.66,8.58,8.61,70855.45,中山公用,8.59,8.54,8.58
2025-06-11,8.62,8.8,8.6,8.76,172931.46,中山公用,8.63,8.57,8.58
2025-06-12,8.74,8.78,8.71,8.76,84145.05,中山公用,8.67,8.6,8.58
2025-06-13,8.75,8.83,8.73,8.74,116551.42,中山公用,8.7,8.62,8.58
2025-06-16,8.71,8.76,8.7,8.73,69224.0,中山公用,8.72,8.65,8.59
2025-06-17,8.73,8.74,8.7,8.74,49836.17,中山公用,8.75,8.67,8.6
2025-06-18,8.74,8.74,8.63,8.66,52125.05,中山公用,8.73,8.68,8.6
2025-06-19,8.66,8.68,8.53,8.56,71041.45,中山公用,8.69,8.68,8.59
