date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.02,3.09,2.98,3.02,261744.36,锌业股份,3.02,3.02,3.02
2025-03-25,3.04,3.14,3.03,3.08,382725.61,锌业股份,3.05,3.05,3.05
2025-03-26,3.08,3.16,3.07,3.1,426309.4,锌业股份,3.07,3.07,3.07
2025-03-27,3.07,3.11,3.02,3.02,258369.9,锌业股份,3.06,3.06,3.06
2025-03-28,3.03,3.04,2.94,2.97,239837.0,锌业股份,3.04,3.04,3.04
2025-03-31,2.94,2.97,2.87,2.91,186598.5,锌业股份,3.02,3.02,3.02
2025-04-01,2.92,2.97,2.92,2.94,119127.9,锌业股份,2.99,3.01,3.01
2025-04-02,2.94,2.95,2.91,2.93,100243.0,锌业股份,2.95,3.0,3.0
2025-04-03,2.91,2.95,2.89,2.94,121973.98,锌业股份,2.94,2.99,2.99
2025-04-07,2.83,2.83,2.65,2.65,244071.0,锌业股份,2.87,2.96,2.96
2025-04-08,2.65,2.66,2.56,2.61,286236.45,锌业股份,2.81,2.92,2.92
2025-04-09,2.58,2.65,2.45,2.65,234576.97,锌业股份,2.76,2.87,2.9
2025-04-10,2.68,2.72,2.66,2.69,215054.87,锌业股份,2.71,2.83,2.89
2025-04-11,2.66,2.73,2.62,2.69,184753.29,锌业股份,2.66,2.8,2.87
2025-04-14,2.72,2.79,2.71,2.77,161405.81,锌业股份,2.68,2.78,2.86
2025-04-15,2.77,2.78,2.72,2.73,98424.8,锌业股份,2.71,2.76,2.86
2025-04-16,2.74,2.75,2.66,2.7,128917.0,锌业股份,2.72,2.74,2.85
2025-04-17,2.7,2.74,2.68,2.72,104607.1,锌业股份,2.72,2.72,2.84
2025-04-18,2.7,2.73,2.7,2.72,60785.8,锌业股份,2.73,2.69,2.83
2025-04-21,2.73,2.79,2.71,2.77,137609.9,锌业股份,2.73,2.7,2.83
2025-04-22,2.77,2.81,2.76,2.81,143265.3,锌业股份,2.74,2.72,2.82
2025-04-23,2.8,2.82,2.76,2.78,114606.09,锌业股份,2.76,2.74,2.8
2025-04-24,2.77,2.8,2.76,2.77,98742.9,锌业股份,2.77,2.75,2.79
2025-04-25,2.85,2.98,2.85,2.91,519342.11,锌业股份,2.81,2.77,2.78
2025-04-28,2.9,2.94,2.87,2.88,236092.36,锌业股份,2.83,2.78,2.78
2025-04-29,2.87,2.94,2.86,2.91,170259.88,锌业股份,2.85,2.8,2.78
2025-04-30,2.9,2.93,2.86,2.87,143042.11,锌业股份,2.87,2.81,2.78
2025-05-06,2.88,2.92,2.88,2.92,166835.09,锌业股份,2.9,2.83,2.77
2025-05-07,2.93,2.95,2.92,2.95,207187.85,锌业股份,2.91,2.86,2.78
2025-05-08,2.94,2.95,2.91,2.94,119554.62,锌业股份,2.92,2.87,2.79
2025-05-09,2.93,2.94,2.91,2.93,104177.79,锌业股份,2.92,2.89,2.81
2025-05-12,2.94,2.94,2.91,2.94,126656.1,锌业股份,2.94,2.9,2.82
2025-05-13,2.95,2.96,2.92,2.94,122421.95,锌业股份,2.94,2.92,2.83
2025-05-14,2.94,2.96,2.92,2.96,131731.11,锌业股份,2.94,2.92,2.85
2025-05-15,2.96,2.97,2.93,2.94,123414.01,锌业股份,2.94,2.93,2.85
2025-05-16,2.93,2.99,2.93,2.95,181473.8,锌业股份,2.95,2.93,2.87
2025-05-19,2.96,3.04,2.94,3.01,244572.67,锌业股份,2.96,2.95,2.88
2025-05-20,3.03,3.04,2.99,3.02,192659.73,锌业股份,2.98,2.96,2.9
2025-05-21,3.01,3.03,2.99,3.03,139160.68,锌业股份,2.99,2.97,2.91
2025-05-22,3.02,3.04,2.97,2.98,134107.29,锌业股份,3.0,2.97,2.92
