date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.6,3.62,3.54,3.58,392318.38,新兴铸管,3.58,3.58,3.58
2025-03-25,3.58,3.63,3.56,3.62,326171.3,新兴铸管,3.6,3.6,3.6
2025-03-26,3.62,3.62,3.59,3.6,253114.46,新兴铸管,3.6,3.6,3.6
2025-03-27,3.59,3.6,3.56,3.57,256924.5,新兴铸管,3.59,3.59,3.59
2025-03-28,3.56,3.57,3.51,3.52,312194.37,新兴铸管,3.58,3.58,3.58
2025-03-31,3.5,3.52,3.44,3.46,284152.0,新兴铸管,3.55,3.56,3.56
2025-04-01,3.46,3.52,3.46,3.5,241895.56,新兴铸管,3.53,3.55,3.55
2025-04-02,3.5,3.51,3.47,3.48,174412.02,新兴铸管,3.51,3.54,3.54
2025-04-03,3.46,3.52,3.46,3.51,249165.32,新兴铸管,3.49,3.54,3.54
2025-04-07,3.4,3.41,3.16,3.17,608348.21,新兴铸管,3.42,3.5,3.5
2025-04-08,3.18,3.27,3.17,3.24,401623.04,新兴铸管,3.38,3.47,3.48
2025-04-09,3.21,3.28,3.12,3.27,423400.98,新兴铸管,3.33,3.43,3.46
2025-04-10,3.28,3.33,3.27,3.28,373430.87,新兴铸管,3.29,3.4,3.45
2025-04-11,3.27,3.33,3.26,3.3,280295.88,新兴铸管,3.25,3.37,3.44
2025-04-14,3.32,3.41,3.31,3.36,373256.58,新兴铸管,3.29,3.36,3.43
2025-04-15,3.37,3.37,3.31,3.33,205242.51,新兴铸管,3.31,3.34,3.42
2025-04-16,3.33,3.37,3.3,3.36,264712.45,新兴铸管,3.33,3.33,3.42
2025-04-17,3.35,3.42,3.35,3.37,278541.4,新兴铸管,3.34,3.32,3.42
2025-04-18,3.37,3.39,3.35,3.39,149559.67,新兴铸管,3.36,3.31,3.42
2025-04-21,3.38,3.4,3.36,3.39,209593.0,新兴铸管,3.37,3.33,3.42
2025-04-22,3.38,3.4,3.37,3.38,200728.57,新兴铸管,3.38,3.34,3.4
2025-04-23,3.38,3.4,3.36,3.36,265977.0,新兴铸管,3.38,3.35,3.39
2025-04-24,3.37,3.38,3.35,3.36,203067.52,新兴铸管,3.38,3.36,3.38
2025-04-25,3.36,3.4,3.36,3.37,234496.07,新兴铸管,3.37,3.37,3.37
2025-04-28,3.39,3.41,3.37,3.38,350977.0,新兴铸管,3.37,3.37,3.36
2025-04-29,3.39,3.45,3.38,3.41,343881.72,新兴铸管,3.38,3.38,3.36
2025-04-30,3.42,3.43,3.37,3.37,273262.39,新兴铸管,3.38,3.38,3.35
2025-05-06,3.39,3.43,3.38,3.43,322236.27,新兴铸管,3.39,3.38,3.35
2025-05-07,3.45,3.48,3.43,3.47,314266.16,新兴铸管,3.41,3.39,3.35
2025-05-08,3.46,3.48,3.45,3.48,275963.81,新兴铸管,3.43,3.4,3.36
2025-05-09,3.47,3.49,3.45,3.45,195364.16,新兴铸管,3.44,3.41,3.38
2025-05-12,3.46,3.48,3.44,3.47,197118.95,新兴铸管,3.46,3.42,3.39
2025-05-13,3.48,3.5,3.47,3.48,252604.57,新兴铸管,3.47,3.43,3.4
2025-05-14,3.48,3.51,3.45,3.51,287349.81,新兴铸管,3.48,3.44,3.41
2025-05-15,3.51,3.54,3.5,3.51,246427.0,新兴铸管,3.48,3.46,3.41
2025-05-16,3.53,3.53,3.48,3.49,234152.54,新兴铸管,3.49,3.47,3.42
2025-05-19,3.49,3.54,3.48,3.54,305689.0,新兴铸管,3.51,3.48,3.43
2025-05-20,3.54,3.54,3.5,3.52,259904.6,新兴铸管,3.51,3.49,3.44
2025-05-21,3.52,3.52,3.5,3.5,250455.0,新兴铸管,3.51,3.5,3.44
2025-05-22,3.5,3.51,3.46,3.46,211969.9,新兴铸管,3.5,3.49,3.45
2025-05-23,3.47,3.49,3.44,3.44,251054.17,新兴铸管,3.49,3.49,3.45
2025-05-26,3.44,3.49,3.41,3.46,203983.48,新兴铸管,3.48,3.49,3.45
2025-05-27,3.48,3.48,3.43,3.48,198924.83,新兴铸管,3.47,3.49,3.46
2025-05-28,3.48,3.48,3.45,3.46,138549.5,新兴铸管,3.46,3.49,3.47
2025-05-29,3.46,3.5,3.45,3.5,242012.59,新兴铸管,3.47,3.49,3.47
2025-05-30,3.49,3.52,3.46,3.51,332238.58,新兴铸管,3.48,3.49,3.48
2025-06-03,3.49,3.51,3.46,3.47,430741.23,新兴铸管,3.48,3.48,3.48
2025-06-04,3.48,3.52,3.47,3.52,301798.8,新兴铸管,3.49,3.48,3.49
2025-06-05,3.52,3.58,3.51,3.54,380901.2,新兴铸管,3.51,3.48,3.49
2025-06-06,3.53,3.57,3.53,3.56,304443.84,新兴铸管,3.52,3.49,3.49
2025-06-09,3.57,3.58,3.54,3.57,283459.42,新兴铸管,3.53,3.51,3.5
2025-06-10,3.58,3.58,3.52,3.54,301044.16,新兴铸管,3.55,3.51,3.5
2025-06-11,3.54,3.57,3.53,3.55,227304.87,新兴铸管,3.55,3.52,3.51
2025-06-12,3.55,3.56,3.49,3.51,391609.87,新兴铸管,3.55,3.53,3.51
2025-06-13,3.5,3.51,3.46,3.46,578192.58,新兴铸管,3.53,3.52,3.5
