date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.41,4.44,4.19,4.29,1153945.87,居然智家,4.29,4.29,4.29
2025-03-25,4.31,4.33,4.19,4.22,711700.23,居然智家,4.26,4.26,4.26
2025-03-26,4.19,4.28,4.18,4.24,581027.36,居然智家,4.25,4.25,4.25
2025-03-27,4.24,4.31,4.21,4.24,749380.02,居然智家,4.25,4.25,4.25
2025-03-28,4.27,4.38,4.26,4.28,897119.08,居然智家,4.25,4.25,4.25
2025-03-31,4.2,4.27,4.1,4.23,702893.93,居然智家,4.24,4.25,4.25
2025-04-01,4.23,4.26,4.18,4.2,591928.8,居然智家,4.24,4.24,4.24
2025-04-02,4.19,4.24,4.16,4.21,461031.55,居然智家,4.23,4.24,4.24
2025-04-03,4.16,4.25,4.14,4.17,597055.2,居然智家,4.22,4.23,4.23
2025-04-07,3.9,3.97,3.75,3.75,701740.47,居然智家,4.11,4.18,4.18
2025-04-08,3.6,4.06,3.56,3.95,1499737.62,居然智家,4.06,4.15,4.16
2025-04-09,3.86,4.14,3.57,3.97,1399565.83,居然智家,4.01,4.12,4.15
2025-04-10,4.04,4.19,4.02,4.08,1242898.61,居然智家,3.98,4.11,4.14
2025-04-11,4.01,4.12,4.0,4.06,888529.09,居然智家,3.96,4.09,4.14
2025-04-14,4.13,4.25,4.11,4.2,997840.96,居然智家,4.05,4.08,4.14
2025-04-15,4.16,4.21,4.08,4.11,740465.99,居然智家,4.08,4.07,4.14
2025-04-16,4.07,4.11,3.95,4.07,750248.0,居然智家,4.1,4.06,4.13
2025-04-17,4.02,4.16,3.99,4.1,735839.04,居然智家,4.11,4.05,4.13
2025-04-18,3.69,3.69,3.69,3.69,251703.0,居然智家,4.03,4.0,4.11
2025-04-21,3.32,3.67,3.32,3.56,2642841.34,居然智家,3.91,3.98,4.08
2025-04-22,3.42,3.54,3.41,3.42,1899055.89,居然智家,3.77,3.93,4.04
2025-04-23,3.45,3.5,3.4,3.41,1244099.52,居然智家,3.64,3.87,4.0
2025-04-24,3.41,3.43,3.34,3.36,852532.02,居然智家,3.49,3.8,3.95
2025-04-25,3.36,3.45,3.35,3.39,1015745.25,居然智家,3.43,3.73,3.91
2025-04-28,3.37,3.4,3.26,3.27,961807.32,居然智家,3.37,3.64,3.86
2025-04-29,3.2,3.29,3.16,3.21,1092938.84,居然智家,3.33,3.55,3.81
2025-04-30,3.25,3.49,3.25,3.31,1618159.19,居然智家,3.31,3.47,3.76
2025-05-06,3.33,3.43,3.32,3.43,1153089.67,居然智家,3.32,3.4,3.73
2025-05-07,3.49,3.5,3.38,3.43,940433.0,居然智家,3.33,3.38,3.69
2025-05-08,3.4,3.52,3.37,3.49,1167256.85,居然智家,3.37,3.37,3.68
