date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.68,7.9,7.35,7.56,721321.1,海南高速,7.56,7.56,7.56
2025-03-25,7.41,7.47,6.8,6.8,673018.28,海南高速,7.18,7.18,7.18
2025-03-26,6.77,6.98,6.58,6.66,538501.03,海南高速,7.01,7.01,7.01
2025-03-27,6.64,6.66,6.45,6.53,280763.33,海南高速,6.89,6.89,6.89
2025-03-28,6.54,6.61,6.48,6.48,200483.0,海南高速,6.81,6.81,6.81
2025-03-31,6.4,6.44,6.09,6.15,368808.17,海南高速,6.52,6.7,6.7
2025-04-01,6.26,6.28,6.12,6.13,221565.39,海南高速,6.39,6.62,6.62
2025-04-02,6.13,6.26,6.09,6.11,235085.14,海南高速,6.28,6.55,6.55
2025-04-03,6.05,6.2,6.02,6.19,213581.08,海南高速,6.21,6.51,6.51
2025-04-07,5.89,5.89,5.57,5.57,307025.48,海南高速,6.03,6.42,6.42
2025-04-08,5.45,5.62,5.36,5.6,363174.4,海南高速,5.92,6.22,6.34
2025-04-09,5.44,6.16,5.25,6.16,562240.58,海南高速,5.93,6.16,6.33
2025-04-10,6.02,6.43,6.01,6.25,542183.02,海南高速,5.95,6.12,6.32
2025-04-11,6.22,6.59,6.17,6.48,513183.64,海南高速,6.01,6.11,6.33
2025-04-14,6.52,7.12,6.4,6.8,686703.6,海南高速,6.26,6.14,6.36
2025-04-15,6.66,6.69,6.38,6.4,469498.22,海南高速,6.42,6.17,6.37
2025-04-16,6.35,6.44,6.18,6.29,244564.55,海南高速,6.44,6.18,6.36
2025-04-17,6.28,6.38,6.19,6.22,202908.0,海南高速,6.44,6.2,6.35
2025-04-18,6.22,6.26,6.13,6.21,172879.0,海南高速,6.38,6.2,6.35
2025-04-21,6.14,6.24,6.11,6.24,144584.0,海南高速,6.27,6.26,6.34
2025-04-22,6.3,6.39,6.23,6.32,266805.01,海南高速,6.26,6.34,6.28
2025-04-23,6.31,6.36,6.22,6.23,154597.01,海南高速,6.24,6.34,6.25
2025-04-24,6.24,6.28,6.13,6.15,134190.01,海南高速,6.23,6.33,6.23
2025-04-25,6.16,6.25,6.15,6.15,133234.0,海南高速,6.22,6.3,6.21
2025-04-28,6.28,6.28,6.05,6.08,162025.36,海南高速,6.19,6.23,6.19
2025-04-29,6.07,6.2,6.06,6.11,101213.68,海南高速,6.14,6.2,6.18
2025-04-30,6.08,6.22,6.08,6.17,133373.68,海南高速,6.13,6.19,6.19
2025-05-06,6.19,6.33,6.19,6.3,165728.02,海南高速,6.16,6.2,6.2
2025-05-07,6.37,6.41,6.26,6.3,156553.17,海南高速,6.19,6.2,6.2
