date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.42,6.46,6.33,6.42,193690.98,越秀资本,6.42,6.42,6.42
2025-03-25,6.42,6.48,6.38,6.45,158254.17,越秀资本,6.44,6.44,6.44
2025-03-26,6.42,6.46,6.38,6.44,154316.56,越秀资本,6.44,6.44,6.44
2025-03-27,6.42,6.54,6.38,6.46,176026.88,越秀资本,6.44,6.44,6.44
2025-03-28,6.46,6.54,6.45,6.52,201501.21,越秀资本,6.46,6.46,6.46
2025-03-31,6.5,6.52,6.33,6.37,268093.0,越秀资本,6.45,6.44,6.44
2025-04-01,6.39,6.52,6.36,6.46,230895.25,越秀资本,6.45,6.45,6.45
2025-04-02,6.43,6.52,6.43,6.48,122200.95,越秀资本,6.46,6.45,6.45
2025-04-03,6.43,6.53,6.41,6.51,216087.84,越秀资本,6.47,6.46,6.46
2025-04-07,6.23,6.28,5.86,5.86,425314.5,越秀资本,6.34,6.4,6.4
2025-04-08,5.9,6.01,5.82,5.99,434206.62,越秀资本,6.26,6.35,6.36
2025-04-09,5.92,6.22,5.81,6.14,380709.12,越秀资本,6.2,6.32,6.34
2025-04-10,6.19,6.33,6.17,6.24,305001.84,越秀资本,6.15,6.3,6.33
2025-04-11,6.2,6.23,6.12,6.12,239079.51,越秀资本,6.07,6.27,6.32
2025-04-14,6.18,6.24,6.14,6.22,222645.75,越秀资本,6.14,6.24,6.31
2025-04-15,6.3,6.37,6.23,6.28,216006.0,越秀资本,6.2,6.23,6.31
2025-04-16,6.25,6.29,6.12,6.28,203766.57,越秀资本,6.23,6.21,6.31
2025-04-17,6.22,6.31,6.21,6.25,123231.18,越秀资本,6.23,6.19,6.3
2025-04-18,6.22,6.34,6.22,6.31,155132.19,越秀资本,6.27,6.17,6.31
2025-04-21,6.29,6.36,6.25,6.32,147238.34,越秀资本,6.29,6.22,6.31
2025-04-22,6.3,6.52,6.3,6.45,270005.13,越秀资本,6.32,6.26,6.31
2025-04-23,6.44,6.55,6.34,6.36,206887.01,越秀资本,6.34,6.28,6.3
