date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,19.73,20.1,19.48,19.98,33497.15,依依股份,19.98,19.98,19.98
2025-03-25,19.85,20.1,19.5,19.64,26327.84,依依股份,19.81,19.81,19.81
2025-03-26,19.6,19.9,19.55,19.7,21149.13,依依股份,19.77,19.77,19.77
2025-03-27,19.63,20.12,19.52,19.96,28800.47,依依股份,19.82,19.82,19.82
2025-03-28,19.96,20.02,19.54,19.55,20994.0,依依股份,19.77,19.77,19.77
2025-03-31,19.31,19.55,18.41,18.78,50265.87,依依股份,19.53,19.6,19.6
2025-04-01,18.93,19.45,18.8,19.25,35795.84,依依股份,19.45,19.55,19.55
2025-04-02,19.1,19.77,19.1,19.59,19930.36,依依股份,19.43,19.56,19.56
2025-04-03,19.1,19.49,18.68,18.9,35123.56,依依股份,19.21,19.48,19.48
2025-04-07,17.01,17.39,17.01,17.01,13635.24,依依股份,18.71,19.24,19.24
2025-04-08,16.0,16.2,15.31,15.31,40333.32,依依股份,18.01,18.77,18.88
2025-04-09,15.0,15.07,13.78,14.93,95985.56,依依股份,17.15,18.3,18.55
2025-04-10,15.61,16.42,15.61,16.42,45835.08,依依股份,16.51,17.97,18.39
2025-04-11,16.47,16.58,16.06,16.29,97672.34,依依股份,15.99,17.6,18.24
2025-04-14,16.53,16.81,16.5,16.6,60789.32,依依股份,15.91,17.31,18.13
2025-04-15,16.7,17.1,16.44,16.98,51319.36,依依股份,16.24,17.13,18.06
2025-04-16,16.89,16.89,16.16,16.4,38523.08,依依股份,16.54,16.84,17.96
2025-04-17,16.4,16.86,16.23,16.65,31203.44,依依股份,16.58,16.55,17.89
2025-04-18,16.61,16.76,16.27,16.4,23948.39,依依股份,16.61,16.3,17.81
2025-04-21,16.32,17.46,16.2,17.38,68222.76,依依股份,16.76,16.34,17.79
2025-04-22,17.33,17.36,16.95,17.07,53515.06,依依股份,16.78,16.51,17.64
2025-04-23,17.51,17.71,17.17,17.44,73509.48,依依股份,16.99,16.76,17.53
2025-04-24,17.46,19.18,17.23,19.18,104627.59,依依股份,17.49,17.04,17.5
2025-04-25,19.34,19.57,18.68,18.7,140940.85,依依股份,17.95,17.28,17.44
2025-04-28,18.52,18.55,17.54,17.64,122782.67,依依股份,18.01,17.38,17.35
2025-04-29,17.85,18.45,17.3,18.18,128361.08,依依股份,18.23,17.5,17.32
2025-04-30,18.52,18.52,17.66,17.73,103987.39,依依股份,18.29,17.64,17.24
2025-05-06,17.81,18.4,17.73,18.13,80781.08,依依股份,18.08,17.78,17.17
2025-05-07,18.58,19.53,18.3,18.56,119167.68,依依股份,18.05,18.0,17.15
2025-05-08,18.58,18.99,18.36,18.63,78447.0,依依股份,18.25,18.13,17.23
2025-05-09,18.55,18.79,18.31,18.52,57807.8,依依股份,18.31,18.27,17.39
2025-05-12,18.89,19.03,18.48,18.74,67669.75,依依股份,18.52,18.4,17.58
2025-05-13,19.3,19.3,18.8,18.97,85449.05,依依股份,18.68,18.38,17.71
2025-05-14,18.9,19.37,18.65,19.01,76755.76,依依股份,18.77,18.41,17.85
2025-05-15,18.9,19.38,18.64,19.35,110492.15,依依股份,18.92,18.58,17.98
2025-05-16,19.16,20.3,18.78,19.86,150711.2,依依股份,19.19,18.75,18.13
2025-05-19,19.58,21.47,19.33,20.85,203336.18,依依股份,19.61,19.06,18.35
2025-05-20,20.49,22.94,20.49,22.94,190257.39,依依股份,20.4,19.54,18.66
2025-05-21,23.47,25.23,22.62,24.35,355717.68,依依股份,21.47,20.12,19.06
2025-05-22,23.12,24.28,22.23,22.41,234067.09,依依股份,22.08,20.5,19.31
2025-05-23,22.15,23.38,22.0,22.24,164635.92,依依股份,22.56,20.87,19.57
2025-05-26,22.38,22.57,21.7,22.1,119384.23,依依股份,22.81,21.21,19.8
2025-05-27,21.9,22.32,21.41,22.01,111850.87,依依股份,22.62,21.51,19.95
2025-05-28,22.01,22.01,21.31,21.61,86846.72,依依股份,22.07,21.77,20.09
2025-05-29,21.34,21.67,21.02,21.4,82142.47,依依股份,21.87,21.98,20.28
2025-05-30,21.28,21.47,20.76,20.9,63937.24,依依股份,21.6,22.08,20.42
2025-06-03,20.6,21.64,20.6,21.57,95244.28,依依股份,21.5,22.15,20.61
2025-06-04,21.6,22.65,21.32,22.38,159805.96,依依股份,21.57,22.1,20.82
2025-06-05,22.03,22.8,21.63,21.71,121128.0,依依股份,21.59,21.83,20.98
2025-06-06,21.53,21.75,20.95,21.21,75484.2,依依股份,21.55,21.71,21.11
2025-06-09,21.2,21.59,20.99,21.35,56892.76,依依股份,21.64,21.62,21.25
2025-06-10,21.38,22.11,21.3,21.89,134821.81,依依股份,21.71,21.6,21.41
2025-06-11,21.68,22.04,21.52,21.69,83633.75,依依股份,21.57,21.57,21.54
2025-06-12,21.69,22.76,21.69,22.62,163664.84,依依股份,21.75,21.67,21.72
2025-06-13,22.23,23.19,21.88,22.48,154597.26,依依股份,22.01,21.78,21.88
2025-06-16,21.98,23.5,21.25,23.03,146933.32,依依股份,22.34,21.99,22.04
2025-06-17,22.9,22.99,22.01,22.2,100266.25,依依股份,22.4,22.06,22.1
2025-06-18,21.96,21.96,21.07,21.14,88243.23,依依股份,22.29,21.93,22.01
2025-06-19,21.03,21.24,20.39,20.6,72901.26,依依股份,21.89,21.82,21.83
2025-06-20,20.54,20.92,20.39,20.58,43841.36,依依股份,21.51,21.76,21.74
2025-06-23,20.33,21.01,20.32,20.82,46648.01,依依股份,21.07,21.7,21.66
2025-06-24,21.19,21.38,20.66,20.77,56324.53,依依股份,20.78,21.59,21.6
2025-06-25,20.81,21.25,20.44,20.8,51200.12,依依股份,20.71,21.5,21.54
2025-06-26,20.83,20.83,20.25,20.51,46308.9,依依股份,20.7,21.29,21.48
2025-06-27,20.48,20.84,20.4,20.73,39880.66,依依股份,20.73,21.12,21.45
2025-06-30,20.87,21.14,20.6,21.0,38982.58,依依股份,20.76,20.92,21.45
2025-07-01,21.05,22.38,21.01,21.9,117048.58,依依股份,20.99,20.88,21.47
2025-07-02,21.89,22.0,21.35,21.8,67111.72,依依股份,21.19,20.95,21.44
2025-07-03,21.66,22.29,21.66,21.99,62303.14,依依股份,21.48,21.09,21.46
2025-07-04,22.19,22.2,21.42,21.74,56774.34,依依股份,21.69,21.21,21.48
2025-07-07,21.7,22.18,21.45,22.01,56750.77,依依股份,21.89,21.32,21.52
2025-07-08,21.95,22.31,21.88,22.08,51136.5,依依股份,21.92,21.46,21.52
2025-07-09,22.11,22.21,21.68,21.68,45301.76,依依股份,21.9,21.54,21.52
2025-07-10,21.57,21.7,21.05,21.1,55256.46,依依股份,21.72,21.6,21.45
2025-07-11,21.11,21.97,21.01,21.82,59907.33,依依股份,21.74,21.71,21.42
2025-07-14,21.82,22.62,21.76,22.49,80675.11,依依股份,21.83,21.86,21.39
2025-07-15,22.58,22.88,21.97,22.59,68809.14,依依股份,21.94,21.93,21.41
2025-07-16,22.69,22.85,22.5,22.69,45146.23,依依股份,22.14,22.02,21.48
2025-07-17,22.77,22.91,22.36,22.58,42475.28,依依股份,22.43,22.08,21.58
2025-07-18,22.58,22.6,22.11,22.18,30742.45,依依股份,22.51,22.12,21.66
2025-07-21,22.06,24.18,22.06,23.62,109191.37,依依股份,22.73,22.28,21.8
2025-07-22,24.05,25.98,24.05,25.98,101093.09,依依股份,23.41,22.67,22.06
2025-07-23,25.98,26.23,24.7,25.91,151414.3,依依股份,24.05,23.1,22.32
2025-07-24,25.45,25.9,25.18,25.24,85422.2,依依股份,24.59,23.51,22.56
2025-07-25,25.25,26.84,25.25,26.19,113788.77,依依股份,25.39,23.95,22.83
2025-07-28,26.33,26.39,25.4,26.02,83480.37,依依股份,25.87,24.3,23.08
2025-07-29,26.37,26.66,25.02,25.36,67552.6,依依股份,25.74,24.58,23.25
2025-07-30,25.2,25.74,25.05,25.48,44985.71,依依股份,25.66,24.86,23.44
2025-07-31,25.72,25.73,24.55,24.62,49492.47,依依股份,25.53,25.06,23.57
2025-08-01,24.72,24.88,24.38,24.51,28861.56,依依股份,25.2,25.29,23.71
2025-08-04,24.51,25.67,24.3,25.46,51666.2,依依股份,25.09,25.48,23.88
2025-08-05,25.35,26.0,25.31,25.47,43534.8,依依股份,25.11,25.43,24.05
2025-08-06,25.48,25.66,25.02,25.48,31432.28,依依股份,25.11,25.38,24.24
2025-08-07,25.23,26.16,25.2,25.7,79352.45,依依股份,25.32,25.43,24.47
2025-08-08,25.6,27.51,25.29,27.09,107776.98,依依股份,25.84,25.52,24.73
2025-08-11,27.07,27.07,26.27,26.41,71888.08,依依股份,26.03,25.56,24.93
2025-08-12,26.44,26.78,25.94,26.57,64639.45,依依股份,26.25,25.68,25.13
2025-08-13,26.9,27.11,25.75,26.3,65912.75,依依股份,26.41,25.76,25.31
2025-08-14,26.2,26.28,25.6,25.6,46040.72,依依股份,26.39,25.86,25.46
2025-08-15,25.44,25.78,25.22,25.54,39123.49,依依股份,26.08,25.96,25.63
2025-08-18,25.48,25.78,25.26,25.68,44818.12,依依股份,25.94,25.98,25.73
2025-08-19,25.65,26.36,25.52,25.86,53287.5,依依股份,25.8,26.02,25.72
2025-08-20,25.89,26.6,25.36,26.18,63653.92,依依股份,25.77,26.09,25.74
2025-08-21,26.01,27.52,25.68,27.01,99033.86,依依股份,26.05,26.22,25.83
2025-08-22,26.21,26.3,24.67,25.63,139641.07,依依股份,26.07,26.08,25.8
2025-08-25,25.63,25.79,24.9,25.29,79641.93,依依股份,25.99,25.97,25.76
2025-08-26,25.3,25.45,24.76,24.79,64105.52,依依股份,25.78,25.79,25.73
2025-08-27,24.8,25.29,24.65,24.93,59560.97,依依股份,25.53,25.65,25.71
2025-08-28,24.93,25.26,24.17,24.98,66702.79,依依股份,25.12,25.59,25.72
