date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.06,4.08,4.02,4.05,164881.29,中铁特货,4.05,4.05,4.05
2025-03-25,4.05,4.12,4.05,4.11,222608.2,中铁特货,4.08,4.08,4.08
2025-03-26,4.11,4.12,4.08,4.1,111109.36,中铁特货,4.09,4.09,4.09
2025-03-27,4.1,4.1,4.06,4.08,101926.0,中铁特货,4.08,4.08,4.08
2025-03-28,4.07,4.09,4.05,4.06,114641.18,中铁特货,4.08,4.08,4.08
2025-03-31,4.05,4.08,4.01,4.01,162902.0,中铁特货,4.07,4.07,4.07
2025-04-01,4.02,4.08,4.02,4.07,146326.0,中铁特货,4.06,4.07,4.07
2025-04-02,4.07,4.07,4.04,4.05,89983.0,中铁特货,4.05,4.07,4.07
2025-04-03,4.04,4.11,4.02,4.1,185890.0,中铁特货,4.06,4.07,4.07
2025-04-07,4.01,4.05,3.74,3.82,406801.57,中铁特货,4.01,4.04,4.04
2025-04-08,3.83,3.97,3.83,3.94,307774.61,中铁特货,4.0,4.03,4.04
2025-04-09,3.93,4.08,3.89,4.08,365509.96,中铁特货,4.0,4.03,4.04
2025-04-10,4.1,4.13,4.03,4.1,378558.45,中铁特货,4.01,4.03,4.04
2025-04-11,4.08,4.2,4.08,4.13,378299.06,中铁特货,4.01,4.04,4.05
2025-04-14,4.13,4.13,4.08,4.1,234776.45,中铁特货,4.07,4.04,4.05
2025-04-15,4.09,4.1,4.05,4.08,134504.05,中铁特货,4.1,4.05,4.06
2025-04-16,4.08,4.11,4.05,4.09,179641.44,中铁特货,4.1,4.05,4.06
2025-04-17,4.07,4.09,4.05,4.07,126029.0,中铁特货,4.09,4.05,4.06
2025-04-18,4.06,4.07,4.03,4.05,102932.0,中铁特货,4.08,4.05,4.06
2025-04-21,4.06,4.06,4.02,4.04,132114.0,中铁特货,4.07,4.07,4.06
2025-04-22,4.04,4.11,4.03,4.1,255558.08,中铁特货,4.07,4.08,4.06
2025-04-23,4.11,4.12,4.05,4.06,159866.0,中铁特货,4.06,4.08,4.06
2025-04-24,4.05,4.07,4.03,4.05,121027.69,中铁特货,4.06,4.08,4.05
2025-04-25,4.04,4.08,4.04,4.07,116420.17,中铁特货,4.06,4.07,4.05
2025-04-28,4.07,4.09,4.04,4.07,104776.99,中铁特货,4.07,4.07,4.05
2025-04-29,4.05,4.07,4.02,4.03,151312.0,中铁特货,4.06,4.06,4.06
2025-04-30,4.03,4.04,3.99,3.99,151881.0,中铁特货,4.04,4.05,4.05
2025-05-06,4.0,4.03,3.99,4.03,94034.31,中铁特货,4.04,4.05,4.05
2025-05-07,4.05,4.08,4.03,4.06,169028.0,中铁特货,4.04,4.05,4.05
2025-05-08,4.05,4.08,4.04,4.07,110963.0,中铁特货,4.04,4.05,4.06
2025-05-09,4.07,4.08,4.05,4.05,95470.04,中铁特货,4.04,4.05,4.07
2025-05-12,4.06,4.08,4.05,4.07,111568.0,中铁特货,4.06,4.05,4.07
2025-05-13,4.08,4.1,4.06,4.08,129422.0,中铁特货,4.07,4.05,4.06
