date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.3,4.32,4.16,4.23,367679.98,报喜鸟,4.23,4.23,4.23
2025-03-25,4.22,4.35,4.2,4.35,411710.0,报喜鸟,4.29,4.29,4.29
2025-03-26,4.34,4.34,4.27,4.28,241390.1,报喜鸟,4.29,4.29,4.29
2025-03-27,4.3,4.32,4.24,4.27,184397.0,报喜鸟,4.28,4.28,4.28
2025-03-28,4.25,4.27,4.18,4.19,238257.34,报喜鸟,4.26,4.26,4.26
2025-03-31,4.15,4.17,4.08,4.1,235390.0,报喜鸟,4.24,4.24,4.24
2025-04-01,4.11,4.17,4.1,4.15,174132.0,报喜鸟,4.2,4.22,4.22
2025-04-02,4.15,4.22,4.14,4.17,240060.3,报喜鸟,4.18,4.22,4.22
2025-04-03,4.13,4.19,4.11,4.17,175046.0,报喜鸟,4.16,4.21,4.21
2025-04-07,3.99,4.0,3.75,3.75,419996.69,报喜鸟,4.07,4.17,4.17
2025-04-08,3.74,3.88,3.74,3.82,339387.0,报喜鸟,4.01,4.12,4.13
2025-04-09,3.79,3.91,3.6,3.85,365775.07,报喜鸟,3.95,4.08,4.11
2025-04-10,3.9,4.06,3.89,3.98,333545.93,报喜鸟,3.91,4.04,4.1
2025-04-11,3.93,3.98,3.9,3.91,218410.78,报喜鸟,3.86,4.01,4.09
2025-04-14,3.93,3.97,3.91,3.92,217457.0,报喜鸟,3.9,3.98,4.08
2025-04-15,3.92,4.03,3.85,3.98,357864.04,报喜鸟,3.93,3.97,4.07
2025-04-16,3.96,3.96,3.76,3.84,532302.01,报喜鸟,3.93,3.94,4.06
2025-04-17,3.8,3.89,3.78,3.87,225799.0,报喜鸟,3.9,3.91,4.05
2025-04-18,3.85,3.86,3.78,3.81,209671.0,报喜鸟,3.88,3.87,4.03
2025-04-21,3.78,3.82,3.72,3.81,216421.3,报喜鸟,3.86,3.88,4.02
2025-04-22,3.8,3.83,3.77,3.8,211965.0,报喜鸟,3.83,3.88,4.0
2025-04-23,3.82,4.18,3.8,4.02,1009159.73,报喜鸟,3.86,3.89,3.98
2025-04-24,3.94,3.96,3.86,3.88,668442.08,报喜鸟,3.86,3.88,3.96
2025-04-25,3.88,3.9,3.86,3.86,257403.9,报喜鸟,3.87,3.88,3.94
2025-04-28,3.86,3.87,3.77,3.78,257696.96,报喜鸟,3.87,3.86,3.92
2025-04-29,3.78,3.82,3.75,3.78,187124.0,报喜鸟,3.86,3.84,3.91
2025-04-30,3.78,3.86,3.77,3.82,208809.66,报喜鸟,3.82,3.84,3.89
2025-05-06,3.85,3.91,3.83,3.91,260757.9,报喜鸟,3.83,3.85,3.88
2025-05-07,3.93,4.03,3.91,3.94,375991.82,报喜鸟,3.85,3.86,3.87
2025-05-08,3.92,3.96,3.9,3.94,202264.61,报喜鸟,3.88,3.87,3.88
2025-05-09,3.95,3.97,3.91,3.92,210200.0,报喜鸟,3.91,3.88,3.88
2025-05-12,3.95,3.98,3.91,3.96,221900.0,报喜鸟,3.93,3.88,3.89
2025-05-13,4.0,4.02,3.95,3.96,264718.0,报喜鸟,3.94,3.89,3.89
2025-05-14,3.95,3.96,3.89,3.94,267236.0,报喜鸟,3.94,3.9,3.89
2025-05-15,3.92,3.96,3.88,3.89,251002.0,报喜鸟,3.93,3.91,3.89
2025-05-16,3.88,3.93,3.85,3.88,232918.73,报喜鸟,3.93,3.92,3.88
2025-05-19,3.87,3.9,3.85,3.9,184887.02,报喜鸟,3.91,3.92,3.88
2025-05-20,3.89,3.93,3.88,3.91,253303.57,报喜鸟,3.9,3.92,3.89
2025-05-21,3.91,3.92,3.86,3.87,224016.4,报喜鸟,3.89,3.92,3.89
2025-05-22,3.87,3.9,3.81,3.82,293557.98,报喜鸟,3.88,3.9,3.89
2025-05-23,3.81,3.84,3.76,3.77,224367.0,报喜鸟,3.85,3.89,3.89
2025-05-26,3.76,3.8,3.75,3.8,155706.78,报喜鸟,3.83,3.87,3.88
2025-05-27,3.79,3.82,3.77,3.8,151182.12,报喜鸟,3.81,3.86,3.87
2025-05-28,3.77,3.8,3.76,3.78,176925.87,报喜鸟,3.79,3.84,3.87
2025-05-29,3.78,3.82,3.75,3.8,212633.08,报喜鸟,3.79,3.83,3.87
2025-05-30,3.79,3.8,3.75,3.77,173997.63,报喜鸟,3.79,3.82,3.87
2025-06-03,3.76,3.82,3.75,3.82,215465.63,报喜鸟,3.79,3.81,3.87
2025-06-04,3.81,3.91,3.8,3.89,390788.5,报喜鸟,3.81,3.81,3.87
2025-06-05,3.89,3.9,3.82,3.83,266592.7,报喜鸟,3.82,3.81,3.86
2025-06-06,3.83,3.85,3.81,3.83,151360.0,报喜鸟,3.83,3.81,3.86
2025-06-09,3.83,3.86,3.82,3.85,184103.52,报喜鸟,3.84,3.82,3.85
2025-06-10,3.85,3.86,3.78,3.81,239950.32,报喜鸟,3.84,3.82,3.85
2025-06-11,3.8,3.86,3.8,3.84,225784.97,报喜鸟,3.83,3.82,3.84
2025-06-12,3.85,3.85,3.79,3.82,189402.0,报喜鸟,3.83,3.83,3.83
2025-06-13,3.81,3.81,3.76,3.77,257617.53,报喜鸟,3.82,3.82,3.83
2025-06-16,3.75,3.81,3.74,3.78,163676.86,报喜鸟,3.8,3.82,3.82
2025-06-17,3.79,3.8,3.76,3.8,136100.86,报喜鸟,3.8,3.82,3.82
2025-06-18,3.8,3.8,3.74,3.75,197496.48,报喜鸟,3.78,3.81,3.81
2025-06-19,3.75,3.75,3.7,3.7,141340.53,报喜鸟,3.76,3.8,3.8
2025-06-20,3.7,3.73,3.69,3.71,111175.55,报喜鸟,3.75,3.78,3.8
2025-06-23,3.69,3.73,3.68,3.72,97069.02,报喜鸟,3.74,3.77,3.79
2025-06-24,3.71,3.77,3.71,3.77,138800.96,报喜鸟,3.73,3.77,3.79
2025-06-25,3.76,3.79,3.74,3.78,185770.0,报喜鸟,3.74,3.76,3.79
2025-06-26,3.78,3.79,3.76,3.76,146156.85,报喜鸟,3.75,3.75,3.79
2025-06-27,3.76,3.79,3.75,3.77,156375.63,报喜鸟,3.76,3.75,3.79
2025-06-30,3.77,3.78,3.75,3.76,129092.5,报喜鸟,3.77,3.75,3.79
2025-07-01,3.77,3.78,3.74,3.76,156970.0,报喜鸟,3.77,3.75,3.78
2025-07-02,3.76,3.77,3.74,3.77,143477.75,报喜鸟,3.76,3.75,3.78
2025-07-03,3.77,3.82,3.76,3.8,234979.28,报喜鸟,3.77,3.76,3.78
2025-07-04,3.8,3.82,3.79,3.81,222204.71,报喜鸟,3.78,3.77,3.78
2025-07-07,3.8,3.81,3.78,3.8,144305.37,报喜鸟,3.79,3.78,3.77
2025-07-08,3.8,3.83,3.79,3.83,234537.56,报喜鸟,3.8,3.78,3.78
2025-07-09,3.83,3.85,3.82,3.84,261441.66,报喜鸟,3.82,3.79,3.78
2025-07-10,3.84,3.89,3.83,3.88,271954.24,报喜鸟,3.83,3.8,3.78
2025-07-11,3.87,3.92,3.86,3.87,309088.44,报喜鸟,3.84,3.81,3.78
2025-07-14,3.87,3.94,3.86,3.89,340522.23,报喜鸟,3.86,3.82,3.79
2025-07-15,3.88,3.89,3.81,3.83,302331.0,报喜鸟,3.86,3.83,3.79
2025-07-16,3.83,3.87,3.82,3.85,184347.98,报喜鸟,3.86,3.84,3.8
2025-07-17,3.85,3.86,3.82,3.83,164517.75,报喜鸟,3.85,3.84,3.8
2025-07-18,3.83,3.86,3.82,3.83,151992.0,报喜鸟,3.85,3.84,3.81
2025-07-21,3.84,3.9,3.83,3.89,275449.55,报喜鸟,3.85,3.85,3.82
2025-07-22,3.89,3.91,3.86,3.91,264746.87,报喜鸟,3.86,3.86,3.82
2025-07-23,3.91,3.93,3.88,3.88,232100.75,报喜鸟,3.87,3.87,3.83
2025-07-24,3.88,3.93,3.87,3.93,236512.31,报喜鸟,3.89,3.87,3.84
2025-07-25,3.93,3.95,3.91,3.92,212236.68,报喜鸟,3.91,3.88,3.84
2025-07-28,3.92,3.93,3.87,3.88,228741.0,报喜鸟,3.9,3.88,3.85
2025-07-29,3.89,3.9,3.82,3.86,219464.12,报喜鸟,3.89,3.88,3.85
2025-07-30,3.85,3.88,3.84,3.87,222931.61,报喜鸟,3.89,3.88,3.86
2025-07-31,3.86,3.88,3.78,3.79,288567.11,报喜鸟,3.86,3.88,3.86
2025-08-01,3.79,3.82,3.78,3.8,168439.99,报喜鸟,3.84,3.87,3.86
2025-08-04,3.79,3.81,3.76,3.8,133470.0,报喜鸟,3.82,3.86,3.86
2025-08-05,3.8,3.83,3.79,3.83,139282.98,报喜鸟,3.82,3.86,3.86
2025-08-06,3.83,3.88,3.8,3.87,244978.02,报喜鸟,3.82,3.85,3.86
2025-08-07,3.87,3.88,3.84,3.86,155657.89,报喜鸟,3.83,3.85,3.86
2025-08-08,3.86,3.87,3.83,3.84,130891.1,报喜鸟,3.84,3.84,3.86
2025-08-11,3.85,3.88,3.83,3.86,205983.13,报喜鸟,3.85,3.84,3.86
2025-08-12,3.85,3.88,3.85,3.87,170431.45,报喜鸟,3.86,3.84,3.86
2025-08-13,3.87,3.88,3.84,3.86,196646.02,报喜鸟,3.86,3.84,3.86
2025-08-14,3.86,3.87,3.82,3.82,201947.0,报喜鸟,3.85,3.84,3.86
2025-08-15,3.82,3.86,3.81,3.85,167360.87,报喜鸟,3.85,3.85,3.86
2025-08-18,3.83,3.85,3.8,3.82,429202.0,报喜鸟,3.84,3.85,3.86
2025-08-19,3.83,3.86,3.81,3.85,324756.0,报喜鸟,3.84,3.85,3.85
2025-08-20,3.84,3.89,3.83,3.89,353135.39,报喜鸟,3.85,3.85,3.85
2025-08-21,3.88,3.9,3.87,3.89,294421.83,报喜鸟,3.86,3.85,3.85
2025-08-22,3.88,3.89,3.84,3.87,296898.26,报喜鸟,3.86,3.86,3.85
2025-08-25,3.87,3.9,3.85,3.89,412629.47,报喜鸟,3.88,3.86,3.85
2025-08-26,3.88,3.93,3.87,3.92,318379.23,报喜鸟,3.89,3.87,3.85
2025-08-27,3.92,3.93,3.83,3.84,396341.05,报喜鸟,3.88,3.86,3.85
2025-08-28,3.84,3.86,3.73,3.82,400672.38,报喜鸟,3.87,3.86,3.85
2025-08-29,3.82,3.84,3.78,3.8,208815.23,报喜鸟,3.85,3.86,3.85
2025-09-01,3.79,3.82,3.77,3.8,218788.41,报喜鸟,3.84,3.86,3.85
2025-09-02,3.8,3.8,3.76,3.79,187411.14,报喜鸟,3.81,3.85,3.85
2025-09-03,3.79,3.79,3.74,3.75,164396.18,报喜鸟,3.79,3.84,3.84
2025-09-04,3.76,3.81,3.74,3.8,207966.5,报喜鸟,3.79,3.83,3.84
2025-09-05,3.8,3.82,3.78,3.81,153212.0,报喜鸟,3.79,3.82,3.84
2025-09-08,3.8,3.82,3.79,3.81,169757.03,报喜鸟,3.79,3.81,3.84
2025-09-09,3.8,3.81,3.78,3.81,162628.88,报喜鸟,3.8,3.8,3.83
2025-09-10,3.81,3.82,3.8,3.81,109399.45,报喜鸟,3.81,3.8,3.83
2025-09-11,3.81,3.82,3.78,3.82,180385.58,报喜鸟,3.81,3.8,3.83
2025-09-12,3.81,3.84,3.81,3.82,207090.03,报喜鸟,3.81,3.8,3.83
2025-09-15,3.83,3.86,3.82,3.85,210874.34,报喜鸟,3.82,3.81,3.83
2025-09-16,3.86,4.24,3.85,4.24,1881561.22,报喜鸟,3.91,3.85,3.85
2025-09-17,4.47,4.66,4.37,4.38,3347934.6,报喜鸟,4.02,3.92,3.88
2025-09-18,4.2,4.53,4.16,4.25,2426028.23,报喜鸟,4.11,3.96,3.89
2025-09-19,4.29,4.68,4.11,4.68,3231321.48,报喜鸟,4.28,4.05,3.93
2025-09-22,4.73,5.02,4.43,4.72,3130901.66,报喜鸟,4.45,4.14,3.98
2025-09-23,4.51,4.72,4.4,4.59,2009676.95,报喜鸟,4.52,4.22,4.01
2025-09-24,4.52,4.68,4.32,4.34,1660544.47,报喜鸟,4.52,4.27,4.03
2025-09-25,4.36,4.38,4.21,4.22,1147338.11,报喜鸟,4.51,4.31,4.05
2025-09-26,4.23,4.3,4.13,4.16,902903.57,报喜鸟,4.41,4.34,4.07
2025-09-29,4.14,4.18,4.09,4.17,645522.92,报喜鸟,4.3,4.38,4.09
2025-09-30,4.18,4.22,4.05,4.05,756863.52,报喜鸟,4.19,4.36,4.1
2025-10-09,4.09,4.1,4.04,4.09,555516.27,报喜鸟,4.14,4.33,4.12
2025-10-10,4.09,4.13,4.07,4.11,498142.54,报喜鸟,4.12,4.31,4.14
2025-10-13,3.95,4.04,3.95,4.04,527775.82,报喜鸟,4.09,4.25,4.15
2025-10-14,4.03,4.09,4.0,4.04,436219.74,报喜鸟,4.07,4.18,4.16
2025-10-15,4.03,4.14,4.02,4.14,589562.32,报喜鸟,4.08,4.14,4.18
2025-10-16,4.12,4.13,4.01,4.03,548256.9,报喜鸟,4.07,4.1,4.19
2025-10-17,4.03,4.05,4.0,4.0,401173.39,报喜鸟,4.05,4.08,4.2
2025-10-20,4.01,4.02,3.98,4.01,336688.07,报喜鸟,4.04,4.07,4.21
2025-10-21,4.01,4.06,3.98,4.06,369009.44,报喜鸟,4.05,4.06,4.22
2025-10-22,4.04,4.07,4.03,4.05,272130.0,报喜鸟,4.03,4.06,4.21
2025-10-23,4.04,4.06,3.99,4.06,319304.58,报喜鸟,4.04,4.05,4.19
2025-10-24,4.05,4.06,4.0,4.01,375821.6,报喜鸟,4.04,4.04,4.18
2025-10-27,4.02,4.04,3.99,4.0,364713.06,报喜鸟,4.04,4.04,4.14
2025-10-28,3.98,4.0,3.92,3.94,473425.16,报喜鸟,4.01,4.03,4.11
2025-10-29,3.93,3.95,3.87,3.95,358564.79,报喜鸟,3.99,4.01,4.07
2025-10-30,3.94,3.94,3.88,3.88,363324.21,报喜鸟,3.96,4.0,4.05
2025-10-31,3.89,3.95,3.88,3.93,284883.27,报喜鸟,3.94,3.99,4.04
2025-11-03,3.92,3.96,3.91,3.96,236483.84,报喜鸟,3.93,3.98,4.03
2025-11-04,3.94,3.99,3.93,3.97,337033.0,报喜鸟,3.94,3.98,4.02
2025-11-05,3.94,4.02,3.92,4.0,437363.72,报喜鸟,3.95,3.97,4.01
2025-11-06,4.0,4.01,3.95,3.97,333488.03,报喜鸟,3.97,3.96,4.01
2025-11-07,3.96,3.99,3.96,3.98,241821.5,报喜鸟,3.98,3.96,4.0
2025-11-10,3.98,4.12,3.96,4.08,657879.68,报喜鸟,4.0,3.97,4.0
2025-11-11,4.06,4.19,4.05,4.15,661777.41,报喜鸟,4.04,3.99,4.01
2025-11-12,4.14,4.34,4.09,4.29,1096596.21,报喜鸟,4.09,4.02,4.02
2025-11-13,4.24,4.29,4.18,4.24,745494.25,报喜鸟,4.15,4.06,4.03
2025-11-14,4.23,4.48,4.23,4.24,876512.0,报喜鸟,4.2,4.09,4.04
2025-11-17,4.3,4.34,4.25,4.3,672106.89,报喜鸟,4.24,4.12,4.05
2025-11-18,4.32,4.5,4.2,4.41,1142282.53,报喜鸟,4.3,4.17,4.07
2025-11-19,4.39,4.49,4.28,4.31,954793.07,报喜鸟,4.3,4.2,4.08
2025-11-20,4.31,4.32,4.12,4.24,915398.54,报喜鸟,4.3,4.22,4.09
2025-11-21,4.17,4.23,4.0,4.01,668374.2,报喜鸟,4.25,4.23,4.09
2025-11-24,4.03,4.06,3.95,4.0,387800.12,报喜鸟,4.19,4.22,4.09
2025-11-25,4.01,4.07,3.99,4.04,357066.22,报喜鸟,4.12,4.21,4.1
2025-11-26,4.03,4.21,4.03,4.16,584554.88,报喜鸟,4.09,4.2,4.11
2025-11-27,4.15,4.23,4.1,4.11,433091.0,报喜鸟,4.06,4.18,4.12
2025-11-28,4.1,4.13,4.04,4.11,337903.27,报喜鸟,4.08,4.17,4.13
2025-12-01,4.15,4.2,4.13,4.15,374644.07,报喜鸟,4.11,4.15,4.14
