date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.07,9.13,8.77,8.91,95060.0,民和股份,8.91,8.91,8.91
2025-03-25,8.95,9.08,8.81,9.0,80416.0,民和股份,8.96,8.96,8.96
2025-03-26,9.05,9.79,8.95,9.56,247717.9,民和股份,9.16,9.16,9.16
2025-03-27,9.4,9.55,9.35,9.41,152198.9,民和股份,9.22,9.22,9.22
2025-03-28,9.4,9.47,9.23,9.25,91445.0,民和股份,9.23,9.23,9.23
2025-03-31,9.26,9.39,8.94,9.06,90284.5,民和股份,9.26,9.2,9.2
2025-04-01,9.13,9.3,9.06,9.28,83386.95,民和股份,9.31,9.21,9.21
2025-04-02,9.31,9.45,9.07,9.12,80043.0,民和股份,9.22,9.2,9.2
2025-04-03,9.05,9.45,9.03,9.39,135990.02,民和股份,9.22,9.22,9.22
2025-04-07,9.38,9.95,9.06,9.32,351192.73,民和股份,9.23,9.23,9.23
2025-04-08,9.12,10.25,9.12,10.25,400769.84,民和股份,9.47,9.36,9.32
2025-04-09,10.15,10.65,9.6,10.04,404554.61,民和股份,9.62,9.47,9.38
2025-04-10,9.65,10.19,9.6,10.01,286449.42,民和股份,9.8,9.51,9.43
2025-04-11,9.85,9.89,9.46,9.53,217090.52,民和股份,9.83,9.52,9.44
2025-04-14,9.49,9.77,9.42,9.76,194693.95,民和股份,9.92,9.58,9.46
2025-04-15,9.73,9.87,9.54,9.83,169238.42,民和股份,9.83,9.65,9.48
2025-04-16,9.76,9.91,9.48,9.56,161167.0,民和股份,9.74,9.68,9.49
2025-04-17,9.45,9.49,9.24,9.25,139932.89,民和股份,9.59,9.69,9.47
2025-04-18,9.25,9.27,8.88,8.95,135863.16,民和股份,9.47,9.65,9.45
2025-04-21,8.95,9.06,8.86,9.04,64821.0,民和股份,9.33,9.62,9.43
2025-04-22,9.08,9.08,8.88,9.0,77980.01,民和股份,9.16,9.5,9.43
2025-04-23,8.95,8.99,8.78,8.8,91949.55,民和股份,9.01,9.37,9.42
2025-04-24,8.76,8.95,8.73,8.78,76852.79,民和股份,8.91,9.25,9.38
2025-04-25,8.8,8.85,8.76,8.78,50115.0,民和股份,8.88,9.18,9.35
2025-04-28,8.45,8.47,8.2,8.2,127662.88,民和股份,8.71,9.02,9.3
2025-04-29,8.19,8.26,8.14,8.23,64636.42,民和股份,8.56,8.86,9.26
2025-04-30,8.28,8.37,8.2,8.2,46696.0,民和股份,8.44,8.72,9.2
2025-05-06,8.27,8.33,8.2,8.33,49120.01,民和股份,8.35,8.63,9.16
2025-05-07,8.36,8.59,8.35,8.48,72834.11,民和股份,8.29,8.58,9.12
2025-05-08,8.42,8.59,8.36,8.48,40492.92,民和股份,8.34,8.53,9.07
2025-05-09,8.48,8.52,8.36,8.38,45540.0,民和股份,8.37,8.47,8.98
2025-05-12,8.44,8.44,8.28,8.39,47234.0,民和股份,8.41,8.43,8.9
2025-05-13,8.42,8.46,8.36,8.38,41270.9,民和股份,8.42,8.39,8.82
2025-05-14,8.4,8.4,8.25,8.34,50809.81,民和股份,8.39,8.34,8.76
2025-05-15,8.34,8.4,8.3,8.36,42684.0,民和股份,8.37,8.36,8.69
2025-05-16,8.35,8.36,8.23,8.3,48967.93,民和股份,8.35,8.36,8.61
2025-05-19,8.5,8.58,8.41,8.47,75667.11,民和股份,8.37,8.39,8.56
2025-05-20,8.45,8.6,8.45,8.6,94694.0,民和股份,8.41,8.42,8.52
2025-05-21,8.59,8.59,8.44,8.49,58926.0,民和股份,8.44,8.42,8.5
2025-05-22,8.49,8.49,8.3,8.3,58721.97,民和股份,8.43,8.4,8.46
2025-05-23,8.3,8.37,8.21,8.22,44008.0,民和股份,8.42,8.39,8.43
2025-05-26,8.26,8.28,8.2,8.25,27716.0,民和股份,8.37,8.37,8.4
2025-05-27,8.25,8.37,8.21,8.36,35723.0,民和股份,8.32,8.37,8.38
2025-05-28,8.36,8.36,8.25,8.27,22901.0,民和股份,8.28,8.36,8.35
2025-05-29,8.27,8.34,8.22,8.33,34274.0,民和股份,8.29,8.36,8.36
2025-05-30,8.31,8.49,8.29,8.36,65691.88,民和股份,8.31,8.36,8.36
2025-06-03,8.33,8.5,8.21,8.43,57108.0,民和股份,8.35,8.36,8.38
2025-06-04,8.41,8.47,8.33,8.47,54331.0,民和股份,8.37,8.35,8.38
2025-06-05,8.45,8.48,8.32,8.35,43058.0,民和股份,8.39,8.33,8.38
2025-06-06,8.35,8.43,8.33,8.4,42246.0,民和股份,8.4,8.34,8.37
2025-06-09,8.39,8.5,8.37,8.5,52266.0,民和股份,8.43,8.37,8.38
2025-06-10,8.51,8.52,8.31,8.44,56130.0,民和股份,8.43,8.39,8.38
2025-06-11,8.39,8.58,8.38,8.53,70158.0,民和股份,8.44,8.41,8.39
2025-06-12,8.49,8.52,8.38,8.44,52630.0,民和股份,8.46,8.43,8.39
2025-06-13,8.4,8.44,8.28,8.28,53243.0,民和股份,8.44,8.42,8.39
2025-06-16,8.27,8.33,8.25,8.27,38363.0,民和股份,8.39,8.41,8.39
2025-06-17,8.28,8.33,8.22,8.25,38374.0,民和股份,8.35,8.39,8.38
2025-06-18,8.24,8.25,8.1,8.11,59258.08,民和股份,8.27,8.36,8.35
2025-06-19,8.1,8.11,7.97,8.0,44446.97,民和股份,8.18,8.32,8.33
2025-06-20,7.98,8.06,7.9,7.92,37764.97,民和股份,8.11,8.27,8.31
2025-06-23,7.86,8.02,7.85,8.0,29368.0,民和股份,8.06,8.22,8.3
2025-06-24,8.0,8.09,7.97,8.06,36970.0,民和股份,8.02,8.19,8.29
2025-06-25,8.1,8.15,8.01,8.12,40977.0,民和股份,8.02,8.14,8.28
2025-06-26,8.14,8.17,8.09,8.1,31772.16,民和股份,8.04,8.11,8.27
2025-06-27,8.13,8.15,8.09,8.14,30975.67,民和股份,8.08,8.1,8.26
2025-06-30,8.13,8.16,8.11,8.15,24581.0,民和股份,8.11,8.09,8.25
2025-07-01,8.13,8.18,8.09,8.14,28047.02,民和股份,8.13,8.07,8.23
2025-07-02,8.12,8.21,8.09,8.2,49162.99,民和股份,8.15,8.08,8.22
