date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.21,13.23,12.92,13.14,108353.0,盛新锂能,13.14,13.14,13.14
2025-03-25,13.19,13.34,13.08,13.29,86760.32,盛新锂能,13.22,13.22,13.22
2025-03-26,13.29,13.41,13.22,13.23,69660.5,盛新锂能,13.22,13.22,13.22
2025-03-27,13.2,13.26,13.01,13.11,66340.0,盛新锂能,13.19,13.19,13.19
2025-03-28,13.13,13.16,12.86,12.9,73963.01,盛新锂能,13.13,13.13,13.13
2025-03-31,12.83,12.86,12.56,12.72,75513.05,盛新锂能,13.05,13.06,13.06
2025-04-01,12.73,12.86,12.71,12.81,51624.26,盛新锂能,12.95,13.03,13.03
2025-04-02,12.72,12.89,12.61,12.82,52003.81,盛新锂能,12.87,13.0,13.0
2025-04-03,12.71,12.91,12.69,12.8,58688.21,盛新锂能,12.81,12.98,12.98
2025-04-07,12.18,12.26,11.52,11.52,115368.0,盛新锂能,12.53,12.83,12.83
2025-04-08,11.22,11.42,10.96,11.25,144755.79,盛新锂能,12.24,12.64,12.69
2025-04-09,11.1,11.4,10.62,11.35,115633.67,盛新锂能,11.95,12.45,12.58
2025-04-10,11.54,11.69,11.47,11.5,89613.1,盛新锂能,11.68,12.28,12.5
2025-04-11,11.4,11.66,11.36,11.53,70065.0,盛新锂能,11.43,12.12,12.43
2025-04-14,11.62,11.72,11.53,11.58,72874.95,盛新锂能,11.44,11.99,12.37
2025-04-15,11.58,11.65,11.5,11.55,46455.1,盛新锂能,11.5,11.87,12.32
2025-04-16,11.48,11.54,11.21,11.33,59253.0,盛新锂能,11.5,11.72,12.26
2025-04-17,11.24,11.43,11.22,11.3,43037.9,盛新锂能,11.46,11.57,12.21
2025-04-18,11.28,11.33,11.16,11.3,41604.1,盛新锂能,11.41,11.42,12.16
2025-04-21,11.26,11.44,11.22,11.39,36907.0,盛新锂能,11.37,11.41,12.12
2025-04-22,11.37,11.49,11.31,11.34,53919.34,盛新锂能,11.33,11.42,12.03
2025-04-23,11.39,11.47,11.3,11.38,49075.91,盛新锂能,11.34,11.42,11.94
2025-04-24,11.56,12.11,11.54,11.61,216420.01,盛新锂能,11.4,11.43,11.85
2025-04-25,11.46,11.55,11.33,11.36,109802.0,盛新锂能,11.42,11.41,11.77
2025-04-28,11.29,11.3,11.11,11.2,69225.06,盛新锂能,11.38,11.38,11.68
2025-04-29,11.11,11.25,11.1,11.17,48526.01,盛新锂能,11.34,11.34,11.6
2025-04-30,11.15,11.34,11.12,11.21,51343.21,盛新锂能,11.31,11.33,11.52
2025-05-06,11.28,11.48,11.26,11.47,83980.0,盛新锂能,11.28,11.34,11.46
2025-05-07,11.58,11.7,11.4,11.49,83675.56,盛新锂能,11.31,11.36,11.39
2025-05-08,11.41,11.68,11.4,11.62,77861.56,盛新锂能,11.39,11.38,11.4
2025-05-09,11.62,11.62,11.45,11.55,51365.46,盛新锂能,11.47,11.41,11.41
2025-05-12,11.6,11.79,11.58,11.78,83425.73,盛新锂能,11.58,11.45,11.43
2025-05-13,11.87,11.96,11.75,11.86,81715.28,盛新锂能,11.66,11.47,11.45
2025-05-14,11.8,11.95,11.77,11.94,81940.25,盛新锂能,11.75,11.53,11.47
2025-05-15,11.88,11.91,11.71,11.71,73399.0,盛新锂能,11.77,11.58,11.48
2025-05-16,11.68,11.83,11.56,11.56,68914.03,盛新锂能,11.77,11.62,11.48
2025-05-19,11.55,11.66,11.38,11.6,59240.0,盛新锂能,11.73,11.66,11.49
2025-05-20,11.58,11.65,11.5,11.61,56905.03,盛新锂能,11.68,11.67,11.51
2025-05-21,11.61,11.77,11.56,11.65,83004.0,盛新锂能,11.63,11.69,11.52
2025-05-22,11.61,11.71,11.44,11.5,92695.22,盛新锂能,11.58,11.68,11.53
2025-05-23,11.46,11.8,11.41,11.41,126420.79,盛新锂能,11.55,11.66,11.53
2025-05-26,11.4,11.44,11.28,11.34,67479.96,盛新锂能,11.5,11.62,11.53
