date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.96,8.0,7.56,7.85,156628.0,保龄宝,7.85,7.85,7.85
2025-03-25,7.84,8.19,7.71,7.97,136522.0,保龄宝,7.91,7.91,7.91
2025-03-26,7.99,8.16,7.94,8.08,72472.0,保龄宝,7.97,7.97,7.97
2025-03-27,8.05,8.09,7.95,8.04,57759.0,保龄宝,7.98,7.98,7.98
2025-03-28,8.03,8.04,7.79,7.86,52201.0,保龄宝,7.96,7.96,7.96
2025-03-31,7.81,7.85,7.53,7.72,76020.0,保龄宝,7.93,7.92,7.92
2025-04-01,7.69,7.91,7.69,7.85,52288.0,保龄宝,7.91,7.91,7.91
2025-04-02,7.84,8.01,7.8,7.97,56091.0,保龄宝,7.89,7.92,7.92
2025-04-03,8.0,8.04,7.88,7.97,63352.0,保龄宝,7.87,7.92,7.92
2025-04-07,7.66,7.71,7.17,7.17,103470.0,保龄宝,7.74,7.85,7.85
2025-04-08,7.07,7.17,6.73,6.91,181312.0,保龄宝,7.57,7.75,7.76
2025-04-09,6.82,7.2,6.45,7.17,168065.18,保龄宝,7.44,7.67,7.71
2025-04-10,7.3,7.89,7.28,7.89,121866.51,保龄宝,7.42,7.65,7.73
2025-04-11,8.57,8.68,7.75,8.68,792585.37,保龄宝,7.56,7.72,7.8
2025-04-14,8.4,8.4,7.9,8.04,655198.77,保龄宝,7.74,7.74,7.81
2025-04-15,8.0,8.18,7.83,8.0,389635.27,保龄宝,7.96,7.76,7.82
2025-04-16,7.88,8.13,7.77,8.03,316615.88,保龄宝,8.13,7.78,7.84
2025-04-17,7.9,8.06,7.74,7.94,228386.0,保龄宝,8.14,7.78,7.84
2025-04-18,7.89,7.95,7.48,7.56,278290.82,保龄宝,7.91,7.74,7.83
2025-04-21,7.56,7.71,7.48,7.65,155194.5,保龄宝,7.84,7.79,7.82
2025-04-22,7.61,7.78,7.58,7.73,132340.5,保龄宝,7.78,7.87,7.81
2025-04-23,7.71,7.78,7.65,7.69,112732.0,保龄宝,7.71,7.92,7.8
2025-04-24,7.67,7.98,7.56,7.8,169480.39,保龄宝,7.69,7.91,7.78
2025-04-25,7.92,8.54,7.92,8.12,344157.41,保龄宝,7.8,7.86,7.79
2025-04-28,8.12,8.43,7.92,8.15,250778.01,保龄宝,7.9,7.87,7.8
2025-04-29,8.15,8.5,8.15,8.38,229606.19,保龄宝,8.03,7.9,7.83
2025-04-30,8.75,9.22,8.73,9.22,376717.4,保龄宝,8.33,8.02,7.9
2025-05-06,9.99,10.0,9.11,9.34,727111.55,保龄宝,8.64,8.16,7.97
2025-05-07,9.41,10.27,9.35,10.27,575163.53,保龄宝,9.07,8.44,8.09
2025-05-08,10.29,10.29,9.6,9.83,744584.49,保龄宝,9.41,8.65,8.22
2025-05-09,9.79,10.8,9.45,10.15,703003.93,保龄宝,9.76,8.9,8.38
2025-05-12,9.9,10.11,9.49,9.53,530660.18,保龄宝,9.82,9.08,8.5
2025-05-13,9.53,9.72,9.32,9.42,311602.0,保龄宝,9.84,9.24,8.58
2025-05-14,9.41,9.52,9.2,9.35,241979.18,保龄宝,9.66,9.36,8.61
2025-05-15,9.48,9.89,9.27,9.58,453809.0,保龄宝,9.61,9.51,8.69
2025-05-16,9.31,9.99,9.28,9.8,422092.08,保龄宝,9.54,9.65,8.78
2025-05-19,9.79,10.78,9.52,10.78,488139.65,保龄宝,9.79,9.8,8.91
2025-05-20,10.87,11.86,10.7,11.42,816755.82,保龄宝,10.19,10.01,9.09
2025-05-21,11.23,12.56,11.1,12.56,671715.59,保龄宝,10.83,10.24,9.34
2025-05-22,12.35,12.35,11.3,11.3,763669.13,保龄宝,11.17,10.39,9.52
2025-05-23,11.31,11.51,10.91,10.99,454553.0,保龄宝,11.41,10.47,9.68
2025-05-26,10.98,11.44,10.81,11.21,375248.0,保龄宝,11.5,10.64,9.86
2025-05-27,11.21,12.33,11.2,12.33,539898.46,保龄宝,11.68,10.93,10.09
2025-05-28,13.0,13.3,12.56,12.85,794130.72,保龄宝,11.74,11.28,10.32
2025-05-29,12.65,12.8,11.91,12.02,619112.09,保龄宝,11.88,11.53,10.52
2025-05-30,11.5,11.5,10.82,10.91,605543.85,保龄宝,11.86,11.64,10.64
2025-06-03,10.78,12.0,10.78,12.0,398039.22,保龄宝,12.02,11.76,10.78
2025-06-04,12.38,12.7,12.21,12.45,481967.99,保龄宝,12.05,11.86,10.94
2025-06-05,12.46,12.6,11.84,11.88,371232.3,保龄宝,11.85,11.79,11.02
2025-06-06,12.3,12.36,11.55,11.61,290377.01,保龄宝,11.77,11.82,11.11
2025-06-09,11.65,12.09,11.43,11.88,264080.0,保龄宝,11.96,11.91,11.19
2025-06-10,12.14,12.26,11.46,11.75,429982.21,保龄宝,11.91,11.97,11.3
2025-06-11,11.74,12.02,11.42,11.56,296459.21,保龄宝,11.74,11.89,11.41
2025-06-12,11.6,12.15,11.54,11.61,383877.0,保龄宝,11.68,11.77,11.52
2025-06-13,11.57,11.61,10.96,11.07,344430.0,保龄宝,11.57,11.67,11.6
2025-06-16,10.96,11.19,10.9,11.07,171151.0,保龄宝,11.41,11.69,11.66
2025-06-17,11.32,11.32,10.91,11.0,183021.9,保龄宝,11.26,11.59,11.67
2025-06-18,10.91,11.04,10.71,10.93,164675.01,保龄宝,11.14,11.44,11.65
2025-06-19,11.22,11.6,10.77,10.85,327588.0,保龄宝,10.98,11.33,11.56
2025-06-20,10.8,10.98,10.54,10.6,214633.25,保龄宝,10.89,11.23,11.53
2025-06-23,10.55,10.68,10.44,10.65,143029.0,保龄宝,10.81,11.11,11.51
2025-06-24,10.69,10.94,10.64,10.79,125730.0,保龄宝,10.76,11.01,11.49
2025-06-25,10.86,11.02,10.65,10.9,178043.0,保龄宝,10.76,10.95,11.42
2025-06-26,10.94,11.16,10.75,11.1,215733.4,保龄宝,10.81,10.9,11.33
2025-06-27,11.0,11.22,10.92,11.08,186818.0,保龄宝,10.9,10.9,11.28
2025-06-30,11.1,11.46,11.01,11.33,162633.9,保龄宝,11.04,10.92,11.31
2025-07-01,11.39,11.8,11.34,11.7,250799.01,保龄宝,11.22,10.99,11.29
2025-07-02,11.59,12.87,11.52,12.87,293484.5,保龄宝,11.62,11.19,11.31
2025-07-03,13.33,13.4,12.46,12.55,767163.5,保龄宝,11.91,11.36,11.34
2025-07-04,12.54,12.64,11.94,12.02,449632.0,保龄宝,12.09,11.5,11.37
2025-07-07,12.2,12.3,11.85,11.95,320336.0,保龄宝,12.22,11.63,11.37
2025-07-08,12.02,12.07,11.81,11.9,231816.0,保龄宝,12.26,11.74,11.38
2025-07-09,11.79,12.06,11.73,11.87,263175.02,保龄宝,12.06,11.84,11.39
2025-07-10,11.85,11.85,11.51,11.58,198872.0,保龄宝,11.86,11.88,11.39
2025-07-11,11.43,11.73,11.43,11.72,171940.0,保龄宝,11.8,11.95,11.42
2025-07-14,11.71,11.81,11.45,11.56,179876.0,保龄宝,11.73,11.97,11.45
2025-07-15,11.3,11.3,10.9,10.95,240172.0,保龄宝,11.54,11.9,11.44
2025-07-16,10.84,11.02,10.84,10.92,153289.7,保龄宝,11.35,11.7,11.44
2025-07-17,11.0,11.04,10.92,10.98,109824.0,保龄宝,11.23,11.54,11.45
2025-07-18,10.93,10.96,10.7,10.82,158669.2,保龄宝,11.05,11.42,11.46
2025-07-21,10.84,10.88,10.78,10.86,97513.6,保龄宝,10.91,11.32,11.47
2025-07-22,10.87,10.9,10.65,10.69,133156.0,保龄宝,10.85,11.2,11.47
2025-07-23,10.73,10.77,10.55,10.58,111597.0,保龄宝,10.79,11.07,11.45
2025-07-24,10.65,10.68,10.58,10.65,104413.0,保龄宝,10.72,10.97,11.43
