date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,39.94,41.34,39.88,41.06,903183.38,立讯精密,41.06,41.06,41.06
2025-03-25,41.01,41.2,40.46,40.78,416234.39,立讯精密,40.92,40.92,40.92
2025-03-26,40.78,41.07,40.65,40.76,303314.2,立讯精密,40.87,40.87,40.87
2025-03-27,40.68,41.1,40.33,40.78,292037.8,立讯精密,40.84,40.84,40.84
2025-03-28,40.8,41.5,40.52,41.21,497873.32,立讯精密,40.92,40.92,40.92
2025-03-31,41.0,41.39,40.41,40.89,412134.35,立讯精密,40.88,40.91,40.91
2025-04-01,40.89,41.15,40.41,40.44,380610.01,立讯精密,40.82,40.85,40.85
2025-04-02,40.42,40.7,38.7,39.35,1028381.06,立讯精密,40.53,40.66,40.66
2025-04-03,37.23,37.43,35.42,35.42,2233027.34,立讯精密,39.46,40.08,40.08
2025-04-07,31.88,31.88,31.88,31.88,454870.0,立讯精密,37.6,39.26,39.26
2025-04-08,29.19,30.0,28.69,29.0,2823764.68,立讯精密,35.22,38.05,38.32
2025-04-09,27.84,29.46,27.11,28.68,2635132.35,立讯精密,32.87,36.84,37.52
2025-04-10,31.55,31.55,30.35,30.73,2898769.02,立讯精密,31.14,35.84,37.0
2025-04-11,30.01,33.0,29.64,32.18,2762098.91,立讯精密,30.49,34.98,36.65
2025-04-14,33.91,34.43,31.49,32.2,3528631.07,立讯精密,30.56,34.08,36.36
2025-04-15,31.6,31.62,30.5,30.81,1966043.82,立讯精密,30.92,33.07,36.01
2025-04-16,30.06,30.17,29.25,29.59,1814178.27,立讯精密,31.1,31.98,35.63
2025-04-17,29.49,29.88,29.35,29.46,1003293.18,立讯精密,30.85,31.0,35.29
2025-04-18,29.46,30.05,29.46,29.95,992199.09,立讯精密,30.4,30.45,35.01
2025-04-21,29.99,30.99,29.77,30.87,1193436.47,立讯精密,30.14,30.35,34.8
2025-04-22,30.63,31.07,30.17,30.3,1031460.09,立讯精密,30.03,30.48,34.26
2025-04-23,31.9,32.18,30.96,31.53,2013354.09,立讯精密,30.42,30.76,33.8
2025-04-24,31.5,31.51,30.72,30.76,1075001.03,立讯精密,30.68,30.76,33.3
2025-04-25,31.0,32.0,31.0,31.61,1624303.97,立讯精密,31.01,30.71,32.84
2025-04-28,31.81,31.93,30.9,30.95,1009146.29,立讯精密,31.03,30.58,32.33
2025-04-29,30.8,30.95,30.39,30.53,887066.25,立讯精密,31.08,30.56,31.81
2025-04-30,30.59,31.1,30.39,30.85,1238442.75,立讯精密,30.94,30.68,31.33
2025-05-06,30.99,31.85,30.9,31.81,1376577.26,立讯精密,31.15,30.92,30.96
2025-05-07,32.45,33.16,31.22,31.52,1638626.96,立讯精密,31.13,31.07,30.76
2025-05-08,31.41,33.0,31.32,32.74,2102536.28,立讯精密,31.49,31.26,30.8
2025-05-09,32.51,32.52,31.7,32.08,1312280.32,立讯精密,31.8,31.44,30.96
2025-05-12,33.35,34.47,32.88,34.12,2752465.98,立讯精密,32.45,31.7,31.23
2025-05-13,35.49,35.49,33.63,33.8,2869195.63,立讯精密,32.85,32.0,31.38
2025-05-14,33.65,33.94,33.03,33.52,1822080.17,立讯精密,33.25,32.19,31.45
