date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.62,4.63,4.4,4.47,152295.0,龙泉股份,4.47,4.47,4.47
2025-03-25,4.45,4.53,4.42,4.52,103682.0,龙泉股份,4.49,4.49,4.49
2025-03-26,4.52,4.65,4.51,4.63,149453.46,龙泉股份,4.54,4.54,4.54
2025-03-27,4.64,4.65,4.54,4.61,117649.0,龙泉股份,4.56,4.56,4.56
2025-03-28,4.61,4.64,4.48,4.5,122780.0,龙泉股份,4.55,4.55,4.55
2025-03-31,4.46,4.46,4.21,4.25,221486.99,龙泉股份,4.5,4.5,4.5
2025-04-01,4.25,4.44,4.21,4.37,179782.99,龙泉股份,4.47,4.48,4.48
2025-04-02,4.36,4.38,4.29,4.31,100063.0,龙泉股份,4.41,4.46,4.46
2025-04-03,4.26,4.37,4.25,4.35,96735.0,龙泉股份,4.36,4.45,4.45
2025-04-07,4.16,4.21,3.92,3.92,142494.0,龙泉股份,4.24,4.39,4.39
2025-04-08,3.86,4.03,3.75,3.9,151821.94,龙泉股份,4.17,4.34,4.35
2025-04-09,3.8,4.0,3.64,3.98,125958.0,龙泉股份,4.09,4.28,4.32
2025-04-10,4.0,4.1,4.0,4.03,122366.0,龙泉股份,4.04,4.22,4.3
2025-04-11,4.0,4.08,3.99,4.05,72668.52,龙泉股份,3.98,4.17,4.28
2025-04-14,4.08,4.14,4.06,4.1,69342.0,龙泉股份,4.01,4.13,4.27
2025-04-15,4.09,4.14,4.07,4.12,58715.0,龙泉股份,4.06,4.11,4.26
2025-04-16,4.11,4.11,3.99,4.06,72331.0,龙泉股份,4.07,4.08,4.25
2025-04-17,4.06,4.18,4.01,4.12,83115.0,龙泉股份,4.09,4.06,4.24
2025-04-18,4.13,4.19,4.09,4.18,61241.0,龙泉股份,4.12,4.05,4.24
2025-04-21,4.19,4.19,4.12,4.16,60341.0,龙泉股份,4.13,4.07,4.23
2025-04-22,4.14,4.22,4.14,4.21,61372.34,龙泉股份,4.15,4.1,4.22
2025-04-23,4.21,4.23,4.18,4.21,44207.0,龙泉股份,4.18,4.12,4.2
2025-04-24,4.19,4.22,4.14,4.17,60399.0,龙泉股份,4.19,4.14,4.18
2025-04-25,4.17,4.24,4.16,4.2,62298.0,龙泉股份,4.19,4.15,4.16
2025-04-28,4.25,4.27,4.11,4.13,81143.0,龙泉股份,4.18,4.16,4.14
2025-04-29,4.15,4.24,4.11,4.21,75798.0,龙泉股份,4.18,4.16,4.14
2025-04-30,4.09,4.14,4.06,4.09,117891.0,龙泉股份,4.16,4.17,4.12
2025-05-06,4.14,4.17,4.11,4.16,107169.98,龙泉股份,4.16,4.17,4.12
2025-05-07,4.22,4.27,4.18,4.24,107327.0,龙泉股份,4.17,4.18,4.11
2025-05-08,4.22,4.29,4.2,4.26,85602.0,龙泉股份,4.19,4.19,4.13
2025-05-09,4.29,4.29,4.21,4.23,60644.0,龙泉股份,4.2,4.19,4.15
2025-05-12,4.26,4.34,4.22,4.29,88629.49,龙泉股份,4.24,4.2,4.16
2025-05-13,4.3,4.32,4.23,4.25,73443.0,龙泉股份,4.25,4.21,4.17
2025-05-14,4.24,4.27,4.21,4.24,52054.2,龙泉股份,4.25,4.21,4.18
2025-05-15,4.24,4.29,4.19,4.26,71401.2,龙泉股份,4.25,4.22,4.19
2025-05-16,4.26,4.27,4.22,4.23,66012.0,龙泉股份,4.25,4.22,4.2
2025-05-19,4.25,4.3,4.23,4.29,71068.0,龙泉股份,4.25,4.24,4.21
2025-05-20,4.3,4.35,4.26,4.33,68139.2,龙泉股份,4.27,4.26,4.22
2025-05-21,4.3,4.35,4.29,4.3,55244.0,龙泉股份,4.28,4.27,4.22
2025-05-22,4.3,4.34,4.25,4.26,75503.0,龙泉股份,4.28,4.27,4.23
2025-05-23,4.28,4.54,4.24,4.26,207952.0,龙泉股份,4.29,4.27,4.23
2025-05-26,4.24,4.34,4.21,4.32,158226.0,龙泉股份,4.29,4.27,4.24
2025-05-27,4.34,4.59,4.33,4.44,207229.69,龙泉股份,4.32,4.29,4.25
2025-05-28,4.42,4.53,4.4,4.49,200638.94,龙泉股份,4.35,4.32,4.26
2025-05-29,4.52,4.69,4.48,4.52,224796.0,龙泉股份,4.41,4.34,4.28
2025-05-30,4.63,4.65,4.45,4.49,138313.0,龙泉股份,4.45,4.37,4.3
2025-06-03,4.45,4.52,4.45,4.49,92748.0,龙泉股份,4.49,4.39,4.32
2025-06-04,4.48,4.63,4.45,4.57,150890.0,龙泉股份,4.51,4.41,4.34
2025-06-05,4.58,4.74,4.52,4.52,134250.69,龙泉股份,4.52,4.44,4.35
2025-06-06,4.56,4.57,4.47,4.54,81133.0,龙泉股份,4.52,4.46,4.37
2025-06-09,4.52,4.54,4.49,4.51,61060.0,龙泉股份,4.53,4.49,4.38
2025-06-10,4.52,4.56,4.4,4.46,78767.0,龙泉股份,4.52,4.5,4.39
2025-06-11,4.46,4.5,4.44,4.47,82936.0,龙泉股份,4.5,4.51,4.4
2025-06-12,4.48,4.48,4.4,4.45,67969.0,龙泉股份,4.49,4.5,4.41
2025-06-13,4.42,4.51,4.36,4.45,129273.0,龙泉股份,4.47,4.5,4.42
2025-06-16,4.4,4.58,4.39,4.5,121444.0,龙泉股份,4.47,4.5,4.43
2025-06-17,4.49,4.55,4.46,4.55,88993.0,龙泉股份,4.48,4.5,4.45
2025-06-18,4.52,4.58,4.46,4.49,80010.0,龙泉股份,4.49,4.49,4.45
2025-06-19,4.49,4.52,4.41,4.42,72779.0,龙泉股份,4.48,4.48,4.46
2025-06-20,4.44,4.54,4.4,4.49,114881.0,龙泉股份,4.49,4.48,4.47
2025-06-23,4.46,4.55,4.42,4.54,108816.0,龙泉股份,4.5,4.48,4.49
2025-06-24,4.54,4.58,4.51,4.58,94666.0,龙泉股份,4.5,4.49,4.5
2025-06-25,4.58,4.64,4.53,4.59,94212.92,龙泉股份,4.52,4.51,4.51
2025-06-26,4.58,4.6,4.54,4.55,70632.0,龙泉股份,4.55,4.52,4.51
2025-06-27,4.58,4.7,4.55,4.62,160694.0,龙泉股份,4.58,4.53,4.51
2025-06-30,4.67,4.69,4.57,4.6,106349.0,龙泉股份,4.59,4.54,4.52
2025-07-01,4.6,4.63,4.55,4.58,58326.0,龙泉股份,4.59,4.55,4.52
2025-07-02,4.61,4.65,4.58,4.63,106390.0,龙泉股份,4.6,4.56,4.53
2025-07-03,4.64,4.68,4.61,4.66,90475.0,龙泉股份,4.62,4.58,4.53
2025-07-04,4.66,4.67,4.56,4.57,104359.0,龙泉股份,4.61,4.59,4.54
2025-07-07,4.56,4.64,4.56,4.64,83033.0,龙泉股份,4.62,4.6,4.54
2025-07-08,4.66,4.69,4.65,4.67,72648.0,龙泉股份,4.63,4.61,4.55
2025-07-09,4.7,4.75,4.67,4.67,105884.1,龙泉股份,4.64,4.62,4.56
2025-07-10,4.67,4.77,4.67,4.73,102833.0,龙泉股份,4.66,4.64,4.58
2025-07-11,4.73,4.75,4.66,4.69,81197.0,龙泉股份,4.68,4.64,4.59
2025-07-14,5.0,5.04,4.8,4.87,385473.0,龙泉股份,4.73,4.67,4.61
2025-07-15,4.89,4.91,4.72,4.84,243437.69,龙泉股份,4.76,4.7,4.62
2025-07-16,4.83,4.85,4.76,4.79,137599.0,龙泉股份,4.78,4.71,4.64
2025-07-17,4.78,4.81,4.75,4.79,106106.0,龙泉股份,4.8,4.73,4.66
2025-07-18,4.78,4.8,4.74,4.78,80569.0,龙泉股份,4.81,4.75,4.67
2025-07-21,4.93,5.26,4.88,5.26,485115.56,龙泉股份,4.89,4.81,4.71
2025-07-22,5.46,5.66,5.27,5.32,1049963.74,龙泉股份,4.99,4.87,4.74
