date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.16,13.28,12.98,13.13,49695.81,东诚药业,13.13,13.13,13.13
2025-03-25,13.12,13.22,12.98,13.18,48649.52,东诚药业,13.16,13.16,13.16
2025-03-26,13.18,13.42,13.12,13.39,42999.52,东诚药业,13.23,13.23,13.23
2025-03-27,13.35,13.58,13.23,13.46,67729.16,东诚药业,13.29,13.29,13.29
2025-03-28,13.5,13.71,13.41,13.57,89844.42,东诚药业,13.35,13.35,13.35
2025-03-31,13.5,13.55,13.02,13.17,72170.42,东诚药业,13.35,13.32,13.32
2025-04-01,13.19,13.75,13.11,13.58,93739.0,东诚药业,13.43,13.35,13.35
2025-04-02,13.55,13.66,13.47,13.59,45052.0,东诚药业,13.47,13.38,13.38
2025-04-03,13.52,13.75,13.41,13.52,48220.0,东诚药业,13.49,13.4,13.4
2025-04-07,12.8,13.19,12.21,12.26,148359.42,东诚药业,13.22,13.28,13.28
2025-04-08,12.39,12.97,12.37,12.62,133551.3,东诚药业,13.11,13.23,13.22
2025-04-09,12.54,12.79,12.05,12.71,82724.27,东诚药业,12.94,13.19,13.18
2025-04-10,12.76,13.05,12.7,12.73,60524.0,东诚药业,12.77,13.12,13.15
2025-04-11,12.55,13.15,12.55,12.96,71906.0,东诚药业,12.66,13.07,13.13
2025-04-14,13.15,14.26,13.09,14.26,227229.55,东诚药业,13.06,13.14,13.21
2025-04-15,14.26,15.57,14.12,15.0,468837.39,东诚药业,13.53,13.32,13.32
2025-04-16,14.84,15.15,14.46,14.84,227471.75,东诚药业,13.96,13.45,13.41
2025-04-17,14.71,15.18,14.7,14.8,155028.8,东诚药业,14.37,13.57,13.49
2025-04-18,14.69,15.28,14.61,15.15,190168.65,东诚药业,14.81,13.73,13.57
2025-04-21,15.02,15.09,14.56,15.0,156605.87,东诚药业,14.96,14.01,13.65
2025-04-22,15.09,16.35,15.0,15.45,323073.32,东诚药业,15.05,14.29,13.76
2025-04-23,15.48,15.85,14.96,15.07,194494.0,东诚药业,15.09,14.53,13.86
2025-04-24,14.97,15.5,14.97,15.38,146101.41,东诚药业,15.21,14.79,13.96
2025-04-25,15.41,15.5,14.9,15.05,157354.8,东诚药业,15.19,15.0,14.04
2025-04-28,14.99,15.07,14.46,14.99,106949.07,东诚药业,15.19,15.07,14.11
2025-04-29,14.86,15.15,14.86,14.98,67674.59,东诚药业,15.09,15.07,14.2
2025-04-30,14.9,15.12,14.65,14.95,93444.03,东诚药业,15.07,15.08,14.27
2025-05-06,15.04,15.15,14.78,14.84,87872.0,东诚药业,14.96,15.09,14.33
2025-05-07,14.92,15.09,14.64,14.81,76225.0,东诚药业,14.91,15.05,14.39
2025-05-08,14.79,15.14,14.76,14.84,80759.5,东诚药业,14.88,15.04,14.52
2025-05-09,14.86,15.05,14.69,14.82,59064.0,东诚药业,14.85,14.97,14.63
2025-05-12,14.75,14.86,13.89,13.99,261649.0,东诚药业,14.66,14.86,14.7
2025-05-13,14.02,14.3,14.01,14.16,84875.07,东诚药业,14.52,14.74,14.77
2025-05-14,14.13,14.17,14.0,14.11,72946.0,东诚药业,14.38,14.65,14.82
