date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.61,4.63,4.38,4.46,98887.74,乔治白,4.46,4.46,4.46
2025-03-25,4.47,4.49,4.38,4.47,74937.77,乔治白,4.46,4.46,4.46
2025-03-26,4.45,4.59,4.45,4.57,99876.8,乔治白,4.5,4.5,4.5
2025-03-27,4.55,4.58,4.48,4.53,59649.36,乔治白,4.51,4.51,4.51
2025-03-28,4.53,4.53,4.41,4.45,56851.13,乔治白,4.5,4.5,4.5
2025-03-31,4.42,4.44,4.31,4.35,71991.4,乔治白,4.47,4.47,4.47
2025-04-01,4.38,4.5,4.36,4.44,80329.18,乔治白,4.47,4.47,4.47
2025-04-02,4.43,4.52,4.43,4.49,67467.51,乔治白,4.45,4.47,4.47
2025-04-03,4.47,4.5,4.41,4.48,62860.59,乔治白,4.44,4.47,4.47
2025-04-07,4.29,4.3,4.03,4.03,115217.61,乔治白,4.36,4.43,4.43
2025-04-08,4.03,4.08,3.9,3.97,130811.15,乔治白,4.28,4.38,4.39
2025-04-09,3.93,4.06,3.72,4.02,132137.35,乔治白,4.2,4.33,4.36
2025-04-10,4.09,4.19,4.07,4.12,105821.83,乔治白,4.12,4.29,4.34
2025-04-11,4.12,4.15,4.07,4.08,63161.96,乔治白,4.04,4.24,4.32
2025-04-14,4.11,4.22,4.11,4.18,77874.35,乔治白,4.07,4.22,4.31
2025-04-15,4.2,4.24,4.15,4.23,79559.61,乔治白,4.13,4.2,4.3
2025-04-16,4.23,4.25,4.09,4.25,86634.4,乔治白,4.17,4.19,4.3
2025-04-17,4.2,4.34,4.18,4.33,95754.61,乔治白,4.21,4.17,4.3
2025-04-18,4.33,4.34,4.22,4.23,80158.89,乔治白,4.24,4.14,4.3
2025-04-21,4.23,4.28,4.19,4.27,56861.66,乔治白,4.26,4.17,4.3
2025-04-22,4.26,4.34,4.24,4.31,62486.97,乔治白,4.28,4.2,4.29
2025-04-23,4.31,4.37,4.27,4.29,75781.92,乔治白,4.29,4.23,4.28
2025-04-24,4.3,4.34,4.26,4.31,68013.41,乔治白,4.28,4.25,4.27
2025-04-25,4.32,4.35,4.29,4.31,62044.06,乔治白,4.3,4.27,4.26
2025-04-28,4.28,4.32,4.2,4.25,71814.43,乔治白,4.29,4.28,4.25
2025-04-29,4.24,4.34,4.2,4.31,84540.55,乔治白,4.29,4.29,4.24
2025-04-30,4.32,4.37,4.31,4.32,70907.72,乔治白,4.3,4.29,4.24
2025-05-06,4.37,4.39,4.34,4.39,78644.58,乔治白,4.32,4.3,4.23
2025-05-07,4.42,4.46,4.4,4.43,79400.32,乔治白,4.34,4.32,4.23
2025-05-08,4.42,4.48,4.39,4.45,69345.32,乔治白,4.38,4.34,4.25
2025-05-09,4.45,4.49,4.44,4.47,85244.31,乔治白,4.41,4.35,4.28
2025-05-12,4.49,4.53,4.43,4.44,78880.92,乔治白,4.44,4.37,4.3
2025-05-13,4.45,4.49,4.42,4.45,80941.55,乔治白,4.45,4.38,4.32
2025-05-14,4.44,4.45,4.35,4.43,81446.39,乔治白,4.45,4.39,4.33
2025-05-15,4.44,4.5,4.4,4.47,89942.55,乔治白,4.45,4.42,4.35
2025-05-16,4.47,4.48,4.41,4.46,74283.66,乔治白,4.45,4.43,4.36
2025-05-19,4.47,4.53,4.44,4.53,83664.48,乔治白,4.47,4.45,4.37
2025-05-20,4.53,4.58,4.49,4.56,75569.93,乔治白,4.49,4.47,4.38
2025-05-21,4.56,4.58,4.52,4.55,70381.2,乔治白,4.51,4.48,4.4
2025-05-22,4.53,4.61,4.47,4.49,82274.5,乔治白,4.52,4.49,4.41
2025-05-23,4.47,4.52,4.41,4.43,79880.43,乔治白,4.51,4.48,4.42
2025-05-26,4.46,4.5,4.4,4.43,68723.87,乔治白,4.49,4.48,4.42
2025-05-27,4.42,4.5,4.4,4.49,74718.57,乔治白,4.48,4.48,4.43
2025-05-28,4.47,4.51,4.46,4.5,58505.91,乔治白,4.47,4.49,4.44
2025-05-29,4.5,4.54,4.47,4.51,59276.23,乔治白,4.47,4.5,4.46
2025-05-30,4.53,4.53,4.44,4.46,55649.76,乔治白,4.48,4.5,4.46
