date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.82,10.08,9.61,9.94,152561.4,利民股份,9.94,9.94,9.94
2025-03-25,9.87,10.66,9.7,10.5,322191.17,利民股份,10.22,10.22,10.22
2025-03-26,10.7,11.28,10.52,10.88,397273.6,利民股份,10.44,10.44,10.44
2025-03-27,10.8,11.97,10.76,11.63,687525.94,利民股份,10.74,10.74,10.74
2025-03-28,11.05,11.72,10.6,10.8,585642.95,利民股份,10.75,10.75,10.75
2025-03-31,10.61,10.78,10.26,10.54,334960.25,利民股份,10.87,10.72,10.72
2025-04-01,10.54,11.19,10.37,10.84,321339.3,利民股份,10.94,10.73,10.73
2025-04-02,10.84,10.94,10.6,10.72,202617.66,利民股份,10.91,10.73,10.73
2025-04-03,10.91,11.79,10.81,11.28,585101.16,利民股份,10.84,10.79,10.79
2025-04-07,10.47,10.97,10.15,10.15,613262.27,利民股份,10.71,10.73,10.73
2025-04-08,11.17,11.17,11.17,11.17,88389.19,利民股份,10.83,10.85,10.77
2025-04-09,11.33,11.86,10.58,11.57,918356.87,利民股份,10.98,10.96,10.84
2025-04-10,11.05,12.44,11.05,11.93,869819.7,利民股份,11.22,11.06,10.92
2025-04-11,11.7,11.8,11.33,11.44,591792.19,利民股份,11.25,11.04,10.96
2025-04-14,11.44,11.73,11.35,11.61,346512.34,利民股份,11.54,11.12,11.0
2025-04-15,11.68,12.29,11.55,12.1,589768.58,利民股份,11.73,11.28,11.07
2025-04-16,11.8,11.88,11.44,11.76,390819.84,利民股份,11.77,11.37,11.11
2025-04-17,11.59,11.92,11.55,11.61,366092.66,利民股份,11.7,11.46,11.14
2025-04-18,11.52,12.18,11.28,11.9,464331.13,利民股份,11.8,11.52,11.18
2025-04-21,11.8,12.24,11.62,11.66,504529.98,利民股份,11.81,11.68,11.2
2025-04-22,11.6,12.45,11.52,12.45,704290.78,利民股份,11.88,11.8,11.33
2025-04-23,12.46,12.48,12.15,12.22,490078.01,利民股份,11.97,11.87,11.41
2025-04-24,12.38,13.28,12.14,12.75,673322.89,利民股份,12.2,11.95,11.51
2025-04-25,13.11,13.48,12.76,13.33,581361.03,利民股份,12.48,12.14,11.59
2025-04-28,13.32,14.44,12.92,14.11,695804.49,利民股份,12.97,12.39,11.76
2025-04-29,13.91,14.36,13.74,13.95,562578.62,利民股份,13.27,12.57,11.93
2025-04-30,13.75,14.03,13.07,13.31,616193.44,利民股份,13.49,12.73,12.05
2025-05-06,13.21,13.62,13.21,13.62,476592.14,利民股份,13.66,12.93,12.2
2025-05-07,13.6,13.78,13.22,13.37,401124.29,利民股份,13.67,13.08,12.3
2025-05-08,13.34,14.18,12.88,13.81,610990.05,利民股份,13.61,13.29,12.48
2025-05-09,13.65,14.1,13.58,13.63,423627.84,利民股份,13.55,13.41,12.61
2025-05-12,13.55,13.7,13.33,13.43,331211.28,利民股份,13.57,13.53,12.7
2025-05-13,13.43,14.46,13.06,14.21,696174.51,利民股份,13.69,13.68,12.81
2025-05-14,13.96,14.77,13.79,14.61,608091.53,利民股份,13.94,13.81,12.97
2025-05-15,14.45,14.61,14.07,14.1,318609.16,利民股份,14.0,13.8,13.1
2025-05-16,14.0,14.39,13.9,14.3,274463.01,利民股份,14.13,13.84,13.21
2025-05-19,14.35,15.02,14.02,14.95,441898.41,利民股份,14.43,14.0,13.37
2025-05-20,14.78,15.61,14.6,14.74,570439.59,利民股份,14.54,14.12,13.52
2025-05-21,14.73,15.06,14.51,14.88,399491.23,利民股份,14.59,14.27,13.67
2025-05-22,14.8,15.3,14.56,15.2,399110.57,利民股份,14.81,14.4,13.85
2025-05-23,15.1,16.0,15.03,15.93,547891.69,利民股份,15.14,14.64,14.02
2025-05-26,15.89,17.5,15.63,17.28,686198.53,利民股份,15.61,15.02,14.28
2025-05-27,17.0,18.43,16.5,17.33,797242.48,利民股份,16.12,15.33,14.5
2025-05-28,17.17,17.51,16.52,16.94,507174.59,利民股份,16.54,15.57,14.68
2025-05-29,16.63,17.04,16.21,16.47,512711.14,利民股份,16.79,15.8,14.8
2025-05-30,16.47,18.12,15.99,18.08,938388.1,利民股份,17.22,16.18,15.01
2025-06-03,17.7,17.89,17.32,17.52,634762.3,利民股份,17.27,16.44,15.22
2025-06-04,17.38,18.89,17.38,18.75,647027.27,利民股份,17.55,16.84,15.48
2025-06-05,19.13,20.29,18.7,19.94,818783.8,利民股份,18.15,17.34,15.8
2025-06-06,19.56,20.66,19.44,19.88,758212.71,利民股份,18.83,17.81,16.11
2025-06-09,19.5,20.1,19.17,19.69,599199.88,利民股份,19.16,18.19,16.41
2025-06-10,19.7,21.06,19.37,20.55,670063.1,利民股份,19.76,18.52,16.77
2025-06-11,20.56,22.61,20.31,22.61,944612.82,利民股份,20.53,19.04,17.19
2025-06-12,22.62,24.87,21.89,22.93,1509467.73,利民股份,21.13,19.64,17.6
2025-06-13,22.21,22.58,20.64,20.64,1276538.14,利民股份,21.28,20.06,17.93
2025-06-16,19.8,22.7,19.47,22.7,1181629.41,利民股份,21.89,20.52,18.35
2025-06-17,23.12,24.25,22.0,22.49,1077672.32,利民股份,22.27,21.02,18.73
2025-06-18,22.03,23.26,21.6,22.5,816823.58,利民股份,22.25,21.39,19.12
2025-06-19,22.16,22.2,20.25,20.25,768136.63,利民股份,21.72,21.42,19.38
2025-06-20,19.2,20.29,18.23,18.23,965189.84,利民股份,21.23,21.26,19.54
2025-06-23,18.35,19.08,18.22,18.85,722329.61,利民股份,20.46,21.18,19.68
2025-06-24,19.1,19.51,18.72,19.14,634047.4,利民股份,19.79,21.03,19.77
2025-06-25,19.0,19.32,17.8,18.08,882323.69,利民股份,18.91,20.58,19.81
2025-06-26,17.86,18.48,17.65,18.04,570196.93,利民股份,18.47,20.09,19.87
2025-06-27,17.96,18.48,17.9,18.26,456049.37,利民股份,18.47,19.85,19.96
2025-06-30,18.36,18.36,17.93,18.3,357342.85,利民股份,18.36,19.41,19.97
2025-07-01,18.39,18.54,17.84,18.38,455476.18,利民股份,18.21,19.0,20.01
2025-07-02,18.21,19.15,18.06,18.85,775989.48,利民股份,18.37,18.64,20.02
2025-07-03,18.78,19.2,18.0,18.51,601904.68,利民股份,18.46,18.46,19.94
2025-07-04,18.5,19.88,18.27,19.59,902070.56,利民股份,18.73,18.6,19.93
2025-07-07,19.6,21.44,19.42,21.27,884026.06,利民股份,19.32,18.84,20.01
2025-07-08,20.86,21.63,20.65,20.99,643382.81,利民股份,19.84,19.03,20.03
2025-07-09,20.8,21.95,20.42,20.51,693077.59,利民股份,20.17,19.27,19.93
2025-07-10,20.02,20.51,19.5,20.2,595156.26,利民股份,20.51,19.49,19.79
2025-07-11,19.6,21.33,19.56,21.02,714310.58,利民股份,20.8,19.76,19.81
2025-07-14,20.89,21.8,19.92,20.65,665533.6,利民股份,20.67,20.0,19.71
2025-07-15,20.62,21.3,20.32,20.96,494845.81,利民股份,20.67,20.26,19.63
2025-07-16,20.97,21.12,20.1,20.13,503892.03,利民股份,20.59,20.38,19.51
2025-07-17,19.73,20.05,19.42,19.75,464167.42,利民股份,20.5,20.51,19.49
2025-07-18,19.66,19.85,19.48,19.72,286424.27,利民股份,20.24,20.52,19.56
2025-07-21,19.67,20.25,19.61,19.96,392720.63,利民股份,20.1,20.39,19.62
2025-07-22,19.98,20.05,18.82,18.96,567366.3,利民股份,19.7,20.19,19.61
2025-07-23,18.7,18.97,18.59,18.66,286229.97,利民股份,19.41,20.0,19.64
2025-07-24,18.63,18.87,18.5,18.77,241569.71,利民股份,19.21,19.86,19.67
2025-07-25,18.78,19.27,18.58,18.64,241682.08,利民股份,19.0,19.62,19.69
2025-07-28,18.85,19.4,18.7,19.06,292417.57,利民股份,18.82,19.46,19.73
2025-07-29,19.0,19.14,18.66,19.13,266010.22,利民股份,18.85,19.28,19.77
2025-07-30,19.02,20.45,18.95,20.05,677180.25,利民股份,19.13,19.27,19.83
2025-07-31,19.8,20.31,19.63,19.94,518826.36,利民股份,19.36,19.29,19.9
2025-08-01,19.8,20.35,19.45,20.27,444012.06,利民股份,19.69,19.34,19.93
2025-08-04,20.01,21.3,19.92,21.27,578203.53,利民股份,20.13,19.48,19.93
2025-08-05,21.2,22.33,21.06,21.88,598449.37,利民股份,20.68,19.77,19.98
2025-08-06,21.88,22.44,21.76,21.96,540405.79,利民股份,21.06,20.1,20.05
2025-08-07,21.78,23.63,21.66,23.37,693373.53,利民股份,21.75,20.56,20.21
2025-08-08,23.1,23.55,22.67,23.27,432700.24,利民股份,22.35,21.02,20.32
2025-08-11,23.05,23.37,22.82,23.05,362996.86,利民股份,22.71,21.42,20.44
2025-08-12,22.96,23.02,22.25,22.44,510309.33,利民股份,22.82,21.75,20.51
2025-08-13,22.44,22.97,22.1,22.58,356742.6,利民股份,22.94,22.0,20.64
