date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,33.72,34.4,33.22,34.14,122065.65,中矿资源,34.14,34.14,34.14
2025-03-25,34.14,34.33,33.75,34.03,59907.61,中矿资源,34.08,34.08,34.08
2025-03-26,34.02,34.39,33.86,33.9,70624.82,中矿资源,34.02,34.02,34.02
2025-03-27,33.8,33.92,33.41,33.64,58740.09,中矿资源,33.93,33.93,33.93
2025-03-28,33.57,33.76,32.53,32.68,119261.66,中矿资源,33.68,33.68,33.68
2025-03-31,32.45,32.62,31.85,32.09,80468.07,中矿资源,33.27,33.41,33.41
2025-04-01,32.07,32.24,31.89,32.04,54453.52,中矿资源,32.87,33.22,33.22
2025-04-02,32.04,32.39,31.93,32.14,57897.91,中矿资源,32.52,33.08,33.08
2025-04-03,31.91,32.19,31.75,31.83,57034.14,中矿资源,32.16,32.94,32.94
2025-04-07,29.4,30.18,28.65,28.65,112141.58,中矿资源,31.35,32.51,32.51
2025-04-08,28.1,28.6,27.15,28.24,160676.8,中矿资源,30.58,31.92,32.13
2025-04-09,27.55,28.78,27.01,28.52,127905.62,中矿资源,29.88,31.37,31.82
2025-04-10,29.3,29.42,28.75,28.78,105498.15,中矿资源,29.2,30.86,31.59
2025-04-11,28.5,29.18,28.5,28.88,82352.68,中矿资源,28.61,30.38,31.4
2025-04-14,29.3,29.81,29.17,29.52,95902.86,中矿资源,28.79,30.07,31.27
2025-04-15,29.57,29.68,29.11,29.26,53978.79,中矿资源,28.99,29.79,31.15
2025-04-16,29.13,29.23,28.21,28.42,105286.2,中矿资源,28.97,29.42,30.99
2025-04-17,28.29,28.55,28.13,28.13,71633.52,中矿资源,28.84,29.02,30.83
2025-04-18,28.0,28.65,27.94,28.41,60768.94,中矿资源,28.75,28.68,30.7
2025-04-21,28.51,28.95,28.23,28.88,67737.3,中矿资源,28.62,28.7,30.61
2025-04-22,28.8,29.16,28.54,28.61,62947.65,中矿资源,28.49,28.74,30.33
2025-04-23,28.71,28.98,28.37,28.58,79801.14,中矿资源,28.52,28.75,30.06
2025-04-24,29.2,29.6,28.77,28.84,174630.3,中矿资源,28.66,28.75,29.81
2025-04-25,28.72,29.66,28.7,28.92,130397.14,中矿资源,28.77,28.76,29.57
2025-04-28,28.8,28.95,28.51,28.67,59115.5,中矿资源,28.72,28.67,29.37
2025-04-29,28.55,28.85,28.5,28.76,41875.66,中矿资源,28.75,28.62,29.2
2025-04-30,28.72,29.45,28.61,29.14,83912.0,中矿资源,28.87,28.69,29.06
2025-05-06,29.1,29.63,29.1,29.55,93817.97,中矿资源,29.01,28.84,28.93
2025-05-07,29.85,29.92,29.04,29.38,101789.31,中矿资源,29.1,28.93,28.81
2025-05-08,29.29,29.99,29.13,29.75,106692.23,中矿资源,29.32,29.02,28.86
2025-05-09,29.74,29.8,29.34,29.49,62483.91,中矿资源,29.46,29.11,28.92
2025-05-12,29.84,29.98,29.54,29.78,109319.14,中矿资源,29.59,29.23,28.99
2025-05-13,29.98,30.75,29.78,30.49,172295.17,中矿资源,29.78,29.39,29.07
2025-05-14,30.48,31.2,30.3,30.95,118441.51,中矿资源,30.09,29.6,29.18
2025-05-15,30.8,31.2,29.99,30.01,110628.31,中矿资源,30.14,29.73,29.2
2025-05-16,29.8,30.3,29.8,30.02,64513.68,中矿资源,30.25,29.86,29.24
2025-05-19,29.92,30.07,29.64,29.87,49377.33,中矿资源,30.27,29.93,29.31
2025-05-20,29.8,29.97,29.56,29.79,74487.04,中矿资源,30.13,29.95,29.39
2025-05-21,29.88,31.1,29.81,30.69,176978.72,中矿资源,30.08,30.08,29.51
2025-05-22,30.55,31.08,30.43,30.58,109134.42,中矿资源,30.19,30.17,29.59
2025-05-23,30.68,31.7,30.68,30.77,154731.37,中矿资源,30.34,30.3,29.7
2025-05-26,30.57,31.25,30.3,30.36,76146.98,中矿资源,30.44,30.35,29.79
2025-05-27,30.35,30.81,30.0,30.21,95514.3,中矿资源,30.52,30.32,29.86
2025-05-28,30.06,30.26,29.81,29.88,60466.03,中矿资源,30.36,30.22,29.91
2025-05-29,29.86,30.12,29.61,29.96,71743.33,中矿资源,30.24,30.21,29.97
2025-05-30,29.97,30.13,29.4,29.47,76754.16,中矿资源,29.98,30.16,30.01
2025-06-03,29.32,29.79,29.09,29.62,89150.91,中矿资源,29.83,30.13,30.03
2025-06-04,29.66,31.13,29.66,30.92,162467.71,中矿资源,29.97,30.25,30.1
2025-06-05,30.93,31.07,30.44,30.6,76838.6,中矿资源,30.11,30.24,30.16
2025-06-06,30.62,31.0,30.5,30.54,71729.14,中矿资源,30.23,30.23,30.2
2025-06-09,30.55,30.96,30.4,30.67,61398.78,中矿资源,30.47,30.22,30.26
2025-06-10,30.82,30.98,30.32,30.4,82652.25,中矿资源,30.63,30.23,30.29
2025-06-11,30.49,31.75,30.49,31.28,207708.53,中矿资源,30.7,30.33,30.33
2025-06-12,31.3,31.48,30.75,30.87,129970.33,中矿资源,30.75,30.43,30.33
2025-06-13,30.65,31.03,30.17,30.32,113327.63,中矿资源,30.71,30.47,30.34
2025-06-16,30.2,30.34,29.96,29.98,111307.76,中矿资源,30.57,30.52,30.34
2025-06-17,30.1,30.72,30.0,30.19,128397.24,中矿资源,30.53,30.58,30.36
2025-06-18,30.12,30.3,29.51,29.7,106666.7,中矿资源,30.21,30.46,30.35
2025-06-19,29.6,30.25,29.27,29.36,110479.15,中矿资源,29.91,30.33,30.28
2025-06-20,29.37,30.2,29.32,29.37,145426.16,中矿资源,29.72,30.21,30.22
2025-06-23,29.36,30.22,29.31,30.16,135059.24,中矿资源,29.76,30.16,30.19
2025-06-24,30.1,31.45,30.06,31.28,189179.22,中矿资源,29.97,30.25,30.24
2025-06-25,31.39,32.44,31.39,31.98,199035.42,中矿资源,30.43,30.32,30.33
2025-06-26,32.0,32.76,31.76,31.81,162191.6,中矿资源,30.92,30.42,30.42
2025-06-27,32.5,33.08,32.18,32.21,156422.98,中矿资源,31.49,30.6,30.54
2025-06-30,32.21,32.45,31.85,32.16,98539.4,中矿资源,31.89,30.82,30.67
2025-07-01,32.15,32.15,31.15,31.69,134553.12,中矿资源,31.97,30.97,30.77
2025-07-02,31.75,32.85,31.6,32.68,188916.57,中矿资源,32.11,31.27,30.86
2025-07-03,32.97,34.85,32.46,34.57,305435.93,中矿资源,32.66,31.79,31.06
2025-07-04,33.88,33.9,32.92,32.94,170316.4,中矿资源,32.81,32.15,31.18
2025-07-07,32.81,32.85,32.44,32.65,99797.57,中矿资源,32.91,32.4,31.28
2025-07-08,32.66,33.8,32.66,33.34,146084.93,中矿资源,33.24,32.6,31.43
2025-07-09,33.66,33.77,32.6,32.75,144647.46,中矿资源,33.25,32.68,31.5
2025-07-10,32.57,32.93,32.5,32.66,84531.12,中矿资源,32.87,32.76,31.59
2025-07-11,32.88,33.6,32.68,32.78,183452.62,中矿资源,32.84,32.82,31.71
2025-07-14,33.5,34.49,33.22,33.33,255940.16,中矿资源,32.97,32.94,31.88
2025-07-15,32.62,33.0,31.77,32.0,318774.13,中矿资源,32.7,32.97,31.97
2025-07-16,31.92,32.01,31.31,31.47,142613.96,中矿资源,32.45,32.85,32.06
2025-07-17,31.61,33.36,31.47,32.56,244702.43,中矿资源,32.43,32.65,32.22
2025-07-18,32.81,34.36,32.81,33.91,402016.98,中矿资源,32.65,32.74,32.45
2025-07-21,34.18,34.75,33.72,34.41,268512.13,中矿资源,32.87,32.92,32.66
2025-07-22,34.6,35.88,34.5,35.84,373664.23,中矿资源,33.64,33.17,32.89
2025-07-23,36.3,36.8,35.4,35.58,343092.47,中矿资源,34.46,33.45,33.07
2025-07-24,35.19,38.7,35.19,38.6,525457.08,中矿资源,35.67,34.05,33.41
2025-07-25,38.6,40.25,38.45,39.01,523406.14,中矿资源,36.69,34.67,33.75
