date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,15.74,15.98,14.77,15.16,263610.9,通宇通讯,15.16,15.16,15.16
2025-03-25,15.18,15.38,14.63,14.71,153502.45,通宇通讯,14.94,14.94,14.94
2025-03-26,14.72,15.08,14.69,14.9,101322.29,通宇通讯,14.92,14.92,14.92
2025-03-27,14.84,14.9,14.36,14.38,141441.72,通宇通讯,14.79,14.79,14.79
2025-03-28,14.36,14.44,14.08,14.15,88142.8,通宇通讯,14.66,14.66,14.66
2025-03-31,14.1,14.2,13.69,14.13,90258.62,通宇通讯,14.45,14.57,14.57
2025-04-01,14.18,14.28,14.07,14.1,71157.3,通宇通讯,14.33,14.5,14.5
2025-04-02,14.11,15.25,14.07,14.79,267017.82,通宇通讯,14.31,14.54,14.54
2025-04-03,14.64,14.86,14.4,14.6,116630.3,通宇通讯,14.35,14.55,14.55
2025-04-07,13.6,13.75,13.14,13.14,100687.15,通宇通讯,14.15,14.41,14.41
2025-04-08,12.64,13.09,11.83,12.22,237386.97,通宇通讯,13.77,14.11,14.21
2025-04-09,11.8,12.8,11.1,12.68,171313.06,通宇通讯,13.49,13.91,14.08
2025-04-10,12.98,13.25,12.85,12.85,135732.52,通宇通讯,13.1,13.7,13.99
2025-04-11,12.67,13.25,12.61,13.1,108913.0,通宇通讯,12.8,13.58,13.92
2025-04-14,13.46,13.6,13.29,13.39,88984.7,通宇通讯,12.85,13.5,13.89
2025-04-15,13.4,13.46,13.09,13.26,68575.5,通宇通讯,13.06,13.41,13.85
2025-04-16,13.18,13.41,12.81,13.05,70624.65,通宇通讯,13.13,13.31,13.8
2025-04-17,12.95,13.32,12.93,13.15,65393.5,通宇通讯,13.19,13.14,13.76
2025-04-18,13.11,14.47,13.11,14.47,258329.51,通宇通讯,13.46,13.13,13.8
2025-04-21,14.9,15.58,14.8,14.88,488694.69,通宇通讯,13.76,13.31,13.86
2025-04-22,14.89,14.95,14.39,14.4,322534.59,通宇通讯,13.99,13.52,13.82
2025-04-23,14.4,14.6,14.28,14.4,205892.24,通宇通讯,14.26,13.69,13.8
2025-04-24,14.2,14.73,14.05,14.5,253020.94,通宇通讯,14.53,13.86,13.78
2025-04-25,14.35,14.78,14.35,14.51,206905.75,通宇通讯,14.54,14.0,13.79
2025-04-28,14.33,14.75,14.33,14.49,158345.35,通宇通讯,14.46,14.11,13.81
2025-04-29,14.53,14.82,14.45,14.45,126639.65,通宇通讯,14.47,14.23,13.82
2025-04-30,14.49,15.15,14.4,14.58,192960.01,通宇通讯,14.51,14.38,13.85
2025-05-06,14.56,15.02,14.56,15.02,243464.45,通宇通讯,14.61,14.57,13.86
2025-05-07,15.23,15.3,14.81,14.98,184795.35,通宇通讯,14.7,14.62,13.88
2025-05-08,14.95,15.35,14.9,15.27,231790.75,通宇通讯,14.86,14.66,13.98
2025-05-09,15.45,15.87,15.13,15.51,361127.37,通宇通讯,15.07,14.77,14.15
2025-05-12,15.59,16.15,15.3,16.12,413507.08,通宇通讯,15.38,14.94,14.32
2025-05-13,16.0,16.0,15.5,15.57,264319.2,通宇通讯,15.49,15.05,14.46
2025-05-14,15.45,15.76,15.37,15.41,174436.68,通宇通讯,15.58,15.14,14.57
2025-05-15,15.25,15.4,15.02,15.04,147493.33,通宇通讯,15.53,15.2,14.65
2025-05-16,15.05,15.62,14.93,15.44,173779.27,通宇通讯,15.52,15.29,14.76
2025-05-19,15.35,15.44,15.11,15.39,102177.5,通宇通讯,15.37,15.38,14.88
2025-05-20,15.3,15.44,15.09,15.32,103815.6,通宇通讯,15.32,15.4,14.99
2025-05-21,15.26,15.3,15.02,15.04,102297.2,通宇通讯,15.25,15.41,15.02
2025-05-22,14.92,15.18,14.78,14.84,88076.9,通宇通讯,15.21,15.37,15.01
2025-05-23,14.85,14.92,14.41,14.41,102772.55,通宇通讯,15.0,15.26,15.01
2025-05-26,14.44,14.73,14.43,14.65,97557.6,通宇通讯,14.85,15.11,15.03
2025-05-27,14.43,14.51,14.05,14.37,130645.2,通宇通讯,14.66,14.99,15.02
2025-05-28,14.4,14.55,14.23,14.3,52480.65,通宇通讯,14.51,14.88,15.01
2025-05-29,14.3,14.65,14.3,14.58,66304.61,通宇通讯,14.46,14.83,15.01
2025-05-30,14.48,14.57,14.28,14.29,62657.9,通宇通讯,14.44,14.72,15.01
2025-06-03,14.36,14.67,14.25,14.3,61238.52,通宇通讯,14.37,14.61,14.99
2025-06-04,14.39,14.57,14.36,14.48,70021.9,通宇通讯,14.39,14.53,14.97
