date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,37.3,37.5,35.6,36.66,37575.0,香山股份,36.66,36.66,36.66
2025-03-25,36.48,36.85,35.58,36.08,20488.0,香山股份,36.37,36.37,36.37
2025-03-26,35.99,37.05,35.78,36.18,23829.3,香山股份,36.31,36.31,36.31
2025-03-27,36.21,36.52,35.33,36.06,18832.64,香山股份,36.24,36.24,36.24
2025-03-28,35.61,36.15,35.3,35.55,22222.3,香山股份,36.11,36.11,36.11
2025-03-31,35.07,35.39,33.0,34.4,38187.3,香山股份,35.65,35.82,35.82
2025-04-01,34.46,34.73,34.05,34.51,20490.0,香山股份,35.34,35.63,35.63
2025-04-02,34.44,35.25,34.13,35.2,26872.0,香山股份,35.14,35.58,35.58
2025-04-03,34.59,35.08,33.5,33.73,24690.0,香山股份,34.68,35.37,35.37
2025-04-07,31.8,31.8,30.36,30.36,21955.0,香山股份,33.64,34.87,34.87
2025-04-08,29.51,30.41,27.48,28.25,53131.0,香山股份,32.41,34.03,34.27
2025-04-09,27.84,28.43,26.22,28.08,42501.22,香山股份,31.12,33.23,33.76
2025-04-10,28.8,29.76,28.5,29.03,36107.0,香山股份,29.89,32.52,33.39
2025-04-11,28.65,29.72,28.56,29.57,27379.3,香山股份,29.06,31.87,33.12
2025-04-14,30.16,30.38,29.67,29.83,23341.0,香山股份,28.95,31.3,32.9
2025-04-15,29.99,30.2,29.26,29.73,15287.0,香山股份,29.25,30.83,32.7
2025-04-16,29.59,29.68,28.51,28.9,17793.0,香山股份,29.41,30.27,32.48
2025-04-17,28.78,29.4,28.54,29.0,16383.4,香山股份,29.41,29.65,32.28
2025-04-18,28.95,29.5,28.81,29.41,17846.7,香山股份,29.37,29.22,32.13
2025-04-21,29.51,29.79,29.02,29.79,16085.0,香山股份,29.37,29.16,32.02
2025-04-22,29.89,30.1,29.67,29.74,15712.0,香山股份,29.37,29.31,31.67
2025-04-23,30.0,31.19,30.0,30.9,33607.37,香山股份,29.77,29.59,31.41
2025-04-24,31.0,31.08,30.34,30.53,20430.0,香山股份,30.07,29.74,31.13
2025-04-25,31.08,33.09,30.78,32.35,49078.0,香山股份,30.66,30.02,30.94
2025-04-28,31.21,32.76,30.9,32.04,42364.0,香山股份,31.11,30.24,30.77
2025-04-29,31.88,33.8,31.8,33.35,46261.0,香山股份,31.83,30.6,30.72
2025-04-30,33.35,35.41,33.1,35.3,59901.75,香山股份,32.71,31.24,30.75
2025-05-06,35.2,35.5,34.69,35.4,46265.0,香山股份,33.69,31.88,30.76
2025-05-07,34.5,36.31,34.15,35.77,67432.0,香山股份,34.37,32.52,30.87
2025-05-08,35.53,36.95,35.5,35.87,61421.1,香山股份,35.14,33.12,31.14
2025-05-09,35.88,35.92,34.28,34.31,40871.0,香山股份,35.33,33.58,31.44
2025-05-12,34.64,35.33,34.15,34.74,29363.0,香山股份,35.22,33.97,31.78
