date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,36.26,37.45,36.26,37.05,133059.59,鹏鼎控股,37.05,37.05,37.05
2025-03-25,37.1,37.46,36.41,36.7,94719.1,鹏鼎控股,36.88,36.88,36.88
2025-03-26,36.8,37.2,36.21,36.26,82666.69,鹏鼎控股,36.67,36.67,36.67
2025-03-27,36.12,36.64,36.02,36.31,70501.71,鹏鼎控股,36.58,36.58,36.58
2025-03-28,36.31,37.02,35.88,36.36,75208.62,鹏鼎控股,36.54,36.54,36.54
2025-03-31,36.2,36.83,35.95,36.28,92360.38,鹏鼎控股,36.38,36.49,36.49
2025-04-01,36.41,36.53,36.01,36.27,77742.14,鹏鼎控股,36.3,36.46,36.46
2025-04-02,36.27,37.22,36.14,37.09,101053.65,鹏鼎控股,36.46,36.54,36.54
2025-04-03,36.63,36.91,33.38,33.38,380944.76,鹏鼎控股,35.88,36.19,36.19
2025-04-07,30.04,30.04,30.04,30.04,39081.0,鹏鼎控股,34.61,35.57,35.57
2025-04-08,28.03,28.88,27.04,27.04,312001.42,鹏鼎控股,32.76,34.57,34.8
2025-04-09,25.8,26.23,24.68,26.0,572512.61,鹏鼎控股,30.71,33.5,34.07
2025-04-10,28.59,28.6,27.5,27.95,449286.77,鹏鼎控股,28.88,32.67,33.59
2025-04-11,27.59,30.3,27.02,29.9,429285.34,鹏鼎控股,28.19,32.03,33.33
2025-04-14,31.77,31.8,29.21,29.52,390364.53,鹏鼎控股,28.08,31.35,33.08
2025-04-15,29.26,29.69,28.35,28.82,236028.27,鹏鼎控股,28.44,30.6,32.81
2025-04-16,28.58,28.7,27.32,27.64,228474.48,鹏鼎控股,28.77,29.74,32.51
2025-04-17,27.52,28.3,27.51,27.79,135899.01,鹏鼎控股,28.73,28.81,32.24
2025-04-18,27.79,28.39,27.79,28.26,95738.0,鹏鼎控股,28.41,28.3,32.03
2025-04-21,28.02,28.92,27.73,28.82,113586.0,鹏鼎控股,28.27,28.17,31.87
2025-04-22,28.82,28.88,28.28,28.34,99049.29,鹏鼎控股,28.17,28.3,31.44
2025-04-23,29.13,29.99,28.97,29.45,191556.11,鹏鼎控股,28.53,28.65,31.08
2025-04-24,29.45,29.76,28.98,29.23,110732.2,鹏鼎控股,28.82,28.78,30.72
2025-04-25,29.32,31.0,29.32,30.04,211922.5,鹏鼎控股,29.18,28.79,30.41
2025-04-28,30.04,30.75,29.53,29.6,140981.37,鹏鼎控股,29.33,28.8,30.07
2025-04-29,29.54,29.98,29.33,29.7,85761.11,鹏鼎控股,29.6,28.89,29.74
2025-04-30,28.88,28.88,27.7,28.57,352968.29,鹏鼎控股,29.43,28.98,29.36
2025-05-06,28.57,29.1,28.35,29.1,274065.23,鹏鼎控股,29.4,29.11,28.96
2025-05-07,29.8,30.05,29.0,29.31,241222.34,鹏鼎控股,29.26,29.22,28.76
2025-05-08,29.29,30.77,29.12,30.19,287110.14,鹏鼎控股,29.37,29.35,28.76
2025-05-09,30.19,30.19,29.27,29.33,152840.92,鹏鼎控股,29.3,29.45,28.88
2025-05-12,30.4,30.97,30.06,30.82,239529.51,鹏鼎控股,29.75,29.59,29.12
2025-05-13,31.7,32.3,29.8,29.81,370211.23,鹏鼎控股,29.89,29.65,29.21
2025-05-14,29.82,30.38,29.62,29.97,198184.02,鹏鼎控股,30.02,29.64,29.22
2025-05-15,29.79,29.79,29.15,29.34,141187.49,鹏鼎控股,29.85,29.61,29.21
2025-05-16,29.11,29.77,28.95,29.5,132226.0,鹏鼎控股,29.89,29.59,29.24
2025-05-19,29.42,29.49,28.8,28.97,107829.75,鹏鼎控股,29.52,29.63,29.31
2025-05-20,28.9,29.12,28.61,28.91,120930.37,鹏鼎控股,29.34,29.62,29.36
2025-05-21,28.91,29.1,28.4,29.09,124777.23,鹏鼎控股,29.16,29.59,29.4
2025-05-22,28.9,29.08,28.01,28.24,163619.65,鹏鼎控股,28.94,29.4,29.38
2025-05-23,28.2,28.39,27.8,27.87,149034.33,鹏鼎控股,28.62,29.25,29.35
2025-05-26,27.51,28.31,27.42,28.18,98337.92,鹏鼎控股,28.46,28.99,29.29
2025-05-27,28.06,28.23,27.58,27.58,104819.83,鹏鼎控股,28.19,28.76,29.21
2025-05-28,27.83,28.0,27.57,27.65,61284.99,鹏鼎控股,27.9,28.53,29.09
2025-05-29,28.0,28.95,28.0,28.42,181158.34,鹏鼎控股,27.94,28.44,29.03
2025-05-30,28.11,28.63,27.64,28.27,156521.78,鹏鼎控股,28.02,28.32,28.96
2025-06-03,28.02,28.23,27.9,27.97,93884.11,鹏鼎控股,27.98,28.22,28.93
2025-06-04,28.05,29.38,28.05,29.05,209909.66,鹏鼎控股,28.27,28.23,28.92
2025-06-05,29.0,29.91,28.9,29.7,187390.81,鹏鼎控股,28.68,28.29,28.94
2025-06-06,29.75,29.88,29.32,29.42,157990.66,鹏鼎控股,28.88,28.41,28.9
2025-06-09,29.64,30.18,29.5,29.98,170554.71,鹏鼎控股,29.22,28.62,28.94
2025-06-10,29.94,30.05,29.16,29.43,163675.83,鹏鼎控股,29.52,28.75,28.87
2025-06-11,29.59,30.44,29.55,29.73,179927.68,鹏鼎控股,29.65,28.96,28.86
2025-06-12,29.6,30.57,29.58,30.16,177660.77,鹏鼎控股,29.74,29.21,28.87
2025-06-13,30.0,30.33,29.81,30.08,122209.74,鹏鼎控股,29.88,29.38,28.91
2025-06-16,30.0,30.89,29.8,30.12,164386.13,鹏鼎控股,29.9,29.56,28.94
2025-06-17,30.18,31.54,30.13,30.94,317065.98,鹏鼎控股,30.21,29.86,29.04
2025-06-18,29.92,30.96,29.3,30.68,330781.21,鹏鼎控股,30.4,30.02,29.13
2025-06-19,30.68,31.25,30.24,30.44,239305.3,鹏鼎控股,30.45,30.1,29.2
2025-06-20,30.5,30.9,29.89,30.2,220181.72,鹏鼎控股,30.48,30.18,29.29
2025-06-23,29.66,30.96,29.61,30.56,259792.27,鹏鼎控股,30.56,30.23,29.43
2025-06-24,30.7,31.22,30.33,30.69,239909.14,鹏鼎控股,30.51,30.36,29.55
2025-06-25,30.6,30.77,30.17,30.58,211007.73,鹏鼎控股,30.49,30.44,29.7
2025-06-26,30.61,31.36,30.43,30.73,319232.28,鹏鼎控股,30.55,30.5,29.86
2025-06-27,30.77,32.84,30.02,32.2,486626.79,鹏鼎控股,30.95,30.71,30.05
2025-06-30,32.2,32.42,31.66,32.03,279552.76,鹏鼎控股,31.25,30.9,30.23
2025-07-01,32.09,34.01,31.9,33.78,420840.68,鹏鼎控股,31.86,31.19,30.52
2025-07-02,33.36,33.58,32.32,32.49,293196.86,鹏鼎控股,32.25,31.37,30.7
2025-07-03,32.97,35.74,32.94,35.74,750339.74,鹏鼎控股,33.25,31.9,31.0
2025-07-04,35.79,37.57,35.13,36.89,808725.01,鹏鼎控股,34.19,32.57,31.37
2025-07-07,36.89,40.08,36.89,37.41,939785.56,鹏鼎控股,35.26,33.25,31.74
2025-07-08,37.05,39.78,36.61,39.3,792978.47,鹏鼎控股,36.37,34.11,32.24
2025-07-09,39.0,39.45,38.0,38.32,528456.13,鹏鼎控股,37.53,34.89,32.67
2025-07-10,39.05,40.58,38.2,39.68,669779.6,鹏鼎控股,38.32,35.78,33.14
2025-07-11,39.1,39.25,37.68,37.8,523635.69,鹏鼎控股,38.5,36.34,33.53
2025-07-14,38.33,39.92,38.12,39.48,485077.33,鹏鼎控股,38.92,37.09,34.0
2025-07-15,41.06,43.43,40.52,43.43,825251.14,鹏鼎控股,39.74,38.05,34.62
2025-07-16,43.36,43.4,41.73,41.77,519416.24,鹏鼎控股,40.43,38.98,35.18
2025-07-17,41.45,45.95,41.45,45.94,584528.62,鹏鼎控股,41.68,40.0,35.95
2025-07-18,46.86,48.88,46.17,47.46,685877.99,鹏鼎控股,43.62,41.06,36.81
2025-07-21,47.2,48.07,46.11,47.33,476807.28,鹏鼎控股,45.19,42.05,37.65
2025-07-22,46.67,49.17,46.5,46.9,393064.03,鹏鼎控股,45.88,42.81,38.46
2025-07-23,46.01,46.43,44.74,45.0,429650.91,鹏鼎控股,46.53,43.48,39.18
2025-07-24,45.38,46.17,44.05,44.99,365821.63,鹏鼎控股,46.34,44.01,39.9
2025-07-25,44.46,45.0,43.96,44.77,192840.9,鹏鼎控股,45.8,44.71,40.53
2025-07-28,44.93,49.25,44.6,49.25,600631.64,鹏鼎控股,46.18,45.68,41.39
2025-07-29,49.64,53.98,49.57,53.36,602536.04,鹏鼎控股,47.47,46.68,42.37
2025-07-30,53.91,54.5,52.3,54.1,392418.17,鹏鼎控股,49.29,47.91,43.45
2025-07-31,55.12,55.98,52.59,53.0,488250.4,鹏鼎控股,50.9,48.62,44.31
2025-08-01,53.68,53.99,50.57,51.5,393629.75,鹏鼎控股,52.24,49.02,45.04
2025-08-04,50.6,50.7,49.09,49.61,401784.46,鹏鼎控股,52.31,49.25,45.65
2025-08-05,50.2,50.89,48.15,48.7,319690.89,鹏鼎控股,51.38,49.43,46.12
2025-08-06,48.16,49.1,47.86,48.37,296039.69,鹏鼎控股,50.24,49.76,46.62
2025-08-07,48.76,50.7,48.0,48.52,462312.62,鹏鼎控股,49.34,50.12,47.06
2025-08-08,48.0,51.0,47.77,50.11,388029.6,鹏鼎控股,49.06,50.65,47.68
2025-08-11,50.17,52.55,50.07,51.63,415551.57,鹏鼎控股,49.47,50.89,48.29
2025-08-12,51.5,52.45,50.47,51.84,369732.86,鹏鼎控股,50.09,50.74,48.71
2025-08-13,53.47,57.0,53.47,56.9,518869.64,鹏鼎控股,51.8,51.02,49.46
2025-08-14,55.02,55.21,52.29,52.45,419466.76,鹏鼎控股,52.59,50.96,49.79
2025-08-15,52.2,53.66,51.67,52.13,332173.04,鹏鼎控股,52.99,51.03,50.02
2025-08-18,52.0,53.79,50.6,52.4,423246.91,鹏鼎控股,53.14,51.31,50.28
2025-08-19,52.41,53.65,50.78,51.3,372504.64,鹏鼎控股,53.04,51.56,50.5
2025-08-20,52.51,54.0,51.4,53.29,516231.23,鹏鼎控股,52.31,52.06,50.91
2025-08-21,52.61,52.61,48.66,50.09,505669.37,鹏鼎控股,51.84,52.21,51.17
2025-08-22,49.51,51.99,49.5,51.9,371047.45,鹏鼎控股,51.8,52.39,51.52
2025-08-25,52.03,53.99,51.03,53.58,503826.54,鹏鼎控股,52.03,52.59,51.74
2025-08-26,52.79,54.2,51.39,53.3,390862.67,鹏鼎控股,52.43,52.73,51.74
2025-08-27,53.3,55.98,52.15,52.27,474355.7,鹏鼎控股,52.23,52.27,51.64
2025-08-28,51.6,57.38,51.6,56.93,536917.57,鹏鼎控股,53.6,52.72,51.84
2025-08-29,57.0,60.55,55.59,59.8,457796.61,鹏鼎控股,55.18,53.49,52.26
2025-09-01,59.4,59.85,56.72,58.49,416799.32,鹏鼎控股,56.16,54.1,52.7
2025-09-02,58.5,59.55,53.0,54.2,438382.52,鹏鼎控股,56.34,54.39,52.98
2025-09-03,53.49,54.17,52.01,53.19,325320.38,鹏鼎控股,56.52,54.38,53.22
