date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,8.56,8.89,8.22,8.32,725407.62,恒信东方,8.32,8.32,8.32
2025-03-25,8.36,8.42,7.65,7.69,701450.47,恒信东方,8.01,8.01,8.01
2025-03-26,7.65,7.82,7.5,7.52,386905.13,恒信东方,7.84,7.84,7.84
2025-03-27,7.7,7.98,7.7,7.73,424583.12,恒信东方,7.82,7.82,7.82
2025-03-28,7.5,7.55,7.18,7.18,432484.02,恒信东方,7.69,7.69,7.69
2025-03-31,7.11,7.31,6.87,7.06,241483.0,恒信东方,7.44,7.58,7.58
2025-04-01,7.01,7.17,6.87,6.89,214222.0,恒信东方,7.28,7.48,7.48
2025-04-02,6.83,7.03,6.83,6.88,148614.0,恒信东方,7.15,7.41,7.41
2025-04-03,6.81,6.93,6.72,6.78,159699.44,恒信东方,6.96,7.34,7.34
2025-04-07,6.21,6.31,5.42,5.42,406332.41,恒信东方,6.61,7.15,7.15
2025-04-08,5.48,5.84,5.42,5.61,298282.59,恒信东方,6.32,6.88,7.01
2025-04-09,5.57,5.95,5.05,5.87,356946.34,恒信东方,6.11,6.69,6.91
2025-04-10,6.01,6.21,6.01,6.04,282180.88,恒信东方,5.94,6.55,6.85
2025-04-11,5.96,6.12,5.93,6.05,166292.4,恒信东方,5.8,6.38,6.79
2025-04-14,6.22,6.3,6.12,6.17,176406.0,恒信东方,5.95,6.28,6.75
2025-04-15,6.17,6.27,6.12,6.18,152568.0,恒信东方,6.06,6.19,6.71
2025-04-16,6.15,6.17,5.87,5.97,230880.0,恒信东方,6.08,6.1,6.67
2025-04-17,5.92,6.03,5.86,5.94,153760.39,恒信东方,6.06,6.0,6.63
2025-04-18,5.94,5.99,5.83,5.93,151828.5,恒信东方,6.04,5.92,6.59
2025-04-21,5.89,6.1,5.88,6.09,184146.0,恒信东方,6.02,5.98,6.57
2025-04-22,6.07,6.14,5.96,5.99,155791.5,恒信东方,5.98,6.02,6.45
2025-04-23,6.02,6.12,5.99,6.03,148819.0,恒信东方,6.0,6.04,6.37
2025-04-24,6.03,6.04,5.76,5.78,222863.8,恒信东方,5.96,6.01,6.28
2025-04-25,5.8,5.9,5.61,5.62,245777.36,恒信东方,5.9,5.97,6.17
2025-04-28,5.6,5.91,5.58,5.8,294801.86,恒信东方,5.84,5.93,6.1
2025-04-29,5.77,5.95,5.7,5.89,216677.3,恒信东方,5.82,5.9,6.05
