date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.6,7.61,6.96,7.18,201859.44,鸿特科技,7.18,7.18,7.18
2025-03-25,7.2,7.58,7.11,7.22,153617.16,鸿特科技,7.2,7.2,7.2
2025-03-26,7.21,7.54,7.16,7.42,190650.88,鸿特科技,7.27,7.27,7.27
2025-03-27,7.37,7.41,7.16,7.17,130160.0,鸿特科技,7.25,7.25,7.25
2025-03-28,7.17,7.22,6.86,6.86,145100.0,鸿特科技,7.17,7.17,7.17
2025-03-31,6.86,6.97,6.69,6.95,117235.0,鸿特科技,7.12,7.13,7.13
2025-04-01,6.95,7.09,6.91,7.04,95680.01,鸿特科技,7.09,7.12,7.12
2025-04-02,7.06,7.16,6.95,7.02,64521.0,鸿特科技,7.01,7.11,7.11
2025-04-03,6.96,7.06,6.8,6.93,84512.61,鸿特科技,6.96,7.09,7.09
2025-04-07,6.39,6.58,5.54,5.56,185851.22,鸿特科技,6.7,6.94,6.94
2025-04-08,5.58,5.95,5.56,5.71,133999.41,鸿特科技,6.45,6.79,6.82
2025-04-09,5.64,5.91,5.08,5.83,137125.0,鸿特科技,6.21,6.65,6.74
2025-04-10,6.01,6.23,6.01,6.1,127450.55,鸿特科技,6.03,6.52,6.69
2025-04-11,6.09,6.17,6.01,6.08,66157.0,鸿特科技,5.86,6.41,6.65
2025-04-14,6.22,6.39,6.2,6.27,79640.0,鸿特科技,6.0,6.35,6.62
2025-04-15,6.26,6.44,6.24,6.34,71443.0,鸿特科技,6.12,6.29,6.6
2025-04-16,6.42,6.42,6.04,6.17,103588.0,鸿特科技,6.19,6.2,6.58
2025-04-17,6.18,6.25,6.09,6.17,52081.0,鸿特科技,6.21,6.12,6.56
2025-04-18,6.18,6.26,6.1,6.2,49336.0,鸿特科技,6.23,6.04,6.54
2025-04-21,6.2,6.32,6.13,6.32,65576.04,鸿特科技,6.24,6.12,6.53
2025-04-22,6.26,6.42,6.26,6.4,75008.0,鸿特科技,6.25,6.19,6.49
2025-04-23,6.35,6.47,6.34,6.45,103303.0,鸿特科技,6.31,6.25,6.45
2025-04-24,6.42,6.46,6.26,6.34,71114.04,鸿特科技,6.34,6.27,6.4
2025-04-25,6.32,6.45,6.28,6.38,74102.0,鸿特科技,6.38,6.3,6.36
2025-04-28,6.36,6.41,6.23,6.29,58895.0,鸿特科技,6.37,6.31,6.33
2025-04-29,6.28,6.42,6.22,6.38,51238.0,鸿特科技,6.37,6.31,6.3
2025-04-30,6.39,6.48,6.39,6.44,49085.0,鸿特科技,6.37,6.34,6.27
2025-05-06,6.49,6.63,6.42,6.62,67892.0,鸿特科技,6.42,6.38,6.25
2025-05-07,6.77,6.82,6.01,6.55,134882.0,鸿特科技,6.46,6.42,6.23
2025-05-08,6.53,6.72,6.47,6.7,102713.0,鸿特科技,6.54,6.46,6.29
2025-05-09,6.67,6.73,6.52,6.58,72462.0,鸿特科技,6.58,6.47,6.33
2025-05-12,6.63,6.91,6.58,6.75,116382.66,鸿特科技,6.64,6.5,6.38
2025-05-13,6.79,6.87,6.66,6.69,119258.96,鸿特科技,6.65,6.54,6.41
2025-05-14,6.69,6.74,6.56,6.65,79452.0,鸿特科技,6.67,6.56,6.43
2025-05-15,6.62,6.66,6.5,6.58,54260.0,鸿特科技,6.65,6.59,6.45
2025-05-16,6.58,6.71,6.57,6.65,69484.04,鸿特科技,6.66,6.62,6.47
2025-05-19,6.64,6.74,6.54,6.73,66754.0,鸿特科技,6.66,6.65,6.49
2025-05-20,6.73,6.82,6.65,6.81,87564.0,鸿特科技,6.68,6.67,6.53
2025-05-21,6.82,6.82,6.64,6.73,68661.86,鸿特科技,6.7,6.69,6.55
2025-05-22,6.68,6.8,6.61,6.63,76390.76,鸿特科技,6.71,6.68,6.57
2025-05-23,6.63,6.74,6.52,6.53,77809.06,鸿特科技,6.69,6.68,6.57
2025-05-26,6.5,6.65,6.48,6.6,47420.0,鸿特科技,6.66,6.66,6.58
2025-05-27,6.61,6.63,6.5,6.61,50019.14,鸿特科技,6.62,6.65,6.6
2025-05-28,6.6,6.72,6.55,6.58,59454.14,鸿特科技,6.59,6.64,6.6
2025-05-29,6.58,6.79,6.58,6.74,77289.79,鸿特科技,6.61,6.66,6.63
2025-05-30,6.75,6.75,6.54,6.58,82677.0,鸿特科技,6.62,6.65,6.64
2025-06-03,6.58,6.79,6.53,6.69,92034.0,鸿特科技,6.64,6.65,6.65
2025-06-04,6.74,6.76,6.67,6.69,55099.0,鸿特科技,6.66,6.64,6.65
2025-06-05,6.73,6.73,6.65,6.68,75242.61,鸿特科技,6.68,6.63,6.66
2025-06-06,6.67,6.75,6.63,6.73,84968.7,鸿特科技,6.67,6.64,6.66
2025-06-09,6.75,6.82,6.72,6.81,69868.0,鸿特科技,6.72,6.67,6.67
2025-06-10,6.83,6.84,6.62,6.73,79435.0,鸿特科技,6.73,6.68,6.67
2025-06-11,6.73,6.89,6.72,6.84,79824.2,鸿特科技,6.76,6.71,6.68
2025-06-12,6.84,6.96,6.76,6.92,94458.2,鸿特科技,6.81,6.74,6.69
2025-06-13,6.88,6.9,6.68,6.73,93793.2,鸿特科技,6.81,6.74,6.7
2025-06-16,6.69,6.84,6.68,6.76,70118.0,鸿特科技,6.8,6.76,6.71
2025-06-17,6.75,6.82,6.68,6.75,64963.7,鸿特科技,6.8,6.76,6.71
2025-06-18,6.75,6.76,6.65,6.73,47932.0,鸿特科技,6.78,6.77,6.7
2025-06-19,6.7,6.76,6.48,6.51,74211.0,鸿特科技,6.7,6.75,6.69
2025-06-20,6.51,6.65,6.43,6.46,68725.0,鸿特科技,6.64,6.72,6.68
2025-06-23,6.38,6.63,6.38,6.62,58447.0,鸿特科技,6.61,6.7,6.69
2025-06-24,6.67,6.91,6.63,6.9,117887.0,鸿特科技,6.64,6.72,6.7
2025-06-25,6.93,6.95,6.83,6.95,90014.66,鸿特科技,6.69,6.73,6.72
2025-06-26,6.95,7.03,6.84,6.88,80079.04,鸿特科技,6.76,6.73,6.74
2025-06-27,6.88,6.98,6.87,6.92,68298.0,鸿特科技,6.85,6.75,6.74
2025-06-30,6.91,6.96,6.88,6.96,65582.0,鸿特科技,6.92,6.77,6.76
2025-07-01,7.0,7.06,6.88,6.93,82841.2,鸿特科技,6.93,6.79,6.78
2025-07-02,6.89,6.98,6.84,6.93,74357.0,鸿特科技,6.92,6.81,6.79
2025-07-03,6.93,6.97,6.88,6.95,47934.0,鸿特科技,6.94,6.85,6.8
2025-07-04,6.93,7.03,6.89,6.91,76546.0,鸿特科技,6.94,6.9,6.81
2025-07-07,6.92,7.01,6.86,7.0,60499.0,鸿特科技,6.94,6.93,6.82
2025-07-08,7.02,7.12,7.02,7.07,80421.0,鸿特科技,6.97,6.95,6.84
2025-07-09,7.08,7.13,7.02,7.06,73362.0,鸿特科技,7.0,6.96,6.85
2025-07-10,7.03,7.07,6.99,7.06,62937.0,鸿特科技,7.02,6.98,6.85
2025-07-11,7.07,7.09,6.99,7.06,61091.0,鸿特科技,7.05,6.99,6.87
2025-07-14,7.03,7.12,7.03,7.12,75054.0,鸿特科技,7.07,7.01,6.89
2025-07-15,7.1,7.17,6.96,7.04,80061.0,鸿特科技,7.07,7.02,6.9
2025-07-16,7.06,7.14,7.02,7.11,76033.66,鸿特科技,7.08,7.04,6.92
2025-07-17,7.12,7.2,7.08,7.17,88290.0,鸿特科技,7.1,7.06,6.96
2025-07-18,7.18,7.2,7.12,7.17,54181.66,鸿特科技,7.12,7.09,6.99
2025-07-21,7.18,7.35,7.15,7.28,91040.0,鸿特科技,7.15,7.11,7.02
2025-07-22,7.26,7.31,7.19,7.23,84720.66,鸿特科技,7.19,7.13,7.04
2025-07-23,7.22,7.26,7.1,7.12,81775.0,鸿特科技,7.19,7.14,7.05
2025-07-24,7.12,7.23,7.12,7.2,81150.0,鸿特科技,7.2,7.15,7.06
2025-07-25,7.2,7.28,7.15,7.27,72853.0,鸿特科技,7.22,7.17,7.08
2025-07-28,7.29,7.31,7.23,7.28,56261.22,鸿特科技,7.22,7.19,7.1
2025-07-29,7.29,7.32,7.14,7.2,78062.22,鸿特科技,7.21,7.2,7.11
2025-07-30,7.22,7.24,7.08,7.16,85675.01,鸿特科技,7.22,7.21,7.12
2025-07-31,7.11,7.2,7.05,7.07,91087.0,鸿特科技,7.2,7.2,7.13
2025-08-01,7.05,7.22,7.05,7.22,81373.0,鸿特科技,7.19,7.2,7.14
2025-08-04,7.18,7.32,7.16,7.32,78624.0,鸿特科技,7.19,7.21,7.16
2025-08-05,7.35,7.4,7.33,7.39,74967.0,鸿特科技,7.23,7.22,7.18
2025-08-06,7.43,7.47,7.36,7.44,85246.88,鸿特科技,7.29,7.26,7.2
2025-08-07,7.44,7.48,7.36,7.38,59444.0,鸿特科技,7.35,7.27,7.21
2025-08-08,7.36,7.43,7.32,7.4,77531.0,鸿特科技,7.39,7.29,7.23
2025-08-11,7.42,7.52,7.39,7.49,82621.66,鸿特科技,7.42,7.31,7.25
2025-08-12,7.54,7.56,7.4,7.44,57862.66,鸿特科技,7.43,7.33,7.27
2025-08-13,7.44,7.49,7.41,7.45,65459.0,鸿特科技,7.43,7.36,7.28
2025-08-14,7.48,7.5,7.19,7.23,100745.66,鸿特科技,7.4,7.38,7.29
2025-08-15,7.2,7.39,7.2,7.33,79169.66,鸿特科技,7.39,7.39,7.3
2025-08-18,7.39,7.48,7.34,7.37,105698.88,鸿特科技,7.36,7.39,7.3
2025-08-19,7.35,7.49,7.28,7.48,98241.56,鸿特科技,7.37,7.4,7.31
2025-08-20,7.48,7.58,7.42,7.58,121997.08,鸿特科技,7.4,7.42,7.33
2025-08-21,7.57,7.6,7.48,7.52,100053.83,鸿特科技,7.46,7.43,7.35
2025-08-22,7.49,7.54,7.37,7.46,92492.32,鸿特科技,7.48,7.44,7.36
2025-08-25,7.49,7.52,7.28,7.34,134882.76,鸿特科技,7.48,7.42,7.36
2025-08-26,7.35,7.8,7.33,7.61,330450.93,鸿特科技,7.5,7.44,7.38
2025-08-27,7.62,7.68,7.2,7.26,252365.0,鸿特科技,7.44,7.42,7.39
2025-08-28,7.22,7.44,6.95,7.24,216809.1,鸿特科技,7.38,7.42,7.4
2025-08-29,7.24,7.35,7.13,7.33,151781.7,鸿特科技,7.36,7.42,7.4
2025-09-01,7.32,7.5,7.17,7.29,132908.0,鸿特科技,7.35,7.41,7.4
2025-09-02,7.32,7.32,6.98,7.17,164561.46,鸿特科技,7.26,7.38,7.39
2025-09-03,7.25,7.28,6.93,6.94,119106.06,鸿特科技,7.19,7.32,7.37
2025-09-04,6.97,7.09,6.82,6.96,115060.76,鸿特科技,7.14,7.26,7.34
2025-09-05,6.99,7.12,6.91,7.1,93095.76,鸿特科技,7.09,7.22,7.33
2025-09-08,7.17,7.35,7.08,7.34,121683.0,鸿特科技,7.1,7.22,7.32
2025-09-09,7.32,7.37,7.23,7.3,95054.0,鸿特科技,7.13,7.19,7.32
2025-09-10,7.29,7.47,7.29,7.38,110237.0,鸿特科技,7.22,7.21,7.31
2025-09-11,7.35,7.47,7.25,7.47,93742.0,鸿特科技,7.32,7.23,7.32
2025-09-12,7.5,7.52,7.4,7.41,84238.0,鸿特科技,7.38,7.24,7.33
2025-09-15,7.46,7.49,7.35,7.45,79632.32,鸿特科技,7.4,7.25,7.33
2025-09-16,7.44,7.63,7.39,7.61,140211.0,鸿特科技,7.46,7.3,7.34
2025-09-17,7.59,8.22,7.56,7.94,366658.49,鸿特科技,7.58,7.4,7.36
2025-09-18,7.91,7.94,7.54,7.61,264036.66,鸿特科技,7.6,7.46,7.36
2025-09-19,7.67,7.68,7.39,7.45,134010.0,鸿特科技,7.61,7.5,7.36
2025-09-22,7.42,7.52,7.35,7.45,99635.49,鸿特科技,7.61,7.51,7.37
2025-09-23,7.42,7.52,7.17,7.4,144311.54,鸿特科技,7.57,7.52,7.36
2025-09-24,7.4,7.45,7.25,7.44,110943.7,鸿特科技,7.47,7.52,7.36
2025-09-25,7.43,7.45,7.17,7.19,137618.11,鸿特科技,7.39,7.5,7.36
2025-09-26,7.15,7.37,7.11,7.22,107342.48,鸿特科技,7.34,7.48,7.36
2025-09-29,7.19,7.35,7.09,7.33,87570.0,鸿特科技,7.32,7.46,7.36
2025-09-30,7.3,7.36,7.15,7.15,108106.0,鸿特科技,7.27,7.42,7.36
2025-10-09,7.1,7.18,7.03,7.15,96774.61,鸿特科技,7.21,7.34,7.37
2025-10-10,7.11,7.3,7.11,7.18,85049.0,鸿特科技,7.21,7.3,7.38
2025-10-13,6.9,7.07,6.68,7.07,98303.04,鸿特科技,7.18,7.26,7.38
2025-10-14,7.12,7.18,6.98,7.0,98227.61,鸿特科技,7.11,7.21,7.36
2025-10-15,7.01,7.14,6.95,7.14,82859.0,鸿特科技,7.11,7.19,7.35
2025-10-16,7.16,7.19,7.02,7.07,67861.36,鸿特科技,7.09,7.15,7.34
2025-10-17,7.05,7.08,6.89,6.89,70836.61,鸿特科技,7.03,7.12,7.31
2025-10-20,6.98,7.16,6.95,7.15,89561.61,鸿特科技,7.05,7.11,7.29
2025-10-21,7.15,7.32,7.07,7.31,95121.0,鸿特科技,7.11,7.11,7.29
2025-10-22,7.33,7.45,7.23,7.38,99870.0,鸿特科技,7.16,7.13,7.28
2025-10-23,7.33,7.44,7.28,7.42,86409.0,鸿特科技,7.23,7.16,7.25
2025-10-24,7.45,7.53,7.39,7.44,81364.0,鸿特科技,7.34,7.19,7.24
2025-10-27,7.43,7.52,7.32,7.39,88187.72,鸿特科技,7.39,7.22,7.24
2025-10-28,7.47,7.47,7.28,7.39,88013.0,鸿特科技,7.4,7.26,7.24
2025-10-29,7.36,7.38,7.11,7.16,133530.22,鸿特科技,7.36,7.26,7.22
2025-10-30,7.17,7.17,6.87,6.87,183995.0,鸿特科技,7.25,7.24,7.2
2025-10-31,6.88,6.96,6.82,6.91,132542.0,鸿特科技,7.14,7.24,7.18
2025-11-03,6.91,6.92,6.74,6.83,201518.0,鸿特科技,7.03,7.21,7.16
2025-11-04,6.82,6.9,6.77,6.87,147964.0,鸿特科技,6.93,7.17,7.14
2025-11-05,6.8,6.98,6.75,6.94,135142.0,鸿特科技,6.88,7.12,7.13
2025-11-06,6.97,7.03,6.89,7.02,127515.0,鸿特科技,6.91,7.08,7.12
2025-11-07,7.03,7.04,6.93,6.97,105599.0,鸿特科技,6.93,7.04,7.11
2025-11-10,6.98,7.03,6.92,7.0,107743.0,鸿特科技,6.96,7.0,7.11
2025-11-11,7.02,7.07,7.0,7.06,92606.0,鸿特科技,7.0,6.96,7.11
2025-11-12,7.07,7.09,6.94,7.01,99816.0,鸿特科技,7.01,6.95,7.1
2025-11-13,7.01,7.06,6.95,7.04,77794.61,鸿特科技,7.02,6.97,7.1
2025-11-14,7.01,7.19,6.98,7.14,140255.0,鸿特科技,7.05,6.99,7.11
2025-11-17,7.14,7.19,7.06,7.19,89117.0,鸿特科技,7.09,7.02,7.12
2025-11-18,7.18,7.2,7.1,7.15,112638.0,鸿特科技,7.11,7.05,7.11
2025-11-19,7.15,7.18,6.89,6.93,117558.0,鸿特科技,7.09,7.05,7.09
2025-11-20,6.92,7.04,6.85,6.9,105916.0,鸿特科技,7.06,7.04,7.06
2025-11-21,6.85,6.95,6.51,6.56,147304.61,鸿特科技,6.95,7.0,7.02
2025-11-24,6.61,6.73,6.56,6.69,95213.0,鸿特科技,6.85,6.97,6.98
2025-11-25,6.73,6.83,6.67,6.74,76828.0,鸿特科技,6.76,6.94,6.95
2025-11-26,6.76,6.86,6.67,6.69,77112.0,鸿特科技,6.72,6.9,6.93
2025-11-27,6.66,6.81,6.65,6.76,78697.0,鸿特科技,6.69,6.88,6.92
2025-11-28,6.73,6.88,6.7,6.86,75558.0,鸿特科技,6.75,6.85,6.92
2025-12-01,6.86,7.01,6.84,6.92,87966.04,鸿特科技,6.79,6.82,6.92
2025-12-02,6.9,6.95,6.81,6.92,86457.0,鸿特科技,6.83,6.8,6.92
2025-12-03,6.9,6.97,6.84,6.87,71927.0,鸿特科技,6.87,6.79,6.92
2025-12-04,6.86,6.9,6.74,6.81,60299.0,鸿特科技,6.88,6.78,6.91
2025-12-05,6.79,6.93,6.73,6.92,57274.0,鸿特科技,6.89,6.82,6.91
2025-12-08,6.98,6.99,6.92,6.94,68416.04,鸿特科技,6.89,6.84,6.91
2025-12-09,6.93,6.98,6.86,6.87,60671.0,鸿特科技,6.88,6.86,6.9
2025-12-10,6.86,6.92,6.78,6.79,77291.3,鸿特科技,6.87,6.87,6.88
2025-12-11,6.8,6.83,6.59,6.59,90493.31,鸿特科技,6.82,6.85,6.86
2025-12-12,6.6,6.69,6.51,6.54,87361.0,鸿特科技,6.75,6.82,6.83
2025-12-15,6.53,6.59,6.42,6.55,77042.0,鸿特科技,6.67,6.78,6.8
2025-12-16,6.52,6.58,6.39,6.43,65245.0,鸿特科技,6.58,6.73,6.76
2025-12-17,6.41,6.49,6.27,6.41,83988.0,鸿特科技,6.5,6.68,6.74
2025-12-18,6.37,6.6,6.36,6.57,89799.0,鸿特科技,6.5,6.66,6.72
2025-12-19,6.55,6.72,6.55,6.71,71732.04,鸿特科技,6.53,6.64,6.73
2025-12-22,6.72,6.75,6.65,6.67,52623.0,鸿特科技,6.56,6.61,6.73
2025-12-23,6.66,6.69,6.55,6.59,47819.0,鸿特科技,6.59,6.59,6.72
2025-12-24,6.59,6.68,6.55,6.66,46950.0,鸿特科技,6.64,6.57,6.72
2025-12-25,6.67,6.77,6.64,6.75,57322.0,鸿特科技,6.68,6.59,6.72
2025-12-26,6.74,6.84,6.68,6.73,76350.22,鸿特科技,6.68,6.61,6.71
2025-12-29,6.75,6.79,6.64,6.73,66137.34,鸿特科技,6.69,6.62,6.7
2025-12-30,6.68,6.73,6.6,6.64,64616.0,鸿特科技,6.7,6.65,6.69
2025-12-31,6.65,6.69,6.54,6.67,64172.0,鸿特科技,6.7,6.67,6.68
2026-01-05,6.66,6.77,6.61,6.67,112860.0,鸿特科技,6.69,6.68,6.67
2026-01-06,6.67,6.9,6.66,6.79,150226.0,鸿特科技,6.7,6.69,6.67
2026-01-07,6.79,6.82,6.68,6.68,96615.56,鸿特科技,6.69,6.69,6.65
2026-01-08,6.67,6.79,6.6,6.76,104506.0,鸿特科技,6.71,6.71,6.65
2026-01-09,6.79,6.81,6.68,6.77,105770.0,鸿特科技,6.73,6.72,6.65
2026-01-12,6.79,6.9,6.76,6.9,137784.8,鸿特科技,6.78,6.73,6.66
2026-01-13,6.87,6.95,6.77,6.85,125568.0,鸿特科技,6.79,6.75,6.68
2026-01-14,6.91,6.93,6.75,6.84,142298.05,鸿特科技,6.82,6.76,6.69
2026-01-15,6.82,6.9,6.77,6.84,89268.0,鸿特科技,6.84,6.78,6.71
2026-01-16,6.89,6.9,6.79,6.86,101622.0,鸿特科技,6.86,6.8,6.73
2026-01-19,6.86,7.01,6.84,6.97,120213.0,鸿特科技,6.87,6.83,6.75
2026-01-20,6.99,7.02,6.9,6.95,101075.05,鸿特科技,6.89,6.84,6.77
2026-01-21,6.94,7.04,6.85,7.01,103486.0,鸿特科技,6.93,6.88,6.78
2026-01-22,7.0,7.12,6.99,7.11,109112.11,鸿特科技,6.98,6.91,6.81
2026-01-23,7.12,7.21,7.09,7.2,136385.92,鸿特科技,7.05,6.95,6.84
2026-01-26,7.25,7.28,7.02,7.11,142131.92,鸿特科技,7.08,6.97,6.85
2026-01-27,7.1,7.13,6.86,7.06,116373.0,鸿特科技,7.1,7.0,6.87
2026-01-28,7.06,7.1,6.94,6.97,89477.0,鸿特科技,7.09,7.01,6.88
2026-01-29,7.21,7.8,7.21,7.34,630067.51,鸿特科技,7.14,7.06,6.92
2026-01-30,7.21,7.63,7.18,7.52,528168.01,鸿特科技,7.2,7.12,6.96
2026-02-02,7.52,7.85,7.46,7.58,461617.0,鸿特科技,7.29,7.18,7.01
2026-02-03,7.7,7.73,7.47,7.52,370272.64,鸿特科技,7.39,7.24,7.04
2026-02-04,7.5,7.93,7.49,7.67,418328.39,鸿特科技,7.53,7.31,7.09
2026-02-05,7.59,7.99,7.54,7.88,508275.24,鸿特科技,7.63,7.38,7.15
2026-02-06,7.7,8.17,7.65,7.85,431207.64,鸿特科技,7.7,7.45,7.2
2026-02-09,7.92,7.95,7.77,7.85,294523.71,鸿特科技,7.75,7.52,7.25
2026-02-10,7.77,7.84,7.68,7.7,304502.49,鸿特科技,7.79,7.59,7.29
2026-02-11,7.69,7.94,7.65,7.79,259301.0,鸿特科技,7.81,7.67,7.34
2026-02-12,7.76,8.01,7.71,7.82,319519.01,鸿特科技,7.8,7.72,7.39
2026-02-13,7.81,7.96,7.73,7.85,219197.0,鸿特科技,7.8,7.75,7.44
2026-02-24,7.91,8.1,7.8,8.03,315242.1,鸿特科技,7.84,7.8,7.49
2026-02-25,8.0,8.35,7.97,8.24,411307.34,鸿特科技,7.95,7.87,7.56
2026-02-26,8.18,8.2,7.9,8.07,364669.66,鸿特科技,8.0,7.91,7.61
2026-02-27,7.97,7.97,7.81,7.93,261370.66,鸿特科技,8.02,7.91,7.65
2026-03-02,7.7,7.9,7.61,7.79,249255.0,鸿特科技,8.01,7.91,7.68
2026-03-03,7.84,7.84,7.35,7.4,270539.0,鸿特科技,7.89,7.86,7.69
2026-03-04,7.3,7.59,7.23,7.52,182891.55,鸿特科技,7.74,7.84,7.72
2026-03-05,7.63,8.03,7.6,7.77,266859.59,鸿特科技,7.68,7.84,7.76
2026-03-06,7.75,7.88,7.65,7.87,181194.1,鸿特科技,7.67,7.85,7.78
2026-03-09,7.73,7.85,7.63,7.82,174708.51,鸿特科技,7.68,7.84,7.8
2026-03-10,7.88,7.98,7.82,7.94,165855.0,鸿特科技,7.78,7.83,7.82
2026-03-11,7.96,7.96,7.71,7.76,167829.61,鸿特科技,7.83,7.79,7.83
2026-03-12,7.79,7.79,7.62,7.66,146705.0,鸿特科技,7.81,7.75,7.83
2026-03-13,7.63,7.75,7.53,7.56,123880.0,鸿特科技,7.75,7.71,7.81
2026-03-16,7.63,7.64,7.48,7.57,103107.0,鸿特科技,7.7,7.69,7.8
2026-03-17,7.61,7.63,7.33,7.36,110095.0,鸿特科技,7.58,7.68,7.77
2026-03-18,7.37,7.59,7.37,7.59,109416.0,鸿特科技,7.55,7.69,7.77
2026-03-19,7.55,7.57,7.37,7.39,114184.0,鸿特科技,7.49,7.65,7.75
2026-03-20,7.4,7.49,7.15,7.17,139331.0,鸿特科技,7.42,7.58,7.71
2026-03-23,7.09,7.1,6.65,6.71,185090.0,鸿特科技,7.24,7.47,7.66
2026-03-24,6.9,7.04,6.69,6.96,174480.0,鸿特科技,7.16,7.37,7.6
2026-03-25,6.96,7.28,6.94,7.18,174248.0,鸿特科技,7.08,7.32,7.55
