date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,10.73,11.11,9.7,10.22,862036.08,慈星股份,10.22,10.22,10.22
2025-03-25,10.02,10.36,9.76,9.8,472378.0,慈星股份,10.01,10.01,10.01
2025-03-26,9.68,11.1,9.55,10.8,934705.58,慈星股份,10.27,10.27,10.27
2025-03-27,10.77,10.83,10.29,10.32,568651.0,慈星股份,10.28,10.28,10.28
2025-03-28,10.22,10.72,10.03,10.06,538469.0,慈星股份,10.24,10.24,10.24
2025-03-31,9.9,9.95,9.28,9.62,516831.56,慈星股份,10.12,10.14,10.14
2025-04-01,9.56,9.72,9.5,9.63,281238.4,慈星股份,10.09,10.06,10.06
2025-04-02,9.59,9.81,9.42,9.44,290613.44,慈星股份,9.81,9.99,9.99
2025-04-03,9.23,9.54,9.12,9.12,320769.08,慈星股份,9.57,9.89,9.89
2025-04-07,8.21,8.32,7.3,7.3,620628.16,慈星股份,9.02,9.63,9.63
2025-04-08,7.51,7.91,7.28,7.59,540488.25,慈星股份,8.62,9.37,9.45
2025-04-09,7.36,8.05,6.92,7.97,543187.0,慈星股份,8.28,9.18,9.32
2025-04-10,8.26,8.54,8.19,8.19,487406.0,慈星股份,8.03,8.92,9.24
2025-04-11,8.09,8.39,8.08,8.27,283997.0,慈星股份,7.86,8.72,9.17
2025-04-14,8.4,8.54,8.31,8.37,254655.1,慈星股份,8.08,8.55,9.11
2025-04-15,8.36,8.59,8.27,8.54,343093.01,慈星股份,8.27,8.44,9.08
2025-04-16,8.4,8.46,8.03,8.11,366762.23,慈星股份,8.3,8.29,9.02
2025-04-17,8.05,8.17,7.96,7.98,258401.01,慈星股份,8.25,8.14,8.96
2025-04-18,7.94,8.19,7.82,8.1,288218.15,慈星股份,8.22,8.04,8.92
2025-04-21,8.02,8.26,8.02,8.25,243460.11,慈星股份,8.2,8.14,8.88
2025-04-22,8.17,8.22,8.09,8.1,163829.15,慈星股份,8.11,8.19,8.78
2025-04-23,8.17,8.39,8.16,8.35,319405.47,慈星股份,8.16,8.23,8.71
2025-04-24,8.32,8.35,8.06,8.09,245777.01,慈星股份,8.18,8.22,8.57
2025-04-25,8.12,8.19,8.05,8.08,157423.02,慈星股份,8.17,8.2,8.46
2025-04-28,8.07,8.11,7.88,7.88,187140.01,慈星股份,8.1,8.15,8.35
2025-04-29,7.84,8.05,7.79,8.0,161121.96,慈星股份,8.08,8.09,8.27
2025-04-30,8.0,8.15,7.98,8.15,162813.01,慈星股份,8.04,8.1,8.19
2025-05-06,8.2,8.42,8.2,8.41,254463.01,慈星股份,8.1,8.14,8.14
2025-05-07,8.5,8.56,8.27,8.41,260742.0,慈星股份,8.17,8.17,8.11
2025-05-08,8.37,8.56,8.33,8.51,232219.0,慈星股份,8.3,8.2,8.17
2025-05-09,8.51,8.55,8.23,8.32,205110.0,慈星股份,8.36,8.22,8.2
2025-05-12,8.44,9.04,8.44,8.92,599282.69,慈星股份,8.51,8.28,8.25
2025-05-13,8.91,9.02,8.81,8.87,322268.01,慈星股份,8.61,8.36,8.29
2025-05-14,8.8,8.95,8.66,8.8,282519.0,慈星股份,8.68,8.43,8.31
2025-05-15,8.8,8.85,8.59,8.61,204527.0,慈星股份,8.7,8.5,8.32
2025-05-16,8.61,8.82,8.6,8.69,207800.0,慈星股份,8.78,8.57,8.33
2025-05-19,8.85,9.2,8.79,8.99,496017.69,慈星股份,8.79,8.65,8.38
2025-06-04,9.06,9.73,9.0,9.06,869623.71,慈星股份,8.83,8.72,8.43
2025-06-05,8.85,8.89,8.52,8.59,524153.1,慈星股份,8.79,8.74,8.45
2025-06-06,8.6,8.75,8.45,8.47,302426.02,慈星股份,8.76,8.73,8.46
2025-06-09,8.45,8.67,8.41,8.6,247337.15,慈星股份,8.74,8.76,8.49
2025-06-10,8.61,8.61,8.22,8.3,296265.0,慈星股份,8.6,8.7,8.49
2025-06-11,8.3,8.36,8.25,8.33,169477.82,慈星股份,8.46,8.64,8.5
2025-06-12,8.28,8.31,8.17,8.22,169510.0,慈星股份,8.38,8.59,8.51
2025-06-13,8.17,8.21,7.98,8.0,225387.0,慈星股份,8.29,8.52,8.51
2025-06-16,7.95,8.05,7.95,8.03,116290.0,慈星股份,8.18,8.46,8.51
2025-06-17,8.03,8.06,7.97,8.01,119451.9,慈星股份,8.12,8.36,8.51
2025-06-18,7.95,7.95,7.78,7.91,134264.01,慈星股份,8.03,8.25,8.48
2025-06-19,7.9,7.93,7.65,7.7,158583.59,慈星股份,7.93,8.16,8.45
2025-06-20,7.69,7.75,7.62,7.63,106652.0,慈星股份,7.86,8.07,8.4
2025-06-23,7.6,7.8,7.53,7.75,122497.0,慈星股份,7.8,7.99,8.37
2025-06-24,7.75,7.95,7.73,7.93,172185.0,慈星股份,7.78,7.95,8.32
2025-06-25,7.93,7.96,7.83,7.96,162303.0,慈星股份,7.79,7.91,8.28
2025-06-26,7.96,8.1,7.92,8.01,210186.79,慈星股份,7.86,7.89,8.24
2025-06-27,8.02,8.04,7.93,7.93,154336.0,慈星股份,7.92,7.89,8.21
2025-06-30,7.92,7.99,7.92,7.99,122398.52,慈星股份,7.96,7.88,8.17
2025-07-01,7.98,7.98,7.87,7.92,129260.0,慈星股份,7.96,7.87,8.12
2025-07-02,7.92,7.92,7.77,7.8,133517.0,慈星股份,7.93,7.86,8.05
2025-07-03,7.8,7.89,7.77,7.87,102775.0,慈星股份,7.9,7.88,8.02
2025-07-04,7.87,7.89,7.78,7.79,124098.01,慈星股份,7.87,7.9,7.98
2025-07-07,7.8,7.8,7.71,7.79,91557.0,慈星股份,7.83,7.9,7.94
2025-07-08,7.78,7.94,7.76,7.94,148726.0,慈星股份,7.84,7.9,7.93
2025-07-09,7.95,8.05,7.91,7.94,171565.0,慈星股份,7.87,7.9,7.91
2025-07-10,7.89,7.96,7.88,7.96,107108.0,慈星股份,7.88,7.89,7.89
2025-07-11,7.96,8.0,7.88,7.97,145462.0,慈星股份,7.92,7.9,7.89
2025-07-14,7.96,8.0,7.92,7.98,109262.25,慈星股份,7.96,7.9,7.89
2025-07-15,7.98,8.02,7.8,7.92,156933.64,慈星股份,7.95,7.9,7.88
2025-07-16,7.89,8.02,7.86,7.98,153847.51,慈星股份,7.96,7.91,7.89
2025-07-17,7.96,8.05,7.94,8.05,164245.5,慈星股份,7.98,7.93,7.91
2025-07-18,8.05,8.09,7.97,8.02,139624.0,慈星股份,7.99,7.96,7.92
2025-07-21,8.04,8.16,8.0,8.16,206185.11,慈星股份,8.03,7.99,7.95
2025-07-22,8.15,8.18,8.05,8.15,181000.0,慈星股份,8.07,8.01,7.96
2025-07-23,8.11,8.18,8.06,8.08,207697.0,慈星股份,8.09,8.03,7.96
2025-07-24,8.19,8.54,8.18,8.47,580235.29,慈星股份,8.18,8.08,7.99
2025-07-25,8.38,8.43,8.28,8.38,276777.05,慈星股份,8.25,8.12,8.01
2025-07-28,8.35,8.4,8.27,8.32,178777.0,慈星股份,8.28,8.15,8.02
2025-07-29,8.29,8.3,8.14,8.23,173935.99,慈星股份,8.3,8.18,8.04
2025-07-30,8.18,8.23,8.11,8.15,132513.0,慈星股份,8.31,8.2,8.06
2025-07-31,8.13,8.21,8.04,8.08,149580.09,慈星股份,8.23,8.2,8.07
2025-08-01,8.08,8.25,8.04,8.17,153609.0,慈星股份,8.19,8.22,8.09
2025-08-04,7.98,7.98,7.7,7.84,312335.0,慈星股份,8.09,8.19,8.09
2025-08-05,7.8,7.93,7.8,7.88,184089.0,慈星股份,8.02,8.16,8.09
2025-08-06,7.85,8.16,7.85,8.16,272379.93,慈星股份,8.03,8.17,8.1
2025-08-07,8.19,8.27,8.11,8.12,267903.0,慈星股份,8.03,8.13,8.11
2025-08-08,8.08,8.13,7.97,8.01,177359.0,慈星股份,8.0,8.1,8.11
2025-08-11,8.01,8.09,8.01,8.06,154212.0,慈星股份,8.05,8.07,8.11
2025-08-12,8.07,8.08,7.91,7.97,177101.0,慈星股份,8.06,8.04,8.11
2025-08-13,7.97,8.02,7.92,7.99,159015.0,慈星股份,8.03,8.03,8.11
2025-08-14,7.96,8.0,7.78,7.81,205388.0,慈星股份,7.97,8.0,8.1
2025-08-15,7.82,7.95,7.8,7.94,143589.0,慈星股份,7.95,7.98,8.1
2025-08-18,7.93,8.07,7.93,8.01,257370.59,慈星股份,7.94,8.0,8.09
2025-08-19,8.01,8.1,7.94,8.04,259365.0,慈星股份,7.96,8.01,8.09
2025-08-20,8.03,8.09,7.96,8.09,230469.9,慈星股份,7.98,8.0,8.09
2025-08-21,8.09,8.12,7.99,8.03,245198.0,慈星股份,8.02,7.99,8.06
2025-08-22,8.03,8.09,8.0,8.09,222963.01,慈星股份,8.05,8.0,8.05
2025-08-25,8.1,8.17,8.06,8.13,291401.09,慈星股份,8.08,8.01,8.04
2025-08-26,8.1,8.24,8.06,8.17,297590.04,慈星股份,8.1,8.03,8.04
2025-08-27,8.19,8.23,7.87,7.87,398377.4,慈星股份,8.06,8.02,8.02
2025-08-28,7.83,7.92,7.45,7.78,469217.48,慈星股份,8.01,8.02,8.01
2025-08-29,7.76,7.78,7.61,7.61,218965.1,慈星股份,7.91,7.98,7.98
2025-09-01,7.6,7.76,7.56,7.71,188719.97,慈星股份,7.83,7.95,7.97
2025-09-02,7.71,7.72,7.43,7.54,225567.0,慈星股份,7.7,7.9,7.96
2025-09-03,7.52,7.61,7.29,7.32,156870.01,慈星股份,7.59,7.83,7.91
2025-09-04,7.32,7.42,7.17,7.26,160450.0,慈星股份,7.49,7.75,7.87
2025-09-05,7.31,7.4,7.23,7.4,140314.46,慈星股份,7.45,7.68,7.84
2025-09-08,7.41,7.5,7.38,7.47,151664.0,慈星股份,7.4,7.61,7.81
2025-09-09,7.47,7.47,7.25,7.3,150584.0,慈星股份,7.35,7.53,7.78
2025-09-10,7.31,7.49,7.29,7.37,125766.95,慈星股份,7.36,7.48,7.75
2025-09-11,7.37,7.44,7.27,7.43,139087.0,慈星股份,7.39,7.44,7.73
2025-09-12,7.43,7.46,7.37,7.39,129032.93,慈星股份,7.39,7.42,7.7
2025-09-15,7.37,7.38,7.29,7.31,111763.0,慈星股份,7.36,7.38,7.67
2025-09-16,7.3,7.45,7.28,7.45,147794.04,慈星股份,7.39,7.37,7.64
2025-09-17,7.44,7.58,7.41,7.49,169764.0,慈星股份,7.41,7.39,7.61
2025-09-18,7.46,7.55,7.32,7.36,200144.0,慈星股份,7.4,7.4,7.57
2025-09-19,7.35,7.38,7.22,7.26,147178.0,慈星股份,7.37,7.38,7.53
2025-09-22,7.25,7.27,7.18,7.24,80001.19,慈星股份,7.36,7.36,7.49
2025-09-23,7.22,7.24,6.89,7.06,189562.0,慈星股份,7.28,7.34,7.43
2025-09-24,6.99,7.13,6.96,7.13,116790.01,慈星股份,7.21,7.31,7.39
2025-09-25,7.12,7.17,7.03,7.03,111547.0,慈星股份,7.14,7.27,7.36
2025-09-26,7.02,7.07,6.94,6.96,107758.0,慈星股份,7.08,7.23,7.32
2025-09-29,6.94,7.04,6.85,7.01,99511.59,慈星股份,7.04,7.2,7.29
2025-09-30,7.01,7.04,6.98,7.0,79782.0,慈星股份,7.03,7.15,7.26
2025-10-09,7.05,7.12,7.01,7.09,105240.93,慈星股份,7.02,7.11,7.25
2025-10-10,7.07,7.16,7.04,7.1,102653.29,慈星股份,7.03,7.09,7.24
2025-10-13,6.9,7.08,6.82,7.08,114876.0,慈星股份,7.06,7.07,7.23
2025-10-14,7.09,7.13,6.95,6.98,117711.7,慈星股份,7.05,7.04,7.2
