date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,14.8,14.88,13.8,14.4,357269.28,长亮科技,14.4,14.4,14.4
2025-03-25,14.37,14.41,13.99,14.11,207637.08,长亮科技,14.26,14.26,14.26
2025-03-26,14.15,14.35,14.1,14.1,170892.46,长亮科技,14.2,14.2,14.2
2025-03-27,14.14,14.35,13.87,14.07,195648.67,长亮科技,14.17,14.17,14.17
2025-03-28,14.07,14.19,13.91,13.93,141330.55,长亮科技,14.12,14.12,14.12
2025-03-31,13.75,13.9,13.39,13.77,205885.96,长亮科技,14.0,14.06,14.06
2025-04-01,13.59,13.62,12.68,12.79,517854.48,长亮科技,13.73,13.88,13.88
2025-04-02,12.75,13.16,12.69,12.98,260689.12,长亮科技,13.51,13.77,13.77
2025-04-03,12.8,13.22,12.8,12.91,200765.12,长亮科技,13.28,13.67,13.67
2025-04-07,12.05,12.4,10.33,10.43,506190.69,长亮科技,12.58,13.35,13.35
2025-04-08,10.57,11.56,10.57,11.22,474032.09,长亮科技,12.07,13.03,13.16
2025-04-09,11.08,11.92,10.52,11.78,438560.96,长亮科技,11.86,12.8,13.04
2025-04-10,12.05,12.69,12.05,12.23,427661.3,长亮科技,11.71,12.61,12.98
2025-04-11,12.11,12.46,12.06,12.29,308428.92,长亮科技,11.59,12.43,12.93
2025-04-14,12.62,13.07,12.59,12.63,361415.0,长亮科技,12.03,12.3,12.91
2025-04-15,12.65,12.74,12.35,12.46,230524.0,长亮科技,12.28,12.17,12.88
2025-04-16,12.34,12.82,11.89,12.78,522986.74,长亮科技,12.48,12.17,12.88
2025-04-17,12.5,12.69,12.3,12.33,351291.67,长亮科技,12.5,12.11,12.84
2025-04-18,12.22,12.94,12.2,12.54,372549.55,长亮科技,12.55,12.07,12.83
2025-04-21,12.41,13.25,12.3,12.98,437896.49,长亮科技,12.62,12.32,12.84
2025-04-22,13.4,14.07,13.4,13.55,772495.57,长亮科技,12.84,12.56,12.79
2025-04-23,13.42,14.09,13.33,13.39,629657.35,长亮科技,12.96,12.72,12.76
2025-04-24,13.41,13.46,12.81,12.83,381148.15,长亮科技,13.06,12.78,12.69
2025-04-25,12.91,13.02,12.66,12.68,296186.22,长亮科技,13.09,12.82,12.62
2025-04-28,12.85,12.97,12.42,12.5,210270.85,长亮科技,12.99,12.8,12.55
2025-04-29,12.43,12.58,12.31,12.45,179631.0,长亮科技,12.77,12.8,12.49
2025-04-30,12.48,12.74,12.45,12.66,200502.42,长亮科技,12.62,12.79,12.48
2025-05-06,12.86,13.44,12.83,13.28,377669.39,长亮科技,12.71,12.89,12.5
2025-05-07,13.68,13.88,13.0,13.15,387707.81,长亮科技,12.81,12.95,12.51
2025-05-08,13.07,13.34,13.05,13.29,249392.12,长亮科技,12.97,12.98,12.65
2025-05-09,13.24,13.29,12.99,13.01,234819.36,长亮科技,13.08,12.92,12.74
2025-05-12,13.17,13.44,13.08,13.36,263736.46,长亮科技,13.22,12.92,12.82
2025-05-13,13.55,13.68,13.09,13.11,231965.5,长亮科技,13.18,12.95,12.86
2025-05-14,13.11,13.67,13.01,13.45,369446.95,长亮科技,13.24,13.03,12.92
2025-05-15,13.36,13.37,12.9,12.91,268875.19,长亮科技,13.17,13.07,12.94
2025-05-16,12.83,12.93,12.74,12.75,155529.04,长亮科技,13.12,13.1,12.95
2025-05-19,12.74,12.89,12.51,12.87,142031.41,长亮科技,13.02,13.12,12.95
2025-05-20,12.8,12.97,12.71,12.9,131961.19,长亮科技,12.98,13.08,12.98
2025-05-21,12.86,12.89,12.68,12.72,120660.19,长亮科技,12.83,13.04,12.99
2025-05-22,12.67,12.8,12.49,12.5,137115.8,长亮科技,12.75,12.96,12.97
2025-05-23,12.49,12.6,12.15,12.15,166048.24,长亮科技,12.63,12.87,12.9
2025-05-26,12.15,12.43,12.13,12.42,125301.14,长亮科技,12.54,12.78,12.85
2025-05-27,12.37,12.49,12.2,12.43,106287.34,长亮科技,12.44,12.71,12.83
2025-05-28,12.39,12.53,12.26,12.36,106932.94,长亮科技,12.37,12.6,12.81
2025-05-29,12.37,13.6,12.35,13.57,731410.96,长亮科技,12.59,12.67,12.87
2025-05-30,13.68,14.19,13.24,13.9,833346.56,长亮科技,12.94,12.78,12.94
2025-06-03,14.45,14.49,13.63,13.7,808296.66,长亮科技,13.19,12.86,12.99
2025-06-04,13.5,14.11,13.4,14.02,644096.85,长亮科技,13.51,12.98,13.03
2025-06-05,14.03,14.36,13.85,14.25,734090.18,长亮科技,13.89,13.13,13.08
2025-06-06,14.0,14.22,13.8,13.87,423573.56,长亮科技,13.95,13.27,13.11
2025-06-09,14.1,14.5,13.97,14.43,688266.54,长亮科技,14.05,13.5,13.18
2025-06-10,14.3,14.36,13.8,13.95,472140.67,长亮科技,14.1,13.65,13.21
2025-06-11,14.05,14.76,14.0,14.3,691754.29,长亮科技,14.16,13.84,13.27
2025-06-12,14.16,14.49,14.16,14.36,477087.57,长亮科技,14.18,14.04,13.32
2025-06-13,14.7,14.83,14.15,14.45,741555.99,长亮科技,14.3,14.12,13.4
2025-06-16,14.62,15.6,14.62,15.6,1100620.44,长亮科技,14.53,14.29,13.54
2025-06-17,15.44,16.32,15.05,15.61,1191720.23,长亮科技,14.86,14.48,13.67
2025-06-18,15.68,16.37,15.28,15.5,1073481.72,长亮科技,15.1,14.63,13.8
2025-06-19,15.93,16.0,14.62,14.65,861997.17,长亮科技,15.16,14.67,13.9
2025-06-20,14.49,14.57,13.89,14.24,598811.44,长亮科技,15.12,14.71,13.99
2025-06-23,14.15,15.61,14.02,15.39,970223.71,长亮科技,15.08,14.81,14.15
2025-06-24,15.41,15.66,15.06,15.62,888171.98,长亮科技,15.08,14.97,14.31
2025-06-25,15.3,16.2,15.2,16.0,1110111.9,长亮科技,15.18,15.14,14.49
2025-06-26,16.05,18.9,15.7,17.97,2137175.57,长亮科技,15.84,15.5,14.77
2025-06-27,17.45,17.96,17.0,17.15,1525411.92,长亮科技,16.43,15.77,14.95
2025-06-30,17.23,17.92,17.15,17.39,1069513.86,长亮科技,16.83,15.95,15.12
2025-07-01,17.39,17.39,16.39,16.45,977407.3,长亮科技,16.99,16.04,15.26
2025-07-02,16.31,16.54,15.84,16.05,587141.42,长亮科技,17.0,16.09,15.36
2025-07-03,15.99,16.14,15.74,16.0,486293.32,长亮科技,16.61,16.23,15.45
2025-07-04,16.14,19.19,15.92,18.13,2253593.81,长亮科技,16.8,16.62,15.66
2025-07-07,18.81,19.09,18.06,18.75,1873182.02,长亮科技,17.08,16.95,15.88
2025-07-08,18.67,19.61,18.23,19.26,1614308.94,长亮科技,17.64,17.31,16.14
2025-07-09,19.37,19.97,18.7,19.35,1427106.18,长亮科技,18.3,17.65,16.4
2025-07-10,19.0,21.0,18.41,19.5,2099881.85,长亮科技,19.0,17.8,16.65
2025-07-11,19.67,21.0,19.31,20.87,2123135.43,长亮科技,19.55,18.18,16.97
2025-07-14,21.33,21.46,19.06,19.06,1597535.3,长亮科技,19.61,18.34,17.15
2025-07-15,19.17,19.68,18.73,19.32,1146170.92,长亮科技,19.62,18.63,17.33
2025-07-16,18.92,19.98,18.2,19.48,1131566.15,长亮科技,19.65,18.97,17.53
2025-07-17,19.59,19.96,18.88,18.97,1092776.39,长亮科技,19.54,19.27,17.75
2025-07-18,18.77,19.8,18.77,18.96,1031421.68,长亮科技,19.16,19.35,17.98
2025-07-21,18.5,18.82,18.13,18.37,940835.12,长亮科技,19.02,19.31,18.13
2025-07-22,18.24,18.35,17.77,17.93,798147.66,长亮科技,18.74,19.18,18.25
2025-07-23,17.66,18.15,17.44,17.93,594740.08,长亮科技,18.43,19.04,18.34
2025-07-24,17.78,18.17,17.7,18.16,623751.7,长亮科技,18.27,18.9,18.35
2025-07-25,18.01,18.06,17.55,17.64,614524.38,长亮科技,18.01,18.58,18.38
2025-07-28,17.62,18.26,17.62,18.14,604477.04,长亮科技,17.96,18.49,18.42
2025-07-29,18.1,18.37,17.36,18.37,781022.48,长亮科技,18.05,18.4,18.51
2025-07-30,18.15,18.17,17.0,17.12,874157.57,长亮科技,17.89,18.16,18.57
2025-07-31,17.01,17.41,16.88,16.98,482504.41,长亮科技,17.65,17.96,18.61
2025-08-01,17.02,17.02,16.54,16.8,445264.69,长亮科技,17.48,17.74,18.55
2025-08-04,16.6,16.78,16.5,16.71,368454.82,长亮科技,17.2,17.58,18.45
2025-08-05,16.78,16.85,16.5,16.75,428188.0,长亮科技,16.87,17.46,18.32
2025-08-06,16.62,16.77,16.53,16.7,389546.16,长亮科技,16.79,17.34,18.19
2025-08-07,16.64,16.75,16.38,16.5,381379.92,长亮科技,16.69,17.17,18.04
2025-08-08,16.4,16.9,16.3,16.51,587297.53,长亮科技,16.63,17.06,17.82
2025-08-11,16.39,16.97,16.35,16.83,519366.66,长亮科技,16.66,16.93,17.71
2025-08-12,16.76,17.13,16.7,17.07,549315.09,长亮科技,16.72,16.8,17.6
2025-08-13,17.07,17.17,16.78,17.08,570585.75,长亮科技,16.8,16.79,17.48
2025-08-14,17.08,18.28,17.08,17.65,1179365.63,长亮科技,17.03,16.86,17.41
2025-08-15,17.0,17.66,16.43,17.38,1018103.05,长亮科技,17.2,16.92,17.33
2025-08-18,17.39,17.77,16.94,17.55,886062.39,长亮科技,17.35,17.0,17.29
2025-08-19,17.43,17.71,17.27,17.28,650098.08,长亮科技,17.39,17.06,17.26
2025-08-20,17.11,17.16,16.7,17.07,559544.68,长亮科技,17.39,17.09,17.21
2025-08-21,17.81,18.39,17.58,17.61,1311527.05,长亮科技,17.38,17.2,17.19
2025-08-22,17.35,18.03,17.32,17.88,808238.17,长亮科技,17.48,17.34,17.2
2025-08-25,17.88,18.68,17.85,18.59,1162497.47,长亮科技,17.69,17.52,17.22
2025-08-26,18.35,18.51,18.03,18.11,676684.09,长亮科技,17.85,17.62,17.21
2025-08-27,18.1,18.26,17.13,17.22,755661.34,长亮科技,17.88,17.63,17.21
2025-08-28,17.2,17.36,16.33,17.3,658381.33,长亮科技,17.82,17.6,17.23
2025-08-29,17.22,17.3,16.71,16.9,473486.67,长亮科技,17.62,17.55,17.23
2025-09-01,17.14,17.99,17.06,17.29,595190.15,长亮科技,17.36,17.52,17.26
2025-09-02,17.12,17.13,16.09,16.1,644806.09,长亮科技,16.96,17.41,17.23
2025-09-03,16.19,16.22,15.32,15.37,372794.25,长亮科技,16.59,17.24,17.16
2025-09-04,15.39,15.64,15.0,15.38,320656.55,长亮科技,16.21,17.01,17.11
2025-09-05,15.28,15.76,15.19,15.7,273220.83,长亮科技,15.97,16.8,17.07
2025-09-08,15.6,15.95,15.5,15.88,253385.15,长亮科技,15.69,16.52,17.02
2025-09-09,15.79,15.93,15.61,15.64,207960.84,长亮科技,15.59,16.28,16.95
2025-09-10,15.68,15.95,15.53,15.57,191889.2,长亮科技,15.63,16.11,16.87
2025-09-11,15.91,16.28,15.73,16.25,432286.75,长亮科技,15.81,16.01,16.8
2025-09-12,16.29,16.45,16.04,16.04,368077.24,长亮科技,15.88,15.92,16.74
2025-09-15,16.06,16.2,15.8,15.81,222456.57,长亮科技,15.86,15.77,16.65
2025-09-16,15.76,16.06,15.68,16.06,220088.94,长亮科技,15.95,15.77,16.59
2025-09-17,16.05,16.36,15.89,16.2,300043.7,长亮科技,16.07,15.85,16.54
2025-09-18,16.11,16.22,15.6,15.72,359133.52,长亮科技,15.97,15.89,16.45
2025-09-19,15.71,15.82,15.36,15.36,230609.1,长亮科技,15.83,15.85,16.32
2025-09-22,15.2,15.42,15.12,15.41,213729.89,长亮科技,15.75,15.81,16.17
2025-09-23,15.3,15.38,14.6,14.99,310180.86,长亮科技,15.54,15.74,16.01
2025-09-24,14.86,15.25,14.7,15.24,210998.81,长亮科技,15.34,15.71,15.91
2025-09-25,15.24,15.42,15.1,15.1,214022.2,长亮科技,15.22,15.59,15.8
2025-09-26,15.4,15.53,14.81,14.82,235372.56,长亮科技,15.11,15.47,15.7
2025-09-29,14.82,15.35,14.61,15.2,245033.04,长亮科技,15.07,15.41,15.59
2025-09-30,15.22,15.3,15.07,15.09,172874.21,长亮科技,15.09,15.31,15.54
2025-10-09,15.1,15.35,15.1,15.16,202395.0,长亮科技,15.07,15.21,15.53
2025-10-10,15.09,15.28,14.88,14.95,187187.98,长亮科技,15.04,15.13,15.51
2025-10-13,14.16,14.86,13.98,14.77,197366.47,长亮科技,15.03,15.07,15.46
2025-10-14,14.8,15.07,14.59,14.66,213849.25,长亮科技,14.93,15.0,15.4
2025-10-15,14.69,14.88,14.53,14.75,154256.14,长亮科技,14.86,14.97,15.36
2025-10-16,14.75,14.75,14.34,14.41,171052.61,长亮科技,14.71,14.89,15.3
2025-10-17,14.43,14.63,14.01,14.02,160310.17,长亮科技,14.52,14.78,15.19
2025-10-20,14.28,14.44,14.12,14.21,134437.33,长亮科技,14.41,14.72,15.1
2025-10-21,14.27,14.43,14.14,14.35,131654.4,长亮科技,14.35,14.64,15.02
2025-10-22,14.28,14.47,14.21,14.25,102167.19,长亮科技,14.25,14.55,14.93
2025-10-23,14.31,14.42,14.03,14.39,136345.21,长亮科技,14.24,14.48,14.84
2025-10-24,14.38,14.54,14.35,14.45,154421.84,长亮科技,14.33,14.43,14.78
2025-10-27,14.47,14.78,14.47,14.68,210893.84,长亮科技,14.42,14.42,14.74
