date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,10.01,10.04,9.18,9.47,288793.69,ST创意,9.47,9.47,9.47
2025-03-25,9.46,9.56,9.3,9.41,144519.95,ST创意,9.44,9.44,9.44
2025-03-26,9.37,9.56,9.33,9.44,107972.49,ST创意,9.44,9.44,9.44
2025-03-27,9.41,9.5,9.19,9.34,117517.13,ST创意,9.41,9.41,9.41
2025-03-28,9.34,9.46,9.17,9.18,119916.62,ST创意,9.37,9.37,9.37
2025-03-31,7.34,7.34,7.34,7.34,70757.0,ST创意,8.94,9.03,9.03
2025-04-01,6.7,7.08,6.6,6.86,1045680.44,ST创意,8.43,8.72,8.72
2025-04-02,6.7,6.79,6.55,6.57,676742.98,ST创意,7.86,8.45,8.45
2025-04-03,6.5,6.76,6.48,6.57,399457.06,ST创意,7.3,8.24,8.24
2025-04-07,6.25,6.3,5.26,5.4,525988.5,ST创意,6.55,7.96,7.96
2025-04-08,5.4,5.88,5.4,5.69,422623.7,ST创意,6.22,7.58,7.75
2025-04-09,5.64,6.03,5.24,6.02,385327.24,ST创意,6.05,7.24,7.61
2025-04-10,6.26,6.47,6.16,6.22,373702.0,ST创意,5.98,6.92,7.5
2025-04-11,6.29,6.38,6.16,6.26,245734.85,ST创意,5.92,6.61,7.41
2025-04-14,6.39,6.49,6.33,6.37,227829.95,ST创意,6.11,6.33,7.34
2025-04-15,6.35,6.43,6.21,6.27,196432.0,ST创意,6.23,6.22,7.28
2025-04-16,6.25,6.28,5.93,6.07,220766.0,ST创意,6.24,6.14,7.2
2025-04-17,6.06,6.15,6.01,6.01,205901.0,ST创意,6.2,6.09,7.14
2025-04-18,6.02,6.05,5.9,6.01,158558.0,ST创意,6.15,6.03,7.08
2025-04-21,6.0,6.28,5.95,6.28,201598.5,ST创意,6.13,6.12,7.04
2025-04-22,6.27,6.3,6.11,6.14,178965.0,ST创意,6.1,6.16,6.87
2025-04-23,6.21,6.35,6.11,6.15,192906.0,ST创意,6.12,6.18,6.71
2025-04-24,6.15,6.18,5.91,5.94,198139.71,ST创意,6.1,6.15,6.53
2025-04-25,5.97,6.04,5.89,5.92,147677.39,ST创意,6.09,6.12,6.36
2025-04-28,5.89,5.94,5.73,5.79,169388.86,ST创意,5.99,6.06,6.19
2025-04-29,5.84,6.06,5.74,5.97,210459.0,ST创意,5.95,6.03,6.13
2025-04-30,6.03,7.16,5.98,7.16,526760.01,ST创意,6.16,6.14,6.14
2025-05-06,7.38,8.2,7.28,7.9,1344289.31,ST创意,6.55,6.33,6.21
2025-05-07,7.9,8.65,7.65,7.95,1141327.95,ST创意,6.95,6.52,6.28
2025-05-08,7.88,7.92,7.68,7.75,745049.62,ST创意,7.35,6.67,6.39
