date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.81,5.82,5.31,5.44,192676.61,红相股份,5.44,5.44,5.44
2025-03-25,5.44,5.54,5.4,5.43,112448.0,红相股份,5.44,5.44,5.44
2025-03-26,5.4,5.53,5.39,5.49,98440.62,红相股份,5.45,5.45,5.45
2025-03-27,5.45,5.48,5.35,5.4,79854.0,红相股份,5.44,5.44,5.44
2025-03-28,5.37,5.45,5.29,5.31,87463.36,红相股份,5.41,5.41,5.41
2025-03-31,5.27,5.29,5.13,5.22,87997.75,红相股份,5.37,5.38,5.38
2025-04-01,5.25,5.35,5.23,5.29,78704.51,红相股份,5.34,5.37,5.37
2025-04-02,5.27,5.35,5.25,5.27,53112.16,红相股份,5.3,5.36,5.36
2025-04-03,5.26,5.31,5.19,5.25,61077.51,红相股份,5.27,5.34,5.34
2025-04-07,4.97,4.98,4.2,4.2,217708.88,红相股份,5.05,5.23,5.23
2025-04-08,4.16,4.48,4.16,4.32,140840.05,红相股份,4.87,5.12,5.15
2025-04-09,4.18,4.5,3.88,4.46,206150.51,红相股份,4.7,5.02,5.09
2025-04-10,4.56,4.71,4.5,4.6,167498.32,红相股份,4.57,4.93,5.05
2025-04-11,4.55,4.74,4.55,4.69,110541.09,红相股份,4.45,4.86,5.03
2025-04-14,4.8,4.89,4.77,4.81,101082.08,红相股份,4.58,4.81,5.01
2025-04-15,4.86,4.9,4.8,4.85,98135.0,红相股份,4.68,4.77,5.0
2025-04-16,4.85,4.86,4.62,4.7,91267.9,红相股份,4.73,4.72,4.98
2025-04-17,4.69,4.78,4.66,4.69,102014.0,红相股份,4.75,4.66,4.97
2025-04-18,4.67,4.97,4.62,4.73,148522.72,红相股份,4.76,4.6,4.96
2025-04-21,4.69,4.84,4.66,4.81,113642.8,红相股份,4.76,4.67,4.95
2025-04-22,4.77,4.87,4.77,4.83,92605.4,红相股份,4.75,4.72,4.92
2025-04-23,4.89,4.94,4.83,4.91,114880.0,红相股份,4.79,4.76,4.89
