date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.18,13.23,12.44,12.85,170729.39,今天国际,12.85,12.85,12.85
2025-03-25,12.85,13.0,12.6,12.71,88278.4,今天国际,12.78,12.78,12.78
2025-03-26,12.73,13.12,12.66,12.88,97128.75,今天国际,12.81,12.81,12.81
2025-03-27,12.83,13.0,12.64,12.72,86501.39,今天国际,12.79,12.79,12.79
2025-03-28,12.69,12.83,12.51,12.55,69153.65,今天国际,12.74,12.74,12.74
2025-03-31,12.48,12.49,12.01,12.42,93926.91,今天国际,12.66,12.69,12.69
2025-04-01,12.44,12.62,12.38,12.41,65404.5,今天国际,12.6,12.65,12.65
2025-04-02,12.4,12.7,12.35,12.54,58749.51,今天国际,12.53,12.64,12.64
2025-04-03,12.4,12.6,12.15,12.28,67306.25,今天国际,12.44,12.6,12.6
2025-04-07,11.4,11.63,9.84,10.04,210931.56,今天国际,11.94,12.34,12.34
2025-04-08,10.2,10.64,10.06,10.4,124062.64,今天国际,11.53,12.1,12.16
2025-04-09,10.25,10.79,9.76,10.68,145431.77,今天国际,11.19,11.89,12.04
2025-04-10,11.07,11.42,10.93,11.06,150619.15,今天国际,10.89,11.71,11.96
2025-04-11,10.85,11.26,10.85,11.11,95355.4,今天国际,10.66,11.55,11.9
2025-04-14,11.36,11.41,11.12,11.18,86945.32,今天国际,10.89,11.41,11.86
2025-04-15,11.13,11.24,11.01,11.16,50385.95,今天国际,11.04,11.29,11.81
2025-04-16,11.05,11.15,10.8,11.0,64854.65,今天国际,11.1,11.14,11.76
2025-04-17,10.95,11.15,10.89,11.03,51996.75,今天国际,11.1,10.99,11.72
2025-04-18,11.08,11.25,11.02,11.12,52229.1,今天国际,11.1,10.88,11.69
2025-04-21,11.03,11.31,10.97,11.29,62297.85,今天国际,11.12,11.0,11.67
2025-04-22,11.28,11.32,11.19,11.21,57326.6,今天国际,11.13,11.08,11.59
2025-04-23,11.27,11.44,11.26,11.38,73524.88,今天国际,11.21,11.15,11.52
2025-04-24,11.38,11.45,11.12,11.18,64898.82,今天国际,11.24,11.17,11.44
2025-04-25,11.17,11.33,11.08,11.19,57541.28,今天国际,11.25,11.17,11.36
2025-04-28,11.18,11.24,10.94,10.95,64919.85,今天国际,11.18,11.15,11.28
2025-04-29,10.55,10.95,10.41,10.81,92519.6,今天国际,11.1,11.12,11.2
2025-04-30,10.81,11.18,10.81,11.12,67257.35,今天国际,11.05,11.13,11.14
2025-05-06,11.26,11.39,11.23,11.39,65798.14,今天国际,11.09,11.16,11.08
2025-05-07,11.55,11.6,11.33,11.46,81580.65,今天国际,11.15,11.2,11.04
2025-05-08,11.42,11.8,11.39,11.77,86945.74,今天国际,11.31,11.25,11.12
2025-05-09,11.74,11.75,11.46,11.53,64693.83,今天国际,11.45,11.28,11.18
2025-05-12,11.66,11.7,11.58,11.67,55251.08,今天国际,11.56,11.31,11.23
2025-05-13,11.83,11.87,11.62,11.67,55299.27,今天国际,11.62,11.36,11.26
2025-05-14,11.68,11.76,11.52,11.7,65518.95,今天国际,11.67,11.41,11.29
2025-05-15,11.7,11.7,11.43,11.45,49311.95,今天国际,11.6,11.46,11.3
2025-05-16,11.42,11.57,11.37,11.46,39883.94,今天国际,11.59,11.52,11.32
2025-05-19,11.45,11.52,11.29,11.5,42693.95,今天国际,11.56,11.56,11.34
2025-05-20,11.51,11.65,11.4,11.64,48601.54,今天国际,11.55,11.58,11.37
2025-05-21,11.62,11.62,11.42,11.52,44677.23,今天国际,11.51,11.59,11.39
2025-05-22,11.48,11.59,11.31,11.34,50725.54,今天国际,11.49,11.55,11.4
