date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,20.15,21.1,19.72,20.78,213700.17,广信材料,20.78,20.78,20.78
2025-03-25,20.33,20.56,20.17,20.55,130247.0,广信材料,20.66,20.66,20.66
2025-03-26,20.38,20.66,19.88,20.0,103762.0,广信材料,20.44,20.44,20.44
2025-03-27,19.82,21.96,19.82,21.1,329116.25,广信材料,20.61,20.61,20.61
2025-03-28,21.39,21.83,19.88,19.91,257665.39,广信材料,20.47,20.47,20.47
2025-03-31,19.19,19.4,17.89,18.3,194947.12,广信材料,19.97,20.11,20.11
2025-04-01,18.35,19.14,18.14,18.72,127091.12,广信材料,19.61,19.91,19.91
2025-04-02,18.7,19.57,18.35,18.43,94574.0,广信材料,19.29,19.72,19.72
2025-04-03,18.43,18.65,17.76,18.15,88753.0,广信材料,18.7,19.55,19.55
2025-04-07,17.1,17.34,14.75,15.21,153242.77,广信材料,17.76,19.12,19.12
2025-04-08,15.5,16.26,15.24,15.83,107645.0,广信材料,17.27,18.62,18.82
2025-04-09,15.51,16.6,14.44,16.43,125078.0,广信材料,16.81,18.21,18.62
2025-04-10,16.81,17.2,16.5,16.55,99098.0,广信材料,16.43,17.86,18.46
2025-04-11,16.3,17.18,16.23,16.79,89019.0,广信材料,16.16,17.43,18.34
2025-04-14,17.1,17.35,16.93,17.15,81319.0,广信材料,16.55,17.16,18.26
2025-04-15,17.12,17.33,16.87,17.07,52697.63,广信材料,16.8,17.03,18.19
2025-04-16,16.95,17.04,16.36,16.8,57484.56,广信材料,16.87,16.84,18.1
2025-04-17,16.72,17.53,16.51,17.13,89651.38,广信材料,16.99,16.71,18.05
2025-04-18,17.02,17.23,16.7,16.8,54998.0,广信材料,16.99,16.58,17.98
2025-04-21,16.8,16.92,16.65,16.89,45831.6,广信材料,16.94,16.74,17.93
2025-04-22,16.8,17.15,16.56,16.89,63536.0,广信材料,16.9,16.85,17.74
2025-04-23,16.97,17.1,16.86,17.06,53877.0,广信材料,16.95,16.91,17.56
2025-04-24,16.82,16.82,16.11,16.4,92329.2,广信材料,16.81,16.9,17.38
2025-04-25,16.4,16.78,16.28,16.41,40383.0,广信材料,16.73,16.86,17.15
2025-04-28,16.23,16.5,16.1,16.43,37229.0,广信材料,16.64,16.79,16.97
2025-04-29,16.25,16.8,16.23,16.66,48395.82,广信材料,16.59,16.75,16.89
2025-04-30,16.79,16.97,16.72,16.83,35940.6,广信材料,16.55,16.75,16.8
2025-05-06,16.9,17.51,16.9,17.51,69905.06,广信材料,16.77,16.79,16.75
2025-05-07,17.65,17.86,17.39,17.73,81038.0,广信材料,17.03,16.88,16.73
2025-05-08,17.56,17.9,17.5,17.87,54431.0,广信材料,17.32,16.98,16.86
2025-05-09,17.81,17.89,17.43,17.52,43491.0,广信材料,17.49,17.04,16.95
2025-05-12,17.6,17.85,17.56,17.71,35545.0,广信材料,17.67,17.11,17.01
2025-05-13,17.91,17.96,17.56,17.68,48751.1,广信材料,17.7,17.24,17.07
2025-05-14,17.6,17.85,17.52,17.67,46027.0,广信材料,17.69,17.36,17.11
2025-05-15,17.6,17.68,17.2,17.28,36387.0,广信材料,17.57,17.45,17.12
2025-05-16,17.3,17.54,17.21,17.37,30631.0,广信材料,17.54,17.52,17.13
2025-05-19,17.36,17.66,17.14,17.64,43742.0,广信材料,17.53,17.6,17.17
2025-05-20,17.52,17.74,17.52,17.72,38096.0,广信材料,17.54,17.62,17.2
2025-05-21,17.62,17.88,17.3,17.59,56172.38,广信材料,17.52,17.6,17.24
2025-05-22,17.58,17.75,17.13,17.17,44278.0,广信材料,17.5,17.54,17.26
2025-05-23,17.26,18.32,17.06,17.83,155254.8,广信材料,17.59,17.57,17.3
2025-05-26,17.83,18.3,17.67,18.24,130848.0,广信材料,17.71,17.62,17.36
2025-05-27,18.01,18.5,17.92,18.38,110669.56,广信材料,17.84,17.69,17.46
2025-05-28,18.28,18.34,17.84,17.95,87670.97,广信材料,17.91,17.72,17.54
2025-05-29,17.74,21.4,17.74,20.56,429709.63,广信材料,18.59,18.04,17.75
2025-05-30,19.58,20.33,19.21,20.1,254536.17,广信材料,19.05,18.32,17.92
2025-06-03,19.83,20.07,19.61,20.0,126626.0,广信材料,19.4,18.55,18.08
2025-06-04,19.99,20.0,19.4,19.63,108665.0,广信材料,19.65,18.74,18.18
2025-06-05,19.5,19.55,19.08,19.47,86725.74,广信材料,19.95,18.93,18.27
2025-06-06,19.46,19.77,19.05,19.17,112993.96,广信材料,19.67,19.13,18.33
2025-06-09,19.17,19.65,19.1,19.49,88412.45,广信材料,19.55,19.3,18.43
2025-06-10,19.81,20.77,19.7,19.98,206114.98,广信材料,19.55,19.47,18.55
2025-06-11,19.8,20.86,19.6,20.59,191018.05,广信材料,19.74,19.69,18.69
2025-06-12,20.16,20.54,20.0,20.16,113457.0,广信材料,19.88,19.92,18.82
2025-06-13,20.24,21.16,20.1,20.59,171187.56,广信材料,20.16,19.92,18.98
2025-06-16,20.16,20.65,20.1,20.28,91348.74,广信材料,20.32,19.94,19.13
2025-06-17,20.61,21.06,20.1,20.3,106058.0,广信材料,20.38,19.97,19.26
2025-06-18,20.31,21.1,20.04,21.1,153633.13,广信材料,20.49,20.11,19.43
2025-06-19,21.35,23.1,20.85,21.85,250866.06,广信材料,20.82,20.35,19.64
2025-06-20,21.41,22.83,20.75,20.75,213484.57,广信材料,20.86,20.51,19.82
2025-06-23,20.34,21.54,19.82,21.46,165924.8,广信材料,21.09,20.71,20.0
2025-06-24,21.6,22.17,21.3,21.51,178952.56,广信材料,21.33,20.86,20.17
2025-06-25,21.33,21.51,20.97,21.45,137443.05,广信材料,21.4,20.94,20.32
2025-06-26,21.53,23.79,21.45,22.55,309153.59,广信材料,21.54,21.18,20.55
2025-06-27,21.8,23.47,21.58,22.22,250424.4,广信材料,21.84,21.35,20.63
2025-06-30,22.54,26.66,22.53,25.63,448211.72,广信材料,22.67,21.88,20.91
2025-07-01,26.2,29.62,25.05,27.61,568537.08,广信材料,23.89,22.61,21.29
2025-07-02,27.62,29.58,26.48,28.65,565050.34,广信材料,25.33,23.37,21.74
2025-07-03,27.36,27.87,25.28,25.38,485148.55,广信材料,25.9,23.72,22.04
2025-07-04,25.32,26.11,24.57,25.71,352974.4,广信材料,26.6,24.22,22.36
2025-07-07,25.5,29.88,25.2,28.01,504424.38,广信材料,27.07,24.87,22.79
2025-07-08,27.66,28.0,26.62,27.34,337177.54,广信材料,27.02,25.46,23.16
