date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,19.11,19.21,17.73,18.3,88220.9,雄帝科技,18.3,18.3,18.3
2025-03-25,18.26,18.35,17.9,18.18,46735.7,雄帝科技,18.24,18.24,18.24
2025-03-26,18.16,18.45,18.08,18.2,38457.89,雄帝科技,18.23,18.23,18.23
2025-03-27,18.07,18.33,17.85,18.17,42369.25,雄帝科技,18.21,18.21,18.21
2025-03-28,18.18,18.29,17.81,17.86,33228.7,雄帝科技,18.14,18.14,18.14
2025-03-31,17.7,17.77,17.09,17.7,50776.65,雄帝科技,18.02,18.07,18.07
2025-04-01,17.72,18.1,17.72,17.81,30847.75,雄帝科技,17.95,18.03,18.03
2025-04-02,17.75,18.09,17.66,17.84,29124.5,雄帝科技,17.88,18.01,18.01
2025-04-03,18.01,18.17,17.62,17.79,35466.1,雄帝科技,17.8,17.98,17.98
2025-04-07,16.0,16.48,14.23,14.23,84793.2,雄帝科技,17.07,17.61,17.61
2025-04-08,14.48,15.39,14.37,14.72,69790.2,雄帝科技,16.48,17.25,17.35
2025-04-09,14.59,15.65,13.33,15.5,85842.7,雄帝科技,16.02,16.98,17.19
2025-04-10,16.02,16.7,15.82,16.18,84766.0,雄帝科技,15.68,16.78,17.11
2025-04-11,16.0,16.45,15.98,16.26,50468.47,雄帝科技,15.38,16.59,17.05
2025-04-14,16.58,17.08,16.5,16.6,56394.9,雄帝科技,15.85,16.46,17.02
2025-04-15,16.76,16.8,16.37,16.47,41996.1,雄帝科技,16.2,16.34,16.99
2025-04-16,16.58,18.45,15.81,17.79,173913.74,雄帝科技,16.66,16.34,17.04
2025-04-17,16.9,17.29,16.9,17.05,133561.8,雄帝科技,16.83,16.26,17.04
2025-04-18,16.88,17.55,16.65,16.7,90617.74,雄帝科技,16.92,16.15,17.02
2025-04-21,16.51,17.34,16.51,17.23,90125.5,雄帝科技,17.05,16.45,17.03
2025-04-22,17.01,17.81,17.01,17.39,131269.7,雄帝科技,17.23,16.72,16.98
2025-04-23,17.08,17.82,17.06,17.14,113175.0,雄帝科技,17.1,16.88,16.93
2025-04-24,17.01,17.16,16.37,16.48,80201.0,雄帝科技,16.99,16.91,16.85
2025-04-25,16.5,16.68,16.11,16.16,65953.75,雄帝科技,16.88,16.9,16.74
2025-04-28,16.15,16.32,15.91,16.07,44546.59,雄帝科技,16.65,16.85,16.66
2025-04-29,16.17,16.43,15.77,16.28,45201.3,雄帝科技,16.43,16.83,16.58
2025-04-30,16.48,16.59,16.28,16.37,38374.5,雄帝科技,16.27,16.69,16.51
2025-05-06,16.58,17.04,16.38,17.04,59317.05,雄帝科技,16.38,16.69,16.47
2025-05-07,17.36,17.5,16.73,16.93,55598.4,雄帝科技,16.54,16.71,16.43
2025-05-08,16.8,17.34,16.8,17.32,59539.25,雄帝科技,16.79,16.72,16.58
2025-05-09,17.33,17.33,16.83,17.04,44449.35,雄帝科技,16.94,16.68,16.7
2025-05-12,17.18,17.58,17.12,17.47,59124.15,雄帝科技,17.16,16.72,16.8
2025-05-13,17.61,17.8,17.1,17.2,53233.9,雄帝科技,17.19,16.79,16.85
2025-05-14,17.11,17.42,16.95,17.33,48644.0,雄帝科技,17.27,16.9,16.9
2025-05-15,17.26,17.32,16.85,16.89,38046.3,雄帝科技,17.19,16.99,16.92
2025-05-16,16.83,17.07,16.68,16.89,30409.9,雄帝科技,17.16,17.05,16.94
2025-05-19,16.99,17.14,16.76,16.92,39356.95,雄帝科技,17.05,17.1,16.9
2025-05-20,16.95,17.05,16.74,17.0,28587.1,雄帝科技,17.01,17.1,16.89
2025-05-21,16.99,17.04,16.69,16.96,37275.3,雄帝科技,16.93,17.1,16.91
2025-05-22,17.26,17.82,17.14,17.22,135074.94,雄帝科技,17.0,17.09,16.9
2025-05-23,16.96,17.13,16.25,16.31,115437.92,雄帝科技,16.88,17.02,16.85
2025-05-26,17.82,18.18,16.88,17.18,135028.7,雄帝科技,16.93,16.99,16.85
2025-05-27,16.94,17.67,16.76,17.3,111678.7,雄帝科技,16.99,17.0,16.89
