date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.19,7.2,6.78,6.93,47964.13,雄塑科技,6.93,6.93,6.93
2025-03-25,6.9,6.98,6.81,6.95,25143.0,雄塑科技,6.94,6.94,6.94
2025-03-26,6.89,7.27,6.88,7.19,46626.5,雄塑科技,7.02,7.02,7.02
2025-03-27,7.15,7.24,7.0,7.08,25197.0,雄塑科技,7.04,7.04,7.04
2025-03-28,7.09,7.1,6.87,6.93,29832.0,雄塑科技,7.02,7.02,7.02
2025-03-31,6.87,6.92,6.62,6.76,27410.0,雄塑科技,6.98,6.97,6.97
2025-04-01,6.8,7.06,6.79,6.98,35393.0,雄塑科技,6.99,6.97,6.97
2025-04-02,6.98,7.12,6.9,6.96,26481.5,雄塑科技,6.94,6.97,6.97
2025-04-03,6.9,7.04,6.82,6.9,34736.01,雄塑科技,6.91,6.96,6.96
2025-04-07,6.23,6.68,5.7,5.98,87328.82,雄塑科技,6.72,6.87,6.87
2025-04-08,5.96,6.43,5.89,6.32,73417.0,雄塑科技,6.63,6.8,6.82
2025-04-09,6.5,6.6,5.84,6.4,87861.0,雄塑科技,6.51,6.75,6.78
2025-04-10,6.44,6.56,6.3,6.32,59382.0,雄塑科技,6.38,6.66,6.75
2025-04-11,6.44,6.6,6.34,6.36,41828.32,雄塑科技,6.28,6.59,6.72
2025-04-14,6.43,6.67,6.43,6.51,41314.12,雄塑科技,6.38,6.55,6.7
2025-04-15,6.65,7.81,6.54,7.18,197446.5,雄塑科技,6.55,6.59,6.73
2025-04-16,6.98,7.47,6.8,6.85,156187.0,雄塑科技,6.64,6.58,6.74
2025-04-17,6.68,6.86,6.56,6.7,88295.0,雄塑科技,6.72,6.55,6.74
2025-04-18,6.78,7.35,6.58,7.17,153342.0,雄塑科技,6.88,6.58,6.76
2025-04-21,7.15,7.45,7.09,7.24,115255.0,雄塑科技,7.03,6.7,6.79
2025-04-22,7.27,7.4,7.16,7.19,64989.5,雄塑科技,7.03,6.79,6.8
2025-04-23,7.12,7.45,7.12,7.45,76801.0,雄塑科技,7.15,6.9,6.82
2025-04-24,7.45,7.46,7.19,7.29,56385.0,雄塑科技,7.27,6.99,6.83
2025-04-25,7.31,8.38,7.3,7.9,319416.0,雄塑科技,7.41,7.15,6.87
2025-04-28,7.93,8.09,7.46,7.58,150351.0,雄塑科技,7.48,7.26,6.9
2025-04-29,7.58,7.69,7.41,7.5,82446.0,雄塑科技,7.54,7.29,6.94
2025-04-30,7.48,7.59,7.39,7.44,79256.0,雄塑科技,7.54,7.35,6.96
2025-05-06,7.54,7.64,7.4,7.62,58827.0,雄塑科技,7.61,7.44,7.0
2025-05-07,7.69,7.75,7.53,7.59,65427.0,雄塑科技,7.55,7.48,7.03
2025-05-08,7.57,7.67,7.5,7.64,51094.0,雄塑科技,7.56,7.52,7.11
2025-05-09,7.62,7.7,7.48,7.5,41909.0,雄塑科技,7.56,7.55,7.17
2025-05-12,7.6,7.76,7.53,7.68,60758.62,雄塑科技,7.61,7.57,7.24
2025-05-13,7.7,7.76,7.48,7.51,43145.0,雄塑科技,7.58,7.6,7.3
2025-05-14,7.5,7.59,7.46,7.54,33524.0,雄塑科技,7.57,7.56,7.35
2025-05-15,7.56,8.42,7.56,7.75,146740.5,雄塑科技,7.6,7.58,7.42
2025-05-16,7.74,7.75,7.47,7.7,88099.0,雄塑科技,7.64,7.6,7.44
2025-05-19,7.68,8.5,7.64,8.43,206854.5,雄塑科技,7.79,7.7,7.52
2025-05-20,8.44,8.7,8.2,8.67,170287.7,雄塑科技,8.02,7.8,7.62
2025-05-21,8.68,8.88,8.53,8.64,113834.7,雄塑科技,8.24,7.91,7.69
2025-05-22,8.52,8.68,8.47,8.61,65062.5,雄塑科技,8.41,8.0,7.76
2025-05-23,8.55,9.1,8.34,8.72,138195.0,雄塑科技,8.61,8.12,7.84
2025-05-26,8.75,9.06,8.22,8.29,143319.7,雄塑科技,8.59,8.19,7.88
2025-05-27,8.26,8.5,8.23,8.5,85166.7,雄塑科技,8.55,8.28,7.94
2025-05-28,8.49,8.77,8.32,8.64,88423.7,雄塑科技,8.55,8.4,7.98
2025-05-29,8.56,9.28,8.56,9.0,151392.0,雄塑科技,8.63,8.52,8.05
2025-05-30,8.9,9.03,8.58,8.73,106802.21,雄塑科技,8.63,8.62,8.11
2025-06-03,8.61,8.73,8.43,8.52,85568.48,雄塑科技,8.68,8.63,8.16
2025-06-04,8.57,8.92,8.45,8.91,95543.0,雄塑科技,8.76,8.66,8.23
2025-06-05,9.0,9.28,8.98,9.11,134601.0,雄塑科技,8.85,8.7,8.3
2025-06-06,9.06,9.25,8.8,9.22,91871.5,雄塑科技,8.9,8.76,8.38
