date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,25.23,25.47,24.07,24.79,239831.28,宇信科技,24.79,24.79,24.79
2025-03-25,24.88,25.08,24.3,24.57,155920.35,宇信科技,24.68,24.68,24.68
2025-03-26,24.4,24.91,24.33,24.57,141204.78,宇信科技,24.64,24.64,24.64
2025-03-27,24.4,24.88,24.28,24.46,135802.6,宇信科技,24.6,24.6,24.6
2025-03-28,24.38,24.65,24.15,24.21,110871.81,宇信科技,24.52,24.52,24.52
2025-03-31,23.97,24.56,23.02,24.4,304317.21,宇信科技,24.44,24.5,24.5
2025-04-01,24.4,24.57,23.95,24.0,179681.4,宇信科技,24.33,24.43,24.43
2025-04-02,24.0,24.38,23.85,24.11,116101.46,宇信科技,24.24,24.39,24.39
2025-04-03,23.75,24.34,23.68,23.72,130940.93,宇信科技,24.09,24.31,24.31
2025-04-07,20.87,22.19,18.98,18.98,362022.75,宇信科技,23.04,23.78,23.78
2025-04-08,19.14,20.55,19.14,20.2,393499.44,宇信科技,22.2,23.32,23.46
2025-04-09,19.99,21.17,18.92,20.9,360945.6,宇信科技,21.58,22.96,23.24
2025-04-10,21.68,22.68,21.53,21.93,381109.09,宇信科技,21.15,22.69,23.14
2025-04-11,21.7,22.45,21.7,22.18,291825.13,宇信科技,20.84,22.46,23.07
2025-04-14,22.64,24.23,22.64,23.06,462525.03,宇信科技,21.65,22.35,23.07
2025-04-15,23.25,23.4,22.35,22.51,241380.58,宇信科技,22.12,22.16,23.04
2025-04-16,22.36,22.75,21.64,22.53,300497.79,宇信科技,22.44,22.01,23.01
2025-04-17,22.31,22.59,22.01,22.06,225558.6,宇信科技,22.47,21.81,22.95
2025-04-18,22.1,23.34,21.79,22.21,315841.4,宇信科技,22.47,21.66,22.92
2025-04-21,22.11,23.13,21.94,23.06,310227.88,宇信科技,22.47,22.06,22.92
2025-04-22,23.6,24.85,23.54,24.27,758041.46,宇信科技,22.83,22.47,22.9
2025-04-23,24.03,25.17,23.87,24.48,679235.32,宇信科技,23.22,22.83,22.89
2025-04-24,24.1,24.15,23.08,23.2,419915.0,宇信科技,23.44,22.96,22.82
2025-04-25,23.2,23.65,22.88,22.89,243862.65,宇信科技,23.58,23.03,22.74
2025-04-28,22.99,23.44,22.47,22.83,222391.02,宇信科技,23.53,23.0,22.68
2025-04-29,23.01,24.2,22.68,23.83,347702.0,宇信科技,23.45,23.14,22.65
2025-04-30,23.85,24.16,23.48,24.02,335590.41,宇信科技,23.35,23.28,22.65
2025-05-06,24.46,24.76,24.08,24.55,369766.84,宇信科技,23.62,23.53,22.67
