date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,37.0,37.0,34.63,34.99,88754.68,新诺威,34.99,34.99,34.99
2025-03-25,34.99,35.45,34.1,35.04,53555.87,新诺威,35.02,35.02,35.02
2025-03-26,35.1,35.5,34.66,34.84,28751.56,新诺威,34.96,34.96,34.96
2025-03-27,34.72,37.0,34.53,36.69,93204.02,新诺威,35.39,35.39,35.39
2025-03-28,37.23,38.69,36.5,37.0,120215.11,新诺威,35.71,35.71,35.71
2025-03-31,36.85,37.65,35.88,37.37,65698.6,新诺威,36.19,35.99,35.99
2025-04-01,37.32,39.79,36.56,39.26,138911.71,新诺威,37.03,36.46,36.46
2025-04-02,39.3,41.5,39.01,40.2,131477.28,新诺威,38.1,36.92,36.92
2025-04-03,39.81,40.64,38.6,39.08,83567.07,新诺威,38.58,37.16,37.16
2025-04-07,35.07,38.0,33.07,34.52,182620.5,新诺威,38.09,36.9,36.9
2025-04-08,34.51,36.88,34.51,35.79,101433.53,新诺威,37.77,36.98,36.8
2025-04-09,35.0,38.92,34.0,38.27,107982.36,新诺威,37.57,37.3,36.92
2025-04-10,38.27,41.83,38.0,41.41,101691.86,新诺威,37.81,37.96,37.27
2025-04-11,40.99,41.92,40.21,41.51,57611.03,新诺威,38.3,38.44,37.57
2025-04-14,41.5,43.5,41.21,42.05,100313.31,新诺威,39.81,38.95,37.87
2025-04-15,42.05,43.3,41.75,43.15,94551.53,新诺威,41.28,39.52,38.2
2025-04-16,42.9,43.15,40.3,42.0,81673.34,新诺威,42.02,39.8,38.42
2025-04-17,41.48,42.0,41.05,41.21,51332.05,新诺威,41.98,39.9,38.58
2025-04-18,41.21,42.5,40.62,42.0,45981.96,新诺威,42.08,40.19,38.76
2025-04-21,41.89,43.47,41.89,43.05,46343.35,新诺威,42.28,41.04,38.97
2025-04-22,42.68,46.1,42.2,45.96,126414.65,新诺威,42.84,42.06,39.52
2025-04-23,45.6,48.45,43.3,44.75,137079.71,新诺威,43.39,42.71,40.01
2025-04-24,44.69,45.07,41.05,43.93,222487.18,新诺威,43.94,42.96,40.46
2025-04-25,43.43,43.57,40.7,41.88,133569.06,新诺威,43.91,43.0,40.72
2025-04-28,41.88,41.88,39.58,41.09,123108.66,新诺威,43.52,42.9,40.92
2025-04-29,35.66,41.0,34.51,39.6,519076.15,新诺威,42.25,42.55,41.04
2025-04-30,39.5,41.91,37.9,41.91,227273.95,新诺威,41.68,42.54,41.17
2025-05-06,41.63,41.63,40.23,40.27,119405.11,新诺威,40.95,42.44,41.17
2025-05-07,40.42,40.85,37.6,38.34,108961.45,新诺威,40.24,42.08,41.13
2025-05-08,37.96,39.87,37.96,39.07,86446.1,新诺威,39.84,41.68,41.36
2025-05-09,38.93,41.78,38.9,41.11,97393.65,新诺威,40.14,41.2,41.63
2025-05-12,40.0,40.4,38.88,39.8,110043.31,新诺威,39.72,40.7,41.7
2025-05-13,40.68,41.19,39.41,40.44,72597.16,新诺威,39.75,40.35,41.66
2025-05-14,40.57,40.74,39.47,40.14,54495.94,新诺威,40.11,40.18,41.59
2025-05-15,39.95,40.82,39.82,40.31,28949.78,新诺威,40.36,40.1,41.5
2025-05-16,40.21,42.29,39.4,41.41,71670.74,新诺威,40.42,40.28,41.41
2025-05-19,41.43,43.21,40.93,42.1,66325.38,新诺威,40.88,40.3,41.42
2025-05-20,44.5,47.59,44.38,46.45,136995.6,新诺威,42.08,40.92,41.68
2025-05-21,46.1,46.95,44.88,46.39,75585.74,新诺威,43.33,41.72,41.9
2025-05-22,46.21,50.25,45.51,49.55,145711.83,新诺威,45.18,42.77,42.22
2025-05-23,49.06,50.32,48.08,48.77,106356.27,新诺威,46.65,43.54,42.37
2025-05-26,48.56,49.59,47.5,48.65,49963.91,新诺威,47.96,44.42,42.56
2025-05-27,48.63,50.0,47.38,48.6,77887.9,新诺威,48.39,45.24,42.79
2025-05-28,48.64,49.28,47.88,48.64,39174.28,新诺威,48.84,46.09,43.13
2025-05-29,48.62,53.77,48.16,52.59,99805.34,新诺威,49.45,47.32,43.71
2025-05-30,55.38,60.0,51.11,51.91,156845.15,新诺威,50.08,48.36,44.32
2025-06-03,51.53,53.7,51.0,52.03,116455.09,新诺威,50.75,49.36,44.83
2025-06-04,52.1,53.98,51.18,52.06,81804.95,新诺威,51.45,49.92,45.42
2025-06-05,52.13,52.69,49.9,52.5,113654.09,新诺威,52.22,50.53,46.13
2025-06-06,52.42,63.0,51.46,63.0,126649.88,新诺威,54.3,51.88,47.32
2025-06-09,63.0,63.31,59.44,60.82,132635.59,新诺威,56.08,53.08,48.31
2025-06-10,60.57,62.28,59.31,60.14,116133.76,新诺威,57.7,54.23,49.32
2025-06-11,59.9,61.61,58.52,59.83,92427.47,新诺威,59.26,55.35,50.29
2025-06-12,59.61,61.07,57.9,60.45,111994.79,新诺威,60.85,56.53,51.31
2025-06-13,60.0,60.78,57.3,58.93,141594.08,新诺威,60.03,57.17,52.24
