date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,28.15,28.66,27.52,28.6,21978.33,江苏博云,28.6,28.6,28.6
2025-03-25,28.32,28.86,27.99,28.39,17948.6,江苏博云,28.5,28.5,28.5
2025-03-26,28.21,29.65,28.21,29.23,34234.73,江苏博云,28.74,28.74,28.74
2025-03-27,29.21,29.87,28.7,29.87,35343.5,江苏博云,29.02,29.02,29.02
2025-03-28,31.36,32.48,29.6,29.62,63641.77,江苏博云,29.14,29.14,29.14
2025-03-31,29.26,29.49,27.89,28.63,47219.4,江苏博云,29.15,29.06,29.06
2025-04-01,28.79,29.4,28.58,29.1,30541.67,江苏博云,29.29,29.06,29.06
2025-04-02,29.2,29.69,28.86,28.99,26557.0,江苏博云,29.24,29.05,29.05
2025-04-03,28.66,29.0,27.17,27.7,39621.8,江苏博云,28.81,28.9,28.9
2025-04-07,25.29,25.99,22.24,22.58,39626.7,江苏博云,27.4,28.27,28.27
2025-04-08,22.98,24.47,22.53,23.29,34737.3,江苏博云,26.33,27.74,27.82
2025-04-09,23.0,24.14,21.35,23.79,32072.0,江苏博云,25.27,27.28,27.48
2025-04-10,24.52,25.42,24.1,24.86,29219.1,江苏博云,24.44,26.84,27.28
2025-04-11,24.5,25.35,24.5,25.02,19133.2,江苏博云,23.91,26.36,27.12
2025-04-14,25.49,25.72,25.27,25.41,12837.5,江苏博云,24.47,25.94,27.01
2025-04-15,25.42,26.1,25.22,25.74,14271.4,江苏博云,24.96,25.65,26.93
2025-04-16,25.7,25.7,24.81,25.27,13401.7,江苏博云,25.26,25.26,26.83
2025-04-17,25.3,25.92,25.0,25.75,15326.0,江苏博云,25.44,24.94,26.77
2025-04-18,25.75,25.97,25.42,25.74,10693.0,江苏博云,25.58,24.74,26.71
2025-04-21,25.61,26.27,25.41,26.22,11336.4,江苏博云,25.74,25.11,26.69
2025-04-22,26.15,26.81,25.99,26.35,14423.0,江苏博云,25.87,25.42,26.58
2025-04-23,26.5,27.65,26.4,27.45,24231.8,江苏博云,26.3,25.78,26.53
2025-04-24,27.19,27.69,26.53,27.4,30053.4,江苏博云,26.63,26.03,26.44
2025-04-25,27.21,27.48,26.88,27.08,14638.0,江苏博云,26.9,26.24,26.3
2025-04-28,27.2,27.2,26.5,26.8,11481.0,江苏博云,27.02,26.38,26.16
2025-04-29,27.19,27.65,26.82,27.15,20300.49,江苏博云,27.18,26.52,26.08
2025-04-30,27.15,27.36,26.93,27.03,14761.5,江苏博云,27.09,26.7,25.98
2025-05-06,27.12,27.98,27.0,27.92,19668.3,江苏博云,27.2,26.91,25.93
2025-05-07,28.21,28.77,27.88,28.34,24825.9,江苏博云,27.45,27.17,25.96
2025-05-08,28.3,28.75,28.01,28.64,24236.81,江苏博云,27.82,27.42,26.26
2025-05-09,27.17,27.29,26.22,26.29,21863.3,江苏博云,27.64,27.41,26.41
2025-05-12,26.46,26.99,26.3,26.52,19886.09,江苏博云,27.54,27.32,26.55
2025-05-13,26.79,26.81,26.24,26.3,17499.98,江苏博云,27.22,27.21,26.62
2025-05-14,26.5,27.0,25.75,25.89,21582.0,江苏博云,26.73,27.09,26.66
2025-05-15,25.75,25.92,25.24,25.64,18872.0,江苏博云,26.13,26.97,26.68
2025-05-16,25.73,27.83,25.59,27.21,45065.31,江苏博云,26.31,26.98,26.75
2025-05-19,28.08,29.67,28.08,29.18,79355.58,江苏博云,26.84,27.19,26.94
2025-05-20,29.82,31.42,29.59,30.96,84671.05,江苏博云,27.78,27.5,27.21
2025-05-21,31.0,31.17,29.33,29.41,54155.45,江苏博云,28.48,27.6,27.39
2025-05-22,29.69,31.97,29.69,29.99,75078.54,江苏博云,29.35,27.74,27.58
2025-05-23,30.0,30.5,29.01,29.25,50918.2,江苏博云,29.76,28.04,27.72
2025-05-26,29.36,35.1,29.36,35.1,76019.51,江苏博云,30.94,28.89,28.1
2025-05-27,35.18,35.79,32.32,34.1,134764.27,江苏博云,31.57,29.67,28.44
2025-05-28,32.95,34.44,32.53,33.52,95280.98,江苏博云,32.39,30.44,28.76
2025-05-29,33.0,33.2,31.51,32.5,71503.07,江苏博云,32.89,31.12,29.05
2025-05-30,31.89,31.96,29.37,29.62,75961.65,江苏博云,32.97,31.36,29.17
2025-06-03,29.25,30.23,28.91,29.82,38410.98,江苏博云,31.91,31.43,29.31
2025-06-04,29.8,29.99,29.45,29.57,32173.6,江苏博云,31.01,31.29,29.39
2025-06-05,29.75,29.95,28.8,29.95,39466.7,江苏博云,30.29,31.34,29.47
2025-06-06,29.09,29.3,28.32,29.15,42856.13,江苏博云,29.62,31.26,29.5
2025-06-09,29.3,30.15,29.14,29.95,34616.5,江苏博云,29.69,31.33,29.68
2025-06-10,29.82,30.27,29.43,29.96,37589.96,江苏博云,29.72,30.81,29.85
2025-06-11,29.96,30.26,29.68,29.81,26634.0,江苏博云,29.76,30.38,30.03
2025-06-12,29.8,30.16,29.39,30.14,30433.8,江苏博云,29.8,30.05,30.24
2025-06-13,29.99,30.44,29.7,30.11,34880.9,江苏博云,29.99,29.81,30.47
2025-06-16,30.12,30.35,29.19,29.47,31845.0,江苏博云,29.9,29.79,30.58
2025-06-17,29.38,29.7,28.44,28.72,28759.99,江苏博云,29.65,29.68,30.56
2025-06-18,28.52,28.86,28.08,28.79,16538.69,江苏博云,29.45,29.6,30.45
2025-06-19,28.65,28.99,27.78,27.99,14607.49,江苏博云,29.02,29.41,30.38
2025-06-20,28.0,28.31,27.43,27.53,12566.0,江苏博云,28.5,29.25,30.25
2025-06-23,27.51,32.28,27.47,31.08,79779.38,江苏博云,28.82,29.36,30.34
2025-06-24,30.99,31.32,30.52,31.0,41271.16,江苏博云,29.28,29.46,30.14
2025-06-25,31.0,31.66,30.3,31.55,38480.3,江苏博云,29.83,29.64,30.01
2025-06-26,31.15,31.27,30.52,30.54,33666.8,江苏博云,30.34,29.68,29.86
2025-06-27,30.98,31.07,30.14,30.29,24912.0,江苏博云,30.89,29.7,29.75
2025-06-30,30.29,30.52,30.02,30.35,21269.5,江苏博云,30.75,29.78,29.79
2025-07-01,30.55,32.18,30.24,32.18,51631.68,江苏博云,30.98,30.13,29.91
2025-07-02,32.18,32.39,31.32,31.7,33983.9,江苏博云,31.01,30.42,30.01
2025-07-03,31.95,32.8,31.31,32.4,36322.57,江苏博云,31.38,30.86,30.14
2025-07-04,32.44,32.46,31.7,32.0,24727.09,江苏博云,31.73,31.31,30.28
2025-07-07,31.96,32.0,29.56,30.09,56104.7,江苏博云,31.67,31.21,30.28
2025-07-08,29.92,30.63,29.8,30.33,27067.7,江苏博云,31.3,31.14,30.3
2025-07-09,32.0,32.99,30.41,30.72,67332.24,江苏博云,31.11,31.06,30.35
2025-07-10,30.14,30.67,29.37,29.65,41799.46,江苏博云,30.56,30.97,30.32
2025-07-11,29.66,29.87,29.3,29.78,21136.6,江苏博云,30.11,30.92,30.31
2025-07-14,29.69,31.3,29.67,30.9,36055.49,江苏博云,30.28,30.98,30.38
2025-07-15,30.79,30.99,29.93,30.15,21188.5,江苏博云,30.24,30.77,30.45
2025-07-16,30.11,34.46,29.95,32.41,73916.89,江苏博云,30.58,30.84,30.63
2025-07-17,32.75,36.5,31.87,34.51,99008.43,江苏博云,31.55,31.05,30.96
2025-07-18,34.5,34.69,33.01,33.12,62767.84,江苏博云,32.22,31.17,31.24
2025-07-21,33.12,34.26,32.81,33.11,39948.0,江苏博云,32.66,31.47,31.34
2025-07-22,33.12,33.15,32.23,32.43,31608.9,江苏博云,33.12,31.68,31.41
2025-07-23,32.31,32.97,32.05,32.51,28374.0,江苏博云,33.14,31.86,31.46
2025-07-24,32.51,32.99,31.83,32.02,34419.9,江苏博云,32.64,32.09,31.53
2025-07-25,31.95,32.88,31.78,32.5,23779.7,江苏博云,32.51,32.37,31.64
2025-07-28,32.44,32.96,32.19,32.83,22883.65,江苏博云,32.46,32.56,31.77
2025-07-29,32.77,32.94,32.43,32.77,22169.2,江苏博云,32.53,32.82,31.8
2025-07-30,32.7,32.9,31.84,32.18,24945.2,江苏博云,32.46,32.8,31.82
2025-07-31,32.17,32.3,31.2,31.32,21258.0,江苏博云,32.32,32.48,31.77
2025-08-01,31.31,31.98,31.17,31.7,14560.0,江苏博云,32.16,32.34,31.75
2025-08-04,31.6,32.37,31.36,32.37,21861.3,江苏博云,32.07,32.26,31.87
2025-08-05,33.84,34.22,32.52,32.81,40206.44,江苏博云,32.08,32.3,31.99
2025-08-06,33.07,34.68,32.55,34.5,56688.4,江苏博云,32.54,32.5,32.18
2025-08-07,34.3,35.14,34.1,34.3,42310.59,江苏博云,33.14,32.73,32.41
2025-08-08,34.3,34.73,33.77,34.21,23593.7,江苏博云,33.64,32.9,32.63
2025-08-11,34.36,35.0,34.09,34.9,27290.5,江苏博云,34.14,33.11,32.83
2025-08-12,34.8,34.9,34.1,34.16,24504.9,江苏博云,34.41,33.24,33.03
2025-08-13,34.12,35.99,33.93,34.9,44835.59,江苏博云,34.49,33.52,33.16
2025-08-14,34.91,35.38,33.98,34.1,24937.1,江苏博云,34.45,33.8,33.14
2025-08-15,34.11,34.88,33.82,34.66,26130.81,江苏博云,34.54,34.09,33.21
2025-08-18,35.1,38.96,35.1,38.16,81466.3,江苏博云,35.2,34.67,33.47
2025-08-19,37.0,39.3,36.01,39.3,80589.91,江苏博云,36.22,35.32,33.81
2025-08-20,38.88,39.14,37.73,38.73,49146.3,江苏博云,36.99,35.74,34.12
2025-08-21,38.71,39.19,37.77,38.25,25777.53,江苏博云,37.82,36.14,34.43
2025-08-22,38.35,39.94,37.44,37.76,37876.08,江苏博云,38.44,36.49,34.7
2025-08-25,37.66,38.27,37.37,37.96,26261.16,江苏博云,38.4,36.8,34.95
2025-08-26,37.91,39.39,37.75,38.6,34506.9,江苏博云,38.26,37.24,35.24
2025-08-27,38.59,39.19,36.28,36.32,36577.5,江苏博云,37.78,37.38,35.45
2025-08-28,36.32,36.89,35.19,36.54,26752.4,江苏博云,37.44,37.63,35.71
2025-08-29,36.5,36.81,35.55,35.77,19938.26,江苏博云,37.04,37.74,35.92
2025-09-01,35.88,36.3,34.96,35.41,22937.61,江苏博云,36.53,37.46,36.07
2025-09-02,35.36,35.56,33.5,34.13,31817.8,江苏博云,35.63,36.95,36.13
2025-09-03,34.26,35.15,34.18,34.45,21923.61,江苏博云,35.26,36.52,36.13
2025-09-04,34.45,34.63,33.19,33.74,22673.2,江苏博云,34.7,36.07,36.1
2025-09-05,33.74,35.2,33.58,35.0,21477.0,江苏博云,34.55,35.79,36.14
2025-09-08,35.15,36.17,34.92,35.42,16148.0,江苏博云,34.55,35.54,36.17
2025-09-09,35.42,35.49,34.75,34.94,12469.5,江苏博云,34.71,35.17,36.21
2025-09-10,34.94,37.5,34.8,36.82,31806.42,江苏博云,35.18,35.22,36.3
2025-09-11,36.82,38.38,36.1,38.2,35391.02,江苏博云,36.08,35.39,36.51
