date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,27.42,27.86,26.36,27.09,16635.0,星华新材,27.09,27.09,27.09
2025-03-25,27.09,27.3,26.52,27.02,11032.0,星华新材,27.06,27.06,27.06
2025-03-26,27.24,27.95,27.01,27.74,24249.0,星华新材,27.28,27.28,27.28
2025-03-27,27.67,27.94,27.19,27.61,16108.18,星华新材,27.36,27.36,27.36
2025-03-28,27.59,27.84,27.03,27.18,15939.0,星华新材,27.33,27.33,27.33
2025-03-31,27.08,27.29,26.4,27.13,14464.16,星华新材,27.34,27.3,27.3
2025-04-01,27.28,28.39,27.28,27.73,25703.0,星华新材,27.48,27.36,27.36
2025-04-02,28.15,33.28,27.84,31.92,117317.44,星华新材,28.31,27.93,27.93
2025-04-03,30.6,33.96,30.38,33.2,110496.76,星华新材,29.43,28.51,28.51
2025-04-07,29.85,35.19,29.83,33.2,120004.33,星华新材,30.64,28.98,28.98
2025-04-08,33.0,34.6,32.0,34.2,109220.02,星华新材,32.05,29.69,29.46
2025-04-09,32.62,32.62,27.36,31.08,94570.0,星华新材,32.72,30.1,29.59
2025-04-10,30.99,33.18,30.3,32.37,90448.69,星华新材,32.81,30.56,29.81
2025-04-11,31.3,32.27,30.59,30.61,73359.46,星华新材,32.29,30.86,29.86
2025-04-14,32.38,36.69,31.77,35.0,165702.63,星华新材,32.65,31.64,30.21
2025-04-15,34.5,35.0,33.13,33.94,100192.3,星华新材,32.6,32.33,30.44
2025-04-16,34.0,34.0,31.07,31.8,92908.8,星华新材,32.74,32.73,30.52
2025-04-17,31.0,33.33,30.76,32.08,63025.46,星华新材,32.69,32.75,30.61
2025-04-18,31.88,32.17,30.81,31.31,51451.0,星华新材,32.83,32.56,30.64
2025-04-21,31.1,32.38,31.1,32.04,42500.33,星华新材,32.23,32.44,30.71
2025-04-22,31.88,33.55,31.25,33.25,69713.0,星华新材,32.1,32.35,31.02
2025-04-23,33.58,38.0,33.1,35.75,105625.3,星华新材,32.89,32.82,31.46
2025-04-24,35.0,36.55,34.09,34.25,81040.22,星华新材,33.32,33.0,31.78
2025-04-25,34.23,36.38,33.25,35.65,83584.84,星华新材,34.19,33.51,32.18
2025-04-28,35.66,37.85,34.68,37.0,91277.0,星华新材,35.18,33.71,32.68
2025-04-29,36.25,37.72,33.81,34.5,99436.28,星华新材,35.43,33.76,33.04
2025-04-30,33.0,33.3,31.3,31.6,90897.28,星华新材,34.6,33.74,33.24
2025-05-06,31.86,32.65,31.66,32.61,51946.0,星华新材,34.27,33.8,33.27
2025-05-07,32.7,35.88,32.39,35.0,84834.28,星华新材,34.14,34.17,33.36
2025-05-08,34.64,34.99,33.95,34.76,51758.0,星华新材,33.69,34.44,33.44
2025-05-09,34.7,35.1,33.69,33.8,43044.99,星华新材,33.55,34.49,33.42
2025-05-12,33.78,34.49,33.15,33.8,40088.0,星华新材,33.99,34.3,33.56
2025-05-13,34.23,34.68,33.46,33.62,36332.0,星华新材,34.2,34.23,33.62
2025-05-14,33.62,34.18,33.0,33.38,41959.78,星华新材,33.87,34.01,33.76
2025-05-15,33.08,33.57,32.5,32.95,32431.0,星华新材,33.51,33.6,33.65
2025-05-16,32.6,33.37,32.33,33.01,30939.97,星华新材,33.35,33.45,33.61
2025-05-19,22.07,22.1,21.26,21.57,41577.21,星华新材,30.91,32.45,33.1
2025-05-20,21.43,21.65,21.18,21.51,33040.5,星华新材,28.48,31.34,32.57
2025-05-21,21.38,21.49,20.55,20.77,42539.88,星华新材,25.96,29.92,32.04
2025-05-22,20.57,20.94,20.3,20.33,34210.46,星华新材,23.44,28.47,31.46
2025-05-23,20.39,20.89,20.13,20.39,28840.48,星华新材,20.91,27.13,30.81
2025-05-26,20.21,20.36,19.81,20.04,33344.92,星华新材,20.61,25.76,30.03
2025-05-27,19.98,20.14,19.66,19.8,23449.26,星华新材,20.27,24.38,29.3
2025-05-28,19.9,20.77,19.87,19.93,43831.56,星华新材,20.1,23.03,28.52
2025-05-29,20.23,20.56,20.01,20.35,38856.52,星华新材,20.1,21.77,27.69
2025-05-30,20.24,20.24,19.36,19.55,40665.14,星华新材,19.93,20.42,26.94
2025-06-03,19.24,19.79,19.24,19.63,17058.98,星华新材,19.85,20.23,26.34
2025-06-04,19.5,20.14,19.5,19.94,29354.0,星华新材,19.88,20.07,25.71
2025-06-05,19.95,19.95,19.61,19.75,17356.28,星华新材,19.84,19.97,24.94
2025-06-06,19.66,19.95,19.5,19.85,18200.12,星华新材,19.74,19.92,24.2
2025-06-09,19.85,20.25,19.83,20.13,19486.1,星华新材,19.86,19.9,23.51
2025-06-10,20.13,20.16,19.35,19.64,26386.04,星华新材,19.86,19.86,22.81
2025-06-11,19.91,19.91,19.6,19.72,17333.76,星华新材,19.82,19.85,22.11
2025-06-12,19.73,19.76,19.37,19.61,18252.76,星华新材,19.79,19.82,21.42
2025-06-13,19.51,19.59,18.93,19.06,24475.84,星华新材,19.63,19.69,20.73
2025-06-16,19.14,19.36,19.08,19.15,17074.32,星华新材,19.44,19.65,20.04
2025-06-17,19.3,19.3,18.96,19.06,17900.1,星华新材,19.32,19.59,19.91
2025-06-18,19.2,19.85,19.0,19.58,48433.04,星华新材,19.29,19.56,19.81
2025-06-19,19.38,19.58,18.77,18.89,30588.28,星华新材,19.15,19.47,19.72
2025-06-20,18.83,19.16,18.58,18.58,19045.46,星华新材,19.05,19.34,19.63
2025-06-23,18.4,18.78,18.32,18.73,15427.2,星华新材,18.97,19.2,19.55
2025-06-24,18.75,19.35,18.75,19.22,17163.06,星华新材,19.0,19.16,19.51
2025-06-25,19.28,19.56,19.03,19.28,27186.36,星华新材,18.94,19.12,19.48
2025-06-26,19.5,19.5,19.08,19.1,19877.1,星华新材,18.98,19.06,19.44
2025-06-27,19.16,21.0,19.08,20.22,75871.28,星华新材,19.31,19.18,19.43
2025-06-30,20.06,20.37,20.0,20.24,47074.17,星华新材,19.61,19.29,19.47
2025-07-01,20.3,21.05,20.11,20.89,69066.22,星华新材,19.95,19.47,19.53
2025-07-02,20.95,20.99,20.3,20.42,37149.48,星华新材,20.17,19.56,19.56
2025-07-03,20.4,20.78,20.23,20.5,27782.13,星华新材,20.45,19.72,19.59
2025-07-04,20.56,20.85,20.09,20.51,35134.15,星华新材,20.51,19.91,19.63
2025-07-07,20.5,20.55,20.12,20.14,20210.62,星华新材,20.49,20.05,19.63
2025-07-08,20.11,20.35,20.11,20.26,18761.3,星华新材,20.37,20.16,19.66
2025-07-09,20.2,20.45,20.16,20.19,22051.46,星华新材,20.32,20.25,19.68
2025-07-10,20.19,20.26,19.83,19.95,22640.22,星华新材,20.21,20.33,19.7
2025-07-11,19.94,20.18,19.86,20.07,15739.06,星华新材,20.12,20.32,19.75
2025-07-14,20.1,20.28,20.01,20.22,16278.96,星华新材,20.14,20.32,19.8
2025-07-15,20.22,20.24,19.8,19.9,21307.35,星华新材,20.07,20.22,19.84
2025-07-16,19.86,20.5,19.84,20.18,26254.86,星华新材,20.06,20.19,19.87
2025-07-17,20.32,20.94,20.15,20.89,58991.44,星华新材,20.25,20.23,19.97
2025-07-18,21.25,24.33,21.21,22.52,122385.92,星华新材,20.74,20.43,20.17
2025-07-21,22.7,22.93,21.99,22.37,64298.76,星华新材,21.17,20.66,20.35
2025-07-22,22.3,22.39,21.85,22.22,50127.73,星华新材,21.64,20.85,20.5
2025-07-23,22.3,22.42,21.5,21.58,44176.12,星华新材,21.92,20.99,20.62
2025-07-24,21.51,21.9,21.49,21.63,28917.64,星华新材,22.06,21.16,20.74
2025-07-25,21.59,21.64,21.33,21.52,27705.25,星华新材,21.86,21.3,20.81
2025-07-28,21.51,21.85,21.41,21.57,29605.12,星华新材,21.7,21.44,20.88
2025-07-29,21.5,21.57,21.12,21.38,27036.56,星华新材,21.54,21.59,20.9
2025-07-30,21.88,22.2,21.54,22.14,73204.08,星华新材,21.65,21.78,20.99
2025-07-31,22.16,22.22,21.4,21.48,39559.92,星华新材,21.62,21.84,21.04
