date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,38.08,38.65,36.98,37.57,4392.0,天益医疗,37.57,37.57,37.57
2025-03-25,37.69,37.87,37.17,37.55,2153.0,天益医疗,37.56,37.56,37.56
2025-03-26,37.7,38.54,37.34,38.3,4294.0,天益医疗,37.81,37.81,37.81
2025-03-27,38.14,38.49,37.3,38.0,4206.49,天益医疗,37.85,37.85,37.85
2025-03-28,38.05,38.3,37.23,37.23,6022.0,天益医疗,37.73,37.73,37.73
2025-03-31,37.27,37.35,36.3,36.94,5016.02,天益医疗,37.6,37.6,37.6
2025-04-01,37.03,38.84,37.03,38.19,5797.0,天益医疗,37.73,37.68,37.68
2025-04-02,38.19,38.91,38.01,38.22,3617.0,天益医疗,37.72,37.75,37.75
2025-04-03,38.17,38.56,37.38,37.82,3684.0,天益医疗,37.68,37.76,37.76
2025-04-07,36.27,36.27,30.26,30.96,11329.0,天益医疗,36.43,37.08,37.08
2025-04-08,31.58,32.94,31.5,32.37,8184.0,天益医疗,35.51,36.56,36.65
2025-04-09,31.8,33.2,29.3,33.04,7797.0,天益医疗,34.48,36.11,36.35
2025-04-10,33.34,34.79,33.3,33.78,5349.53,天益医疗,33.59,35.65,36.15
2025-04-11,33.57,34.5,33.35,33.63,5116.0,天益医疗,32.76,35.22,35.97
2025-04-14,33.89,34.89,33.56,34.59,4551.0,天益医疗,33.48,34.95,35.88
2025-04-15,34.56,35.25,34.12,34.46,5478.0,天益医疗,33.9,34.71,35.79
2025-04-16,34.18,34.25,33.13,33.73,6382.0,天益医疗,34.04,34.26,35.67
2025-04-17,34.0,34.74,33.44,34.41,3923.0,天益医疗,34.16,33.88,35.6
2025-04-18,34.08,34.64,33.47,33.75,3239.0,天益医疗,34.19,33.47,35.5
2025-04-21,33.77,34.26,33.45,34.24,5123.0,天益医疗,34.12,33.8,35.44
2025-04-22,34.35,34.68,33.88,34.58,3068.0,天益医疗,34.14,34.02,35.29
2025-04-23,34.84,35.18,34.58,34.9,3228.0,天益医疗,34.38,34.21,35.16
2025-04-24,34.99,35.17,33.82,34.02,3972.0,天益医疗,34.3,34.23,34.94
2025-04-25,34.07,34.78,33.61,34.18,4252.0,天益医疗,34.38,34.29,34.75
2025-04-28,34.0,34.29,33.11,34.18,6151.0,天益医疗,34.37,34.24,34.6
2025-04-29,34.18,36.28,33.71,34.97,5708.0,天益医疗,34.45,34.3,34.5
2025-04-30,34.97,35.98,34.81,35.9,4194.0,天益医疗,34.65,34.51,34.39
2025-05-06,36.28,36.57,36.0,36.44,5170.0,天益医疗,35.13,34.72,34.3
2025-05-07,36.6,37.49,36.34,36.82,4400.96,天益医疗,35.66,35.02,34.25
2025-05-08,36.84,37.81,36.64,37.79,4981.0,天益医疗,36.38,35.38,34.59
2025-05-09,37.76,37.94,36.99,37.03,3345.0,天益医疗,36.8,35.62,34.82
2025-05-12,37.5,37.73,37.14,37.66,3943.0,天益医疗,37.15,35.9,35.05
2025-05-13,37.9,38.27,37.39,37.95,3694.0,天益医疗,37.45,36.29,35.26
2025-05-14,38.29,38.29,36.84,37.19,5364.0,天益医疗,37.52,36.59,35.44
