date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,14.51,14.64,13.37,13.68,66795.0,万祥科技,13.68,13.68,13.68
2025-03-25,13.68,13.83,13.49,13.59,40268.0,万祥科技,13.64,13.64,13.64
2025-03-26,13.57,13.82,13.5,13.72,26774.61,万祥科技,13.66,13.66,13.66
2025-03-27,13.67,13.75,13.33,13.6,25912.01,万祥科技,13.65,13.65,13.65
2025-03-28,13.6,13.74,13.34,13.35,27379.0,万祥科技,13.59,13.59,13.59
2025-03-31,13.33,13.33,12.97,13.26,35285.62,万祥科技,13.5,13.53,13.53
2025-04-01,13.31,13.59,13.28,13.4,27089.0,万祥科技,13.47,13.51,13.51
2025-04-02,13.35,13.55,13.35,13.46,19802.42,万祥科技,13.41,13.51,13.51
2025-04-03,13.33,13.47,13.11,13.32,28355.68,万祥科技,13.36,13.49,13.49
2025-04-07,12.68,12.68,10.66,10.66,60082.0,万祥科技,12.82,13.2,13.2
2025-04-08,10.95,11.29,10.62,10.9,53632.44,万祥科技,12.35,12.93,12.99
2025-04-09,10.7,11.27,9.94,11.2,57458.62,万祥科技,11.91,12.69,12.84
2025-04-10,11.48,11.88,11.31,11.57,47701.83,万祥科技,11.53,12.47,12.75
2025-04-11,11.43,11.85,11.4,11.71,34074.0,万祥科技,11.21,12.28,12.67
2025-04-14,12.18,12.43,11.94,12.02,38279.43,万祥科技,11.48,12.15,12.63
2025-04-15,12.02,12.1,11.85,11.95,25706.0,万祥科技,11.69,12.02,12.59
2025-04-16,11.9,12.05,11.48,11.79,26793.06,万祥科技,11.81,11.86,12.54
2025-04-17,11.67,11.94,11.67,11.72,20566.0,万祥科技,11.84,11.68,12.49
2025-04-18,11.72,11.88,11.6,11.76,21566.08,万祥科技,11.85,11.53,12.46
2025-04-21,12.45,13.29,12.45,12.62,88984.84,万祥科技,11.97,11.72,12.46
2025-04-22,12.53,13.58,12.4,12.85,118506.49,万祥科技,12.15,11.92,12.42
2025-04-23,12.85,13.04,12.66,12.75,82732.43,万祥科技,12.34,12.07,12.38
2025-04-24,12.76,12.84,12.53,12.69,52024.36,万祥科技,12.53,12.19,12.33
2025-04-25,12.65,12.9,12.57,12.77,41234.0,万祥科技,12.74,12.29,12.29
2025-04-28,12.67,12.83,12.52,12.77,36922.36,万祥科技,12.77,12.37,12.26
2025-04-29,12.77,13.1,12.68,12.91,32222.66,万祥科技,12.78,12.46,12.24
2025-04-30,12.92,13.25,12.82,13.16,37280.0,万祥科技,12.86,12.6,12.23
2025-05-06,13.2,13.6,13.11,13.6,46692.57,万祥科技,13.04,12.79,12.24
2025-05-07,13.7,13.76,13.38,13.47,43073.66,万祥科技,13.18,12.96,12.24
2025-05-08,13.41,13.68,13.33,13.66,41657.75,万祥科技,13.36,13.06,12.39
2025-05-09,13.68,13.68,13.36,13.45,27758.97,万祥科技,13.47,13.12,12.52
2025-05-12,13.6,13.94,13.6,13.93,46576.53,万祥科技,13.62,13.24,12.66
2025-05-13,14.07,14.16,13.8,13.85,29795.0,万祥科技,13.67,13.36,12.77
2025-05-14,13.81,13.93,13.65,13.75,31001.0,万祥科技,13.73,13.45,12.87
2025-05-15,13.7,13.89,13.55,13.59,23967.92,万祥科技,13.71,13.54,12.95
2025-05-16,13.55,13.73,13.5,13.59,23810.0,万祥科技,13.74,13.6,13.03
2025-05-19,13.54,13.72,13.41,13.68,23476.0,万祥科技,13.69,13.66,13.13
2025-05-20,13.67,13.88,13.58,13.82,22374.64,万祥科技,13.69,13.68,13.23
2025-05-21,13.81,13.82,13.6,13.71,20099.54,万祥科技,13.68,13.7,13.33
2025-05-22,13.69,13.85,13.49,13.53,27575.01,万祥科技,13.67,13.69,13.38
2025-05-23,13.53,13.63,13.29,13.29,21365.94,万祥科技,13.61,13.67,13.4
2025-05-26,13.26,13.52,13.25,13.49,17899.0,万祥科技,13.57,13.63,13.44
2025-05-27,13.48,13.54,13.31,13.46,16945.0,万祥科技,13.5,13.59,13.47
2025-05-28,13.48,13.54,13.28,13.36,14674.0,万祥科技,13.43,13.55,13.5
2025-05-29,13.36,13.66,13.33,13.65,20203.0,万祥科技,13.45,13.56,13.55
2025-05-30,13.57,13.63,13.26,13.32,18638.92,万祥科技,13.46,13.53,13.57
2025-06-03,13.3,13.53,13.1,13.21,31380.18,万祥科技,13.4,13.48,13.57
2025-06-04,13.21,13.43,13.15,13.37,20313.85,万祥科技,13.38,13.44,13.56
2025-06-05,13.37,13.65,13.24,13.64,19824.0,万祥科技,13.44,13.43,13.57
2025-06-06,13.61,13.69,13.5,13.69,16967.18,万祥科技,13.45,13.45,13.57
2025-06-09,13.69,13.91,13.69,13.82,18757.46,万祥科技,13.55,13.5,13.59
2025-06-10,13.83,13.89,13.47,13.66,23572.53,万祥科技,13.64,13.52,13.57
2025-06-11,13.63,13.95,13.62,13.74,20016.53,万祥科技,13.71,13.55,13.57
2025-06-12,13.73,13.88,13.62,13.72,19337.42,万祥科技,13.73,13.58,13.57
2025-06-13,13.61,13.73,13.41,13.41,33603.87,万祥科技,13.67,13.56,13.56
2025-06-16,13.41,13.77,13.37,13.56,31311.0,万祥科技,13.62,13.58,13.56
2025-06-17,13.57,14.6,13.54,13.98,95944.0,万祥科技,13.68,13.66,13.57
2025-06-18,13.92,14.33,13.85,14.24,95610.28,万祥科技,13.78,13.75,13.59
2025-06-19,14.14,14.35,14.01,14.08,64813.0,万祥科技,13.85,13.79,13.61
2025-06-20,15.2,16.29,14.61,14.7,176462.92,万祥科技,14.11,13.89,13.67
2025-06-23,13.82,14.53,13.82,14.53,133729.1,万祥科技,14.31,13.96,13.73
2025-06-24,14.43,14.65,14.38,14.61,98471.12,万祥科技,14.43,14.06,13.79
2025-06-25,14.61,14.85,14.46,14.7,81575.1,万祥科技,14.52,14.15,13.85
2025-06-26,14.77,14.92,14.58,14.64,67964.0,万祥科技,14.64,14.24,13.91
2025-06-27,14.73,14.84,14.58,14.67,55289.74,万祥科技,14.63,14.37,13.96
2025-06-30,14.67,14.83,14.64,14.73,37441.0,万祥科技,14.67,14.49,14.04
2025-07-01,14.71,14.79,14.54,14.74,39807.78,万祥科技,14.7,14.56,14.11
2025-07-02,14.59,14.67,14.37,14.49,38802.01,万祥科技,14.65,14.59,14.17
2025-07-03,14.47,14.84,14.43,14.8,43259.0,万祥科技,14.69,14.66,14.23
2025-07-04,14.79,14.79,14.43,14.48,33367.0,万祥科技,14.65,14.64,14.26
2025-07-07,14.45,14.54,14.3,14.46,29166.94,万祥科技,14.59,14.63,14.3
2025-07-08,14.45,14.94,14.35,14.85,56816.0,万祥科技,14.62,14.66,14.36
2025-07-09,15.1,15.12,14.72,14.82,46262.09,万祥科技,14.68,14.67,14.41
2025-07-10,14.8,14.95,14.53,14.63,33271.0,万祥科技,14.65,14.67,14.46
2025-07-11,14.66,14.84,14.44,14.62,35921.97,万祥科技,14.68,14.66,14.52
2025-07-14,14.67,14.78,14.5,14.78,28202.03,万祥科技,14.74,14.67,14.58
2025-07-15,14.87,14.88,14.51,14.66,34269.0,万祥科技,14.7,14.66,14.61
2025-07-16,14.69,14.84,14.61,14.71,30126.0,万祥科技,14.68,14.68,14.64
2025-07-17,14.73,14.94,14.56,14.91,37035.0,万祥科技,14.74,14.69,14.68
2025-07-18,14.87,14.98,14.72,14.81,28728.0,万祥科技,14.77,14.72,14.68
