date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.7,17.48,16.64,17.09,47959.0,力诺药包,17.09,17.09,17.09
2025-03-25,17.45,17.76,16.99,17.2,39557.0,力诺药包,17.14,17.14,17.14
2025-03-26,17.2,18.25,17.06,18.1,91993.07,力诺药包,17.46,17.46,17.46
2025-03-27,17.83,18.2,17.63,17.97,54781.0,力诺药包,17.59,17.59,17.59
2025-03-28,17.91,18.1,17.4,17.82,47747.76,力诺药包,17.64,17.64,17.64
2025-03-31,17.6,17.92,17.2,17.83,57279.0,力诺药包,17.78,17.67,17.67
2025-04-01,17.82,19.19,17.69,18.19,105919.28,力诺药包,17.98,17.74,17.74
2025-04-02,18.03,18.63,18.03,18.53,61026.28,力诺药包,18.07,17.84,17.84
2025-04-03,18.2,18.8,17.98,18.18,42942.0,力诺药包,18.11,17.88,17.88
2025-04-07,17.12,17.5,15.6,16.18,71615.25,力诺药包,17.78,17.71,17.71
2025-04-08,16.18,16.79,15.6,16.31,44796.56,力诺药包,17.48,17.63,17.58
2025-04-09,16.01,17.07,15.47,17.0,43137.0,力诺药包,17.24,17.61,17.53
2025-04-10,17.2,17.8,17.06,17.38,44375.0,力诺药包,17.01,17.54,17.52
2025-04-11,17.2,17.72,17.1,17.62,45791.0,力诺药包,16.9,17.5,17.53
2025-04-14,17.8,17.85,17.18,17.57,41850.0,力诺药包,17.18,17.48,17.53
2025-04-15,17.43,17.68,17.12,17.28,30587.0,力诺药包,17.37,17.42,17.52
2025-04-16,17.11,17.36,16.66,16.91,22102.0,力诺药包,17.35,17.3,17.48
2025-04-17,16.94,17.36,16.83,17.23,16864.0,力诺药包,17.32,17.17,17.47
2025-04-18,17.15,17.27,16.85,16.97,13890.0,力诺药包,17.19,17.04,17.44
2025-04-21,16.8,17.61,16.8,17.49,50350.4,力诺药包,17.18,17.18,17.44
2025-04-22,17.47,18.11,17.47,17.68,33611.66,力诺药包,17.26,17.31,17.47
