date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,113.9,117.49,112.26,115.37,22460.29,菲菱科思,115.37,115.37,115.37
2025-03-25,115.34,118.42,111.0,112.4,23976.4,菲菱科思,113.88,113.88,113.88
2025-03-26,112.98,116.0,108.2,109.06,22277.3,菲菱科思,112.28,112.28,112.28
2025-03-27,109.98,111.49,107.3,109.06,16116.5,菲菱科思,111.47,111.47,111.47
2025-03-28,109.3,110.72,106.0,106.78,14033.01,菲菱科思,110.53,110.53,110.53
2025-03-31,105.02,106.59,100.0,103.3,23139.7,菲菱科思,108.12,109.33,109.33
2025-04-01,104.01,104.44,101.5,103.45,15512.5,菲菱科思,106.33,108.49,108.49
2025-04-02,103.19,106.95,102.7,105.02,16668.0,菲菱科思,105.52,108.06,108.06
2025-04-03,103.21,105.74,100.31,101.52,13650.6,菲菱科思,104.01,107.33,107.33
2025-04-07,92.77,94.98,81.22,81.22,24939.87,菲菱科思,98.9,104.72,104.72
2025-04-08,82.02,86.67,79.32,82.2,20355.81,菲菱科思,94.68,101.4,102.67
2025-04-09,80.3,87.2,75.6,85.9,22884.64,菲菱科思,91.17,98.75,101.27
2025-04-10,90.0,94.76,89.31,90.12,23115.86,菲菱科思,88.19,96.86,100.42
2025-04-11,89.0,94.7,88.0,91.99,18081.0,菲菱科思,86.29,95.15,99.81
2025-04-14,95.0,96.8,92.5,95.22,20724.0,菲菱科思,89.09,93.99,99.51
2025-04-15,94.7,94.97,91.5,92.26,13665.5,菲菱科思,91.1,92.89,99.05
2025-04-16,92.99,97.0,89.01,90.36,16639.0,菲菱科思,91.99,91.58,98.54
2025-04-17,90.31,93.08,89.49,90.05,10759.0,菲菱科思,91.98,90.08,98.07
2025-04-18,90.07,93.59,87.58,90.6,26290.7,菲菱科思,91.7,88.99,97.68
2025-04-21,90.0,90.18,87.0,89.85,23389.2,菲菱科思,90.62,89.86,97.29
2025-04-22,89.35,90.5,86.77,87.23,21387.0,菲菱科思,89.62,90.36,95.88
2025-04-23,88.0,91.79,88.0,90.27,23024.11,菲菱科思,89.6,90.8,94.77
2025-04-24,90.96,93.9,87.83,88.48,23601.4,菲菱科思,89.29,90.63,93.74
2025-04-25,88.9,91.31,88.2,88.92,15830.0,菲菱科思,88.95,90.32,92.74
2025-04-28,88.76,92.94,87.77,91.16,24047.1,菲菱科思,89.21,89.92,91.96
2025-04-29,85.0,85.0,77.77,78.42,55296.98,菲菱科思,87.45,88.53,90.71
2025-04-30,79.56,83.99,77.82,82.72,45013.78,菲菱科思,85.94,87.77,89.68
2025-05-06,84.61,86.89,82.36,86.8,27913.4,菲菱科思,85.6,87.44,88.76
2025-05-07,87.91,88.78,84.82,85.81,22217.3,菲菱科思,84.98,86.97,87.98
2025-05-08,85.81,88.41,85.5,87.6,21953.0,菲菱科思,84.27,86.74,88.3
2025-05-09,87.54,87.54,83.77,84.51,17688.3,菲菱科思,85.49,86.47,88.41
2025-05-12,85.51,85.86,84.39,85.69,17742.65,菲菱科思,86.08,86.01,88.4
2025-05-13,86.8,87.0,83.41,84.0,22702.49,菲菱科思,85.52,85.56,88.1
2025-05-14,84.0,85.17,82.19,82.6,19299.5,菲菱科思,84.88,84.93,87.63
2025-05-15,82.66,82.66,77.77,77.99,31820.1,菲菱科思,82.96,83.61,86.77
2025-05-16,78.0,81.65,76.6,79.66,24440.13,菲菱科思,81.99,83.74,86.14
2025-05-19,79.0,79.33,77.3,78.27,20963.2,菲菱科思,80.5,83.29,85.53
2025-05-20,78.28,78.65,76.9,77.84,15586.3,菲菱科思,79.27,82.4,84.92
2025-05-21,77.85,78.2,76.16,76.3,15488.2,菲菱科思,78.01,81.45,84.21
2025-05-22,76.3,76.99,75.08,75.39,16088.6,菲菱科思,77.49,80.22,83.48
2025-05-23,75.5,75.8,73.8,73.89,18091.1,菲菱科思,76.34,79.16,82.82
2025-05-26,73.89,77.1,73.42,76.86,22789.9,菲菱科思,76.06,78.28,82.15
2025-05-27,76.88,76.99,74.6,75.28,12635.0,菲菱科思,75.54,77.41,81.49
2025-05-28,75.3,76.25,74.86,75.53,10673.0,菲菱科思,75.39,76.7,80.82
2025-05-29,75.72,77.36,75.02,77.36,15789.57,菲菱科思,75.78,76.64,80.13
2025-05-30,76.91,77.28,73.9,75.05,17961.57,菲菱科思,76.02,76.18,79.96
2025-06-03,74.66,75.59,74.5,74.9,7733.0,菲菱科思,75.62,75.84,79.57
2025-06-04,75.3,77.36,75.29,76.54,17346.06,菲菱科思,75.88,75.71,79.05
2025-06-05,76.5,79.65,75.75,79.09,24634.36,菲菱科思,76.59,75.99,78.72
2025-06-06,78.57,86.86,78.57,84.67,58069.03,菲菱科思,78.05,76.92,78.57
2025-06-09,84.84,86.32,83.76,85.31,30590.7,菲菱科思,80.1,78.06,78.61
2025-06-10,84.8,85.35,81.9,83.22,23499.6,菲菱科思,81.77,78.7,78.49
2025-06-11,83.2,83.8,81.66,81.7,17515.13,菲菱科思,82.8,79.34,78.37
2025-06-12,80.9,84.35,80.27,81.99,24828.13,菲菱科思,83.38,79.98,78.34
2025-06-13,81.06,82.57,78.3,78.64,21858.0,菲菱科思,82.17,80.11,78.37
2025-06-16,78.57,81.97,78.0,80.0,18481.0,菲菱科思,81.11,80.61,78.39
2025-06-17,80.01,81.11,78.22,80.43,16585.18,菲菱科思,80.55,81.16,78.5
2025-06-18,80.0,83.18,79.4,82.93,27248.18,菲菱科思,80.8,81.8,78.75
2025-06-19,82.65,83.98,79.2,79.89,25786.27,菲菱科思,80.38,81.88,78.93
2025-06-20,79.88,81.32,77.2,78.4,21504.13,菲菱科思,80.33,81.25,79.08
2025-06-23,77.01,78.64,76.57,78.18,17427.0,菲菱科思,79.97,80.54,79.3
2025-06-24,78.5,83.8,78.47,83.07,40433.6,菲菱科思,80.49,80.52,79.61
