date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,56.8,58.38,53.92,56.48,53490.55,唯科科技,56.48,56.48,56.48
2025-03-25,56.04,59.25,56.01,56.93,51945.77,唯科科技,56.7,56.7,56.7
2025-03-26,56.2,58.39,54.59,54.59,46062.56,唯科科技,56.0,56.0,56.0
2025-03-27,55.43,58.19,53.53,55.83,51281.88,唯科科技,55.96,55.96,55.96
2025-03-28,55.38,56.65,53.79,54.36,28298.0,唯科科技,55.64,55.64,55.64
2025-03-31,53.04,53.5,51.08,52.9,35945.27,唯科科技,54.92,55.18,55.18
2025-04-01,53.33,53.85,52.0,52.31,22893.16,唯科科技,54.0,54.77,54.77
2025-04-02,52.0,54.98,51.75,53.95,33144.78,唯科科技,53.87,54.67,54.67
2025-04-03,53.14,54.27,51.32,51.99,25331.0,唯科科技,53.1,54.37,54.37
2025-04-07,46.2,48.51,41.59,41.59,38983.0,唯科科技,50.55,53.09,53.09
2025-04-08,41.75,42.7,39.21,40.71,52047.37,唯科科技,48.11,51.52,51.97
2025-04-09,38.96,41.77,36.0,40.96,45172.63,唯科科技,45.84,49.92,51.05
2025-04-10,44.77,46.13,43.2,43.68,56132.0,唯科科技,43.79,48.83,50.48
2025-04-11,42.83,46.8,42.83,45.92,48202.85,唯科科技,42.57,47.84,50.16
2025-04-14,47.05,47.99,46.12,46.59,33096.4,唯科科技,43.57,47.06,49.92
2025-04-15,46.35,47.2,45.46,46.25,27615.36,唯科科技,44.68,46.4,49.69
2025-04-16,46.2,46.62,44.49,45.3,25919.87,唯科科技,45.55,45.69,49.43
2025-04-17,45.33,46.15,44.85,45.19,16683.59,唯科科技,45.85,44.82,49.2
2025-04-18,45.09,45.89,44.71,45.26,17786.32,唯科科技,45.72,44.14,48.99
2025-04-21,45.5,50.0,44.8,49.81,50810.0,唯科科技,46.36,44.97,49.03
2025-04-22,48.11,52.67,47.77,50.3,65115.51,唯科科技,47.17,45.93,48.72
2025-04-23,51.39,60.36,50.61,58.56,100334.6,唯科科技,49.82,47.69,48.8
2025-04-24,58.5,63.56,58.01,60.93,97550.62,唯科科技,52.97,49.41,49.12
2025-04-25,60.42,61.4,59.55,60.49,51957.41,唯科科技,56.02,50.87,49.35
2025-04-28,59.1,60.5,58.18,59.95,44355.22,唯科科技,58.05,52.2,49.63
2025-04-29,63.0,71.8,59.46,70.01,132000.76,唯科科技,61.99,54.58,50.49
2025-04-30,70.37,70.92,65.8,66.18,98486.73,唯科科技,63.51,56.67,51.18
2025-05-06,68.42,69.3,65.88,68.32,86350.59,唯科科技,64.99,58.98,51.9
2025-05-07,68.72,73.0,67.4,69.15,93337.95,唯科科技,66.72,61.37,52.76
2025-05-08,68.0,70.44,66.67,67.12,66092.42,唯科科技,68.16,63.1,54.03
2025-05-09,67.21,67.99,64.4,65.39,48162.43,唯科科技,67.23,64.61,55.27
2025-05-12,66.5,68.25,66.46,66.63,41574.83,唯科科技,67.32,65.42,56.55
2025-05-13,67.53,69.9,65.56,67.3,47161.56,唯科科技,67.12,66.05,57.73
2025-05-14,67.62,69.5,66.51,67.2,49538.03,唯科科技,66.73,66.72,58.8
2025-05-15,66.73,67.19,64.21,64.37,46454.51,唯科科技,66.18,67.17,59.69
2025-05-16,64.63,69.16,64.0,66.87,54608.01,唯科科技,66.47,66.85,60.72
2025-05-19,66.5,66.78,62.7,64.11,50606.0,唯科科技,65.97,66.65,61.66
2025-05-20,63.47,64.86,63.05,63.17,26892.0,唯科科技,65.14,66.13,62.56
2025-05-21,62.66,63.19,61.0,61.01,35925.37,唯科科技,63.91,65.32,63.34
2025-05-22,61.01,61.99,60.44,60.7,20689.55,唯科科技,63.17,64.68,63.89
2025-05-23,60.5,61.59,59.47,59.47,27351.18,唯科科技,61.69,64.08,64.35
2025-05-26,59.7,60.18,58.96,59.59,23775.16,唯科科技,60.79,63.38,64.4
2025-05-27,59.42,59.79,57.29,57.36,30559.5,唯科科技,59.63,62.39,64.22
2025-05-28,57.68,61.12,57.08,60.88,59812.34,唯科科技,59.6,61.75,64.24
2025-05-29,60.09,61.74,59.81,60.88,37840.0,唯科科技,59.64,61.4,64.29
2025-05-30,60.6,61.6,57.91,58.5,26359.18,唯科科技,59.44,60.57,63.71
2025-06-03,57.88,60.45,57.88,59.92,30287.0,唯科科技,59.51,60.15,63.4
2025-06-04,60.05,62.77,59.5,61.9,43741.18,唯科科技,60.42,60.02,63.08
2025-06-05,63.28,71.49,63.0,70.65,108431.84,唯科科技,62.37,60.98,63.15
2025-06-06,68.95,70.15,66.54,70.12,76126.0,唯科科技,64.22,61.93,63.3
2025-06-09,70.0,71.08,68.01,68.89,48244.97,唯科科技,66.3,62.87,63.48
2025-06-10,69.0,70.7,64.3,65.3,60293.79,唯科科技,67.37,63.44,63.41
2025-06-11,64.43,72.6,64.36,70.0,92896.23,唯科科技,68.99,64.7,63.54
2025-06-12,69.7,72.45,68.07,71.37,74339.87,唯科科技,69.14,65.75,63.75
2025-06-13,70.8,71.05,67.81,67.87,42019.17,唯科科技,68.69,66.45,63.93
