date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,54.0,56.6,50.92,54.0,63186.45,通力科技,54.0,54.0,54.0
2025-03-25,53.46,54.75,50.6,51.53,51879.2,通力科技,52.76,52.76,52.76
2025-03-26,51.38,54.65,51.0,51.86,49235.97,通力科技,52.46,52.46,52.46
2025-03-27,51.1,55.36,48.23,50.15,73001.0,通力科技,51.88,51.88,51.88
2025-03-28,48.76,51.16,44.19,44.3,77989.52,通力科技,50.37,50.37,50.37
2025-03-31,43.05,43.7,41.83,43.47,39146.8,通力科技,48.26,49.22,49.22
2025-04-01,43.99,43.99,42.2,42.3,26516.7,通力科技,46.42,48.23,48.23
2025-04-02,42.08,44.2,42.08,43.35,28992.0,通力科技,44.71,47.62,47.62
2025-04-03,42.8,43.66,41.3,41.7,24083.0,通力科技,43.02,46.96,46.96
2025-04-07,38.53,39.53,33.36,33.36,43234.0,通力科技,40.84,45.6,45.6
2025-04-08,33.8,35.22,32.9,34.25,35432.22,通力科技,38.99,43.63,44.57
2025-04-09,33.98,35.96,30.65,35.62,43630.0,通力科技,37.66,42.04,43.82
2025-04-10,36.7,38.8,36.7,37.38,34571.0,通力科技,36.46,40.59,43.33
2025-04-11,37.0,38.7,37.0,37.8,28050.0,通力科技,35.68,39.35,42.93
2025-04-14,38.32,39.53,38.08,38.51,24632.0,通力科技,36.71,38.77,42.64
2025-04-15,38.3,39.17,37.59,38.17,20631.0,通力科技,37.5,38.24,42.36
2025-04-16,38.09,38.45,36.44,36.71,23007.0,通力科技,37.71,37.68,42.03
2025-04-17,36.7,37.38,36.25,36.26,18258.79,通力科技,37.49,36.98,41.71
2025-04-18,36.3,36.83,35.6,36.16,12636.0,通力科技,37.16,36.42,41.41
2025-04-21,36.54,37.41,35.82,37.41,15455.0,通力科技,36.94,36.83,41.21
2025-04-22,37.55,37.55,36.58,36.63,14812.0,通力科技,36.63,37.06,40.35
2025-04-23,36.96,40.29,36.85,39.65,45542.8,通力科技,37.22,37.47,39.75
2025-04-24,39.56,40.26,38.12,38.52,36651.0,通力科技,37.67,37.58,39.08
2025-04-25,38.33,39.58,37.62,38.98,32822.5,通力科技,38.24,37.7,38.53
2025-04-28,38.87,39.06,37.0,37.4,24143.0,通力科技,38.24,37.59,38.18
2025-04-29,38.0,40.4,37.34,39.1,38765.0,通力科技,38.73,37.68,37.96
2025-04-30,39.0,40.7,38.69,40.41,40170.0,通力科技,38.88,38.05,37.87
2025-05-06,40.65,42.19,40.42,42.06,44949.8,通力科技,39.59,38.63,37.8
2025-05-07,42.35,43.42,42.01,43.0,54444.95,通力科技,40.39,39.32,37.87
2025-05-08,42.85,44.5,42.18,44.0,48907.0,通力科技,41.71,39.98,38.4
2025-05-09,43.4,45.99,42.52,45.0,59699.76,通力科技,42.89,40.81,38.94
2025-05-12,45.11,50.5,45.11,49.99,80770.37,通力科技,44.81,41.85,39.66
2025-05-13,50.0,52.45,48.0,48.9,78883.8,通力科技,46.18,42.88,40.23
2025-05-14,47.87,50.05,46.4,47.02,64199.34,通力科技,46.98,43.69,40.69
2025-05-15,46.82,46.9,45.4,45.58,39969.2,通力科技,47.3,44.51,41.05
