date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,60.41,62.13,60.3,61.8,12089.0,瑞迈特,61.8,61.8,61.8
2025-03-25,61.87,65.58,61.52,64.8,23921.78,瑞迈特,63.3,63.3,63.3
2025-03-26,64.98,74.4,64.33,72.08,56162.72,瑞迈特,66.23,66.23,66.23
2025-03-27,72.5,75.8,72.5,74.11,38233.1,瑞迈特,68.2,68.2,68.2
2025-03-28,73.75,79.0,73.0,77.66,46448.97,瑞迈特,70.09,70.09,70.09
2025-03-31,81.37,83.99,77.33,80.67,66764.36,瑞迈特,73.86,71.85,71.85
2025-04-01,77.8,80.28,73.0,75.73,61915.28,瑞迈特,76.05,72.41,72.41
2025-04-02,75.33,80.3,73.69,77.8,40931.62,瑞迈特,77.19,73.08,73.08
2025-04-03,77.3,78.09,74.2,76.67,31069.72,瑞迈特,77.71,73.48,73.48
2025-04-07,70.0,74.0,61.8,63.94,31746.88,瑞迈特,74.96,72.53,72.53
2025-04-08,65.0,68.49,61.02,62.91,29387.8,瑞迈特,71.41,72.64,71.65
2025-04-09,61.24,63.8,58.43,63.49,26153.68,瑞迈特,68.96,72.51,70.97
2025-04-10,65.5,69.6,64.3,67.27,29509.23,瑞迈特,66.86,72.03,70.69
2025-04-11,66.06,69.39,66.06,68.2,14929.2,瑞迈特,65.16,71.43,70.51
2025-04-14,68.6,71.49,67.51,70.71,21635.0,瑞迈特,66.52,70.74,70.52
2025-04-15,70.29,70.96,68.85,68.95,10701.43,瑞迈特,67.72,69.57,70.42
2025-04-16,68.65,68.73,65.33,65.98,14406.6,瑞迈特,68.22,68.59,70.16
2025-04-17,66.05,70.91,65.71,70.28,21314.6,瑞迈特,68.82,67.84,70.17
2025-04-18,69.6,70.9,68.11,69.44,12711.24,瑞迈特,69.07,67.12,70.13
2025-04-21,70.9,75.77,70.48,75.31,25683.2,瑞迈特,69.99,68.25,70.39
2025-04-22,74.68,76.09,74.3,74.85,11923.26,瑞迈特,71.17,69.45,71.04
2025-04-23,75.34,77.15,74.69,75.25,15689.4,瑞迈特,73.03,70.62,71.57
2025-04-24,75.2,78.2,73.79,77.18,20536.4,瑞迈特,74.41,71.62,71.82
2025-04-25,77.18,77.4,73.66,73.95,20764.23,瑞迈特,75.31,72.19,71.81
2025-04-28,73.25,74.8,71.88,72.2,13662.0,瑞迈特,74.69,72.34,71.54
2025-04-29,71.88,72.92,70.66,71.58,12012.4,瑞迈特,74.03,72.6,71.08
2025-04-30,71.58,74.28,71.0,73.08,13196.2,瑞迈特,73.6,73.31,70.95
2025-05-06,75.0,79.33,75.0,77.98,25304.37,瑞迈特,73.76,74.08,70.96
2025-05-07,82.88,87.44,78.42,79.9,35718.8,瑞迈特,74.95,75.13,71.12
2025-05-08,80.8,83.98,79.08,80.5,25736.4,瑞迈特,76.61,75.65,71.95
2025-05-09,79.22,82.85,78.61,80.9,21404.2,瑞迈特,78.47,76.25,72.85
2025-05-12,82.9,84.44,80.5,83.38,26118.4,瑞迈特,80.53,77.06,73.84
2025-05-13,84.0,86.68,82.33,83.0,27930.67,瑞迈特,81.54,77.65,74.63
2025-05-14,83.15,84.43,81.0,81.9,15923.2,瑞迈特,81.94,78.44,75.32
2025-05-15,81.78,83.88,81.29,82.24,14564.74,瑞迈特,82.28,79.45,75.89
2025-05-16,82.24,84.98,81.53,83.32,14923.8,瑞迈特,82.77,80.62,76.61
2025-05-19,83.84,91.0,83.84,89.96,34241.48,瑞迈特,84.08,82.31,77.81
2025-05-20,91.0,93.0,87.77,92.6,23928.32,瑞迈特,86.0,83.77,78.93
2025-05-21,92.6,94.59,88.54,89.99,20915.52,瑞迈特,87.62,84.78,79.95
2025-05-22,89.18,91.03,87.12,87.32,13324.08,瑞迈特,88.64,85.46,80.55
2025-05-23,87.3,89.87,86.1,88.33,15117.2,瑞迈特,89.64,86.2,81.23
2025-05-26,88.37,88.56,84.34,85.71,16070.4,瑞迈特,88.79,86.44,81.75
2025-05-27,85.4,86.83,84.85,86.68,9253.68,瑞迈特,87.61,86.8,82.23
2025-05-28,86.27,86.99,85.41,85.96,9941.2,瑞迈特,86.8,87.21,82.83
2025-05-29,85.97,89.33,85.81,87.68,15276.79,瑞迈特,86.87,87.76,83.6
2025-05-30,87.68,88.1,84.52,84.58,15774.56,瑞迈特,86.12,87.88,84.25
2025-06-03,84.76,86.27,83.98,84.06,13779.2,瑞迈特,85.79,87.29,84.8
2025-06-04,84.44,84.48,81.41,82.91,15773.2,瑞迈特,85.04,86.32,85.05
2025-06-05,82.75,83.94,80.82,82.27,15908.38,瑞迈特,84.3,85.55,85.16
2025-06-06,83.8,87.76,83.5,85.56,24869.24,瑞迈特,83.88,85.37,85.42
2025-06-09,85.1,86.22,83.6,84.6,18536.6,瑞迈特,83.88,85.0,85.6
2025-06-10,84.77,87.18,84.15,86.18,18401.4,瑞迈特,84.3,85.05,85.74
2025-06-11,86.37,86.37,84.0,84.66,9418.96,瑞迈特,84.65,84.85,85.83
2025-06-12,84.51,85.97,83.8,84.04,12797.0,瑞迈特,85.01,84.65,85.93
2025-06-13,84.5,84.5,81.71,81.92,13184.38,瑞迈特,84.28,84.08,85.92
2025-06-16,81.65,82.03,79.08,79.5,13866.21,瑞迈特,83.26,83.57,85.73
2025-06-17,80.83,84.0,80.61,81.12,18417.21,瑞迈特,82.25,83.28,85.28
2025-06-18,79.79,81.95,79.08,79.36,8956.0,瑞迈特,81.19,82.92,84.62
2025-06-19,77.84,78.49,74.33,76.07,15099.2,瑞迈特,79.59,82.3,83.93
2025-06-20,75.54,77.66,75.54,77.1,10010.35,瑞迈特,78.63,81.46,83.41
2025-06-23,77.93,79.1,76.82,78.31,9891.69,瑞迈特,78.39,80.83,82.91
2025-06-24,78.25,79.79,78.25,79.26,7857.2,瑞迈特,78.02,80.13,82.59
2025-06-25,79.25,80.25,78.32,79.92,12079.36,瑞迈特,78.13,79.66,82.25
2025-06-26,79.5,80.65,78.38,79.36,7517.56,瑞迈特,78.79,79.19,81.92
2025-06-27,79.03,80.69,78.64,79.8,6087.4,瑞迈特,79.33,78.98,81.53
2025-06-30,80.47,85.72,79.63,84.1,21167.77,瑞迈特,80.49,79.44,81.5
2025-07-01,84.0,87.47,83.89,85.82,17109.92,瑞迈特,81.8,79.91,81.59
2025-07-02,85.5,86.45,83.66,83.94,7076.0,瑞迈特,82.6,80.37,81.64
2025-07-03,83.94,85.0,83.42,84.75,6849.4,瑞迈特,83.68,81.24,81.77
2025-07-04,84.68,86.01,82.76,83.14,6105.2,瑞迈特,84.35,81.84,81.65
2025-07-07,83.3,83.3,79.9,80.41,9208.4,瑞迈特,83.61,82.05,81.44
2025-07-08,80.15,82.15,79.62,81.96,8658.2,瑞迈特,82.84,82.32,81.23
2025-07-09,81.96,82.49,80.72,80.93,5058.15,瑞迈特,82.24,82.42,81.04
2025-07-10,80.21,81.09,79.88,80.54,4281.2,瑞迈特,81.4,82.54,80.87
2025-07-11,80.33,81.45,79.75,81.34,5214.58,瑞迈特,81.04,82.69,80.84
2025-07-14,81.09,82.99,79.97,82.42,6906.09,瑞迈特,81.44,82.52,80.98
2025-07-15,82.29,85.3,81.85,82.5,9924.2,瑞迈特,81.55,82.19,81.05
2025-07-16,82.5,84.45,82.1,83.99,7506.2,瑞迈特,82.16,82.2,81.28
2025-07-17,83.66,84.11,82.35,83.62,7182.2,瑞迈特,82.77,82.08,81.66
2025-07-18,83.41,83.59,81.6,82.85,6944.2,瑞迈特,83.08,82.06,81.95
2025-07-21,82.51,84.26,81.43,83.88,7120.8,瑞迈特,83.37,82.4,82.23
2025-07-22,84.47,85.47,82.92,83.48,7779.73,瑞迈特,83.56,82.56,82.44
2025-07-23,84.78,85.24,82.55,83.43,12218.13,瑞迈特,83.45,82.8,82.61
2025-07-24,84.09,87.48,83.6,85.9,19686.69,瑞迈特,83.91,83.34,82.94
2025-07-25,87.0,89.54,85.11,88.99,26912.52,瑞迈特,85.14,84.11,83.4
2025-07-28,90.18,90.18,86.58,86.84,13820.8,瑞迈特,85.73,84.55,83.54
2025-07-29,86.86,87.52,85.2,87.18,8596.8,瑞迈特,86.47,85.02,83.6
2025-07-30,87.18,88.18,85.37,86.19,11085.6,瑞迈特,87.02,85.24,83.72
2025-07-31,86.12,87.0,85.35,86.45,9973.27,瑞迈特,87.13,85.52,83.8
2025-08-01,86.37,86.7,85.2,85.8,7842.85,瑞迈特,86.49,85.81,83.94
2025-08-04,85.36,87.65,84.85,87.51,9623.45,瑞迈特,86.63,86.18,84.29
2025-08-05,87.78,90.17,86.71,88.87,13615.09,瑞迈特,86.96,86.72,84.64
2025-08-06,88.22,89.39,85.76,87.34,14597.55,瑞迈特,87.19,87.11,84.96
2025-08-07,86.75,89.15,86.13,86.68,12224.18,瑞迈特,87.24,87.18,85.26
2025-08-08,86.7,93.34,85.78,92.21,30627.39,瑞迈特,88.52,87.51,85.81
2025-08-11,92.6,93.2,89.9,91.69,18587.56,瑞迈特,89.36,87.99,86.27
2025-08-12,91.02,98.8,90.91,97.77,33198.61,瑞迈特,91.14,89.05,87.03
2025-08-13,96.8,97.5,93.8,96.65,21424.9,瑞迈特,93.0,90.1,87.67
2025-08-14,96.65,96.99,91.4,91.61,23263.16,瑞迈特,93.99,90.61,88.07
