date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,27.09,27.2,27.0,27.19,668790.05,中信证券,27.19,27.19,27.19
2025-03-25,27.2,27.22,27.0,27.02,539050.68,中信证券,27.1,27.1,27.1
2025-03-26,27.02,27.11,26.94,26.98,564081.01,中信证券,27.06,27.06,27.06
2025-03-27,26.94,27.16,26.71,26.9,725472.31,中信证券,27.02,27.02,27.02
2025-03-28,26.98,27.03,26.73,26.8,658975.68,中信证券,26.98,26.98,26.98
2025-03-31,26.72,26.84,26.3,26.52,797838.7,中信证券,26.84,26.9,26.9
2025-04-01,26.52,26.66,26.39,26.44,596397.7,中信证券,26.73,26.84,26.84
2025-04-02,26.4,26.61,26.35,26.54,456718.67,中信证券,26.64,26.8,26.8
2025-04-03,26.3,26.72,26.3,26.44,558677.58,中信证券,26.55,26.76,26.76
2025-04-07,25.0,25.17,23.8,24.02,2277299.85,中信证券,25.99,26.49,26.49
2025-04-08,24.11,24.59,23.88,24.5,1718956.21,中信证券,25.59,26.22,26.3
2025-04-09,24.44,25.12,24.15,24.89,1423351.72,中信证券,25.28,26.0,26.19
2025-04-10,25.25,25.4,24.7,25.14,1227315.17,中信证券,25.0,25.82,26.11
2025-04-11,25.13,25.59,25.03,25.36,932289.96,中信证券,24.78,25.66,26.05
2025-04-14,25.44,25.49,25.21,25.23,635100.14,中信证券,25.02,25.51,26.0
2025-04-15,25.19,25.21,24.94,25.11,562515.65,中信证券,25.15,25.37,25.94
2025-04-16,25.09,25.25,24.77,25.15,662043.42,中信证券,25.2,25.24,25.9
2025-04-17,25.05,25.25,24.97,25.17,481694.73,中信证券,25.2,25.1,25.86
2025-04-18,25.06,25.25,25.0,25.15,476293.84,中信证券,25.16,24.97,25.82
2025-04-21,25.07,25.28,24.99,25.23,441371.23,中信证券,25.16,25.09,25.79
2025-04-22,25.2,25.3,25.08,25.08,459491.14,中信证券,25.16,25.15,25.68
2025-04-23,25.23,25.28,25.04,25.13,483723.79,中信证券,25.15,25.18,25.59
2025-04-24,25.12,25.25,24.95,25.0,519160.77,中信证券,25.12,25.16,25.49
2025-04-25,25.1,25.33,25.08,25.2,670113.22,中信证券,25.13,25.14,25.4
2025-04-28,25.2,25.21,25.0,25.13,440655.97,中信证券,25.11,25.14,25.32
2025-04-29,25.14,25.2,24.96,25.01,462586.39,中信证券,25.09,25.12,25.25
2025-04-30,25.08,25.28,25.02,25.08,514514.23,中信证券,25.08,25.12,25.18
2025-05-06,25.28,25.68,25.2,25.51,819029.58,中信证券,25.19,25.15,25.13
2025-05-07,26.28,26.42,25.61,25.67,1173234.26,中信证券,25.28,25.2,25.09
2025-05-08,25.64,26.2,25.55,25.86,836747.44,中信证券,25.43,25.27,25.18
2025-05-09,25.8,25.88,25.54,25.55,476958.37,中信证券,25.53,25.31,25.23
2025-05-12,25.78,26.38,25.65,26.3,1314581.56,中信证券,25.78,25.43,25.3
2025-05-13,26.5,26.55,26.06,26.09,796426.18,中信证券,25.89,25.54,25.35
2025-05-14,26.05,27.74,26.01,27.07,2739056.37,中信证券,26.17,25.73,25.44
2025-05-15,26.8,27.01,26.52,26.58,994564.56,中信证券,26.32,25.87,25.5
2025-05-16,26.47,26.68,26.13,26.21,714799.98,中信证券,26.45,25.99,25.56
2025-05-19,26.18,26.24,26.02,26.11,492746.31,中信证券,26.41,26.1,25.61
2025-05-20,26.16,26.28,26.06,26.09,505240.73,中信证券,26.41,26.15,25.65
2025-05-21,26.09,26.2,26.03,26.04,536492.25,中信证券,26.21,26.19,25.7
2025-05-22,26.0,26.07,25.86,25.99,443994.58,中信证券,26.09,26.2,25.73
2025-05-23,25.93,26.15,25.66,25.67,664481.83,中信证券,25.98,26.21,25.76
2025-05-26,25.65,25.77,25.53,25.62,450698.98,中信证券,25.88,26.15,25.79
2025-05-27,25.59,25.63,25.42,25.51,435104.92,中信证券,25.77,26.09,25.81
2025-05-28,25.54,25.58,25.36,25.42,354733.27,中信证券,25.64,25.92,25.83
2025-05-29,25.41,25.79,25.41,25.7,542716.35,中信证券,25.58,25.84,25.85
2025-05-30,25.58,25.65,25.37,25.52,549770.72,中信证券,25.55,25.77,25.88
2025-06-03,25.4,25.78,25.36,25.59,549946.39,中信证券,25.55,25.71,25.9
2025-06-04,25.58,26.05,25.56,25.89,639143.01,中信证券,25.62,25.7,25.92
2025-06-05,25.92,26.23,25.86,26.18,852045.55,中信证券,25.78,25.71,25.95
2025-06-06,26.18,26.28,25.95,25.98,504053.65,中信证券,25.83,25.71,25.96
2025-06-09,26.08,26.53,26.08,26.43,908769.94,中信证券,26.01,25.78,26.0
2025-06-10,26.43,26.49,25.82,25.95,735343.7,中信证券,26.09,25.82,25.98
2025-06-11,26.05,26.7,26.0,26.38,1032665.58,中信证券,26.18,25.9,26.0
2025-06-12,26.17,26.68,26.06,26.44,748015.14,中信证券,26.24,26.01,25.97
2025-06-13,26.35,26.44,26.18,26.3,737265.26,中信证券,26.3,26.07,25.95
2025-06-16,26.2,26.75,26.17,26.68,780961.24,中信证券,26.35,26.18,25.97
2025-06-17,26.67,26.72,26.52,26.7,514967.64,中信证券,26.5,26.29,26.0
2025-06-18,26.7,26.71,26.25,26.38,523047.69,中信证券,26.5,26.34,26.02
2025-06-19,26.35,26.42,25.86,25.91,652146.7,中信证券,26.39,26.32,26.01
2025-06-20,25.91,26.05,25.88,25.88,419924.36,中信证券,26.31,26.3,26.01
2025-06-23,25.78,26.3,25.75,26.23,552357.75,中信证券,26.22,26.28,26.03
2025-06-24,26.28,27.07,26.26,26.91,1364249.65,中信证券,26.26,26.38,26.1
2025-06-25,26.94,28.2,26.85,28.03,2856361.22,中信证券,26.59,26.55,26.22
2025-06-26,27.98,28.06,27.55,27.57,1669402.28,中信证券,26.92,26.66,26.33
2025-06-27,27.65,28.46,27.5,27.58,1776584.92,中信证券,27.26,26.79,26.43
2025-06-30,27.61,27.85,27.35,27.62,968626.49,中信证券,27.54,26.88,26.53
2025-07-01,27.63,27.78,27.31,27.39,707623.48,中信证券,27.64,26.95,26.62
2025-07-02,27.4,27.52,27.23,27.28,575250.52,中信证券,27.49,27.04,26.69
