date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,2.25,2.25,2.11,2.15,351127.8,康欣新材,2.15,2.15,2.15
2025-03-25,2.14,2.18,2.13,2.17,215462.5,康欣新材,2.16,2.16,2.16
2025-03-26,2.18,2.2,2.16,2.19,213745.1,康欣新材,2.17,2.17,2.17
2025-03-27,2.18,2.27,2.17,2.22,314243.0,康欣新材,2.18,2.18,2.18
2025-03-28,2.22,2.23,2.15,2.15,212811.8,康欣新材,2.18,2.18,2.18
2025-03-31,2.13,2.15,2.08,2.1,204156.0,康欣新材,2.17,2.16,2.16
2025-04-01,2.1,2.15,2.1,2.13,127474.0,康欣新材,2.16,2.16,2.16
2025-04-02,2.14,2.14,2.11,2.12,94064.0,康欣新材,2.14,2.15,2.15
2025-04-03,2.1,2.14,2.08,2.12,122271.0,康欣新材,2.12,2.15,2.15
2025-04-07,2.0,2.01,1.91,1.91,209988.0,康欣新材,2.08,2.13,2.13
2025-04-08,1.85,1.9,1.83,1.86,274203.0,康欣新材,2.03,2.1,2.1
2025-04-09,1.85,1.9,1.68,1.88,269945.0,康欣新材,1.98,2.07,2.08
2025-04-10,1.94,1.99,1.91,1.95,231844.0,康欣新材,1.94,2.04,2.07
2025-04-11,1.94,1.99,1.93,1.95,154552.49,康欣新材,1.91,2.02,2.06
2025-04-14,1.96,2.01,1.96,1.99,179570.88,康欣新材,1.93,2.0,2.06
2025-04-15,1.99,1.99,1.94,1.97,163070.0,康欣新材,1.95,1.99,2.05
2025-04-16,1.96,1.97,1.9,1.94,157893.0,康欣新材,1.96,1.97,2.05
2025-04-17,1.94,1.97,1.92,1.95,131345.0,康欣新材,1.96,1.95,2.04
2025-04-18,1.94,1.98,1.93,1.97,128264.25,康欣新材,1.96,1.94,2.04
2025-04-21,1.96,1.98,1.95,1.97,94644.0,康欣新材,1.96,1.94,2.03
2025-04-22,1.97,2.0,1.96,1.98,95468.49,康欣新材,1.96,1.95,2.03
2025-04-23,1.99,2.0,1.97,1.98,109838.0,康欣新材,1.97,1.96,2.02
2025-04-24,1.99,2.18,1.98,2.06,473425.9,康欣新材,1.99,1.98,2.01
2025-04-25,2.04,2.13,2.02,2.09,291960.9,康欣新材,2.02,1.99,2.0
2025-04-28,2.07,2.08,1.97,2.0,204748.0,康欣新材,2.02,1.99,2.0
2025-04-29,2.0,2.02,1.98,2.01,145252.0,康欣新材,2.03,2.0,1.99
2025-04-30,2.01,2.08,2.0,2.02,210587.01,康欣新材,2.04,2.0,1.99
2025-05-06,2.04,2.09,2.04,2.09,187348.5,康欣新材,2.04,2.02,1.98
2025-05-07,2.11,2.14,2.09,2.13,249422.5,康欣新材,2.05,2.03,1.98
2025-05-08,2.13,2.17,2.11,2.16,193329.01,康欣新材,2.08,2.05,2.0
2025-05-09,2.15,2.16,2.11,2.13,133517.0,康欣新材,2.11,2.07,2.01
2025-05-12,2.15,2.21,2.11,2.2,350717.25,康欣新材,2.14,2.09,2.03
2025-05-13,2.21,2.22,2.16,2.17,207030.0,康欣新材,2.16,2.1,2.04
2025-05-14,2.18,2.35,2.18,2.27,676575.62,康欣新材,2.19,2.12,2.05
2025-05-15,2.36,2.45,2.24,2.26,570239.02,康欣新材,2.21,2.14,2.07
2025-05-16,2.26,2.3,2.21,2.23,362713.75,康欣新材,2.23,2.17,2.08
2025-05-19,2.27,2.37,2.24,2.33,526241.11,康欣新材,2.25,2.2,2.1
2025-05-20,2.3,2.38,2.3,2.36,357718.5,康欣新材,2.29,2.22,2.12
2025-05-21,2.35,2.4,2.31,2.32,252073.0,康欣新材,2.3,2.24,2.14
2025-05-22,2.31,2.34,2.27,2.29,218525.0,康欣新材,2.31,2.26,2.15
2025-05-23,2.28,2.31,2.23,2.25,182668.0,康欣新材,2.31,2.27,2.17
2025-05-26,2.24,2.28,2.23,2.26,155501.0,康欣新材,2.3,2.27,2.18
2025-05-27,2.25,2.33,2.25,2.28,149302.1,康欣新材,2.28,2.28,2.19
2025-05-28,2.27,2.3,2.25,2.27,161888.0,康欣新材,2.27,2.28,2.2
2025-05-29,2.27,2.31,2.25,2.3,188750.0,康欣新材,2.27,2.29,2.22
2025-05-30,2.3,2.35,2.24,2.25,217955.0,康欣新材,2.27,2.29,2.23
2025-06-03,2.24,2.29,2.22,2.26,201739.02,康欣新材,2.27,2.28,2.24
2025-06-04,2.26,2.32,2.24,2.32,263751.02,康欣新材,2.28,2.28,2.25
2025-06-05,2.31,2.34,2.26,2.28,195126.0,康欣新材,2.28,2.28,2.26
2025-06-06,2.28,2.32,2.27,2.31,172744.0,康欣新材,2.28,2.28,2.27
2025-06-09,2.31,2.41,2.3,2.37,362153.0,康欣新材,2.31,2.29,2.28
2025-06-10,2.36,2.39,2.31,2.35,228072.0,康欣新材,2.33,2.3,2.29
2025-06-11,2.35,2.46,2.34,2.41,389912.0,康欣新材,2.34,2.31,2.3
2025-06-12,2.4,2.41,2.31,2.36,332569.0,康欣新材,2.36,2.32,2.3
2025-06-13,2.36,2.36,2.3,2.31,231589.53,康欣新材,2.36,2.32,2.31
