date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,27.76,27.86,26.6,27.29,189302.58,中国卫星,27.29,27.29,27.29
2025-03-25,27.22,27.6,26.89,26.94,125859.52,中国卫星,27.12,27.12,27.12
2025-03-26,26.78,27.25,26.78,26.89,88919.0,中国卫星,27.04,27.04,27.04
2025-03-27,26.89,27.05,26.33,26.75,94335.21,中国卫星,26.97,26.97,26.97
2025-03-28,26.71,26.9,26.37,26.43,83015.01,中国卫星,26.86,26.86,26.86
2025-03-31,26.3,26.68,26.01,26.29,97561.34,中国卫星,26.66,26.76,26.76
2025-04-01,26.31,26.93,26.3,26.83,99406.62,中国卫星,26.64,26.77,26.77
2025-04-02,26.9,26.9,26.32,26.54,95920.66,中国卫星,26.57,26.74,26.74
2025-04-03,26.28,26.65,26.21,26.52,71334.53,中国卫星,26.52,26.72,26.72
2025-04-07,25.6,25.8,23.87,23.87,200511.21,中国卫星,26.01,26.44,26.44
2025-04-08,23.87,24.5,23.87,24.5,149382.6,中国卫星,25.65,26.16,26.26
2025-04-09,24.42,25.93,24.18,25.77,214706.08,中国卫星,25.44,26.04,26.22
2025-04-10,26.0,26.09,25.49,25.79,167679.41,中国卫星,25.29,25.93,26.19
2025-04-11,25.75,27.68,25.5,26.4,245870.55,中国卫星,25.27,25.89,26.2
2025-04-14,26.12,26.48,26.1,26.19,134391.93,中国卫星,25.73,25.87,26.2
2025-04-15,26.17,26.77,26.01,26.26,110204.0,中国卫星,26.08,25.87,26.2
2025-04-16,26.39,26.49,25.83,26.26,85912.92,中国卫星,26.18,25.81,26.21
2025-04-17,26.0,26.37,25.91,26.26,73734.01,中国卫星,26.27,25.78,26.21
2025-04-18,26.07,26.22,25.9,26.1,53210.86,中国卫星,26.21,25.74,26.2
2025-04-21,26.09,26.49,26.02,26.34,73656.96,中国卫星,26.24,25.99,26.21
2025-04-22,26.19,26.37,26.1,26.2,53702.5,中国卫星,26.23,26.16,26.16
2025-04-23,26.37,26.4,26.12,26.26,75417.11,中国卫星,26.23,26.21,26.12
2025-04-24,26.26,26.28,25.65,26.02,82686.01,中国卫星,26.18,26.23,26.08
2025-04-25,26.07,26.08,25.81,25.94,53464.13,中国卫星,26.15,26.18,26.04
2025-04-28,25.88,25.88,25.57,25.6,56056.0,中国卫星,26.0,26.12,26.0
2025-04-29,25.6,25.74,25.41,25.55,44980.06,中国卫星,25.87,26.05,25.96
2025-04-30,25.3,25.8,25.3,25.64,56466.0,中国卫星,25.75,25.99,25.9
2025-05-06,25.79,26.21,25.72,26.16,93662.75,中国卫星,25.78,25.98,25.88
2025-05-07,26.46,26.92,26.14,26.78,197768.09,中国卫星,25.95,26.05,25.89
2025-05-08,26.48,27.31,26.42,27.23,181527.5,中国卫星,26.27,26.14,26.06
2025-05-09,27.11,27.3,26.71,26.71,108743.32,中国卫星,26.5,26.19,26.17
2025-05-12,26.75,28.25,26.71,27.73,270320.97,中国卫星,26.92,26.34,26.27
2025-05-13,27.75,27.85,27.1,27.18,155485.31,中国卫星,27.13,26.45,26.34
2025-05-14,27.1,27.37,26.69,26.89,114836.02,中国卫星,27.15,26.55,26.36
2025-05-15,27.0,27.17,26.2,26.4,129604.46,中国卫星,26.98,26.63,26.38
2025-05-16,26.42,26.75,26.27,26.39,88344.97,中国卫星,26.92,26.71,26.38
2025-05-19,26.53,27.08,26.37,26.83,109866.91,中国卫星,26.74,26.83,26.41
2025-05-20,26.7,27.35,26.67,26.82,104611.56,中国卫星,26.67,26.9,26.44
2025-05-21,26.86,27.08,26.68,26.96,89337.0,中国卫星,26.68,26.91,26.48
2025-05-22,26.86,27.27,26.71,26.78,97282.4,中国卫星,26.76,26.87,26.5
2025-05-23,26.62,26.77,26.2,26.22,85394.61,中国卫星,26.72,26.82,26.5
2025-05-26,26.24,26.7,26.1,26.51,60720.16,中国卫星,26.66,26.7,26.52
2025-05-27,26.42,27.96,26.27,27.4,217771.39,中国卫星,26.77,26.72,26.59
2025-05-28,27.1,27.25,26.68,26.77,112686.35,中国卫星,26.74,26.71,26.63
2025-05-29,26.8,27.54,26.8,27.17,122066.9,中国卫星,26.81,26.78,26.71
2025-05-30,27.13,27.85,26.9,27.66,225257.51,中国卫星,27.1,26.91,26.81
2025-06-03,27.6,28.0,27.38,27.43,184123.65,中国卫星,27.29,26.97,26.9
2025-06-04,27.52,28.36,27.47,27.53,169278.45,中国卫星,27.31,27.04,26.97
2025-06-05,27.5,27.86,27.3,27.7,124412.65,中国卫星,27.5,27.12,27.02
2025-06-06,27.77,28.2,27.35,27.46,135942.14,中国卫星,27.56,27.18,27.03
2025-06-09,27.64,27.79,27.4,27.56,113163.52,中国卫星,27.54,27.32,27.07
2025-06-10,27.83,28.45,27.3,27.61,210202.73,中国卫星,27.57,27.43,27.06
2025-06-11,27.38,27.55,27.11,27.31,107503.08,中国卫星,27.53,27.42,27.07
2025-06-12,27.22,27.22,26.89,26.95,116795.0,中国卫星,27.38,27.44,27.07
2025-06-13,27.0,27.28,26.81,27.07,148167.08,中国卫星,27.3,27.43,27.11
2025-06-16,27.02,27.15,26.7,27.07,79841.0,中国卫星,27.2,27.37,27.14
2025-06-17,27.15,27.44,26.77,27.18,116618.85,中国卫星,27.12,27.34,27.16
2025-06-18,27.15,27.17,26.93,26.99,90891.29,中国卫星,27.05,27.29,27.17
2025-06-19,26.88,26.92,26.38,26.57,115377.0,中国卫星,26.98,27.18,27.15
2025-06-20,26.42,26.64,26.37,26.47,57120.56,中国卫星,26.86,27.08,27.13
2025-06-23,26.5,27.04,26.5,26.96,93340.01,中国卫星,26.83,27.02,27.17
2025-06-24,26.78,27.04,26.64,26.95,101727.26,中国卫星,26.79,26.95,27.19
2025-06-25,26.98,27.55,26.88,27.44,174801.8,中国卫星,26.88,26.96,27.19
2025-06-26,27.32,28.48,27.3,27.84,343975.15,中国卫星,27.13,27.05,27.25
2025-06-27,27.8,28.17,27.61,27.71,155942.15,中国卫星,27.38,27.12,27.27
2025-06-30,27.76,28.72,27.72,28.57,269440.43,中国卫星,27.7,27.27,27.32
2025-07-01,28.5,28.58,28.22,28.27,185317.29,中国卫星,27.97,27.38,27.36
2025-07-02,28.27,28.27,27.77,27.98,135874.0,中国卫星,28.07,27.48,27.38
2025-07-03,27.89,29.68,27.89,28.57,345067.39,中国卫星,28.22,27.68,27.43
2025-07-04,28.4,28.75,28.09,28.26,156095.96,中国卫星,28.33,27.86,27.47
2025-07-07,28.18,28.23,27.94,28.15,82316.5,中国卫星,28.25,27.97,27.5
2025-07-08,28.15,28.28,28.02,28.21,125471.2,中国卫星,28.23,28.1,27.53
2025-07-09,28.21,28.29,27.69,27.84,130296.05,中国卫星,28.21,28.14,27.55
2025-07-10,27.7,27.94,27.57,27.88,104591.7,中国卫星,28.07,28.14,27.6
2025-07-11,27.58,27.88,27.19,27.71,161799.57,中国卫星,27.96,28.14,27.63
2025-07-14,27.61,27.77,27.5,27.65,81688.31,中国卫星,27.86,28.05,27.66
2025-07-15,27.66,27.76,27.27,27.3,102148.0,中国卫星,27.68,27.96,27.67
2025-07-16,27.31,28.1,27.28,27.8,138732.0,中国卫星,27.67,27.94,27.71
2025-07-17,27.82,27.92,27.63,27.82,132099.8,中国卫星,27.66,27.86,27.77
2025-07-18,27.87,28.16,27.77,28.04,153826.38,中国卫星,27.72,27.84,27.85
2025-07-21,28.0,28.04,27.8,27.92,139464.0,中国卫星,27.78,27.82,27.9
2025-07-22,27.95,28.51,27.8,28.15,223750.65,中国卫星,27.95,27.81,27.96
2025-07-23,28.01,28.34,27.67,27.92,189861.2,中国卫星,27.97,27.82,27.98
2025-07-24,27.89,28.28,27.83,28.28,207682.96,中国卫星,28.06,27.86,28.0
2025-07-25,28.28,29.06,28.26,28.45,231385.06,中国卫星,28.14,27.93,28.04
2025-07-28,28.55,29.02,28.4,28.89,240659.35,中国卫星,28.34,28.06,28.05
2025-07-29,28.89,29.06,28.66,29.06,202255.8,中国卫星,28.52,28.23,28.09
2025-07-30,28.94,30.1,28.7,29.15,400973.0,中国卫星,28.77,28.37,28.15
2025-07-31,29.1,29.31,28.79,28.91,235142.13,中国卫星,28.89,28.48,28.17
2025-08-01,28.88,29.2,28.51,28.7,159565.5,中国卫星,28.94,28.54,28.19
2025-08-04,28.46,30.15,28.46,29.57,309102.11,中国卫星,29.08,28.71,28.26
2025-08-05,29.85,30.0,29.37,29.5,210677.14,中国卫星,29.17,28.84,28.33
2025-08-06,29.6,30.3,29.47,29.9,338496.5,中国卫星,29.32,29.04,28.43
2025-08-07,29.99,30.27,29.5,29.78,262701.05,中国卫星,29.49,29.19,28.52
2025-08-08,29.82,30.78,29.79,30.07,396704.9,中国卫星,29.76,29.35,28.64
2025-08-11,30.21,30.65,29.89,30.19,290609.2,中国卫星,29.89,29.48,28.77
2025-08-12,30.2,30.45,29.53,29.77,276494.49,中国卫星,29.94,29.55,28.89
2025-08-13,29.61,30.5,29.57,30.07,246904.49,中国卫星,29.98,29.65,29.01
2025-08-14,30.08,30.16,29.08,29.17,272284.48,中国卫星,29.85,29.67,29.07
2025-08-15,29.13,29.55,29.06,29.5,157492.82,中国卫星,29.74,29.75,29.15
2025-08-18,29.58,29.76,29.38,29.58,249750.58,中国卫星,29.62,29.75,29.23
2025-08-19,29.57,29.62,29.2,29.24,174876.03,中国卫星,29.51,29.73,29.28
2025-08-20,29.3,30.29,29.24,29.75,309867.16,中国卫星,29.45,29.71,29.38
2025-08-21,29.73,29.95,29.46,29.64,230075.12,中国卫星,29.54,29.7,29.44
2025-08-22,29.57,30.28,29.3,30.27,364137.11,中国卫星,29.7,29.72,29.54
2025-08-25,30.3,33.3,29.94,33.3,821849.27,中国卫星,30.44,30.03,29.76
2025-08-26,35.89,36.63,34.9,36.63,1172035.53,中国卫星,31.92,30.71,30.13
2025-08-27,37.0,38.48,35.7,36.45,1489478.68,中国卫星,33.26,31.35,30.5
2025-08-28,39.1,40.1,38.0,38.9,1511527.31,中国卫星,35.11,32.33,31.0
2025-08-29,38.0,41.88,38.0,39.64,1354796.24,中国卫星,36.98,33.34,31.55
2025-09-01,38.0,38.12,36.33,36.73,1046287.74,中国卫星,37.67,34.06,31.9
2025-09-02,36.78,37.3,35.28,35.66,746665.11,中国卫星,37.48,34.7,32.21
2025-09-03,35.8,35.92,33.45,33.62,626593.44,中国卫星,36.91,35.08,32.4
2025-09-04,33.33,33.87,32.2,32.81,483884.63,中国卫星,35.69,35.4,32.55
2025-09-05,32.92,33.29,32.0,32.92,424246.88,中国卫星,34.35,35.67,32.69
2025-09-08,34.2,36.21,33.65,36.21,911351.25,中国卫星,34.24,35.96,32.99
2025-09-09,36.21,38.04,36.01,36.24,1174692.0,中国卫星,34.36,35.92,33.32
2025-09-10,35.89,38.01,35.31,37.41,965307.14,中国卫星,35.12,36.01,33.68
2025-09-11,36.5,38.39,36.09,37.62,821263.5,中国卫星,36.08,35.89,34.11
2025-09-12,37.46,39.1,37.21,38.17,796136.81,中国卫星,37.13,35.74,34.54
2025-09-15,37.43,37.59,36.5,36.57,653129.5,中国卫星,37.2,35.72,34.89
2025-09-16,36.49,37.15,35.89,36.65,493605.72,中国卫星,37.28,35.82,35.26
2025-09-17,36.35,36.72,35.73,36.55,325364.95,中国卫星,37.11,36.12,35.6
2025-09-18,36.4,37.18,35.25,35.58,532241.93,中国卫星,36.7,36.39,35.9
2025-09-19,35.54,36.03,34.85,34.99,360909.24,中国卫星,36.07,36.6,36.13
2025-09-22,34.89,35.47,34.75,35.47,236073.67,中国卫星,35.85,36.52,36.24
2025-09-23,35.44,35.45,33.78,34.53,302964.13,中国卫星,35.42,36.35,36.14
2025-09-24,34.21,34.85,34.15,34.74,204767.87,中国卫星,35.06,36.09,36.05
2025-09-25,34.84,35.65,34.65,34.96,297587.17,中国卫星,34.94,35.82,35.85
2025-09-26,34.72,35.15,34.51,34.56,220100.53,中国卫星,34.85,35.46,35.6
2025-09-29,34.6,36.15,33.9,35.76,368644.18,中国卫星,34.91,35.38,35.55
2025-09-30,35.76,37.11,35.66,36.99,560930.17,中国卫星,35.4,35.41,35.62
2025-10-09,36.5,37.53,36.24,37.29,486209.6,中国卫星,35.91,35.49,35.8
2025-10-10,36.98,37.1,36.26,36.45,288183.29,中国卫星,36.21,35.57,35.98
2025-10-13,35.01,38.0,35.0,37.8,562608.08,中国卫星,36.86,35.86,36.23
2025-10-14,37.7,38.77,37.29,37.88,529359.37,中国卫星,37.28,36.1,36.31
2025-10-15,38.15,39.34,36.83,38.53,616415.43,中国卫星,37.59,36.5,36.42
2025-10-16,38.33,38.33,37.0,37.42,417979.72,中国卫星,37.62,36.76,36.43
2025-10-17,37.45,38.5,36.63,36.73,448365.42,中国卫星,37.67,36.94,36.38
2025-10-20,38.0,39.48,37.44,38.05,592383.01,中国卫星,37.72,37.29,36.38
2025-10-21,38.66,38.88,37.04,37.2,588148.24,中国卫星,37.59,37.43,36.41
2025-10-22,37.0,38.18,35.6,36.68,552954.02,中国卫星,37.22,37.4,36.41
2025-10-23,36.0,36.03,35.01,35.56,299170.8,中国卫星,36.84,37.23,36.36
2025-10-24,37.1,39.12,37.1,39.12,544054.58,中国卫星,37.32,37.5,36.54
2025-10-27,39.5,41.6,39.1,40.4,1251598.49,中国卫星,37.79,37.76,36.81
2025-10-28,39.94,41.18,39.94,40.23,767110.12,中国卫星,38.4,37.99,37.04
2025-10-29,41.0,44.0,41.0,42.5,927800.99,中国卫星,39.56,38.39,37.44
2025-10-30,42.0,45.59,42.0,44.55,1112055.58,中国卫星,41.36,39.1,37.93
2025-10-31,44.55,44.56,42.2,42.96,861792.74,中国卫星,42.13,39.72,38.33
2025-11-03,42.96,45.47,42.11,44.9,842183.39,中国卫星,43.03,40.41,38.85
2025-11-04,44.0,44.59,42.6,42.71,641494.82,中国卫星,43.52,40.96,39.2
2025-11-05,41.87,43.57,41.86,43.0,460161.9,中国卫星,43.62,41.59,39.5
2025-11-06,42.65,43.49,42.01,42.94,420741.4,中国卫星,43.3,42.33,39.78
2025-11-07,43.0,44.57,42.64,44.5,699302.97,中国卫星,43.61,42.87,40.18
2025-11-10,45.88,46.98,44.8,45.75,816256.44,中国卫星,43.78,43.4,40.58
2025-11-11,44.97,46.35,42.55,43.4,733560.11,中国卫星,43.92,43.72,40.86
2025-11-12,42.78,45.96,41.7,44.99,690911.01,中国卫星,44.32,43.97,41.18
2025-11-13,44.1,45.85,44.0,44.38,671872.71,中国卫星,44.6,43.95,41.53
2025-11-14,43.98,44.92,43.13,43.2,391005.26,中国卫星,44.34,43.98,41.85
2025-11-17,43.2,43.5,42.41,42.86,337453.94,中国卫星,43.77,43.77,42.09
2025-11-18,42.66,42.76,40.92,41.35,405851.55,中国卫星,43.36,43.64,42.3
2025-11-19,41.72,41.87,41.02,41.14,239772.28,中国卫星,42.59,43.45,42.52
2025-11-20,41.22,42.0,41.07,41.11,269344.57,中国卫星,41.93,43.27,42.8
2025-11-21,40.44,41.3,39.55,39.85,316287.18,中国卫星,41.26,42.8,42.84
2025-11-24,40.64,42.51,40.42,42.12,529971.92,中国卫星,41.11,42.44,42.92
2025-11-25,42.09,44.2,41.85,42.61,607348.09,中国卫星,41.37,42.36,43.04
2025-11-26,43.5,43.6,41.4,41.71,392016.36,中国卫星,41.48,42.03,43.0
2025-11-27,41.13,42.4,40.78,41.8,358452.18,中国卫星,41.62,41.78,42.86
2025-11-28,42.21,43.49,42.1,43.4,559295.36,中国卫星,42.33,41.8,42.89
2025-12-01,43.79,44.43,43.13,43.42,550233.42,中国卫星,42.59,41.85,42.81
2025-12-02,42.9,43.5,42.21,42.68,319141.27,中国卫星,42.6,41.98,42.81
2025-12-03,42.75,43.8,40.79,41.79,595271.73,中国卫星,42.62,42.05,42.75
2025-12-04,40.98,45.97,40.95,45.97,993629.23,中国卫星,43.45,42.54,42.9
2025-12-05,46.17,48.58,45.5,48.31,1228093.21,中国卫星,44.43,43.38,43.09
2025-12-08,49.6,52.5,48.51,48.98,1389126.94,中国卫星,45.55,44.07,43.25
2025-12-09,48.35,49.6,47.78,48.68,966499.31,中国卫星,46.75,44.67,43.52
2025-12-10,48.0,51.46,47.79,50.15,925524.7,中国卫星,48.42,45.52,43.78
2025-12-11,51.38,54.99,50.16,52.6,1046364.05,中国卫星,49.74,46.6,44.19
2025-12-12,52.6,54.25,51.55,52.1,1036158.0,中国卫星,50.5,47.47,44.63
2025-12-15,52.2,55.56,51.3,55.23,1121488.69,中国卫星,51.75,48.65,45.25
2025-12-16,53.5,57.96,51.0,54.3,1196194.88,中国卫星,52.88,49.81,45.9
2025-12-17,53.0,54.8,51.8,52.82,732381.19,中国卫星,53.41,50.91,46.48
2025-12-18,52.69,58.1,52.4,56.31,1476480.35,中国卫星,54.15,51.95,47.24
2025-12-19,56.5,61.61,56.5,58.72,1381894.4,中国卫星,55.48,52.99,48.18
2025-12-22,60.5,64.59,59.33,63.46,1420272.45,中国卫星,57.12,54.44,49.25
2025-12-23,63.47,67.6,59.33,60.11,2002895.75,中国卫星,58.28,55.58,50.13
2025-12-24,58.34,66.12,58.34,66.12,1550368.16,中国卫星,60.94,57.18,51.35
2025-12-25,67.55,72.73,67.0,72.73,1454254.78,中国卫星,64.23,59.19,52.89
2025-12-26,74.0,80.0,72.87,80.0,1678122.55,中国卫星,68.48,61.98,54.72
2025-12-29,81.0,88.0,75.96,88.0,1588896.96,中国卫星,73.39,65.26,56.95
2025-12-30,85.4,96.05,84.48,86.32,2210256.06,中国卫星,78.63,68.46,59.13
2025-12-31,88.0,94.95,88.0,94.95,1473631.97,中国卫星,84.4,72.67,61.79
2026-01-05,101.0,102.5,95.1,99.45,1963580.26,中国卫星,89.74,76.99,64.47
