date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.07,7.2,6.9,7.17,154034.52,城市传媒,7.17,7.17,7.17
2025-03-25,7.1,7.14,6.92,7.0,119852.0,城市传媒,7.08,7.08,7.08
2025-03-26,6.96,7.04,6.94,7.01,56447.25,城市传媒,7.06,7.06,7.06
2025-03-27,6.99,7.03,6.88,6.97,54596.0,城市传媒,7.04,7.04,7.04
2025-03-28,6.97,7.0,6.84,6.91,78442.25,城市传媒,7.01,7.01,7.01
2025-03-31,6.88,6.88,6.69,6.82,60290.0,城市传媒,6.94,6.98,6.98
2025-04-01,6.82,6.96,6.77,6.9,56243.49,城市传媒,6.92,6.97,6.97
2025-04-02,6.88,6.98,6.87,6.89,36464.0,城市传媒,6.9,6.96,6.96
2025-04-03,6.86,7.01,6.85,6.91,72218.0,城市传媒,6.89,6.95,6.95
2025-04-07,6.63,6.65,6.22,6.22,115459.31,城市传媒,6.75,6.88,6.88
2025-04-08,6.18,6.32,6.14,6.27,95563.31,城市传媒,6.64,6.79,6.82
2025-04-09,6.21,6.44,5.9,6.39,88591.01,城市传媒,6.54,6.73,6.79
2025-04-10,6.44,6.65,6.44,6.45,91825.0,城市传媒,6.45,6.67,6.76
2025-04-11,6.37,6.51,6.36,6.4,65414.01,城市传媒,6.35,6.62,6.74
2025-04-14,6.43,6.54,6.4,6.5,48743.0,城市传媒,6.4,6.58,6.72
2025-04-15,6.5,6.63,6.47,6.52,49591.0,城市传媒,6.45,6.54,6.71
2025-04-16,6.51,6.62,6.37,6.49,55773.01,城市传媒,6.47,6.5,6.7
2025-04-17,6.45,6.52,6.4,6.46,45336.01,城市传媒,6.47,6.46,6.68
2025-04-18,6.45,6.48,6.36,6.43,35658.01,城市传媒,6.48,6.41,6.67
2025-04-21,6.44,6.58,6.38,6.55,50712.01,城市传媒,6.49,6.45,6.66
2025-04-22,6.54,6.59,6.49,6.54,32773.0,城市传媒,6.49,6.47,6.63
2025-04-23,6.54,6.6,6.48,6.54,39201.0,城市传媒,6.5,6.49,6.61
2025-04-24,6.51,6.63,6.5,6.54,49379.0,城市传媒,6.52,6.5,6.59
2025-04-25,6.54,6.59,6.51,6.54,30817.01,城市传媒,6.54,6.51,6.56
2025-04-28,6.52,6.66,6.51,6.56,57764.0,城市传媒,6.54,6.52,6.55
2025-04-29,6.6,6.74,6.52,6.65,73576.0,城市传媒,6.57,6.53,6.54
2025-04-30,6.68,6.73,6.54,6.56,71519.49,城市传媒,6.57,6.54,6.52
2025-05-06,6.61,6.76,6.57,6.74,73495.0,城市传媒,6.61,6.56,6.51
2025-05-07,6.74,6.79,6.68,6.75,49983.32,城市传媒,6.65,6.6,6.5
2025-05-08,6.75,6.85,6.71,6.8,54751.26,城市传媒,6.7,6.62,6.53
2025-05-09,6.84,6.84,6.69,6.72,52087.01,城市传媒,6.71,6.64,6.56
2025-05-12,6.73,6.77,6.71,6.72,37903.02,城市传媒,6.75,6.66,6.57
2025-05-13,6.82,6.85,6.7,6.78,61050.28,城市传媒,6.75,6.68,6.59
2025-05-14,6.81,6.84,6.73,6.78,47829.43,城市传媒,6.76,6.71,6.61
2025-05-15,6.77,6.8,6.7,6.71,28398.0,城市传媒,6.74,6.72,6.62
2025-05-16,6.7,6.74,6.67,6.71,33110.47,城市传媒,6.74,6.73,6.63
2025-05-19,6.72,6.81,6.69,6.8,41600.22,城市传媒,6.76,6.75,6.64
2025-05-20,6.82,6.97,6.76,6.97,53399.01,城市传媒,6.79,6.77,6.67
2025-05-21,6.94,7.0,6.9,6.94,41159.0,城市传媒,6.83,6.79,6.7
2025-05-22,6.96,6.99,6.8,6.85,32620.01,城市传媒,6.85,6.8,6.71
2025-05-23,6.85,6.87,6.68,6.71,44235.01,城市传媒,6.85,6.8,6.72
2025-05-26,6.71,6.92,6.7,6.84,49417.43,城市传媒,6.86,6.81,6.73
2025-05-27,6.86,6.96,6.78,6.88,44783.18,城市传媒,6.84,6.82,6.75
2025-05-28,6.88,6.9,6.78,6.83,33196.25,城市传媒,6.82,6.82,6.76
2025-05-29,6.85,6.98,6.81,6.96,51823.0,城市传媒,6.84,6.85,6.79
2025-05-30,6.95,6.99,6.89,6.91,32384.0,城市传媒,6.88,6.87,6.8
2025-06-03,6.92,7.06,6.85,7.0,60441.01,城市传媒,6.92,6.89,6.82
2025-06-04,7.02,7.04,6.95,7.02,32769.77,城市传媒,6.94,6.89,6.83
2025-06-05,6.99,7.08,6.96,7.0,43416.85,城市传媒,6.98,6.9,6.85
2025-06-06,6.97,7.04,6.94,6.99,39401.77,城市传媒,6.98,6.91,6.86
2025-06-09,6.99,7.04,6.96,7.02,46405.86,城市传媒,7.01,6.94,6.87
2025-06-10,7.06,7.15,6.94,7.07,63277.01,城市传媒,7.02,6.97,6.89
2025-06-11,7.56,7.74,7.17,7.21,292983.24,城市传媒,7.06,7.0,6.91
2025-06-12,7.12,7.3,7.12,7.24,192213.07,城市传媒,7.11,7.04,6.93
2025-06-13,7.19,7.22,6.93,6.93,141922.31,城市传媒,7.09,7.04,6.94
2025-06-16,6.86,7.13,6.86,7.05,94219.0,城市传媒,7.1,7.05,6.96
2025-06-17,7.04,7.07,6.95,6.98,68119.96,城市传媒,7.08,7.05,6.97
2025-06-18,6.93,7.0,6.82,6.9,50439.0,城市传媒,7.02,7.04,6.97
2025-06-19,6.88,7.02,6.85,6.91,61660.5,城市传媒,6.95,7.03,6.97
2025-06-20,6.88,6.9,6.73,6.77,60232.5,城市传媒,6.92,7.01,6.96
2025-06-23,6.7,6.89,6.68,6.86,44078.36,城市传媒,6.88,6.99,6.97
2025-06-24,6.86,7.07,6.85,7.05,61099.0,城市传媒,6.9,6.99,6.98
2025-06-25,7.05,7.08,6.98,7.04,52971.96,城市传媒,6.93,6.97,6.99
2025-06-26,7.02,7.08,6.97,7.04,48495.0,城市传媒,6.95,6.95,7.0
2025-06-27,7.0,7.05,7.0,7.0,43946.01,城市传媒,7.0,6.96,7.0
2025-06-30,7.01,7.14,6.98,7.13,63646.02,城市传媒,7.05,6.97,7.01
