date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.23,13.64,13.18,13.49,395699.91,小商品城,13.49,13.49,13.49
2025-03-25,13.47,13.58,13.32,13.39,201527.85,小商品城,13.44,13.44,13.44
2025-03-26,13.33,13.88,13.3,13.82,387850.88,小商品城,13.57,13.57,13.57
2025-03-27,13.88,14.88,13.87,14.82,1092438.92,小商品城,13.88,13.88,13.88
2025-03-28,14.94,15.24,14.79,14.93,922723.24,小商品城,14.09,14.09,14.09
2025-03-31,14.94,15.4,14.83,15.23,700331.39,小商品城,14.44,14.28,14.28
2025-04-01,15.2,15.79,15.04,15.51,798867.57,小商品城,14.86,14.46,14.46
2025-04-02,15.48,15.58,15.26,15.34,486628.09,小商品城,15.17,14.57,14.57
2025-04-03,14.98,15.17,14.58,14.7,933285.43,小商品城,15.14,14.58,14.58
2025-04-07,13.23,13.23,13.23,13.23,188046.0,小商品城,14.8,14.45,14.45
2025-04-08,13.04,13.23,11.91,12.15,1851029.72,小商品城,14.19,14.31,14.24
2025-04-09,11.91,13.37,11.71,13.37,1329516.93,小商品城,13.76,14.31,14.16
2025-04-10,13.9,14.3,13.49,14.25,1278552.6,小商品城,13.54,14.35,14.17
2025-04-11,14.3,14.43,13.92,14.39,920938.8,小商品城,13.48,14.31,14.19
2025-04-14,14.3,14.89,14.17,14.81,771451.31,小商品城,13.79,14.3,14.23
2025-04-15,14.81,14.85,14.45,14.6,489397.96,小商品城,14.28,14.24,14.25
2025-04-16,15.26,15.26,14.35,14.95,830230.73,小商品城,14.6,14.18,14.29
2025-04-17,14.71,15.06,14.58,14.8,484794.29,小商品城,14.71,14.12,14.32
2025-04-18,14.75,14.86,14.38,14.75,393697.99,小商品城,14.78,14.13,14.34
2025-04-21,14.73,15.75,14.73,15.41,654696.76,小商品城,14.9,14.35,14.4
2025-04-22,15.63,16.95,15.53,16.03,1119036.01,小商品城,15.19,14.74,14.52
2025-04-23,15.99,15.99,15.26,15.46,869871.08,小商品城,15.29,14.94,14.63
2025-04-24,15.52,15.95,15.41,15.74,728883.03,小商品城,15.48,15.09,14.72
2025-04-25,15.73,15.89,15.42,15.5,452507.28,小商品城,15.63,15.21,14.76
2025-04-28,15.61,15.69,15.32,15.45,401578.06,小商品城,15.64,15.27,14.78
2025-04-29,15.36,15.61,15.1,15.47,307680.6,小商品城,15.52,15.36,14.8
2025-04-30,15.54,15.54,15.24,15.33,267195.84,小商品城,15.5,15.39,14.79
2025-05-06,15.45,15.45,15.13,15.2,363292.97,小商品城,15.39,15.43,14.78
2025-05-07,15.51,15.62,15.2,15.31,361352.96,小商品城,15.35,15.49,14.81
2025-05-08,15.2,15.32,15.12,15.17,244974.23,小商品城,15.3,15.47,14.91
2025-05-09,15.2,15.78,15.09,15.63,580664.36,小商品城,15.33,15.43,15.08
2025-05-12,15.73,16.03,15.65,15.95,478477.9,小商品城,15.45,15.48,15.21
2025-05-13,16.23,16.28,15.75,16.15,424446.36,小商品城,15.64,15.52,15.3
2025-05-14,16.14,17.06,16.04,16.98,723235.03,小商品城,15.98,15.66,15.43
2025-05-15,16.99,17.04,16.63,16.71,385505.09,小商品城,16.28,15.79,15.53
2025-05-16,16.59,17.04,16.31,16.99,408952.1,小商品城,16.56,15.94,15.65
2025-05-19,16.88,16.95,16.44,16.48,361492.26,小商品城,16.66,16.06,15.73
2025-05-20,16.6,17.23,16.25,17.15,483992.22,小商品城,16.86,16.25,15.84
2025-05-21,17.01,17.29,16.88,17.0,290244.63,小商品城,16.87,16.42,15.96
2025-05-22,17.03,17.4,16.91,17.11,342744.94,小商品城,16.95,16.61,16.04
2025-05-23,17.11,17.24,16.98,17.01,250884.2,小商品城,16.95,16.75,16.09
2025-05-26,17.0,17.04,16.71,17.0,272406.21,小商品城,17.05,16.86,16.17
2025-05-27,17.0,17.09,16.85,16.86,178036.09,小商品城,17.0,16.93,16.22
2025-05-28,16.86,17.15,16.8,16.94,225765.03,小商品城,16.98,16.92,16.29
2025-05-29,16.9,17.54,16.82,17.26,360514.4,小商品城,17.01,16.98,16.38
2025-05-30,17.27,18.05,17.22,17.62,535660.88,小商品城,17.14,17.04,16.49
2025-06-03,17.63,18.48,17.6,18.17,649378.93,小商品城,17.37,17.21,16.63
2025-06-04,18.4,18.45,18.02,18.32,384834.25,小商品城,17.66,17.33,16.79
2025-06-05,18.69,18.99,18.26,18.43,596533.29,小商品城,17.96,17.47,16.95
2025-06-06,18.41,18.58,18.23,18.48,238944.99,小商品城,18.2,17.61,17.11
2025-06-09,18.52,18.6,18.1,18.27,318239.82,小商品城,18.33,17.74,17.24
2025-06-10,18.29,18.55,18.11,18.48,307193.03,小商品城,18.4,17.88,17.37
2025-06-11,18.5,18.99,18.43,18.8,318525.15,小商品城,18.49,18.08,17.5
2025-06-12,18.7,18.81,18.38,18.73,355460.91,小商品城,18.55,18.26,17.59
2025-06-13,18.73,19.36,18.7,19.3,533466.97,小商品城,18.72,18.46,17.72
2025-06-16,19.27,19.77,18.85,19.14,619712.15,小商品城,18.89,18.61,17.83
2025-06-17,19.01,19.97,18.97,19.94,671099.04,小商品城,19.18,18.79,18.0
2025-06-18,20.01,20.06,18.0,19.78,1314750.13,小商品城,19.38,18.93,18.13
2025-06-19,19.94,20.12,19.0,19.47,795202.97,小商品城,19.53,19.04,18.26
2025-06-20,19.46,19.5,18.7,18.94,574734.72,小商品城,19.45,19.08,18.35
2025-06-23,18.67,19.4,18.67,19.35,398554.72,小商品城,19.5,19.19,18.46
2025-06-24,19.33,20.9,19.33,20.7,777880.24,小商品城,19.65,19.42,18.65
2025-06-25,20.77,22.03,20.58,21.91,819947.1,小商品城,20.07,19.73,18.9
2025-06-26,21.91,22.08,21.07,21.73,753441.85,小商品城,20.53,20.03,19.14
2025-06-27,21.65,21.88,19.56,19.58,2484609.05,小商品城,20.65,20.05,19.26
2025-06-30,19.65,20.78,19.12,20.68,1966487.93,小商品城,20.92,20.21,19.41
2025-07-01,20.45,20.45,19.19,19.43,1392411.09,小商品城,20.67,20.16,19.47
2025-07-02,19.33,19.33,18.7,18.78,752261.21,小商品城,20.04,20.06,19.5
2025-07-03,18.61,18.86,18.25,18.65,724931.86,小商品城,19.42,19.98,19.51
2025-07-04,18.67,19.77,18.58,19.46,992428.2,小商品城,19.4,20.03,19.56
2025-07-07,19.52,19.59,19.1,19.34,428324.13,小商品城,19.13,20.03,19.61
2025-07-08,19.2,19.33,18.81,18.93,610800.11,小商品城,19.03,19.85,19.63
2025-07-09,18.9,19.54,18.85,19.26,654876.47,小商品城,19.13,19.58,19.66
2025-07-10,19.3,19.3,18.45,18.65,746816.56,小商品城,19.13,19.28,19.65
2025-07-11,18.65,18.94,18.54,18.59,499798.73,小商品城,18.95,19.18,19.62
2025-07-14,18.61,18.8,18.35,18.71,497126.86,小商品城,18.83,18.98,19.59
2025-07-15,18.6,19.07,18.58,18.88,443446.65,小商品城,18.82,18.92,19.54
2025-07-16,18.8,19.5,18.75,19.36,714739.54,小商品城,18.84,18.98,19.52
2025-07-17,19.85,21.05,19.85,20.68,1226166.49,小商品城,19.24,19.19,19.58
2025-07-18,20.4,21.14,20.4,21.05,643794.83,小商品城,19.74,19.34,19.69
2025-07-21,20.84,21.16,20.52,20.99,528665.78,小商品城,20.19,19.51,19.77
2025-07-22,21.1,21.5,20.3,20.45,563377.25,小商品城,20.51,19.66,19.76
2025-07-23,20.3,20.83,20.2,20.52,428794.46,小商品城,20.74,19.79,19.69
2025-07-24,20.63,20.78,20.12,20.21,447148.95,小商品城,20.64,19.94,19.61
2025-07-25,20.46,21.5,20.46,20.98,715813.32,小商品城,20.63,20.18,19.68
2025-07-28,20.9,22.29,20.85,21.98,843503.17,小商品城,20.83,20.51,19.74
2025-07-29,22.01,22.3,21.8,22.02,455172.35,小商品城,21.14,20.82,19.87
2025-07-30,21.96,22.17,21.41,21.65,399335.49,小商品城,21.37,21.05,20.02
2025-07-31,21.01,21.63,20.99,21.3,360863.91,小商品城,21.59,21.12,20.15
2025-08-01,21.45,21.46,20.35,20.5,491994.8,小商品城,21.49,21.06,20.2
2025-08-04,20.4,20.49,19.74,20.06,691737.09,小商品城,21.11,20.97,20.24
2025-08-05,20.0,20.18,19.87,19.91,376125.65,小商品城,20.68,20.91,20.29
2025-08-06,19.95,19.95,19.44,19.64,507245.0,小商品城,20.28,20.82,20.31
2025-08-07,19.6,19.69,19.29,19.47,438511.91,小商品城,19.92,20.75,20.35
2025-08-08,19.51,19.63,19.21,19.3,453592.47,小商品城,19.68,20.58,20.38
2025-08-11,19.3,19.43,19.08,19.17,468038.4,小商品城,19.5,20.3,20.41
2025-08-12,19.24,19.28,18.6,18.87,719615.54,小商品城,19.29,19.99,20.41
2025-08-13,18.92,19.03,18.69,18.78,618486.38,小商品城,19.12,19.7,20.38
2025-08-14,18.85,19.78,18.85,19.58,1463763.59,小商品城,19.14,19.53,20.32
2025-08-15,19.56,19.56,18.76,19.07,936073.21,小商品城,19.09,19.38,20.22
2025-08-18,19.12,20.45,19.12,20.12,1247583.83,小商品城,19.28,19.39,20.18
2025-08-19,20.25,20.51,20.01,20.25,852463.13,小商品城,19.56,19.42,20.17
2025-08-20,20.2,20.48,19.78,19.95,625562.93,小商品城,19.79,19.46,20.14
2025-08-21,20.71,21.9,20.24,20.33,1112627.64,小商品城,19.94,19.54,20.15
2025-08-22,20.33,21.18,20.05,20.93,879210.62,小商品城,20.32,19.71,20.14
2025-08-25,20.93,23.02,20.55,23.02,1597863.43,小商品城,20.9,20.09,20.2
2025-08-26,22.92,23.4,22.2,22.35,1036318.11,小商品城,21.32,20.44,20.21
2025-08-27,22.38,22.95,21.96,22.0,686758.91,小商品城,21.73,20.76,20.23
2025-08-28,21.87,21.95,21.28,21.75,635679.13,小商品城,22.01,20.98,20.25
2025-08-29,21.8,22.74,21.8,22.5,842001.93,小商品城,22.32,21.32,20.35
2025-09-01,22.7,23.19,22.34,22.49,622262.1,小商品城,22.22,21.56,20.47
2025-09-02,22.33,22.33,20.58,20.85,896640.23,小商品城,21.92,21.62,20.52
2025-09-03,20.85,20.85,19.92,20.14,626218.96,小商品城,21.55,21.64,20.55
2025-09-04,20.1,20.67,19.62,19.99,678419.98,小商品城,21.19,21.6,20.57
2025-09-05,20.0,20.25,19.7,20.2,516229.42,小商品城,20.73,21.53,20.62
2025-09-08,20.21,20.65,19.78,19.87,528180.89,小商品城,20.21,21.21,20.65
2025-09-09,19.7,20.18,19.55,19.61,427973.53,小商品城,19.96,20.94,20.69
2025-09-10,19.52,19.73,19.32,19.4,452426.82,小商品城,19.81,20.68,20.72
2025-09-11,19.4,20.3,19.27,20.16,606842.77,小商品城,19.85,20.52,20.75
2025-09-12,20.0,20.1,19.58,19.76,561672.16,小商品城,19.76,20.25,20.78
2025-09-15,19.71,20.1,19.62,19.86,489023.54,小商品城,19.76,19.98,20.77
2025-09-16,20.03,20.11,19.66,19.81,480685.31,小商品城,19.8,19.88,20.75
2025-09-17,19.7,19.8,19.41,19.65,538723.98,小商品城,19.85,19.83,20.73
2025-09-18,19.69,19.85,19.03,19.19,800100.97,小商品城,19.65,19.75,20.68
2025-09-19,19.19,19.93,19.01,19.64,626233.13,小商品城,19.63,19.7,20.61
2025-09-22,19.61,19.61,18.68,19.4,529867.16,小商品城,19.54,19.65,20.43
2025-09-23,19.34,19.55,18.0,18.27,985078.43,小商品城,19.23,19.51,20.23
2025-09-24,18.26,19.06,18.2,18.96,601237.57,小商品城,19.09,19.47,20.08
2025-09-25,18.95,18.95,18.46,18.49,569417.24,小商品城,18.95,19.3,19.91
2025-09-26,18.48,18.86,18.43,18.57,439426.9,小商品城,18.74,19.18,19.72
2025-09-29,18.35,19.09,18.02,18.88,629636.5,小商品城,18.63,19.09,19.54
2025-09-30,18.87,18.96,18.4,18.55,498805.99,小商品城,18.69,18.96,19.42
2025-10-09,18.0,18.5,17.99,18.22,687412.98,小商品城,18.54,18.82,19.32
2025-10-10,18.4,18.5,18.06,18.12,492844.75,小商品城,18.47,18.71,19.23
2025-10-13,17.6,18.49,17.3,18.37,533375.85,小商品城,18.43,18.58,19.14
2025-10-14,18.6,19.18,18.5,19.04,1029467.42,小商品城,18.46,18.55,19.1
2025-10-15,19.8,20.12,19.33,19.61,1615874.46,小商品城,18.67,18.68,19.1
2025-10-16,19.4,20.31,19.32,19.92,1140467.2,小商品城,19.01,18.78,19.12
2025-10-17,19.98,20.12,19.1,19.18,748089.48,小商品城,19.22,18.85,19.07
2025-10-20,19.2,19.77,19.04,19.27,555816.06,小商品城,19.4,18.92,19.05
2025-10-21,19.2,19.27,18.73,18.84,587709.42,小商品城,19.36,18.91,19.0
2025-10-22,18.8,19.05,18.5,18.66,477724.03,小商品城,19.17,18.92,18.94
2025-10-23,18.55,18.6,18.15,18.42,409969.26,小商品城,18.87,18.94,18.88
2025-10-24,18.42,18.5,18.19,18.3,337944.47,小商品城,18.7,18.96,18.84
2025-10-27,18.44,18.59,18.02,18.38,688665.0,小商品城,18.52,18.96,18.77
2025-10-28,18.36,18.48,18.18,18.26,454465.34,小商品城,18.4,18.88,18.72
2025-10-29,18.26,18.44,18.06,18.38,410828.49,小商品城,18.35,18.76,18.72
2025-10-30,18.35,18.35,17.81,17.86,555559.49,小商品城,18.24,18.56,18.67
2025-10-31,18.05,18.47,17.98,18.43,607743.31,小商品城,18.26,18.48,18.66
2025-11-03,18.43,18.45,17.87,18.1,458612.79,小商品城,18.21,18.36,18.64
2025-11-04,18.01,18.03,17.36,17.45,601436.21,小商品城,18.04,18.22,18.57
2025-11-05,17.38,17.88,17.25,17.66,410806.7,小商品城,17.9,18.12,18.52
2025-11-06,17.57,17.72,17.35,17.6,357024.19,小商品城,17.85,18.04,18.49
2025-11-07,17.53,17.8,17.45,17.61,263075.13,小商品城,17.68,17.97,18.47
2025-11-10,17.4,17.4,16.23,16.49,1315006.14,小商品城,17.36,17.78,18.37
